Date,open,high,low,close,volume,adj_close,diff
2011-01-03,5.65,5.65,5.55,5.58,476700,5.58,-0.07000000000000028
2011-01-04,5.61,5.63,5.4,5.5,475900,5.5,-0.11000000000000032
2011-01-05,5.5,5.59,5.48,5.59,360300,5.59,0.08999999999999986
2011-01-06,5.61,5.62,5.35,5.38,541900,5.38,-0.23000000000000043
2011-01-07,5.36,5.51,5.28,5.42,545900,5.42,0.05999999999999961
2011-01-10,5.42,5.47,5.35,5.36,398800,5.36,-0.05999999999999961
2011-01-11,5.38,5.58,5.36,5.43,609600,5.43,0.04999999999999982
2011-01-12,4.53,4.53,3.94,4.22,8420500,4.22,-0.3100000000000005
2011-01-13,4.38,4.38,4.25,4.31,1673500,4.31,-0.07000000000000028
2011-01-14,4.32,4.32,4.25,4.28,907200,4.28,-0.040000000000000036
2011-01-18,4.25,4.27,4.17,4.19,1041300,4.19,-0.05999999999999961
2011-01-19,4.21,4.21,4.02,4.1,1092000,4.1,-0.11000000000000032
2011-01-20,4.06,4.16,4.02,4.1,571100,4.1,0.040000000000000036
2011-01-21,4.08,4.13,4.0,4.02,512600,4.02,-0.0600000000000005
2011-01-24,4.03,4.16,4.03,4.09,644100,4.09,0.05999999999999961
2011-01-25,4.07,4.12,4.01,4.09,649900,4.09,0.019999999999999574
2011-01-26,4.1,4.15,4.04,4.06,1014200,4.06,-0.040000000000000036
2011-01-27,4.08,4.1,4.01,4.01,518000,4.01,-0.07000000000000028
2011-01-28,4.02,4.03,3.83,3.93,976100,3.93,-0.08999999999999941
2011-01-31,3.89,3.9,3.73,3.86,1184100,3.86,-0.03000000000000025
2011-02-01,3.91,3.99,3.8,3.95,613200,3.95,0.040000000000000036
2011-02-02,3.97,4.05,3.94,3.98,502100,3.98,0.009999999999999787
2011-02-03,3.97,4.04,3.95,4.0,525500,4.0,0.029999999999999805
2011-02-04,4.0,4.02,3.98,4.02,668700,4.02,0.019999999999999574
2011-02-07,4.0,4.2,4.0,4.17,761200,4.17,0.16999999999999993
2011-02-08,4.23,4.26,4.16,4.26,674600,4.26,0.02999999999999936
2011-02-09,4.31,4.4,4.29,4.3,1065000,4.3,-0.009999999999999787
2011-02-10,4.44,4.81,4.18,4.43,4024600,4.43,-0.010000000000000675
2011-02-11,4.26,4.35,4.07,4.35,1854300,4.35,0.08999999999999986
2011-02-14,4.4,4.57,4.4,4.52,935900,4.52,0.11999999999999922
2011-02-15,4.52,4.52,4.36,4.39,1075600,4.39,-0.1299999999999999
2011-02-16,4.43,4.59,4.41,4.48,1078800,4.48,0.05000000000000071
2011-02-17,4.46,4.55,4.43,4.5,698400,4.5,0.040000000000000036
2011-02-18,4.5,4.55,4.45,4.49,511600,4.49,-0.009999999999999787
2011-02-22,4.45,4.53,4.17,4.17,764500,4.17,-0.28000000000000025
2011-02-23,4.16,4.25,4.04,4.23,729800,4.23,0.07000000000000028
2011-02-24,4.17,4.25,4.1,4.24,572000,4.24,0.07000000000000028
2011-02-25,4.25,4.57,4.16,4.5,2021400,4.5,0.25
2011-02-28,4.5,4.55,4.34,4.34,901200,4.34,-0.16000000000000014
2011-03-01,4.34,4.4,4.28,4.37,625800,4.37,0.03000000000000025
2011-03-02,4.38,4.41,4.3,4.39,672100,4.39,0.009999999999999787
2011-03-03,4.4,4.5,4.4,4.5,381700,4.5,0.09999999999999964
2011-03-04,4.42,4.48,4.38,4.44,698000,4.44,0.020000000000000462
2011-03-07,4.44,4.44,4.36,4.39,465600,4.39,-0.05000000000000071
2011-03-08,4.43,4.5,4.33,4.47,404900,4.47,0.040000000000000036
2011-03-09,4.48,4.49,4.41,4.45,235800,4.45,-0.03000000000000025
2011-03-10,4.34,4.57,4.31,4.44,546000,4.44,0.10000000000000053
2011-03-11,4.44,4.44,4.37,4.4,425900,4.4,-0.040000000000000036
2011-03-14,4.34,4.41,4.34,4.39,320600,4.39,0.04999999999999982
2011-03-15,4.3,4.45,4.28,4.36,822600,4.36,0.0600000000000005
2011-03-16,4.35,4.37,4.28,4.29,456900,4.29,-0.05999999999999961
2011-03-17,4.35,4.36,4.26,4.26,364900,4.26,-0.08999999999999986
2011-03-18,4.28,4.32,4.25,4.3,464600,4.3,0.019999999999999574
2011-03-21,4.3,4.35,4.28,4.33,455300,4.33,0.03000000000000025
2011-03-22,4.35,4.35,4.22,4.26,319200,4.26,-0.08999999999999986
2011-03-23,4.25,4.29,4.22,4.27,259900,4.27,0.019999999999999574
2011-03-24,4.32,4.33,4.22,4.26,270900,4.26,-0.0600000000000005
2011-03-25,4.3,4.44,4.26,4.39,464000,4.39,0.08999999999999986
2011-03-28,4.39,4.41,4.28,4.31,222400,4.31,-0.08000000000000007
2011-03-29,4.32,4.33,4.27,4.31,284100,4.31,-0.010000000000000675
2011-03-30,4.31,4.34,4.27,4.31,227000,4.31,0.0
2011-03-31,4.3,4.37,4.27,4.32,294600,4.32,0.020000000000000462
2011-04-01,4.32,4.32,4.27,4.32,384700,4.32,0.0
2011-04-04,4.32,4.33,4.23,4.24,443300,4.24,-0.08000000000000007
2011-04-05,4.25,4.27,4.21,4.23,363500,4.23,-0.019999999999999574
2011-04-06,4.25,4.32,4.25,4.32,242800,4.32,0.07000000000000028
2011-04-07,4.3,4.41,4.28,4.36,414800,4.36,0.0600000000000005
