Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.61,7.08,6.5,6.6,2030100,6.6,-0.010000000000000675
2011-01-04,6.65,6.8,6.51,6.56,747200,6.56,-0.09000000000000075
2011-01-05,6.54,7.14,6.48,6.88,2773600,6.88,0.33999999999999986
2011-01-06,6.95,7.25,6.75,6.92,1938700,6.92,-0.03000000000000025
2011-01-07,6.0,6.0,5.16,5.19,6288500,5.19,-0.8099999999999996
2011-01-10,4.92,5.11,4.78,4.9,2210800,4.9,-0.019999999999999574
2011-01-11,4.95,5.22,4.76,5.14,2414200,5.14,0.1899999999999995
2011-01-12,5.17,5.23,4.9,4.94,1008000,4.94,-0.22999999999999954
2011-01-13,5.0,5.15,4.86,4.92,1220200,4.92,-0.08000000000000007
2011-01-14,4.5,4.55,4.34,4.45,5497000,4.45,-0.04999999999999982
2011-01-18,4.4,4.49,4.33,4.39,1212600,4.39,-0.010000000000000675
2011-01-19,4.44,4.48,4.13,4.15,1234600,4.15,-0.29000000000000004
2011-01-20,4.15,4.2,4.02,4.11,840000,4.11,-0.040000000000000036
2011-01-21,4.16,4.28,4.1,4.15,905600,4.15,-0.009999999999999787
2011-01-24,4.29,4.29,4.15,4.22,829400,4.22,-0.07000000000000028
2011-01-25,4.24,4.24,3.92,4.03,1462400,4.03,-0.20999999999999996
2011-01-26,4.03,4.18,4.0,4.15,819800,4.15,0.1200000000000001
2011-01-27,4.23,4.41,4.19,4.31,1266200,4.31,0.07999999999999918
2011-01-28,4.37,4.38,4.04,4.1,1345300,4.1,-0.27000000000000046
2011-01-31,4.1,4.13,4.01,4.06,892400,4.06,-0.040000000000000036
2011-02-01,4.15,4.15,4.01,4.04,696000,4.04,-0.11000000000000032
2011-02-02,4.08,4.1,3.99,4.03,874900,4.03,-0.04999999999999982
2011-02-03,4.01,4.1,4.0,4.04,548900,4.04,0.03000000000000025
2011-02-04,4.06,4.11,4.0,4.06,573300,4.06,0.0
2011-02-07,4.15,4.25,4.07,4.14,820400,4.14,-0.010000000000000675
2011-02-08,4.06,4.33,4.06,4.27,770900,4.27,0.20999999999999996
2011-02-09,4.3,4.69,4.3,4.55,1454800,4.55,0.25
2011-02-10,4.47,4.47,4.19,4.26,870000,4.26,-0.20999999999999996
2011-02-11,4.25,4.42,4.22,4.28,651200,4.28,0.03000000000000025
2011-02-14,4.35,4.39,4.24,4.24,493200,4.24,-0.10999999999999943
2011-02-15,4.31,4.31,4.11,4.11,757700,4.11,-0.1999999999999993
2011-02-16,4.16,4.26,4.0,4.0,778100,4.0,-0.16000000000000014
2011-02-17,4.01,4.02,3.83,3.89,905700,3.89,-0.11999999999999966
2011-02-18,3.96,4.05,3.92,3.92,380500,3.92,-0.040000000000000036
2011-02-22,3.89,4.23,3.83,4.01,1196400,4.01,0.11999999999999966
2011-02-23,4.0,4.13,3.98,4.02,580700,4.02,0.019999999999999574
2011-02-24,4.09,4.09,3.98,4.01,284300,4.01,-0.08000000000000007
2011-02-25,4.07,4.1,3.98,4.06,348100,4.06,-0.010000000000000675
2011-02-28,4.06,4.13,3.94,3.97,274700,3.97,-0.08999999999999941
2011-03-01,4.0,4.03,3.8,3.81,454600,3.81,-0.18999999999999995
2011-03-02,3.8,3.95,3.8,3.92,363400,3.92,0.1200000000000001
2011-03-03,4.0,4.14,3.92,3.93,729400,3.93,-0.06999999999999984
2011-03-04,3.95,4.08,3.93,4.01,296800,4.01,0.05999999999999961
2011-03-07,4.05,4.05,3.81,3.85,372800,3.85,-0.19999999999999973
2011-03-08,3.84,3.96,3.8,3.87,230900,3.87,0.03000000000000025
2011-03-09,3.9,3.9,3.82,3.82,171200,3.82,-0.08000000000000007
2011-03-10,3.8,3.8,3.61,3.62,524900,3.62,-0.17999999999999972
2011-03-11,3.62,3.63,3.45,3.53,405100,3.53,-0.0900000000000003
2011-03-14,3.5,3.52,3.37,3.38,379000,3.38,-0.1200000000000001
2011-03-15,3.29,3.44,3.23,3.33,389900,3.33,0.040000000000000036
2011-03-16,3.45,3.46,3.22,3.26,321100,3.26,-0.1900000000000004
2011-03-17,3.33,3.59,3.32,3.47,413700,3.47,0.14000000000000012
2011-03-18,3.61,3.64,3.42,3.51,296300,3.51,-0.10000000000000009
2011-03-21,3.57,3.62,3.39,3.49,279300,3.49,-0.07999999999999963
2011-03-22,3.51,3.57,3.43,3.46,212900,3.46,-0.04999999999999982
2011-03-23,3.46,3.75,3.46,3.7,435500,3.7,0.2400000000000002
2011-03-24,3.59,3.84,3.5,3.58,534300,3.58,-0.009999999999999787
2011-03-25,3.67,3.67,3.5,3.62,234000,3.62,-0.04999999999999982
