Date,open,high,low,close,volume,adj_close,diff
2011-01-03,19.9,20.0,19.12,19.26,21500,19.26,-0.639999999999997
2011-01-04,19.0,19.14,18.18,18.44,18300,18.44,-0.5599999999999987
2011-01-05,18.4,18.4,17.89,18.0,31100,18.0,-0.3999999999999986
2011-01-06,18.05,18.36,18.03,18.03,9600,18.03,-0.019999999999999574
2011-01-07,18.16,18.23,17.9,18.14,11200,18.14,-0.019999999999999574
2011-01-10,18.0,18.08,17.8,17.88,39600,17.88,-0.120000000000001
2011-01-11,17.6,18.43,17.6,18.03,20900,18.03,0.4299999999999997
2011-01-12,18.41,18.41,18.01,18.22,2500,18.22,-0.19000000000000128
2011-01-13,18.05,18.23,17.98,18.05,15500,18.05,0.0
2011-01-14,18.05,18.11,18.0,18.11,8100,18.11,0.05999999999999872
2011-01-18,18.0,18.17,17.86,18.0,7000,18.0,0.0
2011-01-19,18.01,18.13,17.72,18.0,8000,18.0,-0.010000000000001563
2011-01-20,17.08,17.99,17.08,17.82,3200,17.82,0.740000000000002
2011-01-21,17.97,18.14,17.97,18.14,13100,18.14,0.1700000000000017
2011-01-24,18.01,18.1,17.91,18.01,9700,18.01,0.0
2011-01-25,17.99,18.03,17.96,18.0,22000,18.0,0.010000000000001563
2011-01-26,17.89,17.97,17.86,17.95,1700,17.95,0.05999999999999872
2011-01-27,17.93,17.99,17.61,17.61,12000,17.61,-0.3200000000000003
2011-01-28,17.61,17.61,17.0,17.11,2400,17.11,-0.5
2011-01-31,17.2,17.2,16.7,16.86,4200,16.86,-0.33999999999999986
2011-02-01,17.1,17.1,16.79,17.0,16100,17.0,-0.10000000000000142
2011-02-02,16.77,17.5,16.77,17.03,14000,17.03,0.26000000000000156
2011-02-03,17.04,17.1,16.96,17.0,1600,17.0,-0.03999999999999915
2011-02-04,17.0,17.01,16.8,16.95,45400,16.95,-0.05000000000000071
2011-02-07,16.74,16.8,15.02,15.32,89100,15.32,-1.4199999999999982
2011-02-08,15.31,15.31,14.52,14.73,61000,14.73,-0.5800000000000001
2011-02-09,14.52,15.04,14.4,14.4,15100,14.4,-0.11999999999999922
2011-02-10,14.15,14.28,13.81,14.21,15800,14.21,0.0600000000000005
2011-02-11,14.12,14.58,13.97,14.25,19600,14.25,0.13000000000000078
2011-02-14,15.0,15.01,14.25,14.25,37600,14.25,-0.75
2011-02-15,14.28,14.28,13.94,13.95,9800,13.95,-0.33000000000000007
2011-02-16,13.79,13.8,13.21,13.25,30700,13.25,-0.5399999999999991
2011-02-17,13.18,13.5,12.86,13.3,31600,13.3,0.120000000000001
2011-02-18,14.88,14.88,13.84,14.05,167700,14.05,-0.8300000000000001
2011-02-22,14.0,14.0,13.65,13.96,27100,13.96,-0.03999999999999915
2011-02-23,13.83,13.83,13.08,13.48,12600,13.48,-0.34999999999999964
2011-02-24,13.42,13.78,13.38,13.78,8300,13.78,0.35999999999999943
2011-02-25,13.44,13.7,13.26,13.47,13200,13.47,0.030000000000001137
2011-02-28,13.02,13.12,12.8,13.07,9200,13.07,0.05000000000000071
2011-03-01,12.96,12.96,12.57,12.9,17300,12.9,-0.0600000000000005
2011-03-02,13.15,13.15,12.85,12.91,12800,12.91,-0.2400000000000002
2011-03-03,13.05,14.31,13.05,14.04,17700,14.04,0.9899999999999984
2011-03-04,13.61,14.14,13.56,13.77,8200,13.77,0.16000000000000014
2011-03-07,13.49,13.87,13.49,13.63,7300,13.63,0.14000000000000057
2011-03-08,13.64,13.88,13.64,13.75,4100,13.75,0.10999999999999943
2011-03-09,13.82,13.82,13.67,13.78,4400,13.78,-0.040000000000000924
2011-03-10,13.78,13.82,13.61,13.71,7800,13.71,-0.06999999999999851
2011-03-11,13.61,13.79,13.61,13.65,3700,13.65,0.040000000000000924
2011-03-14,13.66,13.67,13.33,13.5,8400,13.5,-0.16000000000000014
2011-03-15,13.01,13.17,12.5,13.14,14900,13.14,0.13000000000000078
2011-03-16,13.05,13.25,12.6,12.6,7300,12.6,-0.45000000000000107
2011-03-17,12.64,13.01,12.64,13.0,16800,13.0,0.35999999999999943
2011-03-18,13.07,13.18,13.01,13.13,2500,13.13,0.0600000000000005
2011-03-21,13.15,13.18,13.0,13.09,5300,13.09,-0.0600000000000005
2011-03-22,13.1,13.9,13.1,13.46,14700,13.46,0.3600000000000012
2011-03-23,13.5,14.06,13.5,13.98,8900,13.98,0.4800000000000004
2011-03-24,14.13,14.2,13.87,13.87,4700,13.87,-0.26000000000000156
2011-03-25,13.95,14.24,13.94,14.13,6500,14.13,0.1800000000000015
2011-03-28,14.01,14.21,13.93,14.11,10700,14.11,0.09999999999999964
2011-03-29,14.46,14.49,13.89,14.15,21200,14.15,-0.3100000000000005
2011-03-30,13.57,14.24,13.57,14.03,11800,14.03,0.4599999999999991
2011-03-31,14.18,14.4,13.92,14.14,7200,14.14,-0.03999999999999915
2011-04-01,14.12,14.39,14.12,14.25,2800,14.25,0.13000000000000078
2011-04-04,14.5,14.5,14.1,14.42,11400,14.42,-0.08000000000000007
2011-04-05,14.4,14.48,14.26,14.29,6600,14.29,-0.11000000000000121
2011-04-06,14.22,14.41,14.02,14.28,4600,14.28,0.05999999999999872
2011-04-07,14.42,14.56,14.31,14.56,3000,14.56,0.14000000000000057
2011-04-08,14.61,14.7,14.58,14.58,1700,14.58,-0.02999999999999936
2011-04-11,14.51,14.69,14.5,14.6,6500,14.6,0.08999999999999986
