Date,open,high,low,close,volume,adj_close,diff
2011-01-03,13.03,13.29,13.02,13.24,4861000,12.93,0.21000000000000085
2011-01-04,13.24,13.33,13.14,13.32,4863300,13.01,0.08000000000000007
2011-01-05,13.25,13.59,13.2,13.31,6749400,13.0,0.0600000000000005
2011-01-06,13.32,13.36,13.14,13.16,6382600,12.86,-0.16000000000000014
2011-01-07,13.22,13.37,13.17,13.29,4803100,12.98,0.06999999999999851
2011-01-10,13.25,13.31,13.12,13.3,4863900,12.99,0.05000000000000071
2011-01-11,13.33,13.33,13.06,13.07,3848800,12.77,-0.2599999999999998
2011-01-12,13.13,13.25,13.09,13.16,3769200,12.86,0.02999999999999936
2011-01-13,13.16,13.17,13.03,13.09,3753600,12.79,-0.07000000000000028
2011-01-14,13.07,13.26,13.02,13.24,4381400,12.93,0.16999999999999993
2011-01-18,13.15,13.25,13.06,13.08,5068200,12.78,-0.07000000000000028
2011-01-19,13.04,13.15,12.8,12.83,6065700,12.53,-0.20999999999999908
2011-01-20,13.07,13.18,12.72,12.79,8731600,12.49,-0.28000000000000114
2011-01-21,12.85,12.92,12.56,12.57,8871700,12.28,-0.27999999999999936
2011-01-24,12.54,12.77,12.48,12.76,7978200,12.47,0.22000000000000064
2011-01-25,12.75,12.76,12.4,12.5,7320400,12.21,-0.25
2011-01-26,12.59,12.76,12.46,12.46,11521800,12.17,-0.129999999999999
2011-01-27,12.45,12.56,12.4,12.49,5867500,12.2,0.040000000000000924
2011-01-28,12.55,12.55,11.92,11.93,10909800,11.65,-0.620000000000001
2011-01-31,11.99,12.14,11.81,11.85,9270900,11.58,-0.14000000000000057
2011-02-01,11.94,12.03,11.8,11.85,8076700,11.58,-0.08999999999999986
2011-02-02,11.83,11.83,11.53,11.57,14803400,11.3,-0.2599999999999998
2011-02-03,11.44,11.72,11.41,11.68,10946700,11.41,0.2400000000000002
2011-02-04,11.64,11.75,11.61,11.72,7683900,11.45,0.08000000000000007
2011-02-07,11.84,12.09,11.73,12.02,11304900,11.74,0.17999999999999972
2011-02-08,12.0,12.19,12.0,12.18,11087200,11.9,0.17999999999999972
2011-02-09,12.12,12.28,12.07,12.27,11534500,11.99,0.15000000000000036
2011-02-10,12.21,12.35,12.12,12.31,9699000,12.03,0.09999999999999964
2011-02-11,12.24,12.51,12.23,12.39,6763000,12.1,0.15000000000000036
