Date,open,high,low,close,volume,adj_close,diff
2011-01-03,12.72,12.79,12.66,12.77,51000,9.87,0.049999999999998934
2011-01-04,12.78,12.87,12.77,12.8,40600,9.9,0.02000000000000135
2011-01-05,12.76,12.78,12.6,12.75,40000,9.86,-0.009999999999999787
2011-01-06,12.75,12.75,12.61,12.64,51400,9.77,-0.10999999999999943
2011-01-07,12.62,12.67,12.57,12.67,48300,9.79,0.05000000000000071
2011-01-10,12.65,12.67,12.48,12.54,51000,9.69,-0.11000000000000121
2011-01-11,12.45,12.5,12.42,12.45,69800,9.62,0.0
2011-01-12,12.37,12.38,12.22,12.32,109200,9.58,-0.049999999999998934
2011-01-13,12.3,12.3,12.06,12.14,164200,9.44,-0.16000000000000014
2011-01-14,12.09,12.24,11.83,12.24,286800,9.52,0.15000000000000036
2011-01-18,12.24,12.24,12.07,12.13,105600,9.43,-0.10999999999999943
2011-01-19,12.13,12.15,11.96,12.07,163700,9.39,-0.0600000000000005
2011-01-20,12.08,12.24,11.99,12.17,74200,9.46,0.08999999999999986
2011-01-21,12.17,12.37,12.17,12.34,95100,9.6,0.16999999999999993
2011-01-24,12.3,12.4,12.27,12.33,76700,9.59,0.02999999999999936
2011-01-25,12.35,12.43,12.28,12.36,103900,9.61,0.009999999999999787
2011-01-26,12.37,12.45,12.34,12.45,65200,9.68,0.08000000000000007
2011-01-27,12.37,12.42,12.32,12.34,72600,9.6,-0.02999999999999936
2011-01-28,12.34,12.38,12.31,12.37,30800,9.62,0.02999999999999936
2011-01-31,12.34,12.39,12.33,12.34,29600,9.6,0.0
2011-02-01,12.4,12.55,12.37,12.5,67500,9.72,0.09999999999999964
2011-02-02,12.56,12.63,12.43,12.45,114500,9.68,-0.11000000000000121
2011-02-03,12.4,12.47,12.36,12.4,75500,9.64,0.0
2011-02-04,12.43,12.45,12.33,12.45,76800,9.68,0.019999999999999574
2011-02-07,12.49,12.53,12.45,12.45,88900,9.68,-0.040000000000000924
2011-02-08,12.55,12.55,12.45,12.47,60700,9.7,-0.08000000000000007
2011-02-09,12.42,12.47,12.38,12.4,45100,9.64,-0.019999999999999574
2011-02-10,12.44,12.45,12.38,12.45,53200,9.68,0.009999999999999787
2011-02-11,12.35,12.49,12.35,12.45,56100,9.74,0.09999999999999964
2011-02-14,12.42,12.48,12.4,12.42,43000,9.72,0.0
2011-02-15,12.37,12.41,12.21,12.22,73800,9.56,-0.14999999999999858
2011-02-16,12.23,12.4,12.23,12.39,99900,9.69,0.16000000000000014
2011-02-17,12.37,12.53,12.37,12.45,53000,9.74,0.08000000000000007
2011-02-18,12.5,12.52,12.46,12.49,38700,9.77,-0.009999999999999787
2011-02-22,12.46,12.46,12.21,12.25,142500,9.58,-0.21000000000000085
2011-02-23,12.2,12.43,12.2,12.33,88400,9.65,0.13000000000000078
2011-02-24,12.41,12.43,12.34,12.42,48000,9.72,0.009999999999999787
2011-02-25,12.47,12.49,12.36,12.44,68300,9.73,-0.030000000000001137
2011-02-28,12.5,12.54,12.49,12.53,54900,9.8,0.02999999999999936
2011-03-01,12.55,12.6,12.53,12.55,55700,9.82,0.0
2011-03-02,12.54,12.58,12.5,12.53,46800,9.8,-0.009999999999999787
2011-03-03,12.5,12.57,12.5,12.57,58800,9.83,0.07000000000000028
2011-03-04,12.55,12.55,12.44,12.54,102500,9.81,-0.010000000000001563
2011-03-07,12.56,12.56,12.47,12.48,72200,9.76,-0.08000000000000007
2011-03-08,12.5,12.65,12.48,12.62,89800,9.87,0.11999999999999922
2011-03-09,12.58,12.61,12.56,12.56,38100,9.83,-0.019999999999999574
2011-03-10,12.53,12.54,12.46,12.52,62400,9.79,-0.009999999999999787
2011-03-11,12.48,12.48,12.35,12.38,95900,9.74,-0.09999999999999964
2011-03-14,12.32,12.38,12.32,12.38,31800,9.74,0.0600000000000005
2011-03-15,12.36,12.42,12.3,12.38,54100,9.74,0.02000000000000135
2011-03-16,12.41,12.46,12.39,12.45,61700,9.8,0.03999999999999915
2011-03-17,12.47,12.59,12.47,12.59,89000,9.91,0.11999999999999922
2011-03-18,12.57,12.62,12.54,12.54,49200,9.87,-0.030000000000001137
2011-03-21,12.5,12.56,12.48,12.52,49400,9.85,0.019999999999999574
2011-03-22,12.53,12.55,12.49,12.55,55800,9.88,0.02000000000000135
2011-03-23,12.5,12.61,12.5,12.6,69600,9.92,0.09999999999999964
2011-03-24,12.55,12.63,12.55,12.6,45800,9.92,0.049999999999998934
2011-03-25,12.6,12.6,12.51,12.53,30700,9.86,-0.07000000000000028
2011-03-28,12.51,12.54,12.5,12.51,25900,9.85,0.0
2011-03-29,12.54,12.54,12.44,12.47,42300,9.81,-0.06999999999999851
2011-03-30,12.41,12.43,12.37,12.39,39800,9.75,-0.019999999999999574
2011-03-31,12.37,12.4,12.35,12.39,16400,9.75,0.02000000000000135
2011-04-01,12.45,12.49,12.39,12.49,26300,9.83,0.040000000000000924
2011-04-04,12.47,12.5,12.45,12.45,37000,9.8,-0.02000000000000135
2011-04-05,12.39,12.49,12.39,12.48,33400,9.82,0.08999999999999986
2011-04-06,12.5,12.51,12.47,12.51,29900,9.85,0.009999999999999787
2011-04-07,12.51,12.52,12.48,12.48,33000,9.82,-0.02999999999999936
2011-04-08,12.47,12.5,12.47,12.5,83600,9.84,0.02999999999999936
2011-04-11,12.51,12.52,12.43,12.44,96300,9.79,-0.07000000000000028
2011-04-12,12.4,12.5,12.4,12.49,161500,9.83,0.08999999999999986
2011-04-13,12.41,12.44,12.28,12.35,55200,9.78,-0.0600000000000005
2011-04-14,12.36,12.38,12.32,12.35,20500,9.78,-0.009999999999999787
2011-04-15,12.31,12.38,12.31,12.35,29600,9.78,0.03999999999999915
2011-04-18,12.33,12.36,12.31,12.32,25700,9.75,-0.009999999999999787
2011-04-19,12.34,12.4,12.32,12.37,39300,9.79,0.02999999999999936
2011-04-20,12.42,12.43,12.38,12.38,30400,9.8,-0.03999999999999915
2011-04-21,12.38,12.42,12.36,12.4,32900,9.82,0.019999999999999574
2011-04-25,12.4,12.48,12.36,12.48,79400,9.88,0.08000000000000007
2011-04-26,12.5,12.51,12.41,12.45,50600,9.86,-0.05000000000000071
2011-04-27,12.45,12.55,12.44,12.52,65100,9.91,0.07000000000000028
2011-04-28,12.5,12.63,12.5,12.59,47000,9.97,0.08999999999999986
2011-04-29,12.59,12.68,12.59,12.68,31000,10.04,0.08999999999999986
2011-05-02,12.73,12.77,12.71,12.74,55000,10.09,0.009999999999999787
2011-05-03,12.76,12.81,12.71,12.81,48000,10.14,0.05000000000000071
2011-05-04,12.83,12.93,12.79,12.93,60000,10.24,0.09999999999999964
2011-05-05,12.92,12.97,12.85,12.91,80600,10.22,-0.009999999999999787
2011-05-06,12.95,12.97,12.93,12.97,30400,10.27,0.02000000000000135
2011-05-09,12.98,13.01,12.95,13.01,38000,10.3,0.02999999999999936
2011-05-10,13.01,13.02,12.97,13.02,39800,10.31,0.009999999999999787
2011-05-11,13.01,13.01,12.93,12.95,54000,10.25,-0.0600000000000005
2011-05-12,12.97,12.98,12.9,12.97,78900,10.33,0.0
