Date,open,high,low,close,volume,adj_close,diff
2011-01-03,77.1,77.59,76.6,76.6,8019700,66.85,-0.5
2011-01-04,75.74,75.91,74.11,74.31,36471600,64.85,-1.4299999999999926
2011-01-05,74.68,74.9,74.31,74.66,17904000,65.16,-0.020000000000010232
2011-01-06,74.9,74.94,74.08,74.21,11717100,64.77,-0.6900000000000119
2011-01-07,74.35,74.58,73.59,74.37,11271900,64.91,0.020000000000010232
2011-01-10,74.25,74.46,73.52,73.56,11338600,64.2,-0.6899999999999977
2011-01-11,73.84,74.49,73.57,73.9,8658800,64.5,0.060000000000002274
2011-01-12,74.37,74.37,73.46,73.6,10378500,64.23,-0.7700000000000102
2011-01-13,73.44,73.55,72.46,72.67,14512600,63.42,-0.769999999999996
2011-01-14,72.4,74.12,72.14,74.06,10570000,64.64,1.6599999999999966
2011-01-18,74.65,75.36,74.31,74.68,11228500,65.18,0.030000000000001137
2011-01-19,75.1,75.44,74.75,75.35,10696700,65.76,0.25
2011-01-20,75.39,75.74,74.68,75.16,8290300,65.6,-0.23000000000000398
2011-01-21,75.75,75.75,74.64,75.01,9825900,65.46,-0.7399999999999949
2011-01-24,74.25,75.85,74.15,75.38,16395500,65.79,1.1299999999999955
2011-01-25,75.54,75.68,75.0,75.48,6959800,65.87,-0.060000000000002274
2011-01-26,75.59,75.71,75.15,75.17,6669000,65.6,-0.4200000000000017
2011-01-27,75.43,75.45,74.34,74.35,7610900,64.89,-1.0800000000000125
2011-01-28,74.37,74.73,73.05,73.28,9083500,63.95,-1.0900000000000034
2011-01-31,73.8,73.98,73.35,73.67,6372400,64.3,-0.12999999999999545
2011-02-01,74.22,74.26,73.2,73.47,8468900,64.12,-0.75
2011-02-02,73.49,73.76,73.08,73.64,5841900,64.27,0.15000000000000568
2011-02-03,73.84,74.27,73.81,73.83,11126100,64.43,-0.010000000000005116
2011-02-04,73.73,74.5,73.64,74.05,9699700,64.63,0.3199999999999932
2011-02-07,74.13,74.35,73.3,73.45,11618600,64.1,-0.6799999999999926
2011-02-08,74.37,75.97,74.2,75.36,11855200,65.77,0.9899999999999949
2011-02-09,75.5,75.99,75.18,75.93,5845000,66.27,0.4300000000000068
2011-02-10,75.98,76.32,75.53,75.76,5437100,66.12,-0.21999999999999886
2011-02-11,75.8,76.23,75.51,76.14,4597900,66.45,0.3400000000000034
2011-02-14,76.07,76.45,75.83,76.24,4512800,66.54,0.1700000000000017
2011-02-15,75.87,76.34,75.8,76.15,3823000,66.46,0.28000000000000114
2011-02-16,76.28,76.34,75.76,76.02,4058200,66.35,-0.2600000000000051
2011-02-17,75.91,76.13,75.7,75.98,4338400,66.31,0.07000000000000739
2011-02-18,76.08,76.32,75.37,76.13,5446900,66.44,0.04999999999999716
2011-02-22,75.95,76.44,75.52,75.7,7034000,66.07,-0.25
2011-02-23,75.97,76.45,74.59,75.19,7034000,65.62,-0.7800000000000011
2011-02-24,74.98,75.33,74.55,75.21,7297100,65.64,0.22999999999998977
