Date,open,high,low,close,volume,adj_close,diff
2011-01-03,15.65,16.3,15.65,15.92,152000,15.92,0.2699999999999996
2011-01-04,16.0,16.0,15.2,15.43,157100,15.43,-0.5700000000000003
2011-01-05,15.45,15.74,15.35,15.69,135800,15.69,0.2400000000000002
2011-01-06,15.7,15.96,15.64,15.93,125300,15.93,0.23000000000000043
2011-01-07,16.02,16.51,15.7,16.48,105600,16.48,0.46000000000000085
2011-01-10,16.42,16.7,16.21,16.67,185100,16.67,0.25
2011-01-11,16.82,17.22,16.4,16.46,133600,16.46,-0.35999999999999943
2011-01-12,16.65,16.79,16.24,16.27,93600,16.27,-0.379999999999999
2011-01-13,16.22,16.76,15.91,16.74,76900,16.74,0.5199999999999996
2011-01-14,16.73,17.5,16.7,17.18,148000,17.18,0.4499999999999993
2011-01-18,17.12,17.17,15.87,16.03,188600,16.03,-1.0899999999999999
2011-01-19,15.92,15.95,15.07,15.14,193600,15.14,-0.7799999999999994
2011-01-20,15.01,15.45,14.77,14.94,177700,14.94,-0.07000000000000028
2011-01-21,15.04,15.13,14.72,15.0,142700,15.0,-0.03999999999999915
2011-01-24,14.8,15.56,14.8,15.45,114300,15.45,0.6499999999999986
2011-01-25,15.28,15.5,14.6,14.89,115700,14.89,-0.3899999999999988
2011-01-26,14.92,15.68,14.7,15.6,127900,15.6,0.6799999999999997
2011-01-27,15.57,15.71,14.86,15.22,77600,15.22,-0.34999999999999964
2011-01-28,15.16,15.31,14.53,14.71,156000,14.71,-0.4499999999999993
2011-01-31,14.66,15.02,14.35,14.66,85100,14.66,0.0
2011-02-01,14.79,15.42,14.75,15.36,98700,15.36,0.5700000000000003
2011-02-02,15.34,15.49,14.88,15.14,67300,15.14,-0.1999999999999993
2011-02-03,15.03,15.09,13.98,14.02,106400,14.02,-1.0099999999999998
2011-02-04,14.05,14.05,13.35,13.47,105400,13.47,-0.5800000000000001
2011-02-07,13.47,14.08,13.39,13.96,63300,13.96,0.4900000000000002
2011-02-08,13.88,14.46,13.68,14.18,93600,14.18,0.29999999999999893
2011-02-09,14.07,14.67,13.68,13.8,113400,13.8,-0.2699999999999996
2011-02-10,13.69,13.88,13.31,13.57,74100,13.57,-0.11999999999999922
2011-02-11,13.46,14.37,13.43,14.12,225700,14.12,0.6599999999999984
2011-02-14,14.1,14.11,13.65,13.71,48100,13.71,-0.3899999999999988
2011-02-15,13.67,13.86,13.27,13.32,93400,13.32,-0.34999999999999964
