Date,open,high,low,close,volume,adj_close,diff
2011-01-03,62.45,62.89,62.13,62.3,1825300,58.38,-0.15000000000000568
2011-01-04,62.62,62.62,60.94,61.2,1302700,57.35,-1.4199999999999946
2011-01-05,60.89,61.8,60.86,61.77,1599900,57.88,0.8800000000000026
2011-01-06,61.86,62.29,61.24,61.4,801300,57.54,-0.46000000000000085
2011-01-07,61.34,61.71,60.88,61.04,916100,57.2,-0.30000000000000426
2011-01-10,60.72,61.46,60.32,61.06,1097900,57.22,0.3400000000000034
2011-01-11,61.27,61.97,61.22,61.85,1511900,57.96,0.5799999999999983
2011-01-12,62.2,62.47,61.79,62.28,1494800,58.36,0.0799999999999983
2011-01-13,62.29,63.18,62.1,62.93,1100500,58.97,0.6400000000000006
2011-01-14,62.74,63.04,62.36,62.86,893700,58.9,0.11999999999999744
2011-01-18,63.03,63.3,62.77,63.0,1035500,59.03,-0.030000000000001137
2011-01-19,63.03,63.17,62.09,62.4,1148000,58.47,-0.6300000000000026
2011-01-20,61.83,62.34,61.13,61.41,1684300,57.54,-0.4200000000000017
2011-01-21,61.99,62.04,61.5,61.68,1072300,57.8,-0.3100000000000023
2011-01-24,61.68,62.17,60.89,61.6,1026300,57.72,-0.0799999999999983
2011-01-25,61.49,61.54,60.39,60.71,1416200,56.89,-0.7800000000000011
2011-01-26,60.99,60.99,59.53,60.02,1552800,56.24,-0.9699999999999989
2011-01-27,58.8,60.16,58.0,59.61,2987100,55.86,0.8100000000000023
2011-01-28,59.68,60.1,58.1,58.31,1441900,54.64,-1.3699999999999974
2011-01-31,58.14,58.57,57.65,57.97,2815600,54.32,-0.1700000000000017
2011-02-01,58.27,59.09,57.83,57.9,1965700,54.26,-0.37000000000000455
2011-02-02,57.74,58.06,57.37,57.54,3424600,53.92,-0.20000000000000284
2011-02-03,57.43,59.0,57.43,58.79,2924700,55.09,1.3599999999999994
2011-02-04,58.72,58.89,58.19,58.74,1216600,55.04,0.020000000000003126
2011-02-07,58.89,59.59,58.56,59.2,1621900,55.47,0.3100000000000023
2011-02-08,59.32,60.09,59.02,60.07,1789400,56.29,0.75
2011-02-09,59.81,60.3,59.74,60.13,1759500,56.35,0.3200000000000003
2011-02-10,59.91,60.13,59.55,59.79,1031200,56.03,-0.11999999999999744
2011-02-11,59.8,60.6,59.55,60.3,1369000,56.5,0.5
2011-02-14,60.22,60.7,60.03,60.33,695200,56.53,0.10999999999999943
2011-02-15,60.06,60.34,59.51,59.67,1132900,55.91,-0.39000000000000057
2011-02-16,59.95,60.63,59.85,60.26,723600,56.47,0.30999999999999517
2011-02-17,60.05,61.46,60.04,61.21,1334100,57.36,1.1600000000000037
2011-02-18,61.09,61.34,60.52,61.31,1193700,57.45,0.21999999999999886
2011-02-22,60.69,61.13,59.78,59.93,1340200,56.16,-0.759999999999998
2011-02-23,59.71,60.1,58.14,58.66,1823200,54.97,-1.0500000000000043
2011-02-24,58.52,59.4,58.29,59.21,956000,55.48,0.6899999999999977
2011-02-25,59.3,60.74,59.3,60.7,1003800,56.88,1.4000000000000057
2011-02-28,60.7,61.0,59.48,59.85,1507500,56.08,-0.8500000000000014
2011-03-01,60.09,60.44,58.47,58.57,1409100,54.88,-1.5200000000000031
2011-03-02,58.47,59.07,58.02,58.86,1266500,55.16,0.39000000000000057
2011-03-03,59.34,60.03,59.0,59.93,895900,56.16,0.5899999999999963
2011-03-04,59.84,59.92,58.62,59.28,873100,55.55,-0.5600000000000023
2011-03-07,59.62,60.32,58.81,59.2,769900,55.47,-0.4199999999999946
2011-03-08,59.52,59.62,58.9,59.11,1159200,55.39,-0.4100000000000037
2011-03-09,58.9,59.28,58.55,59.17,818600,55.45,0.2700000000000031
2011-03-10,58.56,59.14,57.84,57.85,1539700,54.21,-0.7100000000000009
2011-03-11,57.78,58.0,57.19,57.7,1542200,54.07,-0.0799999999999983
2011-03-14,57.58,57.82,57.08,57.35,1295200,53.74,-0.22999999999999687
2011-03-15,55.81,56.7,55.12,56.34,2076500,52.79,0.5300000000000011
2011-03-16,56.05,56.65,55.5,55.81,1294600,52.54,-0.23999999999999488
2011-03-17,56.46,56.49,55.29,55.36,1528500,52.12,-1.1000000000000014
2011-03-18,56.2,56.2,55.36,55.9,2010200,52.62,-0.30000000000000426
2011-03-21,56.5,57.34,56.49,57.08,1000800,53.74,0.5799999999999983
2011-03-22,57.14,57.4,56.74,56.77,2212500,53.44,-0.36999999999999744
2011-03-23,56.58,57.07,56.01,57.03,1523100,53.69,0.45000000000000284
2011-03-24,57.43,58.12,57.11,57.59,1550800,54.22,0.1600000000000037
2011-03-25,57.95,58.81,57.61,58.79,1496200,55.35,0.8399999999999963
2011-03-28,58.84,59.07,58.36,58.36,1081200,54.94,-0.480000000000004
2011-03-29,58.23,58.34,57.83,58.14,1346000,54.73,-0.0899999999999963
2011-03-30,58.28,58.63,58.19,58.4,1677700,54.98,0.11999999999999744
2011-03-31,58.24,58.44,57.81,57.93,1361500,54.54,-0.3100000000000023
2011-04-01,58.33,58.55,57.87,58.33,1920900,54.91,0.0
2011-04-04,58.52,58.52,58.18,58.26,609800,54.85,-0.2600000000000051
2011-04-05,58.18,58.71,57.88,58.47,1311300,55.04,0.28999999999999915
2011-04-06,58.74,59.21,58.51,59.02,1590600,55.56,0.28000000000000114
2011-04-07,59.0,59.29,58.72,58.85,959600,55.4,-0.14999999999999858
2011-04-08,59.0,59.54,58.95,59.0,1312500,55.54,0.0
2011-04-11,59.06,59.41,57.87,59.35,1856000,55.87,0.28999999999999915
2011-04-12,58.99,59.75,58.81,59.39,1282300,55.91,0.3999999999999986
2011-04-13,59.58,59.94,59.49,59.61,1165400,56.12,0.030000000000001137
2011-04-14,59.5,60.29,59.45,60.25,927200,56.72,0.75
2011-04-15,60.57,61.0,60.33,60.92,1155500,57.35,0.3500000000000014
2011-04-18,60.39,60.53,59.95,60.27,1008000,56.74,-0.11999999999999744
2011-04-19,61.45,61.86,60.88,61.49,2303200,57.89,0.03999999999999915
2011-04-20,62.04,62.13,61.2,61.36,2048100,57.76,-0.6799999999999997
2011-04-21,60.96,62.0,60.65,60.82,1494700,57.26,-0.14000000000000057
2011-04-25,60.55,61.44,60.33,61.28,904300,57.69,0.730000000000004
2011-04-26,61.41,62.11,61.18,61.63,1200000,58.02,0.22000000000000597
2011-04-27,61.66,62.04,61.43,61.99,992500,58.36,0.3300000000000054
2011-04-28,63.47,65.74,63.47,65.15,3333900,61.33,1.6800000000000068
2011-04-29,65.37,67.44,65.33,66.88,3611000,62.96,1.509999999999991
2011-05-02,67.04,67.08,65.52,65.68,1752500,61.83,-1.3599999999999994
2011-05-03,65.29,66.18,64.76,66.1,1498200,62.23,0.8099999999999881
2011-05-04,66.06,66.81,65.66,66.08,1195600,62.21,0.01999999999999602
2011-05-05,65.78,66.98,65.59,66.02,1507600,62.15,0.23999999999999488
2011-05-06,66.73,67.28,66.05,66.4,978600,62.51,-0.3299999999999983
2011-05-09,65.98,66.03,65.08,65.73,1365700,61.88,-0.25
2011-05-10,66.12,66.6,66.05,66.46,854000,62.57,0.3399999999999892
2011-05-11,66.36,66.93,65.91,66.36,1017500,62.47,0.0
2011-05-12,66.33,68.2,66.26,67.72,1900000,63.75,1.3900000000000006
2011-05-13,67.72,68.51,67.55,68.3,1431400,64.3,0.5799999999999983
2011-05-16,67.98,68.49,67.08,67.16,1334300,63.22,-0.8200000000000074
2011-05-17,67.07,67.43,66.58,67.27,878900,63.33,0.20000000000000284
2011-05-18,67.21,67.62,66.05,67.47,1083700,63.52,0.2600000000000051
2011-05-19,67.85,68.01,67.35,67.85,821200,63.87,0.0
2011-05-20,67.87,67.87,67.06,67.3,1069700,63.36,-0.5700000000000074
2011-05-23,66.64,66.93,66.07,66.3,1231900,62.42,-0.3400000000000034
2011-05-24,66.45,66.47,65.98,66.23,1145800,62.35,-0.21999999999999886
2011-05-25,65.95,66.47,65.68,66.35,1397000,62.46,0.3999999999999915
2011-05-26,66.16,67.61,66.0,67.56,1218700,63.6,1.4000000000000057
2011-05-27,67.94,68.81,67.82,68.37,1229700,64.36,0.4300000000000068
2011-05-31,68.68,68.85,67.22,67.79,2752800,63.82,-0.8900000000000006
2011-06-01,67.47,67.76,66.95,66.96,1753700,63.04,-0.5100000000000051
2011-06-02,66.89,67.51,66.23,67.24,1553800,63.3,0.3499999999999943
2011-06-03,66.43,66.9,66.18,66.5,1150400,62.6,0.06999999999999318
2011-06-06,66.29,66.42,65.58,65.58,912300,61.74,-0.710000000000008
2011-06-07,65.44,66.39,65.42,65.5,978000,61.66,0.060000000000002274
2011-06-08,65.5,65.79,64.9,65.47,1032900,61.63,-0.030000000000001137
2011-06-09,65.32,65.5,64.92,64.99,1417500,61.18,-0.3299999999999983
2011-06-10,64.75,65.22,63.84,63.89,1838700,60.15,-0.8599999999999994
2011-06-13,64.38,65.54,64.29,65.1,1103700,61.29,0.7199999999999989
2011-06-14,65.5,65.96,65.28,65.54,1167300,61.7,0.04000000000000625
2011-06-15,65.05,65.44,64.45,64.82,855000,61.26,-0.23000000000000398
2011-06-16,64.68,65.24,64.35,64.78,1138900,61.23,0.09999999999999432
2011-06-17,65.07,65.27,64.75,64.96,1557000,61.4,-0.10999999999999943
2011-06-20,64.97,65.64,64.53,65.27,840600,61.69,0.29999999999999716
2011-06-21,65.28,65.58,64.86,65.42,1077200,61.83,0.14000000000000057
2011-06-22,65.06,65.57,64.62,65.08,861000,61.51,0.01999999999999602
2011-06-23,64.44,65.27,63.78,65.22,1221200,61.64,0.7800000000000011
2011-06-24,65.22,65.59,65.03,65.37,1085500,61.78,0.15000000000000568
2011-06-27,65.6,66.22,65.28,65.86,818000,62.25,0.2600000000000051
2011-06-28,65.95,66.39,65.82,66.36,863700,62.72,0.4099999999999966
2011-06-29,66.6,67.36,66.23,67.0,941400,63.33,0.4000000000000057
2011-06-30,67.24,67.67,67.16,67.55,1412900,63.85,0.3100000000000023
2011-07-01,67.34,69.1,67.32,69.04,1034600,65.25,1.7000000000000028
2011-07-05,68.8,69.99,68.55,69.93,1723600,66.09,1.1300000000000097
2011-07-06,69.59,69.63,68.7,69.03,1349400,65.24,-0.5600000000000023
2011-07-07,69.34,69.71,68.86,69.0,1229200,65.22,-0.3400000000000034
2011-07-08,68.62,69.18,68.23,69.15,1195100,65.36,0.5300000000000011
2011-07-11,68.4,68.86,68.3,68.41,1058400,64.66,0.009999999999990905
2011-07-12,68.4,69.18,68.18,68.78,1199800,65.01,0.37999999999999545
2011-07-13,68.89,69.37,68.61,68.96,1060800,65.18,0.06999999999999318
2011-07-14,68.85,69.19,68.67,68.79,1060500,65.02,-0.05999999999998806
2011-07-15,68.88,69.28,68.49,69.27,931300,65.47,0.39000000000000057
2011-07-18,68.96,68.96,68.12,68.55,1067900,64.79,-0.4099999999999966
2011-07-19,68.87,69.84,68.8,69.84,731300,66.01,0.9699999999999989
2011-07-20,69.73,69.99,68.85,68.95,759300,65.17,-0.7800000000000011
2011-07-21,69.13,70.09,69.06,69.77,1111500,65.94,0.6400000000000006
2011-07-22,69.94,69.99,68.97,69.08,1053600,65.29,-0.8599999999999994
2011-07-25,68.44,69.21,67.74,68.96,1364300,65.18,0.519999999999996
2011-07-26,68.83,69.15,68.52,68.84,657500,65.06,0.010000000000005116
2011-07-27,68.7,68.7,66.79,67.48,2541100,63.78,-1.2199999999999989
2011-07-28,69.52,72.86,69.52,71.76,3651800,67.82,2.240000000000009
2011-07-29,71.0,72.08,70.89,71.37,1688800,67.46,0.37000000000000455
2011-08-01,71.71,72.0,69.9,71.19,1616800,67.29,-0.519999999999996
2011-08-02,70.57,71.25,70.03,70.05,1751500,66.21,-0.519999999999996
2011-08-03,70.21,70.64,69.0,70.46,1685400,66.6,0.25
2011-08-04,69.91,70.28,68.43,68.53,2149800,64.77,-1.3799999999999955
2011-08-05,68.9,69.17,66.46,68.92,2808500,65.14,0.01999999999999602
2011-08-08,67.65,68.0,65.04,65.21,3250200,61.63,-2.440000000000012
2011-08-09,67.3,68.51,64.78,68.26,3371600,64.52,0.960000000000008
2011-08-10,67.43,67.99,65.76,66.04,3039500,62.42,-1.3900000000000006
2011-08-11,66.92,67.48,65.65,66.77,2518100,63.11,-0.15000000000000568
2011-08-12,67.03,69.38,66.62,69.18,2063000,65.39,2.1500000000000057
2011-08-15,69.58,69.99,68.57,69.07,1426300,65.28,-0.5100000000000051
2011-08-16,68.45,71.14,68.41,70.57,2533100,66.7,2.1199999999999903
2011-08-17,71.11,71.35,70.59,71.03,2034200,67.13,-0.0799999999999983
2011-08-18,69.79,70.38,68.44,69.96,2279000,66.12,0.1699999999999875
2011-08-19,69.11,69.91,66.44,66.73,3194000,63.07,-2.3799999999999955
2011-08-22,67.6,67.71,65.9,66.26,2132900,62.63,-1.3399999999999892
2011-08-23,66.91,68.46,65.55,68.46,1938000,64.71,1.5499999999999972
2011-08-24,68.21,68.68,67.38,67.99,1649700,64.26,-0.21999999999999886
2011-08-25,68.05,68.18,65.86,67.32,1746000,63.63,-0.730000000000004
2011-08-26,66.96,68.52,65.73,68.13,991700,64.39,1.1700000000000017
2011-08-29,68.36,69.95,68.24,69.81,1115200,65.98,1.4500000000000028
2011-08-30,69.87,71.05,69.3,70.63,1175100,66.76,0.7599999999999909
2011-08-31,70.8,71.44,70.61,71.25,1526900,67.34,0.45000000000000284
2011-09-01,71.09,72.37,70.69,70.83,845100,66.95,-0.2600000000000051
2011-09-02,70.02,70.78,69.8,70.21,1000900,66.36,0.18999999999999773
2011-09-06,68.59,70.41,68.13,70.2,1218300,66.35,1.6099999999999994
2011-09-07,70.73,72.22,70.48,72.21,1226900,68.25,1.4799999999999898
2011-09-08,71.73,72.78,71.13,71.84,1260300,67.9,0.10999999999999943
2011-09-09,71.2,71.63,69.39,70.14,1202600,66.29,-1.0600000000000023
2011-09-12,69.34,71.46,68.85,71.35,1383800,67.44,2.009999999999991
2011-09-13,71.78,72.62,71.18,72.52,1350900,68.54,0.7399999999999949
2011-09-14,73.22,76.31,73.0,75.25,2832100,71.12,2.030000000000001
2011-09-15,75.87,76.26,74.24,75.27,1963300,71.14,-0.6000000000000085
2011-09-16,75.69,76.91,75.54,76.09,1538700,71.92,0.4000000000000057
2011-09-19,75.13,76.13,74.89,75.8,861100,71.64,0.6700000000000017
2011-09-20,75.86,76.13,75.18,75.43,1697600,71.29,-0.4299999999999926
2011-09-21,75.35,75.81,74.12,74.23,369400,70.4,-1.1199999999999903
2011-09-22,72.06,73.58,70.42,72.99,2044000,69.23,0.9299999999999926
2011-09-23,72.85,74.61,71.88,74.45,1382700,70.61,1.6000000000000085
2011-09-26,75.0,75.43,73.06,75.23,973000,71.35,0.23000000000000398
2011-09-27,75.96,75.96,74.38,74.64,1395000,70.79,-1.3199999999999932
2011-09-28,72.9,73.51,71.93,72.07,1692100,68.35,-0.8300000000000125
2011-09-29,72.81,73.26,70.75,71.21,1723400,67.54,-1.6000000000000085
2011-09-30,69.48,70.81,68.79,68.83,2465100,65.28,-0.6500000000000057
2011-10-03,68.74,70.01,67.84,68.11,1898700,64.6,-0.6299999999999955
2011-10-04,67.65,68.11,66.35,68.09,2200000,64.58,0.4399999999999977
2011-10-05,68.18,69.55,68.01,69.36,1711200,65.78,1.1799999999999926
2011-10-06,69.16,70.66,68.82,69.99,1380200,66.38,0.8299999999999983
2011-10-07,70.21,71.76,69.82,71.17,1281600,67.5,0.960000000000008
2011-10-10,71.85,71.85,70.96,71.34,1233500,67.66,-0.5099999999999909
2011-10-11,71.0,73.3,70.73,72.59,1338000,68.85,1.5900000000000034
2011-10-12,72.92,73.38,71.85,71.86,1241300,68.15,-1.0600000000000023
2011-10-13,73.45,74.57,72.97,73.73,1963000,69.93,0.28000000000000114
2011-10-14,74.79,75.15,73.42,74.07,1061600,70.25,-0.7200000000000131
2011-10-17,73.93,75.2,73.08,73.36,867000,69.58,-0.5700000000000074
2011-10-18,73.21,74.28,72.64,73.41,1063800,69.62,0.20000000000000284
2011-10-19,73.35,73.53,71.32,71.5,1101000,67.81,-1.8499999999999943
2011-10-20,71.44,72.53,71.25,72.17,794200,68.45,0.730000000000004
2011-10-21,72.97,73.38,72.32,72.8,996100,69.05,-0.1700000000000017
2011-10-24,73.07,73.07,71.93,72.53,1102500,68.79,-0.539999999999992
2011-10-25,72.25,72.43,71.36,71.8,838800,68.1,-0.45000000000000284
2011-10-26,72.27,72.89,71.28,71.82,1144300,68.12,-0.45000000000000284
2011-10-27,72.73,73.08,69.25,72.76,2000300,69.01,0.030000000000001137
2011-10-28,72.96,73.69,71.76,73.4,1676400,69.61,0.44000000000001194
2011-10-31,72.35,72.98,71.75,71.85,994800,68.14,-0.5
2011-11-01,70.17,71.27,69.92,70.21,1415100,66.59,0.03999999999999204
2011-11-02,70.9,71.41,70.25,70.64,1154400,67.0,-0.2600000000000051
2011-11-03,70.98,71.51,70.47,71.39,1302400,67.71,0.4099999999999966
2011-11-04,70.83,71.53,70.41,71.26,837400,67.58,0.4300000000000068
2011-11-07,71.21,71.76,70.71,71.63,666600,67.94,0.4200000000000017
2011-11-08,71.73,72.54,71.39,72.34,1044900,68.61,0.6099999999999994
2011-11-09,71.25,71.29,69.03,69.23,2307200,65.66,-2.019999999999996
2011-11-10,69.72,70.28,68.96,70.15,1142900,66.53,0.4300000000000068
2011-11-11,70.57,72.09,70.27,71.9,1345700,68.19,1.3300000000000125
2011-11-14,71.65,71.85,70.85,71.75,848100,68.05,0.09999999999999432
2011-11-15,71.3,72.4,71.09,72.14,655400,68.42,0.8400000000000034
