Date,open,high,low,close,volume,adj_close,diff
2011-01-03,1.79,1.8,1.73,1.78,14900,13.9,-0.010000000000000009
2011-01-04,1.8,1.8,1.73,1.78,16400,13.9,-0.020000000000000018
2011-01-05,1.78,1.79,1.73,1.74,6100,13.59,-0.040000000000000036
2011-01-06,1.74,1.77,1.72,1.77,10300,13.82,0.030000000000000027
2011-01-07,1.77,1.77,1.73,1.77,13300,13.82,0.0
2011-01-10,1.75,1.79,1.73,1.75,15800,13.67,0.0
2011-01-11,1.78,1.8,1.73,1.8,21300,14.06,0.020000000000000018
2011-01-12,1.82,1.87,1.79,1.84,46100,14.37,0.020000000000000018
2011-01-13,1.86,1.9,1.78,1.88,18700,14.68,0.019999999999999796
2011-01-14,1.86,1.88,1.85,1.86,14700,14.52,0.0
2011-01-18,1.85,1.88,1.83,1.88,34600,14.68,0.029999999999999805
2011-01-19,1.86,1.87,1.75,1.76,26100,13.74,-0.10000000000000009
2011-01-20,1.77,1.84,1.73,1.84,37900,14.37,0.07000000000000006
2011-01-21,1.77,1.83,1.75,1.76,7200,13.74,-0.010000000000000009
2011-01-24,1.76,1.81,1.57,1.67,59300,13.04,-0.09000000000000008
2011-01-25,1.7,1.71,1.62,1.69,9800,13.2,-0.010000000000000009
2011-01-26,1.69,1.78,1.69,1.73,10100,13.51,0.040000000000000036
2011-01-27,1.75,1.78,1.72,1.75,8500,13.67,0.0
2011-01-28,1.75,1.76,1.72,1.73,14100,13.51,-0.020000000000000018
2011-01-31,1.74,1.76,1.69,1.74,4200,13.59,0.0
2011-02-01,1.74,1.75,1.67,1.73,6900,13.51,-0.010000000000000009
2011-02-02,1.73,1.74,1.7,1.74,4800,13.59,0.010000000000000009
2011-02-03,1.72,1.75,1.72,1.74,8400,13.59,0.020000000000000018
2011-02-04,1.75,1.84,1.75,1.83,29400,14.29,0.08000000000000007
2011-02-07,1.83,1.86,1.81,1.85,22000,14.45,0.020000000000000018
2011-02-08,1.85,1.86,1.83,1.85,4900,14.45,0.0
2011-02-09,1.85,1.85,1.74,1.77,30900,13.82,-0.08000000000000007
2011-02-10,1.75,1.8,1.75,1.8,7000,14.06,0.050000000000000044
2011-02-11,1.79,1.85,1.75,1.83,16900,14.29,0.040000000000000036
2011-02-14,1.78,1.86,1.78,1.81,37900,14.13,0.030000000000000027
2011-02-15,1.81,1.82,1.78,1.82,8800,14.21,0.010000000000000009
2011-02-16,1.79,1.81,1.79,1.8,10700,14.06,0.010000000000000009
2011-02-17,1.81,1.85,1.79,1.81,11400,14.13,0.0
2011-02-18,1.8,1.83,1.74,1.76,40600,13.74,-0.040000000000000036
2011-02-22,1.75,1.78,1.67,1.71,28600,13.35,-0.040000000000000036
2011-02-23,1.71,1.72,1.66,1.7,18800,13.27,-0.010000000000000009
2011-02-24,1.7,1.7,1.66,1.7,27700,13.27,0.0
2011-02-25,1.7,1.74,1.69,1.72,11600,13.43,0.020000000000000018
2011-02-28,1.7,1.75,1.68,1.75,14500,13.67,0.050000000000000044
