Date,open,high,low,close,volume,adj_close,diff
2011-01-03,9.3,9.61,9.26,9.56,212400,9.56,0.2599999999999998
2011-01-04,9.6,9.6,9.11,9.15,232200,9.15,-0.4499999999999993
2011-01-05,9.11,9.34,9.08,9.29,162600,9.29,0.17999999999999972
2011-01-06,9.32,9.41,9.25,9.3,148000,9.3,-0.019999999999999574
2011-01-07,9.33,9.33,9.03,9.07,290300,9.07,-0.2599999999999998
2011-01-10,9.02,9.23,8.96,9.1,276300,9.1,0.08000000000000007
2011-01-11,9.14,9.23,8.91,9.05,413100,9.05,-0.08999999999999986
2011-01-12,9.14,9.31,9.03,9.27,134100,9.27,0.129999999999999
2011-01-13,9.3,9.31,9.15,9.2,124500,9.2,-0.10000000000000142
2011-01-14,9.21,9.41,9.16,9.41,149500,9.41,0.1999999999999993
2011-01-18,9.43,9.58,9.32,9.56,922800,9.56,0.13000000000000078
2011-01-19,9.53,9.57,9.35,9.46,256000,9.46,-0.06999999999999851
2011-01-20,9.39,9.57,9.35,9.52,229400,9.52,0.129999999999999
2011-01-21,9.56,9.58,9.38,9.51,240600,9.51,-0.05000000000000071
2011-01-24,9.51,9.93,9.51,9.9,634000,9.9,0.39000000000000057
2011-01-25,9.84,10.04,9.84,10.03,513300,10.03,0.1899999999999995
2011-01-26,10.05,10.33,9.92,10.29,316000,10.29,0.23999999999999844
2011-01-27,10.25,10.38,10.23,10.33,243700,10.33,0.08000000000000007
2011-01-28,10.31,10.38,10.18,10.19,383100,10.19,-0.120000000000001
2011-01-31,10.17,10.35,10.02,10.19,254400,10.19,0.019999999999999574
2011-02-01,10.26,10.49,10.22,10.43,383000,10.43,0.16999999999999993
2011-02-02,9.59,9.76,9.16,9.61,2055800,9.61,0.019999999999999574
2011-02-03,9.58,9.64,9.17,9.41,840200,9.41,-0.16999999999999993
2011-02-04,9.41,9.6,9.32,9.54,326700,9.54,0.129999999999999
2011-02-07,9.57,9.9,9.54,9.8,305100,9.8,0.23000000000000043
2011-02-08,9.78,9.8,9.63,9.78,289500,9.78,0.0
2011-02-09,9.75,9.83,9.63,9.71,294700,9.71,-0.03999999999999915
2011-02-10,9.62,9.79,9.62,9.73,300600,9.73,0.11000000000000121
2011-02-11,9.73,9.92,9.65,9.92,516300,9.92,0.1899999999999995
2011-02-14,9.92,9.97,9.75,9.77,139100,9.77,-0.15000000000000036
2011-02-15,9.75,9.91,9.75,9.9,147700,9.9,0.15000000000000036
2011-02-16,9.95,9.99,9.92,9.97,146100,9.97,0.02000000000000135
2011-02-17,9.95,10.02,9.9,10.02,130400,10.02,0.07000000000000028
2011-02-18,10.05,10.26,9.99,10.26,252900,10.26,0.20999999999999908
2011-02-22,10.13,10.25,9.94,9.98,254100,9.98,-0.15000000000000036
2011-02-23,9.99,9.99,9.64,9.66,245600,9.66,-0.33000000000000007
2011-02-24,9.63,9.63,9.07,9.35,911800,9.35,-0.28000000000000114
2011-02-25,9.34,9.9,9.27,9.58,6810100,9.58,0.2400000000000002
2011-02-28,9.72,9.72,9.16,9.39,717800,9.39,-0.33000000000000007
2011-03-01,9.38,9.41,9.22,9.23,348000,9.23,-0.15000000000000036
2011-03-02,9.21,9.35,9.14,9.3,245800,9.3,0.08999999999999986
2011-03-03,9.37,9.74,9.31,9.74,347700,9.74,0.370000000000001
2011-03-04,9.76,9.8,9.33,9.5,251800,9.5,-0.2599999999999998
2011-03-07,9.53,9.53,9.17,9.27,284000,9.27,-0.2599999999999998
2011-03-08,9.26,9.55,9.22,9.54,150600,9.54,0.27999999999999936
2011-03-09,9.53,9.79,9.53,9.77,217900,9.77,0.2400000000000002
2011-03-10,9.63,9.63,9.32,9.33,241900,9.33,-0.3000000000000007
2011-03-11,9.28,9.36,9.21,9.31,165600,9.31,0.030000000000001137
2011-03-14,9.21,9.4,9.19,9.33,137900,9.33,0.11999999999999922
2011-03-15,9.09,9.28,9.01,9.25,262800,9.25,0.16000000000000014
2011-03-16,9.19,9.27,9.09,9.19,324800,9.19,0.0
2011-03-17,9.35,9.37,9.19,9.2,128400,9.2,-0.15000000000000036
2011-03-18,9.3,9.35,9.12,9.16,688600,9.16,-0.14000000000000057
2011-03-21,9.31,9.49,9.22,9.48,186000,9.48,0.16999999999999993
2011-03-22,9.52,9.6,9.31,9.36,119600,9.36,-0.16000000000000014
2011-03-23,9.32,9.34,9.17,9.31,162800,9.31,-0.009999999999999787
2011-03-24,9.36,9.36,9.21,9.25,151100,9.25,-0.10999999999999943
2011-03-25,9.31,9.56,9.26,9.48,107300,9.48,0.16999999999999993
2011-03-28,9.5,9.5,9.4,9.44,108200,9.44,-0.0600000000000005
2011-03-29,9.43,9.7,9.38,9.69,152400,9.69,0.2599999999999998
2011-03-30,9.76,9.87,9.74,9.85,174100,9.85,0.08999999999999986
2011-03-31,9.86,9.99,9.79,9.99,150200,9.99,0.13000000000000078
2011-04-01,10.05,10.06,9.89,9.89,132500,9.89,-0.16000000000000014
2011-04-04,9.9,9.98,9.81,9.91,176300,9.91,0.009999999999999787
2011-04-05,9.87,10.07,9.85,10.06,428300,10.06,0.19000000000000128
2011-04-06,10.14,10.14,10.03,10.03,144300,10.03,-0.11000000000000121
2011-04-07,10.05,10.12,9.89,9.91,274000,9.91,-0.14000000000000057
2011-04-08,10.0,10.0,9.82,9.85,120700,9.85,-0.15000000000000036
2011-04-11,9.89,9.96,9.75,9.79,90600,9.79,-0.10000000000000142
2011-04-12,9.71,9.89,9.66,9.84,209000,9.84,0.129999999999999
2011-04-13,9.82,9.91,9.56,9.63,132100,9.63,-0.1899999999999995
2011-04-14,9.49,9.76,9.49,9.76,96800,9.76,0.2699999999999996
2011-04-15,9.73,9.84,9.55,9.83,202300,9.83,0.09999999999999964
2011-04-18,9.67,9.78,9.51,9.58,109500,9.58,-0.08999999999999986
2011-04-19,9.64,9.72,9.43,9.45,80500,9.45,-0.19000000000000128
2011-04-20,9.61,9.73,9.56,9.73,106500,9.73,0.120000000000001
2011-04-21,9.78,9.87,9.74,9.78,78200,9.78,0.0
2011-04-25,9.74,10.08,9.71,9.83,101500,9.83,0.08999999999999986
2011-04-26,9.88,10.06,9.87,9.96,157200,9.96,0.08000000000000007
2011-04-27,10.23,11.58,10.23,11.04,682100,11.04,0.8099999999999987
2011-04-28,11.26,11.9,11.25,11.84,591500,11.84,0.5800000000000001
2011-04-29,11.76,12.08,11.59,11.65,294000,11.65,-0.10999999999999943
2011-05-02,11.68,11.7,11.29,11.3,273000,11.3,-0.379999999999999
2011-05-03,11.3,11.3,10.86,10.91,320800,10.91,-0.39000000000000057
2011-05-04,10.9,10.9,10.25,10.38,924100,10.38,-0.5199999999999996
2011-05-05,10.3,10.55,10.12,10.29,344200,10.29,-0.010000000000001563
2011-05-06,10.47,10.58,10.22,10.33,204600,10.33,-0.14000000000000057
2011-05-09,10.28,10.48,10.2,10.47,159000,10.47,0.19000000000000128
2011-05-10,10.56,10.76,10.5,10.76,84500,10.76,0.1999999999999993
2011-05-11,10.68,10.68,10.35,10.44,173800,10.44,-0.2400000000000002
2011-05-12,10.4,10.73,10.32,10.7,117000,10.7,0.29999999999999893
2011-05-13,10.73,10.74,10.35,10.4,94300,10.4,-0.33000000000000007
2011-05-16,10.3,10.3,10.0,10.0,218700,10.0,-0.3000000000000007
2011-05-17,9.92,9.99,9.8,9.96,191900,9.96,0.040000000000000924
2011-05-18,10.01,10.02,9.86,10.01,143400,10.01,0.0
2011-05-19,10.12,10.4,10.1,10.35,1098400,10.35,0.23000000000000043
2011-05-20,10.3,10.3,10.09,10.16,300700,10.16,-0.14000000000000057
2011-05-23,9.94,10.01,9.83,9.95,211900,9.95,0.009999999999999787
2011-05-24,9.97,10.02,9.8,9.8,191500,9.8,-0.16999999999999993
2011-05-25,9.78,9.96,9.71,9.92,108800,9.92,0.14000000000000057
2011-05-26,9.86,10.04,9.7,10.01,203500,10.01,0.15000000000000036
2011-05-27,10.06,10.08,10.0,10.05,131200,10.05,-0.009999999999999787
2011-05-31,10.1,10.15,10.03,10.1,491300,10.1,0.0
2011-06-01,10.05,10.08,9.67,9.67,244700,9.67,-0.3800000000000008
2011-06-02,9.74,9.74,9.54,9.71,146500,9.71,-0.02999999999999936
2011-06-03,9.54,9.57,9.4,9.43,149800,9.43,-0.10999999999999943
2011-06-06,9.4,9.44,9.28,9.31,140900,9.31,-0.08999999999999986
2011-06-07,9.34,9.5,9.27,9.27,102800,9.27,-0.07000000000000028
2011-06-08,9.24,9.45,9.24,9.38,191100,9.38,0.14000000000000057
2011-06-09,9.44,9.58,9.33,9.49,122800,9.49,0.05000000000000071
2011-06-10,9.4,9.62,9.35,9.48,242100,9.48,0.08000000000000007
