Date,open,high,low,close,volume,adj_close,diff
2011-01-03,15.46,15.85,15.38,15.53,1370000,15.53,0.06999999999999851
2011-01-04,15.56,15.64,15.32,15.41,1346600,15.41,-0.15000000000000036
2011-01-05,15.68,16.67,15.68,16.56,4707100,16.56,0.879999999999999
2011-01-06,16.75,16.79,16.36,16.62,2650700,16.62,-0.129999999999999
2011-01-07,16.62,16.65,16.41,16.59,1884300,16.59,-0.030000000000001137
2011-01-10,16.55,16.97,16.46,16.96,1624100,16.96,0.41000000000000014
2011-01-11,16.97,17.08,16.76,16.85,2543000,16.85,-0.11999999999999744
2011-01-12,17.0,17.17,16.9,17.14,1303000,17.14,0.14000000000000057
2011-01-13,17.08,17.2,16.95,17.06,1130900,17.06,-0.019999999999999574
2011-01-14,17.0,17.01,16.72,16.83,2654800,16.83,-0.1700000000000017
2011-01-18,16.8,17.09,16.69,17.09,1561700,17.09,0.28999999999999915
2011-01-19,17.09,17.14,16.37,16.54,1884200,16.54,-0.5500000000000007
2011-01-20,16.45,16.51,16.2,16.47,1055400,16.47,0.019999999999999574
2011-01-21,16.65,16.65,16.36,16.42,758000,16.42,-0.22999999999999687
2011-01-24,16.5,16.69,16.41,16.43,1173400,16.43,-0.07000000000000028
2011-01-25,16.39,16.55,16.15,16.53,1894800,16.53,0.14000000000000057
2011-01-26,16.53,16.73,16.44,16.52,1297100,16.52,-0.010000000000001563
2011-01-27,16.62,16.71,16.48,16.68,1305700,16.68,0.05999999999999872
2011-01-28,16.68,16.68,16.13,16.35,1841400,16.35,-0.3299999999999983
2011-01-31,16.37,16.49,16.21,16.4,1320200,16.4,0.029999999999997584
2011-02-01,16.58,17.06,16.58,16.88,1434200,16.88,0.3000000000000007
2011-02-02,16.78,17.27,16.78,17.23,1638600,17.23,0.4499999999999993
2011-02-03,17.18,17.26,16.86,17.09,1276200,17.09,-0.08999999999999986
2011-02-04,17.61,18.46,17.61,18.29,6445100,18.29,0.6799999999999997
2011-02-07,18.41,18.99,18.32,18.87,3562400,18.87,0.46000000000000085
2011-02-08,18.85,19.06,18.64,19.02,1863400,19.02,0.16999999999999815
2011-02-09,18.95,19.12,18.77,18.89,1682800,18.89,-0.05999999999999872
2011-02-10,18.82,18.99,18.78,18.87,1585200,18.87,0.05000000000000071
2011-02-11,18.83,19.04,18.76,18.82,1741100,18.82,-0.00999999999999801
2011-02-14,18.87,19.44,18.86,19.38,1553300,19.38,0.509999999999998
2011-02-15,19.25,19.37,18.94,19.36,1608800,19.36,0.10999999999999943
2011-02-16,20.14,20.62,19.56,19.72,3351700,19.72,-0.4200000000000017
2011-02-17,19.65,19.98,19.61,19.81,1905100,19.81,0.16000000000000014
2011-02-18,19.87,19.87,19.63,19.66,941300,19.66,-0.21000000000000085
2011-02-22,19.44,19.61,19.17,19.32,2065800,19.32,-0.120000000000001
2011-02-23,19.34,19.38,18.6,18.84,1404200,18.84,-0.5
2011-02-24,18.83,19.02,18.71,18.95,1603200,18.95,0.120000000000001
2011-02-25,19.1,19.24,19.03,19.13,1224400,19.13,0.029999999999997584
2011-02-28,19.26,19.28,18.96,19.1,1718600,19.1,-0.16000000000000014
2011-03-01,19.22,19.25,18.86,19.01,1610800,19.01,-0.2099999999999973
2011-03-02,19.05,19.25,18.98,19.06,1517400,19.06,0.00999999999999801
2011-03-03,19.23,19.38,19.17,19.33,2716600,19.33,0.09999999999999787
2011-03-04,19.36,19.36,19.02,19.21,1556300,19.21,-0.14999999999999858
2011-03-07,19.35,19.35,18.68,19.0,1405800,19.0,-0.3500000000000014
2011-03-08,18.95,19.1,18.76,18.93,2020700,18.93,-0.019999999999999574
2011-03-09,18.93,19.0,18.64,18.93,843000,18.93,0.0
2011-03-10,18.65,18.68,18.31,18.36,1043800,18.36,-0.28999999999999915
2011-03-11,18.2,18.71,18.1,18.6,920800,18.6,0.40000000000000213
2011-03-14,18.39,18.73,18.3,18.5,968700,18.5,0.10999999999999943
2011-03-15,17.91,18.54,17.63,18.36,1222000,18.36,0.4499999999999993
2011-03-16,18.28,18.45,17.87,17.99,1459900,17.99,-0.2900000000000027
2011-03-17,18.29,18.5,18.12,18.14,1082900,18.14,-0.14999999999999858
2011-03-18,18.33,18.57,18.21,18.37,1771100,18.37,0.0400000000000027
2011-03-21,18.6,18.88,18.57,18.8,1601300,18.8,0.1999999999999993
2011-03-22,18.96,18.96,18.49,18.55,1017000,18.55,-0.41000000000000014
2011-03-23,18.47,18.77,18.27,18.66,953100,18.66,0.19000000000000128
2011-03-24,18.77,18.93,18.59,18.84,1166200,18.84,0.07000000000000028
2011-03-25,18.83,19.03,18.77,18.93,717300,18.93,0.10000000000000142
2011-03-28,18.93,19.02,18.8,18.82,618200,18.82,-0.10999999999999943
2011-03-29,18.86,18.88,18.62,18.75,1456700,18.75,-0.10999999999999943
2011-03-30,18.85,18.97,18.68,18.9,1092600,18.9,0.04999999999999716
2011-03-31,18.83,18.98,18.71,18.84,1105100,18.84,0.010000000000001563
2011-04-01,18.91,18.97,18.74,18.83,1404100,18.83,-0.08000000000000185
2011-04-04,18.91,18.95,18.7,18.83,966900,18.83,-0.08000000000000185
2011-04-05,18.75,19.14,18.75,19.01,1578700,19.01,0.26000000000000156
2011-04-06,19.13,19.24,18.76,19.09,1609500,19.09,-0.03999999999999915
2011-04-07,19.11,19.65,19.07,19.46,3653400,19.46,0.3500000000000014
2011-04-08,19.51,19.72,18.95,19.05,2330600,19.05,-0.46000000000000085
2011-04-11,19.07,19.1,18.83,18.86,920200,18.86,-0.21000000000000085
2011-04-12,18.69,18.83,18.42,18.65,1128500,18.65,-0.0400000000000027
2011-04-13,18.73,18.98,18.65,18.78,693500,18.78,0.05000000000000071
2011-04-14,18.62,18.82,18.53,18.69,548300,18.69,0.07000000000000028
2011-04-15,18.72,18.81,18.5,18.78,1173800,18.78,0.060000000000002274
2011-04-18,18.42,18.55,18.09,18.5,1436200,18.5,0.0799999999999983
2011-04-19,18.48,18.74,18.47,18.65,630600,18.65,0.16999999999999815
2011-04-20,18.93,19.15,18.93,19.11,719200,19.11,0.17999999999999972
2011-04-21,19.28,19.34,19.12,19.15,737900,19.15,-0.13000000000000256
2011-04-25,19.19,19.26,18.97,19.17,1055600,19.17,-0.019999999999999574
2011-04-26,19.22,19.32,19.16,19.3,1600000,19.3,0.08000000000000185
2011-04-27,19.26,19.33,19.12,19.3,1876600,19.3,0.03999999999999915
2011-04-28,19.24,19.5,19.18,19.36,2073600,19.36,0.120000000000001
2011-04-29,19.91,20.0,19.29,19.81,2900000,19.81,-0.10000000000000142
2011-05-02,19.87,20.02,19.5,19.56,1444600,19.56,-0.3100000000000023
2011-05-03,19.5,19.63,19.2,19.35,1548200,19.35,-0.14999999999999858
2011-05-04,19.32,19.49,19.14,19.28,2110400,19.28,-0.03999999999999915
2011-05-05,19.15,19.64,19.08,19.34,1686200,19.34,0.19000000000000128
2011-05-06,19.56,19.69,18.96,19.24,2075300,19.24,-0.3200000000000003
2011-05-09,19.17,19.67,19.17,19.54,1206900,19.54,0.36999999999999744
2011-05-10,19.65,19.98,19.55,19.92,927000,19.92,0.2700000000000031
2011-05-11,19.9,20.04,19.55,19.7,1310900,19.7,-0.1999999999999993
2011-05-12,19.63,19.95,19.4,19.8,1272000,19.8,0.1700000000000017
2011-05-13,19.82,19.86,19.55,19.55,1301700,19.55,-0.2699999999999996
2011-05-16,19.44,19.6,19.2,19.23,1625700,19.23,-0.21000000000000085
2011-05-17,19.11,19.26,18.83,19.05,2413800,19.05,-0.05999999999999872
2011-05-18,19.09,19.44,19.05,19.43,1771600,19.43,0.33999999999999986
2011-05-19,19.53,19.7,19.36,19.62,1832100,19.62,0.08999999999999986
2011-05-20,19.64,19.72,19.46,19.54,1308000,19.54,-0.10000000000000142
2011-05-23,19.27,19.32,19.08,19.21,1237600,19.21,-0.05999999999999872
2011-05-24,19.22,19.25,19.08,19.15,1680000,19.15,-0.07000000000000028
2011-05-25,19.06,19.17,18.98,19.11,3163000,19.11,0.05000000000000071
2011-05-26,19.03,19.3,19.01,19.23,978500,19.23,0.1999999999999993
2011-05-27,19.29,19.38,19.17,19.23,810900,19.23,-0.05999999999999872
2011-05-31,19.45,19.56,19.25,19.52,2130500,19.52,0.07000000000000028
2011-06-01,19.5,19.7,19.09,19.11,1404100,19.11,-0.39000000000000057
2011-06-02,19.12,19.32,19.02,19.06,870200,19.06,-0.060000000000002274
2011-06-03,18.77,19.02,18.73,18.94,1614300,18.94,0.1700000000000017
2011-06-06,18.88,18.95,18.45,18.48,1312300,18.48,-0.3999999999999986
2011-06-07,18.55,18.57,18.34,18.36,1163100,18.36,-0.19000000000000128
2011-06-08,18.24,18.36,18.14,18.26,1092500,18.26,0.020000000000003126
2011-06-09,18.25,18.38,18.16,18.25,949800,18.25,0.0
2011-06-10,18.11,18.18,17.86,17.98,1247300,17.98,-0.129999999999999
2011-06-13,18.05,18.37,17.92,18.1,1565700,18.1,0.05000000000000071
2011-06-14,18.28,18.36,18.13,18.14,1197200,18.14,-0.14000000000000057
2011-06-15,17.98,18.25,17.82,17.85,962300,17.85,-0.129999999999999
2011-06-16,17.94,18.18,17.83,17.96,1656800,17.96,0.019999999999999574
2011-06-17,18.12,18.12,17.72,17.77,1384900,17.77,-0.3500000000000014
2011-06-20,17.71,17.92,17.67,17.78,804300,17.78,0.07000000000000028
2011-06-21,17.93,18.38,17.87,18.28,1235000,18.28,0.3500000000000014
2011-06-22,18.24,18.5,18.19,18.21,912500,18.21,-0.029999999999997584
2011-06-23,18.0,18.47,17.83,18.4,1194900,18.4,0.3999999999999986
2011-06-24,18.44,18.49,18.11,18.23,1387700,18.23,-0.21000000000000085
2011-06-27,18.21,18.35,18.02,18.24,579300,18.24,0.029999999999997584
2011-06-28,18.31,18.78,18.28,18.77,1059000,18.77,0.46000000000000085
2011-06-29,18.82,18.98,18.68,18.74,1025300,18.74,-0.08000000000000185
2011-06-30,18.71,19.0,18.7,18.89,1020300,18.89,0.17999999999999972
2011-07-01,18.88,19.23,18.85,19.22,789600,19.22,0.33999999999999986
2011-07-05,19.23,19.25,18.99,19.1,811400,19.1,-0.129999999999999
2011-07-06,19.05,19.24,18.71,19.22,1173500,19.22,0.16999999999999815
2011-07-07,19.41,19.61,19.34,19.52,601700,19.52,0.10999999999999943
