Date,open,high,low,close,volume,adj_close,diff
2011-01-03,68.14,68.61,66.77,66.87,4244100,57.53,-1.269999999999996
2011-01-04,67.4,67.43,65.61,66.8,6322300,57.47,-0.6000000000000085
2011-01-05,66.02,66.43,64.89,66.07,5896100,56.84,0.04999999999999716
2011-01-06,66.2,66.2,63.46,63.72,6353500,54.82,-2.480000000000004
2011-01-07,63.76,65.88,63.58,65.04,6302800,55.96,1.2800000000000082
2011-01-10,64.56,65.8,63.83,65.2,4971300,56.09,0.6400000000000006
2011-01-11,65.72,66.96,65.66,66.4,4588200,57.13,0.6800000000000068
2011-01-12,66.72,67.45,65.69,67.38,5471500,57.97,0.6599999999999966
2011-01-13,67.47,68.19,66.85,67.13,3726200,57.75,-0.3400000000000034
2011-01-14,67.03,69.33,66.52,69.31,5138000,59.63,2.280000000000001
2011-01-18,69.7,69.99,68.8,69.85,3567300,60.09,0.14999999999999147
2011-01-19,69.73,70.0,67.92,68.26,4454300,58.73,-1.4699999999999989
2011-01-20,67.54,68.12,65.65,67.76,5060800,58.3,0.21999999999999886
2011-01-21,68.88,69.66,67.13,67.51,4899900,58.08,-1.3699999999999903
2011-01-24,67.24,68.82,66.6,68.25,3707700,58.72,1.0100000000000051
2011-01-25,67.94,68.17,66.52,68.13,5138000,58.61,0.18999999999999773
2011-01-26,68.35,71.9,68.35,71.52,6004500,61.53,3.1700000000000017
2011-01-27,71.75,71.88,69.7,70.87,4027100,60.97,-0.8799999999999955
2011-01-28,70.52,72.0,70.25,71.46,3916100,61.48,0.9399999999999977
2011-01-31,72.36,74.14,71.5,73.9,5190900,63.58,1.5400000000000063
2011-02-01,74.26,74.73,72.45,74.1,5402400,63.75,-0.1600000000000108
2011-02-02,73.83,75.65,73.31,74.64,5827200,64.22,0.8100000000000023
2011-02-03,75.08,76.67,73.52,75.93,7980000,65.33,0.8500000000000085
2011-02-04,76.71,77.59,75.8,76.45,7327200,65.77,-0.2599999999999909
2011-02-07,76.84,79.28,76.67,77.71,6732500,66.86,0.8699999999999903
2011-02-08,78.17,78.36,76.29,77.37,4288400,66.56,-0.7999999999999972
2011-02-09,76.95,78.61,75.89,76.8,4327100,66.07,-0.15000000000000568
2011-02-10,75.97,79.63,75.89,79.45,5318100,68.35,3.480000000000004
2011-02-11,79.13,79.45,77.43,77.86,4809100,66.99,-1.269999999999996
2011-02-14,78.1,79.89,77.86,79.6,3945000,68.48,1.5
2011-02-15,79.33,79.64,77.8,78.95,3941700,67.92,-0.37999999999999545
2011-02-16,79.41,81.98,79.0,80.7,6429000,69.43,1.2900000000000063
2011-02-17,80.4,81.9,79.61,81.4,4548600,70.03,1.0
2011-02-18,81.31,81.64,79.7,80.18,4942900,68.98,-1.1299999999999955
2011-02-22,80.63,81.93,79.2,79.8,5641200,68.66,-0.8299999999999983
2011-02-23,79.96,80.99,79.31,79.39,4600400,68.3,-0.5699999999999932
2011-02-24,79.39,79.39,76.94,77.89,5453100,67.01,-1.5
2011-02-25,78.42,79.85,78.1,79.83,4244900,68.68,1.4099999999999966
2011-02-28,79.97,80.5,77.61,79.57,4823500,68.46,-0.4000000000000057
2011-03-01,80.68,80.68,76.69,77.03,5164800,66.27,-3.6500000000000057
2011-03-02,77.01,79.64,76.84,79.56,5395300,68.45,2.549999999999997
2011-03-03,80.06,81.95,79.76,81.86,5690700,70.43,1.7999999999999972
2011-03-04,81.61,82.36,80.27,80.74,4044400,69.46,-0.8700000000000045
