Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.75,6.95,6.75,6.83,2600,6.66,0.08000000000000007
2011-01-04,6.7,6.83,6.7,6.78,8000,6.61,0.08000000000000007
2011-01-05,6.75,7.07,6.75,7.07,700,6.9,0.3200000000000003
2011-01-06,6.9,7.0,6.9,7.0,3900,6.83,0.09999999999999964
2011-01-07,7.0,7.0,7.0,7.0,0,6.83,0.0
2011-01-10,6.86,7.06,6.86,7.06,200,6.89,0.1999999999999993
2011-01-11,7.1,7.27,7.1,7.27,9100,7.09,0.16999999999999993
2011-01-12,7.79,7.82,7.38,7.56,3600,7.37,-0.23000000000000043
2011-01-13,7.16,7.21,7.16,7.21,300,7.03,0.04999999999999982
2011-01-14,7.51,7.6,7.21,7.55,3500,7.36,0.040000000000000036
2011-01-18,7.65,8.76,7.65,8.76,14800,8.54,1.1099999999999994
2011-01-19,8.71,8.71,8.71,8.71,0,8.49,0.0
2011-01-20,8.71,8.71,8.71,8.71,0,8.49,0.0
2011-01-21,8.7,8.7,8.7,8.7,100,8.49,0.0
2011-01-24,9.0,9.0,8.99,9.0,400,8.78,0.0
2011-01-25,9.0,9.01,8.75,8.84,2700,8.62,-0.16000000000000014
2011-01-26,9.05,9.07,9.05,9.07,400,8.85,0.019999999999999574
2011-01-27,8.89,8.9,8.89,8.9,100,8.68,0.009999999999999787
2011-01-28,8.88,8.88,8.73,8.79,1600,8.57,-0.09000000000000163
2011-01-31,8.75,8.8,8.75,8.8,3300,8.58,0.05000000000000071
2011-02-01,8.93,9.0,8.72,9.0,5700,8.78,0.07000000000000028
2011-02-02,9.0,9.0,9.0,9.0,0,8.78,0.0
2011-02-03,8.97,8.98,8.95,8.95,500,8.73,-0.02000000000000135
2011-02-04,8.99,8.99,8.99,8.99,100,8.8,0.0
2011-02-07,8.97,9.0,8.67,8.94,800,8.75,-0.030000000000001137
2011-02-08,8.94,8.94,8.94,8.94,0,8.75,0.0
2011-02-09,8.94,8.94,8.94,8.94,0,8.75,0.0
2011-02-10,8.75,8.76,8.67,8.67,3300,8.48,-0.08000000000000007
2011-02-11,7.33,8.26,7.33,8.2,1100,8.02,0.8699999999999992
2011-02-14,8.21,8.24,8.21,8.24,200,8.06,0.02999999999999936
2011-02-15,8.24,8.24,8.24,8.24,0,8.06,0.0
2011-02-16,8.51,8.51,8.3,8.3,300,8.12,-0.20999999999999908
2011-02-17,8.3,8.3,8.01,8.01,100,7.84,-0.2900000000000009
2011-02-18,8.11,8.49,7.96,8.07,6000,7.9,-0.03999999999999915
2011-02-22,7.87,8.16,7.81,8.13,1300,7.96,0.2600000000000007
2011-02-23,8.22,8.47,8.05,8.05,3600,7.88,-0.16999999999999993
2011-02-24,8.44,8.47,8.21,8.42,300,8.24,-0.019999999999999574
2011-02-25,8.42,8.42,8.42,8.42,0,8.24,0.0
2011-02-28,8.51,8.51,8.51,8.51,200,8.33,0.0
2011-03-01,8.51,8.69,8.51,8.69,700,8.5,0.17999999999999972
2011-03-02,8.23,8.48,8.23,8.45,1500,8.27,0.21999999999999886
2011-03-03,8.5,8.53,8.48,8.5,6100,8.32,0.0
2011-03-04,8.5,8.5,8.5,8.5,2400,8.32,0.0
2011-03-07,8.5,8.5,8.5,8.5,400,8.32,0.0
2011-03-08,8.52,8.52,8.52,8.52,100,8.34,0.0
2011-03-09,8.54,8.54,8.53,8.53,400,8.35,-0.009999999999999787
2011-03-10,8.57,8.57,8.54,8.54,3500,8.36,-0.030000000000001137
2011-03-11,8.54,8.54,8.54,8.54,0,8.36,0.0
2011-03-14,8.54,8.54,8.54,8.54,6800,8.36,0.0
2011-03-15,8.54,8.54,8.54,8.54,0,8.36,0.0
2011-03-16,8.72,8.88,8.63,8.85,3200,8.66,0.129999999999999
2011-03-17,8.95,8.95,8.95,8.95,100,8.76,0.0
2011-03-18,8.08,8.08,8.08,8.08,1500,7.91,0.0
2011-03-21,8.64,8.64,7.91,8.21,4000,8.03,-0.4299999999999997
2011-03-22,8.21,8.21,8.21,8.21,0,8.03,0.0
2011-03-23,8.29,8.29,8.29,8.29,0,8.11,0.0
2011-03-24,8.62,8.62,8.62,8.62,0,8.44,0.0
2011-03-25,8.62,8.62,8.62,8.62,0,8.44,0.0
2011-03-28,8.62,8.62,8.62,8.62,0,8.44,0.0
2011-03-29,8.62,8.62,8.62,8.62,0,8.44,0.0
2011-03-30,8.3,8.45,8.3,8.45,1100,8.27,0.14999999999999858
2011-03-31,8.45,8.45,8.45,8.45,0,8.27,0.0
2011-04-01,8.45,8.45,8.45,8.45,0,8.27,0.0
2011-04-04,8.45,8.45,8.45,8.45,0,8.27,0.0
2011-04-05,8.45,8.45,8.45,8.45,0,8.27,0.0
2011-04-06,8.45,8.45,8.45,8.45,0,8.27,0.0
2011-04-07,8.1,8.1,8.1,8.1,1200,7.93,0.0
2011-04-08,8.35,8.35,8.35,8.35,500,8.17,0.0
2011-04-11,8.35,8.35,8.35,8.35,0,8.17,0.0
2011-04-12,8.35,8.36,8.35,8.36,700,8.18,0.009999999999999787
2011-04-13,8.35,8.36,8.35,8.35,5800,8.17,0.0
2011-04-14,8.37,8.37,8.35,8.35,2500,8.17,-0.019999999999999574
2011-04-15,8.37,8.4,8.35,8.4,1100,8.22,0.030000000000001137
