Date,open,high,low,close,volume,adj_close,diff
2011-01-03,12.82,12.83,12.75,12.81,7800,10.24,-0.009999999999999787
2011-01-04,12.85,12.9,12.75,12.8,7900,10.23,-0.049999999999998934
2011-01-05,12.84,13.03,12.71,13.03,15600,10.42,0.1899999999999995
2011-01-06,13.03,13.06,12.95,13.06,17600,10.44,0.030000000000001137
2011-01-07,13.02,13.12,12.94,12.94,15800,10.35,-0.08000000000000007
2011-01-10,12.85,12.92,12.8,12.8,5400,10.23,-0.049999999999998934
2011-01-11,12.82,12.83,12.78,12.78,3100,10.22,-0.040000000000000924
2011-01-12,12.68,12.75,12.62,12.73,18400,10.22,0.05000000000000071
2011-01-13,12.68,12.7,12.49,12.51,26200,10.05,-0.16999999999999993
2011-01-14,12.49,12.49,12.34,12.37,18400,9.93,-0.120000000000001
2011-01-18,12.34,12.46,12.31,12.42,42600,9.97,0.08000000000000007
2011-01-19,12.45,12.57,12.35,12.45,30200,10.0,0.0
2011-01-20,12.45,12.52,12.41,12.42,15400,9.97,-0.02999999999999936
2011-01-21,12.5,12.71,12.5,12.66,28200,10.17,0.16000000000000014
2011-01-24,12.61,12.7,12.61,12.7,14700,10.2,0.08999999999999986
2011-01-25,12.6,12.83,12.6,12.83,15000,10.3,0.23000000000000043
2011-01-26,12.78,12.84,12.73,12.8,7700,10.28,0.02000000000000135
2011-01-27,12.85,12.85,12.74,12.79,2300,10.27,-0.0600000000000005
2011-01-28,12.71,12.85,12.69,12.69,8500,10.19,-0.02000000000000135
2011-01-31,12.73,12.75,12.66,12.73,9900,10.22,0.0
2011-02-01,12.85,12.85,12.62,12.7,20900,10.2,-0.15000000000000036
2011-02-02,12.58,12.7,12.58,12.7,29400,10.2,0.11999999999999922
2011-02-03,12.61,12.78,12.61,12.71,8300,10.21,0.10000000000000142
2011-02-04,12.69,12.75,12.62,12.62,20400,10.13,-0.07000000000000028
2011-02-07,12.69,12.7,12.61,12.7,8400,10.2,0.009999999999999787
2011-02-08,12.67,12.69,12.63,12.68,4600,10.18,0.009999999999999787
2011-02-09,12.65,12.65,12.53,12.57,18600,10.09,-0.08000000000000007
2011-02-10,12.57,12.69,12.47,12.69,18600,10.19,0.11999999999999922
2011-02-11,12.65,12.73,12.65,12.72,10800,10.26,0.07000000000000028
2011-02-14,12.77,12.77,12.62,12.64,16200,10.19,-0.129999999999999
2011-02-15,12.66,12.66,12.4,12.52,29800,10.1,-0.14000000000000057
2011-02-16,12.51,12.59,12.51,12.59,4200,10.15,0.08000000000000007
2011-02-17,12.52,12.65,12.52,12.58,12100,10.15,0.0600000000000005
2011-02-18,12.56,12.6,12.52,12.52,9600,10.1,-0.040000000000000924
2011-02-22,12.51,12.52,12.37,12.37,19800,9.98,-0.14000000000000057
2011-02-23,12.35,12.44,12.32,12.4,13400,10.0,0.05000000000000071
2011-02-24,12.4,12.49,12.32,12.49,24700,10.07,0.08999999999999986
2011-02-25,12.45,12.57,12.45,12.57,8300,10.14,0.120000000000001
2011-02-28,12.57,12.6,12.53,12.59,15900,10.15,0.019999999999999574
2011-03-01,12.62,12.62,12.59,12.6,8500,10.16,-0.019999999999999574
2011-03-02,12.59,12.63,12.55,12.6,10400,10.16,0.009999999999999787
2011-03-03,12.59,12.61,12.55,12.6,26400,10.16,0.009999999999999787
2011-03-04,12.57,12.68,12.57,12.68,12300,10.23,0.10999999999999943
2011-03-07,12.69,12.69,12.61,12.61,7900,10.17,-0.08000000000000007
2011-03-08,12.62,12.68,12.57,12.67,10500,10.22,0.05000000000000071
2011-03-09,12.62,12.66,12.62,12.66,6000,10.21,0.040000000000000924
2011-03-10,12.62,12.67,12.6,12.67,6300,10.22,0.05000000000000071
2011-03-11,12.62,12.63,12.61,12.61,3700,10.22,-0.009999999999999787
2011-03-14,12.6,12.63,12.6,12.6,9000,10.21,0.0
2011-03-15,12.6,12.66,12.6,12.6,23700,10.21,0.0
2011-03-16,12.61,12.64,12.6,12.6,17700,10.21,-0.009999999999999787
2011-03-17,12.6,12.68,12.6,12.6,4700,10.21,0.0
2011-03-18,12.67,12.69,12.6,12.65,5800,10.25,-0.019999999999999574
2011-03-21,12.63,12.66,12.63,12.65,2100,10.25,0.019999999999999574
2011-03-22,12.62,12.77,12.62,12.74,13300,10.32,0.120000000000001
2011-03-23,12.7,12.74,12.7,12.71,9900,10.3,0.010000000000001563
2011-03-24,12.7,12.74,12.7,12.74,7100,10.32,0.040000000000000924
2011-03-25,12.73,12.73,12.64,12.64,4800,10.24,-0.08999999999999986
2011-03-28,12.64,12.66,12.6,12.64,2000,10.24,0.0
2011-03-29,12.68,12.69,12.6,12.65,6600,10.25,-0.02999999999999936
2011-03-30,12.62,12.65,12.6,12.65,8300,10.25,0.030000000000001137
2011-03-31,12.61,12.65,12.55,12.59,8300,10.2,-0.019999999999999574
2011-04-01,12.61,12.69,12.61,12.63,11600,10.23,0.02000000000000135
2011-04-04,12.68,12.68,12.58,12.61,10500,10.22,-0.07000000000000028
2011-04-05,12.6,12.71,12.57,12.71,13000,10.3,0.11000000000000121
2011-04-06,12.74,12.74,12.61,12.65,9400,10.25,-0.08999999999999986
2011-04-07,12.65,12.73,12.63,12.73,7200,10.31,0.08000000000000007
2011-04-08,12.73,12.73,12.64,12.7,13300,10.29,-0.030000000000001137
2011-04-11,12.72,12.77,12.67,12.67,7500,10.26,-0.05000000000000071
2011-04-12,12.71,12.71,12.62,12.66,2700,10.26,-0.05000000000000071
2011-04-13,12.64,12.73,12.61,12.67,6400,10.31,0.02999999999999936
2011-04-14,12.61,12.63,12.61,12.63,12800,10.28,0.02000000000000135
2011-04-15,12.66,12.68,12.64,12.64,5000,10.29,-0.019999999999999574
2011-04-18,12.63,12.68,12.63,12.68,3700,10.32,0.049999999999998934
2011-04-19,12.67,12.68,12.64,12.66,22000,10.3,-0.009999999999999787
2011-04-20,12.68,12.78,12.67,12.78,17800,10.4,0.09999999999999964
2011-04-21,12.77,12.78,12.7,12.78,6900,10.4,0.009999999999999787
2011-04-25,12.77,12.78,12.68,12.69,15800,10.33,-0.08000000000000007
2011-04-26,12.74,12.77,12.7,12.73,3700,10.36,-0.009999999999999787
2011-04-27,12.75,12.82,12.73,12.81,12100,10.42,0.0600000000000005
2011-04-28,12.76,12.87,12.76,12.81,19200,10.42,0.05000000000000071
2011-04-29,12.88,12.9,12.8,12.9,7400,10.5,0.019999999999999574
