Date,open,high,low,close,volume,adj_close,diff
2011-01-03,21.59,21.59,20.99,21.1,11100,18.68,-0.48999999999999844
2011-01-04,21.05,21.14,20.85,20.99,10000,18.58,-0.060000000000002274
2011-01-05,20.9,20.9,20.64,20.87,7200,18.48,-0.029999999999997584
2011-01-06,20.73,20.86,20.6,20.85,4700,18.46,0.120000000000001
2011-01-07,20.78,20.83,20.56,20.73,8300,18.35,-0.05000000000000071
2011-01-10,20.43,20.74,20.43,20.65,6300,18.28,0.21999999999999886
2011-01-11,20.75,21.12,20.55,21.12,6800,18.7,0.370000000000001
2011-01-12,21.13,21.16,20.94,21.06,8800,18.64,-0.07000000000000028
2011-01-13,21.13,21.2,20.9,20.9,7400,18.5,-0.23000000000000043
2011-01-14,20.9,21.07,20.82,21.07,5700,18.65,0.1700000000000017
2011-01-18,21.09,21.1,20.84,20.96,3700,18.56,-0.129999999999999
2011-01-19,20.87,20.9,20.24,20.31,11400,17.98,-0.5600000000000023
2011-01-20,20.25,20.52,19.9,19.9,11300,17.62,-0.3500000000000014
2011-01-21,19.92,20.01,19.51,19.52,17700,17.28,-0.40000000000000213
2011-01-24,19.63,19.74,18.98,19.06,16400,16.87,-0.5700000000000003
2011-01-25,19.15,19.5,19.05,19.17,9900,16.97,0.020000000000003126
2011-01-26,19.29,19.58,19.29,19.58,4700,17.33,0.28999999999999915
2011-01-27,19.6,19.61,19.4,19.49,9400,17.25,-0.11000000000000298
2011-01-28,19.54,19.54,18.81,18.95,16000,16.78,-0.5899999999999999
2011-01-31,18.97,19.21,18.95,19.08,7700,16.89,0.10999999999999943
2011-02-01,19.13,20.01,19.13,19.94,8200,17.65,0.8100000000000023
2011-02-02,19.78,20.13,19.78,19.99,8400,17.7,0.2099999999999973
2011-02-03,19.97,20.22,19.93,20.02,6500,17.72,0.05000000000000071
2011-02-04,20.03,20.05,19.78,19.91,5900,17.63,-0.120000000000001
2011-02-07,19.86,20.34,19.86,20.34,4700,18.01,0.4800000000000004
2011-02-08,20.29,20.48,20.26,20.35,4500,18.02,0.060000000000002274
2011-02-09,20.3,20.44,19.83,20.03,6900,17.73,-0.2699999999999996
2011-02-10,19.88,20.04,19.75,19.84,3100,17.56,-0.03999999999999915
2011-02-11,19.89,20.29,19.8,20.27,4000,17.95,0.379999999999999
2011-02-14,20.18,20.39,20.18,20.36,4100,18.03,0.17999999999999972
2011-02-15,20.25,20.29,20.02,20.1,5700,17.79,-0.14999999999999858
2011-02-16,20.1,20.1,19.06,19.28,16400,17.07,-0.8200000000000003
2011-02-17,19.35,19.57,18.91,19.1,18900,16.91,-0.25
2011-02-18,19.19,19.19,18.91,18.98,10400,16.8,-0.21000000000000085
2011-02-22,18.97,19.09,18.91,18.91,22400,16.74,-0.05999999999999872
2011-02-23,18.74,19.06,18.74,18.98,17800,16.95,0.240000000000002
2011-02-24,18.94,19.97,18.85,19.26,37900,17.2,0.3200000000000003
2011-02-25,19.26,20.04,19.17,20.04,14700,17.89,0.7799999999999976
2011-02-28,20.29,20.31,20.04,20.31,6100,18.13,0.019999999999999574
2011-03-01,20.35,20.35,19.69,19.69,3400,17.58,-0.6600000000000001
2011-03-02,19.67,19.93,19.67,19.92,9200,17.79,0.25
2011-03-03,20.1,20.35,19.91,20.14,12700,17.98,0.03999999999999915
2011-03-04,20.0,20.03,19.76,19.79,11100,17.67,-0.21000000000000085
2011-03-07,19.8,19.89,19.68,19.69,6900,17.58,-0.10999999999999943
2011-03-08,19.74,20.16,19.74,20.16,3900,18.0,0.4200000000000017
2011-03-09,20.07,20.15,20.0,20.09,3900,17.94,0.019999999999999574
2011-03-10,19.99,20.06,19.92,19.95,12900,17.81,-0.03999999999999915
2011-03-11,18.9,19.64,18.76,19.47,19100,17.38,0.5700000000000003
2011-03-14,19.37,19.91,19.29,19.79,6500,17.67,0.41999999999999815
2011-03-15,19.43,19.79,19.43,19.74,5700,17.63,0.3099999999999987
2011-03-16,19.75,19.85,19.66,19.76,8400,17.64,0.010000000000001563
2011-03-17,19.99,20.12,19.77,20.05,11300,17.9,0.060000000000002274
2011-03-18,20.08,20.22,19.9,20.13,11600,17.97,0.05000000000000071
2011-03-21,20.17,20.83,20.08,20.76,12900,18.54,0.5899999999999999
2011-03-22,20.78,20.78,20.45,20.48,4500,18.29,-0.3000000000000007
2011-03-23,20.41,21.0,20.01,20.98,11200,18.73,0.5700000000000003
2011-03-24,21.0,21.05,20.81,20.96,11400,18.71,-0.03999999999999915
2011-03-25,21.0,21.07,20.76,20.82,12300,18.59,-0.17999999999999972
2011-03-28,20.73,20.73,20.5,20.5,4400,18.3,-0.23000000000000043
2011-03-29,20.67,20.93,20.67,20.93,2500,18.69,0.259999999999998
2011-03-30,20.92,21.0,20.72,20.99,7400,18.74,0.06999999999999673
2011-03-31,20.91,21.35,20.77,21.3,10600,19.02,0.39000000000000057
2011-04-01,21.27,21.4,20.89,21.38,11600,19.09,0.10999999999999943
2011-04-04,21.46,22.0,21.3,22.0,10100,19.64,0.5399999999999991
2011-04-05,21.89,22.1,21.76,21.87,5300,19.53,-0.019999999999999574
2011-04-06,22.1,22.17,21.77,22.07,3600,19.71,-0.030000000000001137
2011-04-07,22.03,22.05,21.95,21.95,1500,19.6,-0.08000000000000185
2011-04-08,21.98,21.98,21.39,21.39,4100,19.1,-0.5899999999999999
2011-04-11,21.36,21.36,20.28,20.28,14800,18.11,-1.0799999999999983
2011-04-12,20.07,20.27,20.04,20.27,9400,18.1,0.1999999999999993
2011-04-13,20.34,20.38,19.94,19.94,8600,17.8,-0.3999999999999986
2011-04-14,19.82,20.09,19.82,20.06,17400,17.91,0.23999999999999844
2011-04-15,20.0,20.44,19.99,20.22,10900,18.05,0.21999999999999886
2011-04-18,20.07,20.4,20.07,20.28,3100,18.11,0.21000000000000085
2011-04-19,20.26,20.31,20.09,20.22,6200,18.05,-0.0400000000000027
2011-04-20,20.4,20.7,20.35,20.49,8800,18.29,0.08999999999999986
2011-04-21,20.7,20.77,20.36,20.55,4200,18.35,-0.14999999999999858
2011-04-25,20.47,20.96,20.47,20.96,16600,18.71,0.490000000000002
2011-04-26,20.96,21.41,20.96,21.41,4700,19.12,0.4499999999999993
2011-04-27,21.36,21.64,21.35,21.58,3400,19.27,0.21999999999999886
2011-04-28,21.69,21.7,21.34,21.51,7800,19.21,-0.17999999999999972
2011-04-29,21.5,22.11,21.48,22.09,15000,19.72,0.5899999999999999
2011-05-02,22.1,22.1,21.73,21.79,7200,19.46,-0.3100000000000023
2011-05-03,21.69,21.69,21.5,21.65,4000,19.33,-0.0400000000000027
2011-05-04,21.69,21.69,21.19,21.19,5700,18.92,-0.5
2011-05-05,21.07,21.32,20.97,20.97,6300,18.72,-0.10000000000000142
2011-05-06,21.12,21.18,20.81,20.94,10800,18.7,-0.17999999999999972
2011-05-09,20.86,21.08,20.86,21.05,2100,18.8,0.19000000000000128
2011-05-10,21.19,22.39,21.19,22.08,10400,19.71,0.889999999999997
2011-05-11,22.06,22.17,21.86,21.86,5600,19.52,-0.1999999999999993
2011-05-12,21.88,22.18,21.7,22.12,11000,19.75,0.240000000000002
2011-05-13,22.12,22.12,21.73,21.73,2500,19.4,-0.39000000000000057
2011-05-16,21.62,21.65,20.94,20.94,8900,18.7,-0.6799999999999997
2011-05-17,20.94,21.13,20.84,21.0,9600,18.75,0.05999999999999872
2011-05-18,20.82,21.16,20.82,21.12,6900,19.0,0.3000000000000007
2011-05-19,21.28,21.82,21.22,21.49,27700,19.34,0.2099999999999973
2011-05-20,21.39,21.55,21.31,21.37,10100,19.23,-0.019999999999999574
2011-05-23,21.16,21.3,20.75,20.75,5600,18.67,-0.41000000000000014
2011-05-24,20.96,21.14,20.88,21.0,17700,18.89,0.03999999999999915
2011-05-25,20.88,21.24,20.88,21.13,2100,19.01,0.25
2011-05-26,21.1,21.29,21.1,21.27,4600,19.14,0.16999999999999815
2011-05-27,21.25,21.43,21.25,21.42,1600,19.27,0.1700000000000017
2011-05-31,21.46,22.28,21.46,22.28,9500,20.05,0.8200000000000003
2011-06-01,22.26,22.26,21.47,21.59,9700,19.43,-0.6700000000000017
2011-06-02,21.61,21.61,20.61,20.75,9100,18.67,-0.8599999999999994
2011-06-03,20.59,20.69,20.3,20.34,14400,18.3,-0.25
2011-06-06,20.3,20.44,20.27,20.27,6000,18.24,-0.030000000000001137
2011-06-07,20.48,20.55,20.08,20.35,7500,18.31,-0.129999999999999
2011-06-08,20.39,20.39,20.39,20.39,1800,18.35,0.0
2011-06-09,20.42,20.42,20.05,20.18,7500,18.16,-0.240000000000002
2011-06-10,20.19,20.19,19.87,19.95,8400,17.95,-0.240000000000002
2011-06-13,20.06,20.2,19.81,19.83,5400,17.84,-0.23000000000000043
2011-06-14,19.97,20.48,19.84,20.37,10400,18.33,0.40000000000000213
2011-06-15,20.3,20.36,19.77,19.86,10600,17.87,-0.4400000000000013
2011-06-16,20.17,20.24,19.73,20.13,8200,18.11,-0.0400000000000027
2011-06-17,20.19,20.32,19.94,20.0,16600,17.99,-0.19000000000000128
2011-06-20,19.99,20.16,19.94,20.14,4100,18.12,0.15000000000000213
2011-06-21,20.23,20.49,19.9,20.49,4800,18.44,0.259999999999998
2011-06-22,20.36,20.45,20.1,20.15,3500,18.13,-0.21000000000000085
2011-06-23,19.94,19.94,19.11,19.52,29400,17.56,-0.4200000000000017
2011-06-24,19.53,20.06,19.37,20.05,68500,18.04,0.5199999999999996
2011-06-27,19.96,20.99,19.85,20.99,6600,18.89,1.0299999999999976
2011-06-28,21.0,21.45,21.0,21.28,12000,19.15,0.28000000000000114
2011-06-29,21.25,21.33,20.78,21.17,9800,19.05,-0.0799999999999983
2011-06-30,21.15,21.44,20.98,21.42,36400,19.27,0.2700000000000031
2011-07-01,21.29,21.29,20.5,20.82,13900,18.73,-0.46999999999999886
2011-07-05,20.89,20.96,19.65,20.01,18800,18.0,-0.879999999999999
2011-07-06,20.0,20.29,19.75,20.2,12500,18.17,0.1999999999999993
2011-07-07,20.4,21.04,20.38,20.86,8500,18.77,0.46000000000000085
2011-07-08,20.77,20.77,20.44,20.48,9200,18.43,-0.28999999999999915
2011-07-11,20.44,20.61,20.43,20.44,4900,18.39,0.0
2011-07-12,20.46,20.7,20.44,20.55,3400,18.49,0.08999999999999986
2011-07-13,20.61,20.95,20.57,20.83,11300,18.74,0.21999999999999886
2011-07-14,20.98,20.98,20.54,20.54,6400,18.48,-0.4400000000000013
2011-07-15,20.72,20.77,20.51,20.77,7700,18.69,0.05000000000000071
2011-07-18,20.58,20.7,20.51,20.58,1800,18.52,0.0
2011-07-19,20.73,21.69,20.61,21.27,12000,19.14,0.5399999999999991
2011-07-20,21.35,21.4,21.2,21.2,1200,19.07,-0.15000000000000213
2011-07-21,21.22,21.35,21.0,21.13,4200,19.01,-0.08999999999999986
2011-07-22,21.11,21.11,20.85,20.85,2000,18.76,-0.259999999999998
2011-07-25,20.53,20.56,20.53,20.56,2400,18.5,0.029999999999997584
2011-07-26,20.72,20.85,20.58,20.62,2600,18.55,-0.09999999999999787
2011-07-27,20.61,20.8,20.55,20.55,11100,18.49,-0.05999999999999872
2011-07-28,20.67,20.75,20.57,20.75,2400,18.67,0.0799999999999983
2011-07-29,20.55,20.89,20.55,20.69,3700,18.62,0.14000000000000057
2011-08-01,20.9,20.9,20.4,20.51,14700,18.45,-0.389999999999997
2011-08-02,20.44,20.58,19.93,19.93,5900,17.93,-0.5100000000000016
2011-08-03,19.93,20.23,19.78,20.03,4400,18.02,0.10000000000000142
2011-08-04,19.9,20.41,19.9,20.13,13800,18.11,0.23000000000000043
2011-08-05,20.38,20.64,20.23,20.37,3500,18.33,-0.00999999999999801
2011-08-08,20.16,21.0,19.5,19.5,18800,17.54,-0.6600000000000001
2011-08-09,20.0,20.0,19.02,19.47,13800,17.52,-0.5300000000000011
2011-08-10,19.09,19.62,18.21,18.25,13400,16.42,-0.8399999999999999
2011-08-11,18.34,19.12,17.3,18.82,17200,16.93,0.4800000000000004
2011-08-12,18.79,18.79,17.87,18.25,11200,16.42,-0.5399999999999991
2011-08-15,18.18,18.83,18.18,18.67,7700,16.8,0.490000000000002
2011-08-16,18.48,18.58,18.11,18.16,7500,16.34,-0.3200000000000003
2011-08-17,18.12,18.7,18.12,18.24,3000,16.57,0.11999999999999744
2011-08-18,18.03,18.23,17.9,17.9,20900,16.26,-0.13000000000000256
2011-08-19,17.6,18.07,17.6,17.8,6200,16.17,0.1999999999999993
2011-08-22,18.35,18.35,17.95,18.0,5700,16.35,-0.3500000000000014
2011-08-23,18.15,18.39,18.09,18.37,8800,16.68,0.22000000000000242
2011-08-24,18.2,18.8,17.98,18.62,12800,16.91,0.4200000000000017
2011-08-25,18.55,18.55,18.38,18.38,5100,16.69,-0.1700000000000017
2011-08-26,18.38,18.71,18.38,18.71,3700,16.99,0.33000000000000185
2011-08-29,18.79,19.32,18.79,19.22,11900,17.46,0.4299999999999997
2011-08-30,19.16,19.72,19.14,19.37,15400,17.59,0.21000000000000085
2011-08-31,19.5,19.5,19.01,19.34,7900,17.57,-0.16000000000000014
2011-09-01,19.21,19.5,18.31,18.37,8300,16.68,-0.8399999999999999
2011-09-02,18.3,18.4,17.6,17.6,12500,15.98,-0.6999999999999993
2011-09-06,17.15,18.05,17.15,17.7,12800,16.08,0.5500000000000007
2011-09-07,18.0,19.08,18.0,18.52,11000,16.82,0.5199999999999996
2011-09-08,18.28,18.63,18.27,18.29,9800,16.61,0.00999999999999801
2011-09-09,18.05,18.73,18.03,18.25,9200,16.58,0.1999999999999993
2011-09-12,18.26,18.63,17.89,17.9,5400,16.26,-0.360000000000003
2011-09-13,18.01,18.07,17.82,18.0,14200,16.35,-0.010000000000001563
