Date,open,high,low,close,volume,adj_close,diff
2014-08-13,18.13,18.49,16.15,17.15,6209200,17.15,-0.9800000000000004
2014-08-14,16.98,17.28,16.55,16.72,467700,16.72,-0.26000000000000156
2014-08-15,16.51,16.99,16.0,16.2,172600,16.2,-0.3100000000000023
2014-08-18,16.26,16.67,16.0,16.01,161800,16.01,-0.25
2014-08-19,16.01,16.19,15.19,15.84,200700,15.84,-0.1700000000000017
2014-08-20,16.0,16.03,15.83,15.99,176000,15.99,-0.009999999999999787
2014-08-21,15.96,16.43,15.75,16.3,179500,16.3,0.33999999999999986
2014-08-22,16.18,17.39,16.12,17.21,115100,17.21,1.0300000000000011
2014-08-25,17.2,17.5,16.76,17.0,129200,17.0,-0.1999999999999993
2014-08-26,17.08,17.65,16.6,17.43,182800,17.43,0.3500000000000014
2014-08-27,17.09,18.43,17.09,18.33,190700,18.33,1.2399999999999984
2014-08-28,19.07,19.89,17.91,19.77,181900,19.77,0.6999999999999993
2014-08-29,19.98,19.98,19.2,19.92,83000,19.92,-0.05999999999999872
2014-09-02,20.0,20.45,19.11,19.7,62500,19.7,-0.3000000000000007
2014-09-03,19.95,19.95,19.12,19.71,46300,19.71,-0.23999999999999844
2014-09-04,19.78,19.78,18.78,19.05,52200,19.05,-0.7300000000000004
2014-09-05,19.08,19.26,18.26,18.79,55000,18.79,-0.28999999999999915
2014-09-08,19.02,19.87,18.82,19.39,398600,19.39,0.370000000000001
2014-09-09,19.77,19.85,18.99,19.25,154800,19.25,-0.5199999999999996
2014-09-10,19.2,19.84,18.99,19.5,58200,19.5,0.3000000000000007
2014-09-11,19.32,19.59,19.27,19.4,41700,19.4,0.0799999999999983
2014-09-12,19.46,19.59,19.1,19.38,101500,19.38,-0.08000000000000185
2014-09-15,19.05,19.66,19.05,19.28,123200,19.28,0.23000000000000043
2014-09-16,19.55,20.29,19.19,20.2,106200,20.2,0.6499999999999986
2014-09-17,20.21,20.29,19.86,20.09,69000,20.09,-0.120000000000001
2014-09-18,20.16,21.13,19.87,20.92,67400,20.92,0.7600000000000016
2014-09-19,21.0,25.57,21.0,23.46,468100,23.46,2.460000000000001
2014-09-22,23.32,23.88,21.77,22.53,102500,22.53,-0.7899999999999991
2014-09-23,22.4,23.98,21.87,22.56,119900,22.56,0.16000000000000014
2014-09-24,22.49,25.65,22.0,25.29,128600,25.29,2.8000000000000007
2014-09-25,25.78,26.55,24.41,24.94,151400,24.94,-0.8399999999999999
2014-09-26,24.97,27.61,24.35,26.58,159800,26.58,1.6099999999999994
2014-09-29,26.93,28.2,23.45,24.31,166600,24.31,-2.620000000000001
2014-09-30,23.69,26.96,23.68,24.0,799800,24.0,0.3099999999999987
2014-10-01,24.24,24.24,21.7,22.38,234300,22.38,-1.8599999999999994
2014-10-02,22.3,23.11,20.6,22.48,134300,22.48,0.17999999999999972
2014-10-03,22.5,24.86,22.15,23.99,64900,23.99,1.4899999999999984
2014-10-06,24.36,24.36,22.11,22.22,90200,22.22,-2.1400000000000006
2014-10-07,22.07,22.07,20.59,21.02,78900,21.02,-1.0500000000000007
2014-10-08,21.08,21.36,19.86,21.17,91400,21.17,0.09000000000000341
2014-10-09,21.18,22.19,20.0,21.13,72400,21.13,-0.05000000000000071
2014-10-10,21.05,22.22,20.54,21.72,76700,21.72,0.6699999999999982
2014-10-13,21.82,22.47,21.36,22.36,27500,22.36,0.5399999999999991
2014-10-14,22.42,23.24,20.38,22.61,55800,22.61,0.18999999999999773
2014-10-15,22.09,23.35,22.0,23.34,27100,23.34,1.25
2014-10-16,22.96,24.18,22.9,24.12,51900,24.12,1.1600000000000001
2014-10-17,24.32,24.56,22.14,22.43,90500,22.43,-1.8900000000000006
2014-10-20,22.29,24.25,22.29,22.74,64800,22.74,0.4499999999999993
2014-10-21,23.0,23.94,21.5,23.71,68200,23.71,0.7100000000000009
2014-10-22,23.89,24.95,23.0,23.65,37900,23.65,-0.240000000000002
2014-10-23,23.78,25.77,23.48,24.7,69500,24.7,0.9199999999999982
2014-10-24,24.64,26.5,24.64,25.93,67100,25.93,1.2899999999999991
2014-10-27,25.69,26.05,24.92,25.34,76500,25.34,-0.3500000000000014
2014-10-28,25.52,26.05,24.66,26.0,159800,26.0,0.4800000000000004
2014-10-29,26.0,26.09,25.41,25.92,20600,25.92,-0.0799999999999983
2014-10-30,25.97,26.0,25.0,25.62,43800,25.62,-0.34999999999999787
2014-10-31,26.24,26.52,25.6,26.35,39800,26.35,0.11000000000000298
2014-11-03,26.46,26.5,25.45,25.87,46800,25.87,-0.5899999999999999
2014-11-04,25.71,25.87,23.5,23.92,101600,23.92,-1.7899999999999991
2014-11-05,24.03,24.38,23.27,23.43,26600,23.43,-0.6000000000000014
2014-11-06,23.55,24.46,23.55,24.15,48200,24.15,0.5999999999999979
2014-11-07,24.25,25.0,23.68,24.09,44800,24.09,-0.16000000000000014
2014-11-10,24.18,24.56,23.82,24.16,144200,24.16,-0.019999999999999574
2014-11-11,24.53,24.53,23.72,23.79,41600,23.79,-0.740000000000002
2014-11-12,23.71,24.1,23.27,23.68,91000,23.68,-0.030000000000001137
2014-11-13,25.0,25.0,23.42,23.69,56500,23.69,-1.3099999999999987
2014-11-14,23.73,23.94,22.6,23.36,58400,23.36,-0.370000000000001
2014-11-17,23.26,23.26,21.75,22.02,33200,22.02,-1.240000000000002
2014-11-18,22.08,23.45,21.93,22.99,91000,22.99,0.9100000000000001
2014-11-19,22.87,23.39,21.8,21.9,60000,21.9,-0.9700000000000024
2014-11-20,22.35,22.64,22.07,22.36,74800,22.36,0.00999999999999801
2014-11-21,22.73,23.87,22.22,23.34,69800,23.34,0.6099999999999994
2014-11-24,23.46,24.19,22.98,23.98,101200,23.98,0.5199999999999996
2014-11-25,24.07,24.48,23.32,24.3,113200,24.3,0.23000000000000043
2014-11-26,24.24,24.47,23.84,24.32,39600,24.32,0.08000000000000185
2014-11-28,24.32,24.95,23.49,24.01,24500,24.01,-0.3099999999999987
2014-12-01,24.0,26.25,22.05,25.37,208400,25.37,1.370000000000001
2014-12-02,24.26,29.24,24.26,28.98,139300,28.98,4.719999999999999
2014-12-03,29.1,30.0,28.87,28.99,254900,28.99,-0.11000000000000298
2014-12-04,28.82,29.19,28.2,28.71,347500,28.71,-0.10999999999999943
2014-12-05,28.84,29.05,27.78,28.48,68600,28.48,-0.35999999999999943
2014-12-08,28.48,28.95,27.51,27.59,81400,27.59,-0.8900000000000006
2014-12-09,27.18,33.64,26.82,32.26,279000,32.26,5.079999999999998
2014-12-10,32.25,36.81,32.25,35.38,205600,35.38,3.1300000000000026
2014-12-11,35.27,36.53,34.04,34.12,78200,34.12,-1.1500000000000057
2014-12-12,33.73,38.86,33.38,36.72,190700,36.72,2.990000000000002
2014-12-15,37.07,39.47,35.76,36.77,188400,36.77,-0.29999999999999716
2014-12-16,36.59,40.45,33.73,40.0,201700,40.0,3.4099999999999966
2014-12-17,39.25,40.4,36.33,38.27,326700,38.27,-0.9799999999999969
2014-12-18,38.68,40.26,37.27,38.52,211500,38.52,-0.1599999999999966
2014-12-19,37.48,37.48,31.76,36.49,849500,36.49,-0.9899999999999949
2014-12-22,36.24,36.42,30.98,31.53,377000,31.53,-4.710000000000001
2014-12-23,31.62,32.28,30.26,31.61,163400,31.61,-0.010000000000001563
2014-12-24,30.89,32.47,30.86,32.26,45900,32.26,1.3699999999999974
2014-12-26,32.43,34.56,32.25,33.71,125200,33.71,1.2800000000000011
2014-12-29,33.62,34.93,32.58,33.1,181200,33.1,-0.519999999999996
2014-12-30,33.0,33.65,31.36,32.78,118800,32.78,-0.21999999999999886
2014-12-31,32.92,33.8,32.0,33.33,79000,33.33,0.4099999999999966
2015-01-02,33.66,35.05,33.12,34.5,156100,34.5,0.8400000000000034
2015-01-05,34.25,34.25,33.53,33.67,109600,33.67,-0.5799999999999983
2015-01-06,33.96,34.34,32.98,33.14,103700,33.14,-0.8200000000000003
2015-01-07,33.24,34.18,32.25,33.79,81200,33.79,0.5499999999999972
2015-01-08,34.12,36.04,33.9,35.66,137700,35.66,1.5399999999999991
2015-01-09,35.43,35.43,32.71,33.25,172800,33.25,-2.1799999999999997
2015-01-12,33.76,34.89,33.16,33.25,97500,33.25,-0.509999999999998
2015-01-13,33.29,33.9,32.45,33.16,151900,33.16,-0.13000000000000256
2015-01-14,33.12,36.07,32.2,33.92,84000,33.92,0.8000000000000043
2015-01-15,34.1,35.09,32.97,33.28,174500,33.28,-0.8200000000000003
