Date,open,high,low,close,volume,adj_close,diff
2011-01-03,10.49,10.72,10.49,10.72,3400,10.69,0.23000000000000043
2011-01-04,10.72,10.85,10.6,10.71,7200,10.68,-0.009999999999999787
2011-01-05,10.61,10.61,9.81,10.22,15100,10.19,-0.3899999999999988
2011-01-06,10.17,10.17,10.0,10.07,3000,10.04,-0.09999999999999964
2011-01-07,10.12,10.25,10.12,10.19,3400,10.16,0.07000000000000028
2011-01-10,10.11,10.22,10.11,10.22,1200,10.19,0.11000000000000121
2011-01-11,10.2,10.28,10.2,10.27,3200,10.24,0.07000000000000028
2011-01-12,10.56,10.57,10.52,10.52,1500,10.49,-0.040000000000000924
2011-01-13,10.53,10.55,10.37,10.55,13700,10.52,0.02000000000000135
2011-01-14,10.44,10.49,10.33,10.38,13700,10.35,-0.05999999999999872
2011-01-18,10.32,10.32,10.2,10.31,3900,10.28,-0.009999999999999787
2011-01-19,10.32,10.32,10.26,10.27,4700,10.24,-0.05000000000000071
2011-01-20,10.26,10.26,10.09,10.09,3200,10.06,-0.16999999999999993
2011-01-21,10.17,10.17,10.0,10.0,11800,9.97,-0.16999999999999993
2011-01-24,10.08,10.2,10.0,10.06,8800,10.03,-0.019999999999999574
2011-01-25,10.03,10.16,9.99,10.0,13800,9.97,-0.02999999999999936
2011-01-26,10.12,10.27,10.12,10.27,3500,10.24,0.15000000000000036
2011-01-27,10.28,10.32,10.28,10.29,2700,10.26,0.009999999999999787
2011-01-28,10.0,10.15,9.73,9.8,17900,9.77,-0.1999999999999993
2011-01-31,9.93,9.93,9.48,9.48,6900,9.45,-0.4499999999999993
2011-02-01,9.59,9.59,9.45,9.51,5500,9.48,-0.08000000000000007
2011-02-02,9.38,9.59,9.31,9.31,14100,9.28,-0.07000000000000028
2011-02-03,9.37,9.38,9.23,9.31,9700,9.28,-0.05999999999999872
2011-02-04,9.14,9.14,8.95,8.95,6900,8.92,-0.19000000000000128
2011-02-07,8.87,8.87,8.46,8.82,88600,8.79,-0.049999999999998934
2011-02-08,8.78,8.85,8.68,8.85,21200,8.82,0.07000000000000028
2011-02-09,8.78,8.97,8.7,8.76,9600,8.73,-0.019999999999999574
2011-02-10,8.84,8.88,8.67,8.77,13100,8.74,-0.07000000000000028
2011-02-11,8.71,8.91,8.65,8.82,42900,8.79,0.10999999999999943
2011-02-14,8.78,8.94,8.71,8.73,5400,8.7,-0.049999999999998934
2011-02-15,8.74,8.75,8.46,8.49,4500,8.47,-0.25
2011-02-16,8.5,8.59,8.27,8.5,17900,8.48,0.0
2011-02-17,8.53,8.65,8.28,8.33,12700,8.31,-0.1999999999999993
2011-02-18,8.37,8.47,8.23,8.39,14000,8.37,0.02000000000000135
2011-02-22,8.39,8.85,8.35,8.36,13400,8.34,-0.030000000000001137
2011-02-23,8.42,8.59,8.42,8.42,9900,8.4,0.0
2011-02-24,8.45,8.5,8.39,8.5,6800,8.48,0.05000000000000071
2011-02-25,8.52,8.52,8.31,8.36,8700,8.34,-0.16000000000000014
2011-02-28,8.5,8.5,8.3,8.42,4400,8.4,-0.08000000000000007
2011-03-01,8.45,8.45,8.3,8.3,7900,8.28,-0.14999999999999858
2011-03-02,8.3,8.3,8.21,8.27,5000,8.25,-0.030000000000001137
2011-03-03,8.35,8.45,8.33,8.42,8600,8.4,0.07000000000000028
2011-03-04,8.44,8.44,8.24,8.25,3200,8.23,-0.1899999999999995
2011-03-07,8.35,8.45,8.13,8.13,5700,8.11,-0.21999999999999886
2011-03-08,8.12,8.41,8.12,8.39,6300,8.37,0.27000000000000135
2011-03-09,8.17,8.31,8.17,8.31,1700,8.29,0.14000000000000057
2011-03-10,8.16,8.27,8.12,8.12,5300,8.1,-0.040000000000000924
2011-03-11,8.09,8.22,8.09,8.11,5800,8.09,0.019999999999999574
2011-03-14,8.27,8.27,8.12,8.12,2200,8.1,-0.15000000000000036
2011-03-15,8.07,8.17,8.07,8.1,2300,8.08,0.02999999999999936
2011-03-16,8.05,8.35,7.93,8.02,12000,8.01,-0.030000000000001137
2011-03-17,8.1,8.14,7.93,8.02,8400,8.01,-0.08000000000000007
2011-03-18,7.97,8.36,7.97,8.03,9600,8.02,0.05999999999999961
2011-03-21,8.11,8.19,7.95,8.19,2700,8.18,0.08000000000000007
2011-03-22,8.08,8.2,8.03,8.07,3100,8.06,-0.009999999999999787
2011-03-23,8.08,8.08,7.86,7.93,5800,7.92,-0.15000000000000036
2011-03-24,7.92,8.01,7.89,7.95,6600,7.94,0.03000000000000025
2011-03-25,7.95,7.98,7.89,7.98,2200,7.97,0.03000000000000025
2011-03-28,7.97,8.05,7.9,7.97,3400,7.96,0.0
2011-03-29,8.08,8.12,7.97,8.03,2800,8.02,-0.05000000000000071
2011-03-30,8.04,8.15,8.04,8.15,1700,8.14,0.11000000000000121
2011-03-31,8.0,8.25,7.89,7.89,6900,7.88,-0.11000000000000032
2011-04-01,7.93,8.1,7.93,8.06,3900,8.05,0.13000000000000078
2011-04-04,8.06,8.4,8.0,8.08,5000,8.07,0.019999999999999574
2011-04-05,8.09,8.17,8.04,8.17,4100,8.16,0.08000000000000007
2011-04-06,8.1,8.22,8.06,8.13,7400,8.12,0.030000000000001137
2011-04-07,8.06,8.44,8.06,8.15,52800,8.14,0.08999999999999986
2011-04-08,8.1,8.13,8.04,8.04,1200,8.03,-0.0600000000000005
2011-04-11,8.42,8.42,8.04,8.16,2200,8.15,-0.2599999999999998
2011-04-12,8.15,8.33,8.06,8.06,1700,8.05,-0.08999999999999986
2011-04-13,8.05,8.08,8.03,8.03,4100,8.02,-0.02000000000000135
2011-04-14,8.03,8.1,8.0,8.0,3500,7.99,-0.02999999999999936
2011-04-15,8.0,8.09,8.0,8.05,4600,8.04,0.05000000000000071
2011-04-18,8.01,8.01,7.91,7.92,3300,7.91,-0.08999999999999986
2011-04-19,7.91,8.16,7.81,7.91,7900,7.9,0.0
2011-04-20,7.95,7.95,7.7,7.92,4200,7.91,-0.03000000000000025
2011-04-21,7.9,7.95,7.71,7.85,2200,7.84,-0.05000000000000071
2011-04-25,7.85,7.95,7.79,7.84,1500,7.83,-0.009999999999999787
