Date,open,high,low,close,volume,adj_close,diff
2011-08-11,18.0,18.1,17.56,18.0,12341100,9.82,0.0
2011-08-12,18.02,18.41,17.96,18.02,1858900,9.84,0.0
2011-08-15,18.21,18.8,18.1,18.47,2421600,10.08,0.259999999999998
2011-08-16,18.57,18.9,18.27,18.81,1003800,10.27,0.23999999999999844
2011-08-17,18.83,19.07,18.8,18.81,1308500,10.27,-0.019999999999999574
2011-08-18,18.61,18.84,18.26,18.36,620000,10.02,-0.25
2011-08-19,18.59,18.65,18.08,18.16,655200,9.91,-0.4299999999999997
2011-08-22,18.49,18.68,17.65,17.77,633400,9.7,-0.7199999999999989
2011-08-23,17.77,18.22,17.7,18.07,649600,9.86,0.3000000000000007
2011-08-24,18.25,18.41,17.95,18.41,315300,10.05,0.16000000000000014
2011-08-25,18.45,18.45,18.03,18.23,286300,9.95,-0.21999999999999886
2011-08-26,18.35,18.41,18.18,18.35,196000,10.02,0.0
2011-08-29,18.45,18.91,18.38,18.87,469200,10.3,0.4200000000000017
2011-08-30,18.8,19.1,18.74,18.89,614000,10.31,0.08999999999999986
2011-08-31,18.98,19.05,18.75,18.84,457000,10.28,-0.14000000000000057
2011-09-01,18.97,19.0,18.65,18.93,195600,10.33,-0.03999999999999915
2011-09-02,18.32,18.79,18.11,18.57,389000,10.14,0.25
2011-09-06,18.26,18.53,18.16,18.45,212300,10.07,0.18999999999999773
2011-09-07,18.6,18.7,18.35,18.58,434400,10.14,-0.020000000000003126
2011-09-08,18.7,18.7,18.29,18.6,199800,10.15,-0.09999999999999787
2011-09-09,18.6,18.65,18.3,18.52,228300,10.11,-0.08000000000000185
2011-09-12,18.25,18.5,18.19,18.42,243300,10.05,0.1700000000000017
2011-09-13,18.41,18.74,18.3,18.53,389200,10.11,0.120000000000001
2011-09-14,18.6,18.6,18.4,18.42,339300,10.05,-0.17999999999999972
2011-09-15,18.71,18.95,18.55,18.85,457100,10.29,0.14000000000000057
2011-09-16,18.84,19.12,18.62,18.99,465600,10.36,0.14999999999999858
2011-09-19,18.72,19.25,18.72,19.25,379200,10.51,0.5300000000000011
2011-09-20,19.35,19.36,18.99,18.99,787500,10.36,-0.360000000000003
2011-09-21,18.88,19.19,18.86,18.88,376000,10.3,0.0
2011-09-22,18.26,18.49,17.87,18.15,619500,9.91,-0.11000000000000298
2011-09-23,18.0,18.26,17.95,18.04,562600,9.85,0.03999999999999915
2011-09-26,18.13,18.3,17.5,18.0,309400,9.82,-0.129999999999999
2011-09-27,18.25,18.27,17.94,17.98,572600,9.81,-0.2699999999999996
2011-09-28,18.0,18.15,17.8,17.95,314000,9.8,-0.05000000000000071
2011-09-29,18.05,18.09,17.87,18.0,264800,9.82,-0.05000000000000071
2011-09-30,18.0,18.0,16.43,16.85,1355900,9.2,-1.1499999999999986
2011-10-03,16.69,17.12,15.88,16.14,763700,8.81,-0.5500000000000007
