Date,open,high,low,close,volume,adj_close,diff
2013-05-09,18.25,19.39,18.15,19.1,6508200,19.1,0.8500000000000014
2013-05-10,19.07,20.01,18.86,19.6,372700,19.6,0.5300000000000011
2013-05-13,20.14,20.2,19.14,19.31,635400,19.31,-0.8300000000000018
2013-05-14,19.15,19.92,19.09,19.51,281600,19.51,0.360000000000003
2013-05-15,19.5,19.8,19.4,19.71,85300,19.71,0.21000000000000085
2013-05-16,19.73,20.12,19.73,20.03,180700,20.03,0.3000000000000007
2013-05-17,20.2,20.26,19.99,20.0,363300,20.0,-0.1999999999999993
2013-05-20,20.35,22.1,20.25,21.66,464000,21.66,1.3099999999999987
2013-05-21,21.85,22.8,21.69,22.45,284900,22.45,0.5999999999999979
2013-05-22,22.55,23.33,21.63,21.64,387700,21.64,-0.9100000000000001
2013-05-23,21.62,22.21,20.91,22.08,278200,22.08,0.4599999999999973
2013-05-24,22.06,22.06,21.53,21.67,254200,21.67,-0.389999999999997
2013-05-28,22.0,22.0,21.51,21.52,285100,21.52,-0.4800000000000004
2013-05-29,21.4,21.43,20.98,21.19,327200,21.19,-0.2099999999999973
2013-05-30,21.15,22.05,21.02,21.98,188400,21.98,0.8300000000000018
2013-05-31,21.85,21.99,21.65,21.8,123600,21.8,-0.05000000000000071
2013-06-03,22.0,22.0,20.85,21.14,152500,21.14,-0.8599999999999994
2013-06-04,21.14,21.51,20.79,21.44,67600,21.44,0.3000000000000007
2013-06-05,21.45,21.5,21.15,21.39,36100,21.39,-0.05999999999999872
2013-06-06,21.39,21.39,20.96,21.0,31900,21.0,-0.39000000000000057
2013-06-07,21.03,21.05,20.21,20.48,155600,20.48,-0.5500000000000007
2013-06-10,20.4,20.48,20.16,20.45,127000,20.45,0.05000000000000071
2013-06-11,20.25,20.5,20.1,20.4,79000,20.4,0.14999999999999858
2013-06-12,20.5,21.08,20.5,21.01,128500,21.01,0.5100000000000016
2013-06-13,20.97,21.03,20.5,21.03,285100,21.03,0.060000000000002274
2013-06-14,21.0,21.2,20.92,21.02,43800,21.02,0.019999999999999574
2013-06-17,21.07,21.79,21.07,21.61,81600,21.61,0.5399999999999991
2013-06-18,21.59,21.9,21.59,21.85,136400,21.85,0.26000000000000156
2013-06-19,21.83,22.14,21.75,21.8,115900,21.8,-0.029999999999997584
2013-06-20,21.57,21.64,21.21,21.42,113600,21.42,-0.14999999999999858
2013-06-21,21.49,21.55,21.2,21.34,292900,21.34,-0.14999999999999858
2013-06-24,21.15,21.36,20.96,21.01,123600,21.01,-0.13999999999999702
2013-06-25,21.15,21.25,20.96,21.1,105400,21.1,-0.04999999999999716
2013-06-26,21.2,21.2,20.5,20.78,122500,20.78,-0.41999999999999815
2013-06-27,20.95,21.16,20.73,21.03,99400,21.03,0.08000000000000185
2013-06-28,21.04,21.32,20.8,21.27,1020900,21.27,0.23000000000000043
2013-07-01,21.29,21.35,20.99,21.22,106000,21.22,-0.07000000000000028
2013-07-02,21.16,21.34,21.06,21.31,61200,21.31,0.14999999999999858
2013-07-03,21.14,21.29,21.03,21.15,35900,21.15,0.00999999999999801
2013-07-05,21.25,21.3,20.5,20.6,49600,20.6,-0.6499999999999986
2013-07-08,20.61,20.66,20.24,20.41,78200,20.41,-0.1999999999999993
