Date,open,high,low,close,volume,adj_close,diff
2011-01-03,5.52,5.71,5.44,5.68,151200,5.68,0.16000000000000014
2011-01-04,5.71,5.72,5.6,5.68,83400,5.68,-0.03000000000000025
2011-01-05,5.68,5.76,5.59,5.75,64500,5.75,0.07000000000000028
2011-01-06,5.74,5.75,5.56,5.58,65400,5.58,-0.16000000000000014
2011-01-07,5.61,5.62,5.37,5.43,62800,5.43,-0.1800000000000006
2011-01-10,5.39,5.44,5.35,5.4,66700,5.4,0.010000000000000675
2011-01-11,5.42,5.67,5.38,5.64,109500,5.64,0.21999999999999975
2011-01-12,5.7,5.82,5.58,5.77,113200,5.77,0.0699999999999994
2011-01-13,5.77,6.2,5.74,6.15,293100,6.15,0.3800000000000008
2011-01-14,6.15,6.27,6.0,6.24,124400,6.24,0.08999999999999986
2011-01-18,6.2,6.32,6.2,6.32,159500,6.32,0.1200000000000001
2011-01-19,6.33,6.33,5.97,5.97,305100,5.97,-0.3600000000000003
2011-01-20,5.94,5.97,5.64,5.85,248600,5.85,-0.09000000000000075
2011-01-21,5.9,5.94,5.85,5.86,127000,5.86,-0.040000000000000036
2011-01-24,5.88,6.11,5.88,6.06,97800,6.06,0.17999999999999972
2011-01-25,5.99,6.07,5.9,6.04,125100,6.04,0.04999999999999982
2011-01-26,6.08,6.29,5.93,6.25,80900,6.25,0.16999999999999993
2011-01-27,6.25,6.28,5.89,5.97,100500,5.97,-0.28000000000000025
2011-01-28,5.95,5.95,5.56,5.6,274600,5.6,-0.35000000000000053
2011-01-31,5.67,5.76,5.5,5.59,109200,5.59,-0.08000000000000007
2011-02-01,5.65,5.8,5.6,5.75,105200,5.75,0.09999999999999964
2011-02-02,5.71,5.84,5.71,5.75,50500,5.75,0.040000000000000036
2011-02-03,5.67,5.7,5.59,5.67,52000,5.67,0.0
2011-02-04,5.65,5.81,5.56,5.76,75300,5.76,0.10999999999999943
2011-02-07,6.15,6.5,5.54,5.7,1937700,5.7,-0.4500000000000002
2011-02-08,5.73,5.95,5.67,5.87,304600,5.87,0.13999999999999968
2011-02-09,5.88,5.92,5.7,5.73,259800,5.73,-0.14999999999999947
2011-02-10,6.12,6.15,5.82,5.91,613700,5.91,-0.20999999999999996
2011-02-11,5.9,5.96,5.88,5.92,208200,5.92,0.019999999999999574
2011-02-14,5.9,6.0,5.79,5.79,307800,5.79,-0.11000000000000032
2011-02-15,5.78,5.93,5.78,5.79,348600,5.79,0.009999999999999787
2011-02-16,5.81,5.93,5.73,5.82,695600,5.82,0.010000000000000675
2011-02-17,5.83,6.0,5.7,5.91,476400,5.91,0.08000000000000007
2011-02-18,5.9,5.95,5.7,5.78,365600,5.78,-0.1200000000000001
2011-02-22,5.69,5.77,5.65,5.7,417500,5.7,0.009999999999999787
2011-02-23,5.7,5.7,5.32,5.48,330900,5.48,-0.21999999999999975
2011-02-24,5.47,5.66,5.4,5.65,233100,5.65,0.1800000000000006
2011-02-25,5.66,5.83,5.5,5.8,217500,5.8,0.13999999999999968
2011-02-28,5.87,5.88,5.61,5.65,148000,5.65,-0.21999999999999975
2011-03-01,5.66,5.68,5.43,5.55,127200,5.55,-0.11000000000000032
2011-03-02,5.53,5.69,5.45,5.69,70900,5.69,0.16000000000000014
2011-03-03,5.74,5.85,5.59,5.82,189600,5.82,0.08000000000000007
2011-03-04,5.8,5.8,5.57,5.8,126900,5.8,0.0
2011-03-07,5.81,6.05,5.58,5.93,472900,5.93,0.1200000000000001
2011-03-08,5.9,6.33,5.9,6.12,269800,6.12,0.21999999999999975
2011-03-09,6.12,6.24,6.03,6.1,140000,6.1,-0.020000000000000462
2011-03-10,6.0,6.02,5.89,5.95,148800,5.95,-0.04999999999999982
2011-03-11,5.92,6.03,5.8,5.98,73000,5.98,0.0600000000000005
2011-03-14,5.88,5.89,5.68,5.74,135500,5.74,-0.13999999999999968
2011-03-15,5.61,5.78,5.53,5.72,258300,5.72,0.10999999999999943
2011-03-16,5.75,5.82,5.74,5.74,129400,5.74,-0.009999999999999787
2011-03-17,5.88,6.0,5.75,5.75,100900,5.75,-0.1299999999999999
2011-03-18,5.82,5.86,5.76,5.86,104100,5.86,0.040000000000000036
2011-03-21,5.94,6.13,5.94,6.06,277000,6.06,0.11999999999999922
2011-03-22,6.09,6.1,6.02,6.05,62300,6.05,-0.040000000000000036
2011-03-23,6.03,6.12,5.94,6.11,156100,6.11,0.08000000000000007
2011-03-24,6.13,6.15,6.05,6.13,59300,6.13,0.0
2011-03-25,6.18,6.2,6.06,6.17,60700,6.17,-0.009999999999999787
2011-03-28,6.17,6.2,6.03,6.19,72200,6.19,0.020000000000000462
2011-03-29,6.18,6.4,6.15,6.34,98200,6.34,0.16000000000000014
2011-03-30,6.4,6.44,6.33,6.34,66400,6.34,-0.0600000000000005
2011-03-31,6.31,6.31,6.0,6.18,78700,6.18,-0.1299999999999999
2011-04-01,6.21,6.41,6.14,6.29,72800,6.29,0.08000000000000007
2011-04-04,6.29,6.3,5.97,6.12,60300,6.12,-0.16999999999999993
2011-04-05,6.09,6.25,5.99,6.21,80800,6.21,0.1200000000000001
2011-04-06,6.31,6.53,6.25,6.46,88300,6.46,0.15000000000000036
2011-04-07,6.49,6.6,6.35,6.41,126000,6.41,-0.08000000000000007
2011-04-08,6.48,6.52,6.39,6.49,151500,6.49,0.009999999999999787
2011-04-11,6.47,6.68,6.47,6.65,166700,6.65,0.1800000000000006
2011-04-12,6.58,6.82,6.57,6.76,393100,6.76,0.17999999999999972
2011-04-13,6.79,7.34,6.73,7.23,350800,7.23,0.4400000000000004
2011-04-14,7.17,7.56,7.03,7.44,144700,7.44,0.27000000000000046
2011-04-15,7.39,7.8,7.39,7.73,170800,7.73,0.34000000000000075
2011-04-18,7.6,7.6,7.29,7.41,113900,7.41,-0.1899999999999995
2011-04-19,7.47,7.69,7.26,7.39,107000,7.39,-0.08000000000000007
2011-04-20,7.53,7.54,7.25,7.39,162100,7.39,-0.14000000000000057
2011-04-21,7.47,7.47,7.21,7.29,150100,7.29,-0.17999999999999972
2011-04-25,7.25,7.29,6.94,6.98,105000,6.98,-0.2699999999999996
2011-04-26,7.04,7.43,7.0,7.3,138400,7.3,0.2599999999999998
2011-04-27,7.28,7.48,7.19,7.31,310100,7.31,0.02999999999999936
2011-04-28,7.31,7.4,7.2,7.36,235000,7.36,0.05000000000000071
2011-04-29,7.39,7.47,7.29,7.41,133000,7.41,0.020000000000000462
2011-05-02,7.42,7.64,7.3,7.5,157000,7.5,0.08000000000000007
2011-05-03,7.49,7.74,7.42,7.71,175000,7.71,0.21999999999999975
2011-05-04,7.69,7.73,7.3,7.51,186100,7.51,-0.1800000000000006
2011-05-05,7.44,7.63,7.24,7.4,227400,7.4,-0.040000000000000036
2011-05-06,7.49,7.58,7.18,7.41,153000,7.41,-0.08000000000000007
2011-05-09,7.37,7.78,7.37,7.73,97000,7.73,0.3600000000000003
2011-05-10,7.8,8.15,7.32,8.12,257300,8.12,0.3199999999999994
2011-05-11,8.06,8.15,7.95,8.06,129500,8.06,0.0
2011-05-12,8.03,8.69,7.83,8.64,156700,8.64,0.6100000000000012
2011-05-13,8.61,8.61,8.1,8.24,90000,8.24,-0.3699999999999992
2011-05-16,8.16,8.32,8.06,8.16,102500,8.16,0.0
2011-05-17,8.09,8.11,7.67,7.86,140500,7.86,-0.22999999999999954
2011-05-18,7.9,7.96,7.7,7.75,121600,7.75,-0.15000000000000036
2011-05-19,7.84,8.16,7.62,8.11,155000,8.11,0.2699999999999996
2011-05-20,8.05,8.17,7.52,7.59,209600,7.59,-0.46000000000000085
2011-05-23,7.43,7.55,7.29,7.43,91300,7.43,0.0
2011-05-24,7.44,7.47,7.09,7.1,78600,7.1,-0.34000000000000075
2011-05-25,7.06,7.52,7.06,7.43,84600,7.43,0.3700000000000001
2011-05-26,7.38,7.89,7.27,7.85,79900,7.85,0.46999999999999975
2011-05-27,7.91,7.98,7.6,7.86,83600,7.86,-0.04999999999999982
2011-05-31,7.99,8.3,7.85,8.29,336400,8.29,0.29999999999999893
2011-06-01,8.25,8.29,7.74,7.8,139000,7.8,-0.4500000000000002
2011-06-02,7.8,8.03,7.58,7.89,45400,7.89,0.08999999999999986
2011-06-03,7.73,7.94,7.6,7.71,86000,7.71,-0.020000000000000462
2011-06-06,7.7,7.77,7.58,7.72,69800,7.72,0.019999999999999574
2011-06-07,7.81,7.99,7.76,7.84,45200,7.84,0.03000000000000025
2011-06-08,7.78,7.95,7.61,7.66,60300,7.66,-0.1200000000000001
2011-06-09,7.75,7.89,7.5,7.76,44500,7.76,0.009999999999999787
2011-06-10,7.69,7.69,7.0,7.02,136000,7.02,-0.6700000000000008
2011-06-13,7.06,7.17,6.85,6.99,99000,6.99,-0.0699999999999994
2011-06-14,7.07,7.3,6.93,7.19,49600,7.19,0.1200000000000001
2011-06-15,7.06,7.23,6.75,6.79,47100,6.79,-0.2699999999999996
2011-06-16,6.81,7.47,6.81,7.45,71700,7.45,0.6400000000000006
2011-06-17,7.5,7.54,6.9,7.01,157600,7.01,-0.4900000000000002
