Date,open,high,low,close,volume,adj_close,diff
2011-01-03,26.12,26.75,26.12,26.38,994900,23.54,0.259999999999998
2011-01-04,26.45,26.52,26.07,26.22,1238100,23.4,-0.23000000000000043
2011-01-05,26.15,27.1,26.08,27.09,985700,24.17,0.9400000000000013
2011-01-06,27.16,27.31,26.87,27.25,592900,24.32,0.08999999999999986
2011-01-07,27.18,27.6,27.14,27.51,761900,24.55,0.33000000000000185
2011-01-10,27.45,27.82,27.25,27.75,916100,24.76,0.3000000000000007
2011-01-11,27.78,28.1,27.74,28.07,670900,25.05,0.28999999999999915
2011-01-12,28.19,28.72,28.09,28.51,1061500,25.44,0.3200000000000003
2011-01-13,28.5,28.67,28.32,28.46,552400,25.4,-0.03999999999999915
2011-01-14,28.5,28.9,28.33,28.64,649100,25.56,0.14000000000000057
2011-01-18,28.58,28.7,28.09,28.41,951100,25.35,-0.16999999999999815
2011-01-19,28.4,28.76,28.27,28.46,1158100,25.4,0.060000000000002274
2011-01-20,28.28,28.51,27.71,27.81,738100,24.82,-0.4700000000000024
2011-01-21,28.0,28.73,27.9,28.39,929700,25.33,0.39000000000000057
2011-01-24,29.0,29.5,28.71,28.89,1530300,25.78,-0.10999999999999943
2011-01-25,28.0,28.6,27.5,27.92,1868100,24.91,-0.0799999999999983
2011-01-26,28.05,28.82,28.02,28.55,1192300,25.48,0.5
2011-01-27,28.5,29.06,28.5,28.83,1273100,25.73,0.3299999999999983
2011-01-28,28.85,28.85,27.97,28.02,948600,25.0,-0.8300000000000018
2011-01-31,28.19,28.47,28.01,28.25,581500,25.21,0.05999999999999872
2011-02-01,28.55,29.23,28.29,28.43,1128600,25.37,-0.120000000000001
2011-02-02,28.3,28.77,28.11,28.74,839300,25.65,0.4399999999999977
2011-02-03,28.81,29.36,28.73,28.76,1309300,25.66,-0.04999999999999716
2011-02-04,28.75,28.75,28.18,28.55,618600,25.48,-0.1999999999999993
2011-02-07,28.58,28.88,28.37,28.74,432300,25.65,0.16000000000000014
2011-02-08,28.77,29.32,28.76,28.88,601200,25.77,0.10999999999999943
2011-02-09,28.76,29.13,28.55,28.98,427100,25.86,0.21999999999999886
2011-02-10,28.85,29.17,28.59,28.7,420900,25.61,-0.15000000000000213
2011-02-11,28.76,29.13,28.58,29.09,521000,25.96,0.3299999999999983
2011-02-14,29.09,29.35,28.49,29.15,1028800,26.01,0.05999999999999872
2011-02-15,28.99,29.67,28.87,29.46,865900,26.29,0.4700000000000024
2011-02-16,29.49,30.5,29.49,30.27,1105200,27.01,0.7800000000000011
2011-02-17,30.1,30.66,29.94,30.19,1545200,26.94,0.08999999999999986
2011-02-18,30.69,30.69,29.85,29.95,692400,26.73,-0.740000000000002
2011-02-22,29.51,29.51,28.91,28.98,712800,25.86,-0.5300000000000011
2011-02-23,29.04,29.5,28.49,28.8,1110000,25.7,-0.23999999999999844
2011-02-24,28.83,29.25,28.57,28.85,893700,25.74,0.020000000000003126
2011-02-25,29.07,29.22,28.83,29.08,645700,25.95,0.00999999999999801
2011-02-28,29.23,29.23,28.52,28.79,762600,25.69,-0.4400000000000013
2011-03-01,28.92,29.13,27.92,28.05,1147700,25.03,-0.870000000000001
2011-03-02,28.02,28.37,27.97,28.16,793100,25.13,0.14000000000000057
2011-03-03,28.49,29.09,28.43,28.77,812100,25.67,0.28000000000000114
2011-03-04,28.73,28.79,28.5,28.67,727300,25.58,-0.05999999999999872
2011-03-07,28.94,29.25,28.13,28.37,787600,25.32,-0.5700000000000003
2011-03-08,28.4,28.83,28.23,28.26,639300,25.22,-0.13999999999999702
2011-03-09,28.26,28.85,27.75,28.25,1639700,25.21,-0.010000000000001563
2011-03-10,27.94,27.95,27.36,27.54,1399600,24.58,-0.40000000000000213
2011-03-11,27.4,27.73,27.15,27.4,780200,24.63,0.0
2011-03-14,27.25,27.5,26.9,27.3,654400,24.54,0.05000000000000071
2011-03-15,26.49,27.6,25.96,27.34,1045800,24.58,0.8500000000000014
2011-03-16,27.34,27.58,26.81,26.98,999500,24.25,-0.35999999999999943
2011-03-17,27.46,27.6,26.89,27.01,766300,24.28,-0.4499999999999993
2011-03-18,27.29,27.34,26.93,27.29,738400,24.53,0.0
2011-03-21,27.63,27.95,27.59,27.83,553200,25.02,0.1999999999999993
2011-03-22,27.89,27.9,27.49,27.54,388800,24.75,-0.3500000000000014
2011-03-23,27.47,27.76,27.25,27.63,326000,24.84,0.16000000000000014
2011-03-24,27.93,27.95,27.46,27.67,410500,24.87,-0.259999999999998
2011-03-25,27.69,28.17,27.52,27.76,699400,24.95,0.07000000000000028
2011-03-28,27.88,28.15,27.72,27.74,488300,24.93,-0.14000000000000057
2011-03-29,27.69,28.24,27.5,28.1,582700,25.26,0.41000000000000014
2011-03-30,28.27,28.9,28.22,28.8,780400,25.89,0.5300000000000011
2011-03-31,28.7,29.02,28.59,28.89,750100,25.97,0.19000000000000128
2011-04-01,29.03,29.41,28.91,29.13,890000,26.18,0.09999999999999787
2011-04-04,29.23,29.43,29.03,29.33,771900,26.36,0.09999999999999787
2011-04-05,29.21,29.28,28.84,28.9,931000,25.98,-0.3100000000000023
2011-04-06,29.09,29.2,28.45,28.85,1008300,25.93,-0.23999999999999844
2011-04-07,28.88,28.99,28.5,28.65,762800,25.75,-0.23000000000000043
2011-04-08,28.75,28.82,28.13,28.46,553200,25.58,-0.28999999999999915
2011-04-11,28.37,28.46,27.83,27.91,686700,25.09,-0.46000000000000085
2011-04-12,27.86,28.32,27.61,27.74,720600,24.93,-0.120000000000001
2011-04-13,27.95,28.06,27.54,27.95,802100,25.12,0.0
2011-04-14,27.7,28.03,27.56,27.85,692800,25.03,0.15000000000000213
2011-04-15,27.96,28.46,27.91,28.17,1555400,25.32,0.21000000000000085
2011-04-18,27.88,28.02,27.34,27.57,1558000,24.78,-0.3099999999999987
2011-04-19,27.78,29.19,27.24,28.86,4086500,25.94,1.0799999999999983
2011-04-20,29.3,29.3,27.8,27.89,2374000,25.07,-1.4100000000000001
2011-04-21,28.0,28.09,27.53,27.89,1576300,25.07,-0.10999999999999943
2011-04-25,27.89,27.89,27.03,27.48,1635000,24.7,-0.41000000000000014
2011-04-26,27.56,27.95,27.43,27.85,789100,25.03,0.2900000000000027
2011-04-27,27.97,28.23,27.48,28.2,1349200,25.35,0.23000000000000043
2011-04-28,28.1,28.63,28.07,28.5,1376500,25.62,0.3999999999999986
2011-04-29,28.5,28.59,28.05,28.53,812000,25.64,0.030000000000001137
2011-05-02,28.57,28.74,28.4,28.5,873300,25.62,-0.07000000000000028
2011-05-03,28.4,28.51,27.85,28.2,726000,25.35,-0.1999999999999993
2011-05-04,28.21,28.28,27.71,28.06,967800,25.22,-0.15000000000000213
2011-05-05,27.84,28.41,27.71,28.09,645700,25.25,0.25
2011-05-06,28.47,28.67,28.21,28.39,816800,25.52,-0.0799999999999983
2011-05-09,28.43,28.8,28.17,28.77,511600,25.86,0.33999999999999986
2011-05-10,28.79,29.36,28.7,29.14,1247600,26.19,0.3500000000000014
2011-05-11,29.15,29.27,29.09,29.23,990200,26.27,0.08000000000000185
2011-05-12,29.15,29.76,29.1,29.6,962000,26.61,0.45000000000000284
2011-05-13,29.61,29.88,28.84,29.07,869900,26.13,-0.5399999999999991
2011-05-16,28.92,29.28,28.86,29.03,575400,26.09,0.10999999999999943
2011-05-17,28.86,29.07,28.32,28.53,954700,25.64,-0.3299999999999983
2011-05-18,28.47,29.08,28.41,29.02,1243900,26.09,0.5500000000000007
2011-05-19,29.14,29.2,28.88,29.01,494700,26.08,-0.129999999999999
2011-05-20,29.01,29.12,28.7,28.89,677700,25.97,-0.120000000000001
2011-05-23,28.56,28.62,28.15,28.26,1122800,25.4,-0.29999999999999716
2011-05-24,28.35,28.52,28.14,28.21,711300,25.36,-0.14000000000000057
2011-05-25,28.21,28.57,28.11,28.48,556100,25.6,0.2699999999999996
2011-05-26,28.32,28.65,28.17,28.54,621900,25.65,0.21999999999999886
2011-05-27,28.69,28.88,28.51,28.64,550100,25.74,-0.05000000000000071
2011-05-31,28.91,29.1,28.61,29.1,778400,26.16,0.19000000000000128
2011-06-01,29.08,29.17,28.27,28.3,489100,25.44,-0.7799999999999976
2011-06-02,28.35,28.45,27.84,27.89,798600,25.07,-0.46000000000000085
2011-06-03,27.37,27.57,27.21,27.25,838600,24.49,-0.120000000000001
2011-06-06,27.19,27.26,26.61,26.83,1116500,24.12,-0.360000000000003
2011-06-07,28.43,28.87,28.12,28.49,3306900,25.61,0.05999999999999872
2011-06-08,28.55,28.56,28.17,28.41,2295400,25.54,-0.14000000000000057
2011-06-09,28.42,29.13,28.31,29.03,1166000,26.09,0.6099999999999994
2011-06-10,28.95,29.01,28.52,28.75,901300,25.84,-0.1999999999999993
2011-06-13,28.54,28.77,28.22,28.54,1657400,25.83,0.0
2011-06-14,28.81,29.25,28.68,29.15,1185400,26.39,0.33999999999999986
2011-06-15,28.83,29.01,27.27,27.3,2378000,24.71,-1.5299999999999976
2011-06-16,27.24,27.42,26.63,26.9,2776600,24.35,-0.33999999999999986
2011-06-17,27.22,27.29,26.59,26.62,3023000,24.1,-0.5999999999999979
2011-06-20,26.63,26.82,26.26,26.33,2782500,23.83,-0.3000000000000007
2011-06-21,27.05,27.69,27.0,27.13,2080200,24.56,0.0799999999999983
2011-06-22,27.07,27.47,26.97,27.22,1621100,24.64,0.14999999999999858
2011-06-23,26.84,27.31,26.66,27.21,1145600,24.63,0.370000000000001
2011-06-24,27.23,27.4,27.03,27.14,1468500,24.57,-0.08999999999999986
2011-06-27,27.1,27.62,27.1,27.3,681700,24.71,0.1999999999999993
2011-06-28,27.45,27.65,27.32,27.54,1315500,24.93,0.08999999999999986
2011-06-29,27.74,27.74,27.29,27.53,988900,24.92,-0.2099999999999973
2011-06-30,27.64,28.05,27.58,27.99,1489600,25.34,0.34999999999999787
2011-07-01,28.06,28.88,28.04,28.7,1294000,25.98,0.6400000000000006
2011-07-05,28.66,28.75,28.22,28.33,1241100,25.64,-0.33000000000000185
2011-07-06,28.28,28.81,28.24,28.73,986500,26.01,0.4499999999999993
2011-07-07,28.97,29.19,28.87,28.95,984600,26.2,-0.019999999999999574
2011-07-08,28.55,28.83,28.51,28.82,623600,26.09,0.2699999999999996
2011-07-11,28.44,28.55,28.11,28.25,683800,25.57,-0.19000000000000128
2011-07-12,28.16,28.25,27.82,27.89,1018000,25.25,-0.2699999999999996
