Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.96,6.96,6.85,6.88,266600,5.26,-0.08000000000000007
2011-01-04,6.86,6.91,6.86,6.87,124200,5.25,0.009999999999999787
2011-01-05,6.87,6.9,6.82,6.9,182300,5.27,0.03000000000000025
2011-01-06,6.85,6.93,6.84,6.84,115400,5.23,-0.009999999999999787
2011-01-07,6.88,6.9,6.83,6.83,96500,5.22,-0.04999999999999982
2011-01-10,6.8,6.87,6.72,6.72,184400,5.14,-0.08000000000000007
2011-01-11,6.75,6.77,6.71,6.72,182200,5.14,-0.03000000000000025
2011-01-12,6.74,6.74,6.6,6.62,408400,5.06,-0.1200000000000001
2011-01-13,6.6,6.63,6.56,6.6,327600,5.05,0.0
2011-01-14,6.51,6.57,6.41,6.57,646400,5.02,0.0600000000000005
2011-01-18,6.65,6.67,6.51,6.65,312700,5.08,0.0
2011-01-19,6.62,6.66,6.53,6.62,339600,5.06,0.0
2011-01-20,6.54,6.68,6.52,6.68,195200,5.14,0.13999999999999968
2011-01-21,6.69,6.75,6.67,6.72,294400,5.17,0.02999999999999936
2011-01-24,6.74,6.82,6.69,6.82,247900,5.25,0.08000000000000007
2011-01-25,6.85,6.86,6.8,6.85,221300,5.27,0.0
2011-01-26,6.84,6.88,6.81,6.81,180600,5.24,-0.03000000000000025
2011-01-27,6.8,6.84,6.75,6.77,180700,5.21,-0.03000000000000025
2011-01-28,6.81,6.81,6.71,6.71,146900,5.16,-0.09999999999999964
2011-01-31,6.75,6.77,6.69,6.74,118000,5.19,-0.009999999999999787
2011-02-01,6.79,6.79,6.75,6.77,144000,5.21,-0.020000000000000462
2011-02-02,6.81,6.83,6.78,6.82,207400,5.25,0.010000000000000675
2011-02-03,6.81,6.86,6.78,6.81,173100,5.24,0.0
2011-02-04,6.81,6.86,6.79,6.86,203600,5.28,0.05000000000000071
2011-02-07,6.86,6.89,6.83,6.83,221200,5.26,-0.03000000000000025
2011-02-08,6.85,6.88,6.81,6.87,184300,5.29,0.020000000000000462
2011-02-09,6.87,6.93,6.82,6.85,243600,5.27,-0.020000000000000462
2011-02-10,6.84,6.89,6.84,6.89,117100,5.3,0.04999999999999982
2011-02-11,6.87,7.0,6.87,6.99,193000,5.38,0.1200000000000001
2011-02-14,6.99,7.02,6.94,7.02,113900,5.4,0.02999999999999936
2011-02-15,6.92,7.01,6.92,6.95,212000,5.35,0.03000000000000025
2011-02-16,6.99,7.03,6.97,7.03,187700,5.41,0.040000000000000036
2011-02-17,7.0,7.05,6.94,7.0,262100,5.42,0.0
2011-02-18,6.98,7.02,6.93,6.94,165100,5.37,-0.040000000000000036
2011-02-22,6.81,6.94,6.78,6.79,180500,5.26,-0.019999999999999574
2011-02-23,6.83,6.89,6.75,6.81,168200,5.27,-0.020000000000000462
2011-02-24,6.85,6.92,6.77,6.92,187300,5.36,0.07000000000000028
2011-02-25,6.92,6.94,6.91,6.93,71600,5.37,0.009999999999999787
2011-02-28,6.91,6.99,6.91,6.98,78100,5.41,0.07000000000000028
2011-03-01,7.02,7.03,6.98,7.0,192300,5.42,-0.019999999999999574
2011-03-02,6.99,7.0,6.93,6.93,153300,5.37,-0.0600000000000005
2011-03-03,6.97,6.99,6.91,6.91,131900,5.35,-0.05999999999999961
2011-03-04,6.88,6.95,6.88,6.91,112100,5.35,0.03000000000000025
2011-03-07,6.96,6.96,6.91,6.93,97300,5.37,-0.03000000000000025
2011-03-08,6.92,6.99,6.92,6.99,83300,5.41,0.07000000000000028
2011-03-09,6.99,6.99,6.92,6.93,106700,5.37,-0.0600000000000005
2011-03-10,6.95,6.98,6.93,6.98,71200,5.41,0.03000000000000025
2011-03-11,6.97,6.99,6.89,6.95,144600,5.38,-0.019999999999999574
2011-03-14,6.97,6.97,6.91,6.94,100900,5.37,-0.02999999999999936
2011-03-15,6.92,6.95,6.9,6.94,97900,5.37,0.020000000000000462
2011-03-16,6.96,6.96,6.84,6.9,152200,5.34,-0.05999999999999961
2011-03-17,6.94,6.94,6.87,6.87,67000,5.32,-0.07000000000000028
2011-03-18,6.93,6.95,6.89,6.95,131300,5.38,0.020000000000000462
2011-03-21,6.93,6.98,6.92,6.98,135600,5.41,0.05000000000000071
2011-03-22,6.97,6.97,6.87,6.91,118400,5.38,-0.05999999999999961
2011-03-23,6.9,6.95,6.89,6.89,77200,5.37,-0.010000000000000675
2011-03-24,6.92,6.92,6.88,6.89,74900,5.37,-0.03000000000000025
2011-03-25,6.9,6.91,6.88,6.88,87900,5.36,-0.020000000000000462
2011-03-28,6.9,6.92,6.89,6.89,78600,5.37,-0.010000000000000675
