Date,open,high,low,close,volume,adj_close,diff
2011-01-03,13.46,13.94,13.19,13.65,244900,13.45,0.1899999999999995
2011-01-04,13.74,13.85,13.51,13.84,271700,13.64,0.09999999999999964
2011-01-05,13.21,14.0,13.07,13.9,362200,13.7,0.6899999999999995
2011-01-06,13.95,14.22,13.83,14.16,346200,13.95,0.21000000000000085
2011-01-07,14.22,14.27,13.84,13.96,438500,13.75,-0.2599999999999998
2011-01-10,13.85,14.66,13.83,14.44,372800,14.23,0.5899999999999999
2011-01-11,14.51,14.54,13.8,13.91,358700,13.71,-0.5999999999999996
2011-01-12,14.1,14.4,13.69,14.17,176200,13.96,0.07000000000000028
2011-01-13,14.2,14.2,13.49,13.55,237900,13.35,-0.6499999999999986
2011-01-14,13.55,14.5,13.3,14.5,500400,14.29,0.9499999999999993
2011-01-18,14.37,14.7,14.1,14.7,314700,14.48,0.33000000000000007
2011-01-19,14.62,15.09,14.32,14.4,966400,14.19,-0.21999999999999886
2011-01-20,14.86,15.42,14.79,14.9,459900,14.68,0.040000000000000924
2011-01-21,15.02,15.21,14.6,14.61,333700,14.39,-0.41000000000000014
2011-01-24,14.54,14.7,14.4,14.5,274300,14.29,-0.03999999999999915
2011-01-25,14.41,14.42,14.03,14.29,324500,14.08,-0.120000000000001
2011-01-26,14.33,14.59,14.12,14.23,183800,14.02,-0.09999999999999964
2011-01-27,14.21,14.59,14.14,14.45,178400,14.24,0.23999999999999844
2011-01-28,14.41,14.46,13.9,13.91,209600,13.71,-0.5
2011-01-31,13.99,14.02,13.68,13.76,317500,13.56,-0.23000000000000043
2011-02-01,13.91,14.33,13.83,14.11,274100,13.9,0.1999999999999993
2011-02-02,14.03,14.2,13.94,13.96,162800,13.75,-0.06999999999999851
2011-02-03,13.9,14.42,13.9,14.37,306000,14.16,0.46999999999999886
2011-02-04,14.34,14.47,14.22,14.42,203200,14.21,0.08000000000000007
2011-02-07,14.42,14.84,14.4,14.81,220400,14.59,0.39000000000000057
2011-02-08,14.76,14.84,14.43,14.64,148500,14.42,-0.11999999999999922
2011-02-09,14.54,14.63,14.39,14.61,180300,14.39,0.07000000000000028
2011-02-10,14.49,14.61,14.39,14.47,263100,14.26,-0.019999999999999574
2011-02-11,14.41,14.94,14.4,14.82,168200,14.6,0.41000000000000014
2011-02-14,14.8,15.25,14.71,15.25,414100,15.03,0.4499999999999993
2011-02-15,15.19,15.45,15.18,15.21,302900,14.99,0.02000000000000135
2011-02-16,15.27,15.46,15.12,15.38,196600,15.15,0.11000000000000121
2011-02-17,15.37,15.46,15.14,15.36,96500,15.13,-0.009999999999999787
2011-02-18,15.46,15.6,15.37,15.6,162000,15.37,0.1399999999999988
2011-02-22,15.32,15.48,15.0,15.34,224000,15.11,0.019999999999999574
2011-02-23,15.34,15.44,15.02,15.07,189900,14.85,-0.2699999999999996
2011-02-24,14.99,15.09,14.82,14.97,207700,14.75,-0.019999999999999574
2011-02-25,15.0,15.58,14.84,15.57,155300,15.34,0.5700000000000003
2011-02-28,15.64,16.03,15.6,15.95,254500,15.72,0.3099999999999987
2011-03-01,16.01,16.19,15.96,15.99,321100,15.75,-0.02000000000000135
2011-03-02,15.95,16.08,15.72,15.91,192400,15.68,-0.03999999999999915
2011-03-03,16.1,16.83,16.0,16.6,241300,16.36,0.5
2011-03-04,16.6,16.72,16.33,16.49,225200,16.25,-0.11000000000000298
2011-03-07,16.62,16.66,15.85,15.92,232100,15.69,-0.7000000000000011
2011-03-08,15.93,16.5,15.58,16.24,232200,16.0,0.3099999999999987
2011-03-09,16.24,16.31,16.08,16.22,125400,15.98,-0.019999999999999574
2011-03-10,16.13,16.13,15.51,15.62,226300,15.39,-0.5099999999999998
2011-03-11,15.5,15.72,15.27,15.61,136300,15.38,0.10999999999999943
2011-03-14,15.42,15.55,15.2,15.35,96100,15.12,-0.07000000000000028
2011-03-15,14.82,15.51,14.76,15.46,160400,15.23,0.6400000000000006
2011-03-16,15.44,15.57,15.06,15.21,216000,14.99,-0.22999999999999865
2011-03-17,15.47,15.5,15.16,15.34,130400,15.11,-0.13000000000000078
2011-03-18,15.52,15.65,15.44,15.59,341100,15.36,0.07000000000000028
2011-03-21,15.72,15.94,15.66,15.86,211900,15.63,0.1399999999999988
2011-03-22,15.87,16.0,15.77,15.77,120900,15.54,-0.09999999999999964
2011-03-23,15.68,15.76,15.37,15.73,141000,15.5,0.05000000000000071
2011-03-24,15.81,15.83,15.69,15.76,117400,15.53,-0.05000000000000071
2011-03-25,15.83,15.97,15.55,15.56,199000,15.33,-0.2699999999999996
2011-03-28,15.62,16.02,15.53,15.63,191500,15.4,0.010000000000001563
2011-03-29,15.65,16.02,15.65,15.86,86200,15.63,0.20999999999999908
2011-03-30,15.89,16.43,15.84,16.31,128200,16.07,0.41999999999999815
2011-03-31,16.25,16.6,16.25,16.54,159600,16.3,0.28999999999999915
2011-04-01,16.65,16.65,16.3,16.49,94500,16.25,-0.16000000000000014
2011-04-04,16.5,16.85,16.5,16.78,97700,16.53,0.28000000000000114
2011-04-05,16.73,16.91,16.33,16.45,147100,16.21,-0.28000000000000114
2011-04-06,16.55,16.84,16.36,16.82,107400,16.57,0.2699999999999996
2011-04-07,16.85,16.93,16.58,16.82,167400,16.57,-0.030000000000001137
2011-04-08,16.92,16.92,16.5,16.55,86700,16.31,-0.370000000000001
2011-04-11,16.52,16.74,16.38,16.4,63700,16.16,-0.120000000000001
2011-04-12,16.28,16.48,15.88,16.24,92700,16.0,-0.0400000000000027
2011-04-13,16.38,16.4,16.07,16.15,118800,15.91,-0.23000000000000043
2011-04-14,16.01,16.14,15.94,16.08,162000,15.84,0.06999999999999673
2011-04-15,16.04,16.26,15.81,16.08,95800,15.84,0.03999999999999915
2011-04-18,16.4,16.47,15.82,15.84,119700,15.61,-0.5599999999999987
2011-04-19,15.9,16.48,15.3,15.38,226200,15.15,-0.5199999999999996
2011-04-20,15.61,15.67,14.4,15.36,1599700,15.13,-0.25
2011-04-21,15.43,15.51,15.25,15.41,299300,15.18,-0.019999999999999574
2011-04-25,15.33,15.64,15.24,15.31,151600,15.08,-0.019999999999999574
2011-04-26,15.34,15.59,15.18,15.46,146600,15.23,0.120000000000001
2011-04-27,15.45,15.58,15.36,15.58,199000,15.35,0.13000000000000078
2011-04-28,15.52,16.12,15.52,16.1,144000,15.86,0.5800000000000018
2011-04-29,16.15,16.23,15.97,16.07,181000,15.83,-0.0799999999999983
2011-05-02,16.14,16.34,15.97,16.06,288000,15.82,-0.08000000000000185
2011-05-03,16.01,16.35,15.66,15.79,163000,15.56,-0.22000000000000242
2011-05-04,15.77,15.77,15.3,15.56,224500,15.33,-0.20999999999999908
2011-05-05,15.42,15.7,15.16,15.36,131900,15.13,-0.0600000000000005
2011-05-06,15.59,15.88,15.44,15.56,154000,15.33,-0.02999999999999936
2011-05-09,15.51,15.68,15.29,15.46,84000,15.23,-0.049999999999998934
2011-05-10,15.53,16.02,15.42,15.77,155700,15.54,0.2400000000000002
2011-05-11,15.73,15.74,15.32,15.63,154600,15.4,-0.09999999999999964
2011-05-12,15.51,15.94,15.38,15.82,159200,15.59,0.3100000000000005
2011-05-13,15.77,15.85,15.45,15.46,128000,15.23,-0.3099999999999987
2011-05-16,15.34,15.52,15.17,15.26,102000,15.04,-0.08000000000000007
2011-05-17,15.18,15.6,15.08,15.4,140600,15.17,0.22000000000000064
2011-05-18,15.42,15.58,15.32,15.51,109100,15.28,0.08999999999999986
2011-05-19,15.59,15.64,15.19,15.57,104700,15.34,-0.019999999999999574
2011-05-20,15.47,15.6,15.31,15.42,151300,15.19,-0.05000000000000071
2011-05-23,15.16,15.4,15.02,15.04,140400,14.82,-0.120000000000001
2011-05-24,15.09,15.22,14.79,15.04,149000,14.82,-0.05000000000000071
2011-05-25,14.98,15.32,14.91,15.16,112500,14.94,0.17999999999999972
2011-05-26,15.1,15.27,14.85,15.07,105100,14.85,-0.02999999999999936
2011-05-27,15.16,15.33,15.01,15.15,114200,14.93,-0.009999999999999787
2011-05-31,15.35,15.51,15.15,15.51,215800,15.28,0.16000000000000014
