Date,open,high,low,close,volume,adj_close,diff
2011-01-03,12.4,12.58,12.21,12.53,240500,8.34,0.129999999999999
2011-01-04,12.58,12.63,12.28,12.42,201200,8.27,-0.16000000000000014
2011-01-05,12.42,12.59,12.27,12.59,170000,8.38,0.16999999999999993
2011-01-06,12.56,12.56,12.29,12.31,278900,8.2,-0.25
2011-01-07,12.31,12.45,12.1,12.25,211300,8.16,-0.0600000000000005
2011-01-10,12.14,12.48,12.0,12.45,371500,8.29,0.3099999999999987
2011-01-11,12.48,12.48,12.23,12.39,206800,8.25,-0.08999999999999986
2011-01-12,12.37,12.53,12.31,12.53,268000,8.34,0.16000000000000014
2011-01-13,12.48,12.53,12.38,12.45,183400,8.29,-0.030000000000001137
2011-01-14,12.43,12.59,12.35,12.57,192000,8.37,0.14000000000000057
2011-01-18,12.58,12.62,12.5,12.62,236200,8.4,0.03999999999999915
2011-01-19,12.63,12.63,12.2,12.26,239300,8.16,-0.370000000000001
2011-01-20,12.17,12.29,12.01,12.07,202600,8.04,-0.09999999999999964
2011-01-21,12.14,12.36,12.12,12.2,209800,8.12,0.05999999999999872
2011-01-24,12.24,12.46,12.05,12.33,192000,8.21,0.08999999999999986
2011-01-25,12.34,12.43,12.15,12.43,169000,8.28,0.08999999999999986
2011-01-26,12.45,12.69,12.35,12.44,155300,8.28,-0.009999999999999787
2011-01-27,12.48,12.65,12.48,12.56,164800,8.36,0.08000000000000007
2011-01-28,12.58,12.66,12.16,12.16,186900,8.1,-0.41999999999999993
2011-01-31,12.19,12.31,12.1,12.1,257900,8.06,-0.08999999999999986
2011-02-01,12.17,12.52,12.11,12.43,191100,8.28,0.2599999999999998
2011-02-02,12.5,12.62,12.41,12.5,216600,8.32,0.0
2011-02-03,12.56,12.99,12.56,12.95,502500,8.62,0.3899999999999988
2011-02-04,12.95,13.0,12.85,12.96,280400,8.63,0.010000000000001563
2011-02-07,12.97,13.19,12.94,13.05,189700,8.69,0.08000000000000007
2011-02-08,12.43,12.6,12.41,12.5,12228400,8.32,0.07000000000000028
2011-02-09,12.5,12.59,12.47,12.56,1048800,8.36,0.0600000000000005
2011-02-10,12.57,12.64,12.45,12.56,687500,8.36,-0.009999999999999787
2011-02-11,12.55,12.62,12.5,12.59,648600,8.38,0.03999999999999915
2011-02-14,12.64,12.65,12.55,12.63,385100,8.41,-0.009999999999999787
2011-02-15,12.59,12.75,12.55,12.75,683100,8.49,0.16000000000000014
2011-02-16,12.77,12.77,12.65,12.75,620100,8.49,-0.019999999999999574
2011-02-17,12.75,12.83,12.65,12.78,444900,8.51,0.02999999999999936
2011-02-18,12.83,12.85,12.75,12.81,372700,8.53,-0.019999999999999574
2011-02-22,12.76,12.84,12.45,12.47,695200,8.3,-0.28999999999999915
2011-02-23,12.51,12.7,12.21,12.39,575200,8.25,-0.11999999999999922
2011-02-24,12.44,12.7,12.3,12.69,602500,8.45,0.25
2011-02-25,12.75,12.86,12.68,12.85,616100,8.56,0.09999999999999964
