Date,open,high,low,close,volume,adj_close,diff
2011-01-03,34.95,35.33,34.95,35.17,83700,35.15,0.21999999999999886
2011-01-04,35.27,35.45,34.94,35.04,10700,35.02,-0.23000000000000398
2011-01-05,35.04,35.7,35.04,35.7,9200,35.68,0.6600000000000037
2011-01-06,35.85,35.89,35.55,35.78,12700,35.76,-0.07000000000000028
2011-01-07,35.96,35.96,35.44,35.73,7600,35.71,-0.23000000000000398
2011-01-10,35.6,35.87,35.46,35.87,14400,35.85,0.269999999999996
2011-01-11,36.05,36.2,35.97,36.06,32100,36.04,0.010000000000005116
2011-01-12,36.36,36.38,36.2,36.23,20700,36.21,-0.13000000000000256
2011-01-13,36.5,36.56,36.35,36.35,6600,36.33,-0.14999999999999858
2011-01-14,36.45,36.77,36.41,36.77,3600,36.75,0.3200000000000003
2011-01-18,36.87,36.98,36.83,36.96,7400,36.94,0.09000000000000341
2011-01-19,36.98,36.98,36.2,36.25,9100,36.23,-0.7299999999999969
2011-01-20,36.02,36.02,35.65,35.8,4000,35.78,-0.22000000000000597
2011-01-21,36.08,36.09,35.42,35.42,27000,35.4,-0.6599999999999966
2011-01-24,35.1,35.66,35.08,35.63,21900,35.61,0.5300000000000011
2011-01-25,35.55,35.59,35.28,35.59,8900,35.57,0.04000000000000625
2011-01-26,35.6,35.71,35.34,35.66,50400,35.64,0.05999999999999517
2011-01-27,35.79,36.4,35.79,36.26,6300,36.24,0.46999999999999886
2011-01-28,36.39,36.39,35.68,35.72,9600,35.7,-0.6700000000000017
2011-01-31,35.91,36.09,34.5,35.95,59100,35.93,0.04000000000000625
2011-02-01,36.5,36.93,36.49,36.82,28300,36.8,0.3200000000000003
2011-02-02,36.83,37.14,36.8,36.99,10300,36.97,0.1600000000000037
2011-02-03,37.09,37.28,36.88,37.19,10400,37.17,0.09999999999999432
2011-02-04,37.19,37.5,37.03,37.44,21600,37.42,0.25
2011-02-07,37.53,37.83,37.53,37.59,19100,37.57,0.060000000000002274
2011-02-08,37.81,37.85,37.58,37.82,8300,37.8,0.00999999999999801
2011-02-09,37.92,38.13,37.86,37.87,11400,37.85,-0.05000000000000426
2011-02-10,37.63,38.41,37.6,38.38,10500,38.36,0.75
2011-02-11,38.17,38.6,38.14,38.55,24100,38.53,0.37999999999999545
