Date,open,high,low,close,volume,adj_close,diff
2011-01-03,15.58,16.09,15.33,16.07,484200,16.07,0.4900000000000002
2011-01-04,16.13,16.18,15.5,15.76,286000,15.76,-0.3699999999999992
2011-01-05,15.72,16.22,15.63,16.07,210800,16.07,0.34999999999999964
2011-01-06,16.05,16.22,15.77,16.12,182000,16.12,0.07000000000000028
2011-01-07,16.15,16.18,15.69,15.88,183400,15.88,-0.2699999999999978
2011-01-10,15.43,15.9,15.39,15.82,182500,15.82,0.39000000000000057
2011-01-11,15.83,16.18,15.7,16.13,355000,16.13,0.29999999999999893
2011-01-12,16.19,16.83,15.98,16.47,733500,16.47,0.2799999999999976
2011-01-13,16.48,17.34,16.2,17.25,566800,17.25,0.7699999999999996
2011-01-14,17.29,17.47,17.15,17.37,281600,17.37,0.08000000000000185
2011-01-18,17.2,17.5,17.1,17.5,168900,17.5,0.3000000000000007
2011-01-19,17.42,17.48,16.95,17.0,318600,17.0,-0.4200000000000017
2011-01-20,16.92,17.2,16.55,16.99,318300,16.99,0.06999999999999673
2011-01-21,17.05,17.27,16.93,16.99,282800,16.99,-0.060000000000002274
2011-01-24,16.96,17.41,16.96,17.08,155600,17.08,0.11999999999999744
2011-01-25,16.95,17.03,16.52,16.86,177100,16.86,-0.08999999999999986
2011-01-26,16.93,17.19,16.8,17.06,440300,17.06,0.129999999999999
2011-01-27,17.04,17.12,16.85,17.02,141200,17.02,-0.019999999999999574
2011-01-28,16.98,17.07,16.48,16.61,219500,16.61,-0.370000000000001
2011-01-31,16.71,17.14,16.65,17.03,239700,17.03,0.3200000000000003
2011-02-01,17.09,17.49,16.85,17.37,264300,17.37,0.28000000000000114
2011-02-02,17.38,17.64,17.17,17.36,216100,17.36,-0.019999999999999574
2011-02-03,17.37,17.4,17.09,17.32,218400,17.32,-0.05000000000000071
2011-02-04,17.27,17.43,17.0,17.23,142800,17.23,-0.03999999999999915
2011-02-07,17.23,17.61,17.05,17.48,190700,17.48,0.25
2011-02-08,17.41,17.75,17.26,17.71,133900,17.71,0.3000000000000007
2011-02-09,17.59,17.59,17.25,17.57,211300,17.57,-0.019999999999999574
2011-02-10,17.46,17.71,17.43,17.61,127800,17.61,0.14999999999999858
2011-02-11,17.57,18.03,17.36,18.0,184900,18.0,0.4299999999999997
2011-02-14,18.0,18.1,17.83,17.85,208300,17.85,-0.14999999999999858
2011-02-15,17.74,17.85,17.57,17.64,227200,17.64,-0.09999999999999787
