Date,open,high,low,close,volume,adj_close,diff
2011-01-03,36.59,37.4,35.64,36.53,2500,31.83,-0.060000000000002274
2011-01-04,36.53,36.53,36.53,36.53,100,31.83,0.0
2011-01-05,36.92,38.0,36.63,37.98,3200,33.1,1.0599999999999952
2011-01-06,36.52,39.5,36.52,39.47,4800,34.39,2.9499999999999957
2011-01-07,38.47,39.87,38.47,38.74,6200,33.76,0.2700000000000031
2011-01-10,38.46,38.46,36.52,36.52,5000,31.82,-1.9399999999999977
2011-01-11,36.95,36.95,36.75,36.75,1700,32.02,-0.20000000000000284
2011-01-12,36.99,36.99,36.52,36.52,1000,31.82,-0.46999999999999886
2011-01-13,36.75,37.0,36.75,36.98,2700,32.22,0.22999999999999687
2011-01-14,36.54,36.54,36.52,36.52,600,31.82,-0.01999999999999602
2011-01-18,36.01,36.34,35.52,35.7,3000,31.11,-0.30999999999999517
2011-01-19,35.7,35.75,35.3,35.3,2200,30.76,-0.4000000000000057
2011-01-20,35.46,35.46,35.02,35.11,4200,30.59,-0.3500000000000014
2011-01-21,38.48,40.9,37.0,38.3,19000,33.37,-0.17999999999999972
2011-01-24,38.5,38.5,37.98,38.24,4800,33.32,-0.259999999999998
2011-01-25,37.77,37.77,36.75,37.21,6800,32.42,-0.5600000000000023
2011-01-26,37.07,37.85,36.66,37.85,1900,32.98,0.7800000000000011
2011-01-27,37.99,38.4,37.99,38.4,2400,33.46,0.4099999999999966
2011-01-28,38.5,39.5,37.92,38.5,4700,33.55,0.0
2011-01-31,37.93,38.63,37.88,38.23,1900,33.31,0.29999999999999716
2011-02-01,38.5,38.93,38.37,38.43,3300,33.49,-0.07000000000000028
2011-02-02,38.07,40.26,38.04,38.21,2100,33.3,0.14000000000000057
2011-02-03,38.0,41.5,37.54,40.49,16200,35.28,2.490000000000002
2011-02-04,40.21,41.0,40.01,40.8,5800,35.55,0.5899999999999963
2011-02-07,40.8,40.8,39.22,39.22,600,34.18,-1.5799999999999983
2011-02-08,40.56,42.62,40.56,41.03,5600,35.75,0.46999999999999886
2011-02-09,41.39,43.48,41.0,42.75,4400,37.25,1.3599999999999994
2011-02-10,42.7,42.7,40.73,40.73,700,35.49,-1.970000000000006
2011-02-11,41.59,41.59,41.06,41.06,500,35.78,-0.5300000000000011
2011-02-14,41.72,44.28,40.93,42.0,8600,36.6,0.28000000000000114
2011-02-15,42.99,43.01,42.47,42.87,7400,37.36,-0.12000000000000455
2011-02-16,42.75,45.0,42.02,42.9,32800,37.38,0.14999999999999858
2011-02-17,42.9,42.9,42.9,42.9,0,37.38,0.0
2011-02-18,42.11,45.87,42.11,45.0,11000,39.21,2.8900000000000006
2011-02-22,44.87,44.87,42.39,42.39,6300,36.94,-2.479999999999997
2011-02-23,43.14,43.14,42.02,42.02,1700,36.62,-1.1199999999999974
2011-02-24,42.07,42.5,42.0,42.02,3600,36.62,-0.04999999999999716
2011-02-25,42.87,45.03,42.87,44.75,8100,38.99,1.8800000000000026
2011-02-28,44.19,44.37,42.57,43.17,1300,37.62,-1.019999999999996
2011-03-01,43.5,43.5,41.06,43.5,1200,37.91,0.0
2011-03-02,43.5,43.53,43.5,43.5,1000,37.91,0.0
2011-03-03,42.0,44.85,41.66,44.75,6000,38.99,2.75
2011-03-04,44.01,44.68,42.87,44.43,3900,38.72,0.4200000000000017
2011-03-07,44.35,44.35,44.35,44.35,200,38.65,0.0
2011-03-08,43.15,43.95,41.4,43.95,1500,38.3,0.8000000000000043
2011-03-09,43.6,43.6,43.6,43.6,300,37.99,0.0
2011-03-10,42.16,43.47,41.7,42.0,2500,36.6,-0.1599999999999966
2011-03-11,42.01,42.97,41.68,42.57,2500,37.32,0.5600000000000023
2011-03-14,43.16,43.16,41.81,42.2,900,36.99,-0.9599999999999937
2011-03-15,41.76,42.2,40.16,40.53,1300,35.53,-1.2299999999999969
2011-03-16,40.59,40.59,40.21,40.21,1700,35.25,-0.38000000000000256
2011-03-17,41.65,41.7,41.65,41.7,700,36.55,0.05000000000000426
2011-03-18,42.2,44.0,42.2,43.97,3200,38.54,1.769999999999996
2011-03-21,43.66,44.62,42.61,44.0,6200,38.57,0.3400000000000034
2011-03-22,42.28,45.0,42.28,45.0,8300,39.45,2.719999999999999
2011-03-23,42.75,46.0,42.75,45.18,5800,39.61,2.4299999999999997
2011-03-24,45.74,46.23,45.0,45.0,2200,39.45,-0.740000000000002
2011-03-25,44.0,44.95,43.2,44.95,1200,39.4,0.9500000000000028
2011-03-28,44.95,44.95,44.55,44.55,1000,39.05,-0.4000000000000057
2011-03-29,43.9,47.85,43.9,47.05,6700,41.24,3.1499999999999986
2011-03-30,47.49,47.83,46.03,46.15,15000,40.46,-1.3400000000000034
2011-03-31,47.75,48.0,46.0,46.75,3700,40.98,-1.0
2011-04-01,46.75,46.75,46.75,46.75,0,40.98,0.0
2011-04-04,46.75,49.0,46.75,48.5,3700,42.52,1.75
2011-04-05,48.05,48.05,44.65,45.5,11600,39.89,-2.549999999999997
2011-04-06,45.89,46.0,45.05,46.0,1300,40.32,0.10999999999999943
2011-04-07,43.3,45.98,42.09,45.13,10800,39.56,1.8300000000000054
2011-04-08,44.03,44.99,44.03,44.99,1400,39.44,0.9600000000000009
2011-04-11,44.97,47.0,44.53,47.0,5000,41.2,2.030000000000001
2011-04-12,46.96,47.0,45.74,45.89,2600,40.23,-1.0700000000000003
2011-04-13,45.0,46.09,45.0,45.21,2700,39.63,0.21000000000000085
2011-04-14,45.96,45.96,44.75,44.75,300,39.23,-1.2100000000000009
2011-04-15,44.65,45.2,44.57,44.57,1300,39.07,-0.0799999999999983
2011-04-18,44.64,44.98,44.53,44.9,1100,39.36,0.259999999999998
2011-04-19,45.5,45.5,44.53,44.53,5800,39.04,-0.9699999999999989
2011-04-20,44.03,44.21,44.02,44.21,400,38.75,0.17999999999999972
2011-04-21,44.2,44.5,42.8,44.0,2200,38.57,-0.20000000000000284
2011-04-25,43.06,44.4,42.92,43.02,4800,37.71,-0.03999999999999915
2011-04-26,43.58,43.6,42.44,42.44,3000,37.2,-1.1400000000000006
2011-04-27,42.69,45.0,42.69,43.51,2700,38.14,0.8200000000000003
2011-04-28,43.51,47.97,43.51,45.95,10000,40.28,2.440000000000005
2011-04-29,44.97,46.0,44.9,44.9,7200,39.36,-0.07000000000000028
2011-05-02,46.06,46.06,45.2,45.2,5200,39.62,-0.8599999999999994
2011-05-03,43.5,43.5,43.08,43.09,1500,37.98,-0.4099999999999966
2011-05-04,43.0,43.0,41.75,41.75,1500,36.8,-1.25
2011-05-05,41.65,41.73,41.05,41.73,900,36.78,0.0799999999999983
2011-05-06,41.86,42.34,41.75,42.34,1000,37.32,0.480000000000004
2011-05-09,42.12,42.85,42.07,42.17,1400,37.17,0.05000000000000426
2011-05-10,42.4,43.97,41.22,41.96,8400,36.99,-0.4399999999999977
2011-05-11,42.0,42.31,42.0,42.31,400,37.3,0.3100000000000023
2011-05-12,41.95,42.0,40.81,41.5,2400,36.58,-0.45000000000000284
2011-05-13,42.73,42.86,41.6,41.95,1100,36.98,-0.779999999999994
2011-05-16,41.78,41.78,41.78,41.78,300,36.83,0.0
2011-05-17,41.73,41.95,41.7,41.7,3600,36.76,-0.02999999999999403
2011-05-18,41.5,41.95,41.5,41.7,3900,36.76,0.20000000000000284
2011-05-19,41.75,41.95,41.75,41.79,2000,36.84,0.03999999999999915
2011-05-20,42.19,42.19,41.75,41.75,1200,36.8,-0.4399999999999977
2011-05-23,41.74,41.74,41.7,41.7,900,36.76,-0.03999999999999915
2011-05-24,41.79,42.0,41.79,42.0,3200,37.02,0.21000000000000085
2011-05-25,41.95,41.95,41.85,41.9,5200,36.93,-0.05000000000000426
2011-05-26,41.94,41.94,41.75,41.75,400,36.8,-0.18999999999999773
2011-05-27,41.92,41.95,41.83,41.83,2000,36.87,-0.09000000000000341
2011-05-31,42.0,42.09,41.95,42.0,4200,37.02,0.0
2011-06-01,42.63,42.63,42.07,42.1,500,37.11,-0.5300000000000011
2011-06-02,41.8,41.8,41.8,41.8,100,36.85,0.0
2011-06-03,41.7,41.7,41.7,41.7,800,36.76,0.0
2011-06-06,41.98,41.98,41.82,41.83,1600,36.87,-0.14999999999999858
2011-06-07,42.05,42.05,42.0,42.05,600,37.07,0.0
2011-06-08,42.0,42.0,41.7,41.95,2000,36.98,-0.04999999999999716
2011-06-09,41.94,42.0,41.94,41.99,1200,37.01,0.05000000000000426
2011-06-10,41.85,41.97,41.7,41.7,1400,36.76,-0.14999999999999858
2011-06-13,41.9,41.95,41.9,41.95,1500,36.98,0.05000000000000426
2011-06-14,41.72,41.95,41.72,41.85,1500,36.89,0.13000000000000256
2011-06-15,41.82,41.93,41.77,41.8,800,36.85,-0.020000000000003126
2011-06-16,41.79,42.1,41.75,42.05,5200,37.07,0.259999999999998
2011-06-17,42.09,43.68,42.08,43.68,1600,38.5,1.5899999999999963
2011-06-20,43.5,43.98,43.5,43.54,1100,38.38,0.03999999999999915
2011-06-21,43.56,44.0,43.53,43.58,1300,38.42,0.01999999999999602
2011-06-22,43.5,43.5,43.09,43.09,2700,37.98,-0.4099999999999966
2011-06-23,43.09,43.09,43.09,43.09,0,37.98,0.0
2011-06-24,43.1,43.91,43.1,43.91,400,38.71,0.8099999999999952
2011-06-27,43.92,43.92,43.92,43.92,100,38.71,0.0
2011-06-28,43.92,43.92,43.92,43.92,0,38.71,0.0
2011-06-29,42.5,43.02,42.5,43.0,900,37.9,0.5
2011-06-30,43.9,45.55,43.9,45.51,4400,40.12,1.6099999999999994
2011-07-01,45.55,45.55,45.55,45.55,600,40.15,0.0
2011-07-05,42.1,45.55,42.1,45.55,3500,40.15,3.4499999999999957
2011-07-06,46.66,46.8,45.19,45.45,5800,40.06,-1.2099999999999937
2011-07-07,46.53,46.8,43.03,46.38,5100,40.88,-0.14999999999999858
2011-07-08,46.71,47.0,45.62,47.0,6300,41.43,0.28999999999999915
2011-07-11,46.93,46.93,46.93,46.93,100,41.37,0.0
2011-07-12,46.92,47.0,46.52,47.0,5300,41.43,0.0799999999999983
2011-07-13,47.0,48.5,46.5,48.0,9200,42.31,1.0
2011-07-14,47.91,47.91,46.8,47.06,3100,41.48,-0.8499999999999943
2011-07-15,46.77,48.57,46.77,47.75,3900,42.09,0.9799999999999969
2011-07-18,47.59,48.69,47.59,48.38,6300,42.65,0.7899999999999991
2011-07-19,48.96,50.29,48.7,49.8,4900,43.9,0.8399999999999963
2011-07-20,48.0,49.8,47.03,48.5,1800,42.75,0.5
2011-07-21,47.96,49.66,47.96,49.0,3900,43.19,1.0399999999999991
2011-07-22,48.68,48.68,47.53,47.76,2000,42.1,-0.9200000000000017
2011-07-25,47.65,47.65,46.32,47.03,1700,41.46,-0.6199999999999974
2011-07-26,47.37,47.37,43.41,46.01,4600,40.56,-1.3599999999999994
2011-07-27,46.01,46.01,46.01,46.01,0,40.87,0.0
2011-07-28,45.66,46.01,45.63,46.01,3300,40.87,0.3500000000000014
2011-07-29,46.95,48.5,46.95,48.5,3400,43.08,1.5499999999999972
2011-08-01,48.73,49.03,46.27,48.5,5600,43.08,-0.22999999999999687
2011-08-02,47.77,48.0,46.0,46.11,1300,40.96,-1.6600000000000037
2011-08-03,46.04,47.71,46.0,46.5,1700,41.3,0.46000000000000085
2011-08-04,46.01,46.05,44.27,45.35,12000,40.28,-0.6599999999999966
2011-08-05,45.44,48.0,43.01,47.93,2200,42.57,2.490000000000002
2011-08-08,47.25,47.93,43.0,46.99,5100,41.74,-0.259999999999998
2011-08-09,45.99,46.0,44.0,46.0,3100,40.86,0.00999999999999801
2011-08-10,45.56,47.83,44.5,47.83,1000,42.48,2.269999999999996
2011-08-11,46.94,47.22,46.25,46.96,5100,41.71,0.020000000000003126
2011-08-12,47.05,48.43,46.04,48.43,4700,43.02,1.3800000000000026
2011-08-15,46.54,48.86,46.54,48.49,1100,43.07,1.9500000000000028
2011-08-16,48.21,48.8,48.21,48.8,3600,43.35,0.5899999999999963
2011-08-17,48.8,48.8,48.8,48.8,300,43.35,0.0
2011-08-18,48.0,48.0,46.59,46.59,3300,41.38,-1.4099999999999966
2011-08-19,46.02,47.6,45.06,45.06,5600,40.02,-0.9600000000000009
2011-08-22,45.48,45.48,44.44,44.44,800,39.47,-1.0399999999999991
2011-08-23,45.25,45.95,44.01,44.01,900,39.09,-1.240000000000002
2011-08-24,44.02,45.25,44.02,44.02,1900,39.1,0.0
2011-08-25,44.24,44.24,43.25,44.22,800,39.28,-0.020000000000003126
2011-08-26,44.09,46.53,44.05,44.1,3100,39.17,0.00999999999999801
2011-08-29,44.06,44.15,44.06,44.15,900,39.22,0.0899999999999963
2011-08-30,43.24,43.5,43.24,43.5,1100,38.64,0.259999999999998
2011-08-31,43.72,43.72,43.0,43.0,1300,38.19,-0.7199999999999989
2011-09-01,43.05,43.05,40.13,41.6,10000,36.95,-1.4499999999999957
2011-09-02,41.08,42.03,41.0,42.03,2600,37.33,0.9500000000000028
2011-09-06,42.03,42.03,42.03,42.03,1300,37.33,0.0
2011-09-07,43.07,44.6,43.07,44.59,2900,39.61,1.5200000000000031
2011-09-08,44.92,44.96,44.58,44.58,400,39.6,-0.3400000000000034
2011-09-09,44.87,44.96,44.5,44.5,4000,39.53,-0.36999999999999744
2011-09-12,44.22,44.22,43.68,43.68,1200,38.8,-0.5399999999999991
2011-09-13,43.8,43.8,43.78,43.78,300,38.89,-0.01999999999999602
2011-09-14,44.89,45.25,44.67,45.24,4000,40.18,0.3500000000000014
2011-09-15,45.49,45.49,45.49,45.49,100,40.41,0.0
2011-09-16,42.0,42.0,41.46,41.46,300,36.83,-0.5399999999999991
2011-09-19,42.01,42.3,41.61,41.61,6000,36.96,-0.3999999999999986
2011-09-20,41.97,43.81,41.97,43.04,3500,38.23,1.0700000000000003
2011-09-21,43.04,43.04,43.04,43.04,0,38.23,0.0
2011-09-22,41.52,41.74,39.02,39.08,5100,34.71,-2.440000000000005
2011-09-23,40.02,41.01,39.17,40.48,6400,35.96,0.45999999999999375
2011-09-26,40.97,40.97,39.06,39.5,3000,35.09,-1.4699999999999989
2011-09-27,39.6,40.88,39.6,39.99,1600,35.52,0.39000000000000057
2011-09-28,40.0,40.73,39.52,40.08,3400,35.6,0.0799999999999983
2011-09-29,40.77,41.0,40.77,41.0,6300,36.42,0.22999999999999687
2011-09-30,40.16,41.5,40.16,41.0,5500,36.42,0.8400000000000034
2011-10-03,40.5,41.0,40.5,41.0,300,36.42,0.5
2011-10-04,40.11,40.5,40.09,40.5,1300,35.97,0.39000000000000057
2011-10-05,40.55,41.0,40.5,41.0,6800,36.42,0.45000000000000284
2011-10-06,41.97,41.97,40.87,41.0,1800,36.42,-0.9699999999999989
2011-10-07,41.46,41.46,40.98,40.98,900,36.4,-0.480000000000004
2011-10-10,41.68,41.68,40.96,40.99,1300,36.41,-0.6899999999999977
2011-10-11,40.51,40.51,38.0,40.0,2500,35.53,-0.509999999999998
2011-10-12,40.0,40.0,39.16,39.89,12800,35.43,-0.10999999999999943
2011-10-13,39.98,40.48,39.98,40.0,3600,35.53,0.020000000000003126
2011-10-14,39.89,40.45,39.89,40.45,500,35.93,0.5600000000000023
2011-10-17,40.45,40.45,40.45,40.45,0,35.93,0.0
2011-10-18,41.0,41.0,41.0,41.0,900,36.42,0.0
2011-10-19,40.99,40.99,40.99,40.99,200,36.41,0.0
2011-10-20,40.51,40.92,40.5,40.92,1600,36.35,0.4100000000000037
2011-10-21,40.5,41.02,40.5,40.5,17800,35.97,0.0
2011-10-24,40.77,43.25,40.65,43.25,8500,38.42,2.479999999999997
2011-10-25,43.9,44.45,42.82,42.82,4700,38.03,-1.0799999999999983
2011-10-26,42.18,42.86,42.18,42.2,500,37.48,0.020000000000003126
2011-10-27,42.26,43.83,42.25,43.0,5400,38.19,0.740000000000002
2011-10-28,43.0,43.0,43.0,43.0,0,38.19,0.0
2011-10-31,41.74,41.74,41.74,41.74,100,37.08,0.0
2011-11-01,41.0,43.8,41.0,42.9,8700,38.11,1.8999999999999986
2011-11-02,42.18,43.89,42.13,42.8,1000,38.02,0.6199999999999974
2011-11-03,42.29,43.28,42.29,43.28,800,38.44,0.990000000000002
2011-11-04,42.95,43.75,42.95,43.75,1900,38.86,0.7999999999999972
2011-11-07,43.15,44.0,43.15,44.0,1600,39.08,0.8500000000000014
2011-11-08,44.15,45.0,44.15,45.0,700,39.97,0.8500000000000014
2011-11-09,43.97,45.0,43.97,44.7,2300,39.7,0.730000000000004
2011-11-10,44.85,44.85,44.35,44.35,200,39.7,-0.5
2011-11-11,44.35,47.5,44.35,44.95,8200,40.24,0.6000000000000014
2011-11-14,45.0,45.0,44.97,44.97,500,40.26,-0.030000000000001137
2011-11-15,45.0,45.0,44.42,44.43,1000,39.78,-0.5700000000000003
2011-11-16,44.9,45.0,44.66,44.66,1200,39.98,-0.240000000000002
2011-11-17,44.8,44.8,44.8,44.8,300,40.11,0.0
2011-11-18,44.8,44.8,44.8,44.8,0,40.11,0.0
2011-11-21,44.8,44.8,44.8,44.8,0,40.11,0.0
