Date,open,high,low,close,volume,adj_close,diff
2011-01-03,63.75,65.29,63.65,63.71,529800,62.88,-0.03999999999999915
2011-01-04,63.92,63.93,62.35,63.27,775300,62.44,-0.6499999999999986
2011-01-05,62.95,63.84,62.31,63.17,491900,62.34,0.21999999999999886
2011-01-06,63.31,66.68,63.29,66.04,1037500,65.17,2.730000000000004
2011-01-07,66.15,66.38,65.27,65.9,567500,65.04,-0.25
2011-01-10,65.53,66.85,64.91,66.26,756000,65.39,0.730000000000004
2011-01-11,66.61,67.24,66.35,66.83,550300,65.95,0.21999999999999886
2011-01-12,67.37,67.46,66.15,66.15,623600,65.28,-1.2199999999999989
2011-01-13,65.91,66.56,65.49,66.16,609800,65.29,0.25
2011-01-14,66.07,67.47,65.59,67.06,625400,66.18,0.9900000000000091
2011-01-18,67.2,68.09,66.01,66.8,1096500,65.92,-0.4000000000000057
2011-01-19,66.7,67.05,66.06,66.25,542300,65.38,-0.45000000000000284
2011-01-20,68.0,72.92,67.91,71.18,3628800,70.25,3.180000000000007
2011-01-21,71.72,72.1,69.98,70.2,822000,69.28,-1.519999999999996
2011-01-24,70.19,71.86,70.09,70.78,710200,69.85,0.5900000000000034
2011-01-25,70.52,73.54,70.45,73.46,1251500,72.5,2.9399999999999977
2011-01-26,73.8,74.41,73.23,73.68,1139200,72.71,-0.11999999999999034
2011-01-27,73.21,74.46,73.0,74.07,592700,73.1,0.8599999999999994
2011-01-28,74.1,74.45,72.69,72.79,660500,71.84,-1.309999999999988
2011-01-31,71.33,72.91,70.87,72.72,911300,71.77,1.3900000000000006
2011-02-01,71.29,74.1,70.76,74.0,1857300,73.03,2.7099999999999937
2011-02-02,73.61,73.83,72.26,72.76,1026600,71.81,-0.8499999999999943
2011-02-03,71.99,72.31,70.59,71.58,1158700,70.64,-0.4099999999999966
2011-02-04,71.83,72.09,71.24,71.67,668600,70.73,-0.1599999999999966
2011-02-07,71.53,72.45,71.24,71.42,678400,70.48,-0.10999999999999943
2011-02-08,71.46,72.0,71.2,71.88,788400,70.94,0.4200000000000017
2011-02-09,71.95,72.21,71.48,72.0,846000,71.06,0.04999999999999716
2011-02-10,71.39,72.15,70.94,71.94,721000,71.0,0.5499999999999972
2011-02-11,71.55,73.95,71.32,73.46,842900,72.5,1.9099999999999966
2011-02-14,73.46,74.97,73.18,74.66,629400,73.68,1.2000000000000028
2011-02-15,74.15,74.2,73.09,73.55,577000,72.59,-0.6000000000000085
2011-02-16,74.51,76.69,74.31,74.31,1097600,73.34,-0.20000000000000284
2011-02-17,74.6,76.87,74.6,76.12,765100,75.12,1.5200000000000102
2011-02-18,76.05,76.27,75.23,75.7,830200,74.71,-0.3499999999999943
2011-02-22,75.2,75.97,74.0,74.22,693000,73.25,-0.980000000000004
2011-02-23,74.03,74.25,72.71,73.17,510400,72.28,-0.8599999999999994
2011-02-24,71.97,73.04,71.54,72.4,1126400,71.52,0.4300000000000068
2011-02-25,72.9,75.96,72.66,75.91,977100,74.99,3.009999999999991
2011-02-28,76.23,76.89,75.81,76.43,867200,75.5,0.20000000000000284
2011-03-01,76.8,77.96,75.67,76.06,1075800,75.13,-0.7399999999999949
2011-03-02,75.79,77.49,75.49,76.23,897200,75.3,0.4399999999999977
2011-03-03,76.5,77.64,76.33,77.45,520300,76.51,0.9500000000000028
2011-03-04,77.34,77.85,77.11,77.6,489900,76.66,0.2599999999999909
2011-03-07,77.64,77.75,75.9,76.0,737600,75.08,-1.6400000000000006
2011-03-08,75.9,77.4,75.27,77.19,991000,76.25,1.289999999999992
2011-03-09,76.46,76.94,75.77,76.54,571800,75.61,0.0800000000000125
2011-03-10,75.53,77.19,74.55,77.19,920400,76.25,1.6599999999999966
2011-03-11,76.83,77.59,76.67,77.12,671800,76.18,0.29000000000000625
2011-03-14,76.25,76.87,75.4,75.79,425500,74.87,-0.45999999999999375
2011-03-15,73.93,75.87,73.61,75.45,707300,74.53,1.519999999999996
2011-03-16,75.44,75.53,73.85,74.04,468400,73.14,-1.3999999999999915
2011-03-17,75.1,75.6,74.35,74.96,437500,74.05,-0.14000000000000057
2011-03-18,75.9,76.0,75.07,75.18,489700,74.27,-0.7199999999999989
2011-03-21,76.4,76.7,75.85,75.89,375400,74.97,-0.5100000000000051
2011-03-22,76.44,76.77,75.68,75.8,543300,74.88,-0.6400000000000006
2011-03-23,75.57,75.89,74.23,74.82,775900,73.91,-0.75
2011-03-24,73.21,75.17,72.51,74.91,1788400,74.0,1.7000000000000028
2011-03-25,75.12,76.58,74.92,75.92,428700,75.0,0.7999999999999972
2011-03-28,76.46,77.07,76.1,76.16,425000,75.23,-0.29999999999999716
2011-03-29,76.48,77.4,76.26,76.99,393100,76.05,0.5099999999999909
2011-03-30,77.92,79.35,77.91,78.54,520200,77.58,0.6200000000000045
2011-03-31,78.89,79.57,78.8,79.52,543800,78.55,0.6299999999999955
2011-04-01,79.59,79.96,79.01,79.9,542300,78.93,0.3100000000000023
