Date,open,high,low,close,volume,adj_close,diff
2012-03-29,21.5,22.69,19.0,19.03,6344200,19.03,-2.469999999999999
2012-03-30,19.0,19.18,18.9,19.15,681300,19.15,0.14999999999999858
2012-04-02,19.26,19.39,17.55,17.84,584700,17.84,-1.4200000000000017
2012-04-03,17.91,18.7,17.24,18.42,165000,18.42,0.5100000000000016
2012-04-04,18.24,18.24,17.98,18.1,256400,18.1,-0.13999999999999702
2012-04-05,18.2,18.5,18.0,18.1,85900,18.1,-0.09999999999999787
2012-04-09,18.0,18.23,17.6,18.0,153500,18.0,0.0
2012-04-10,18.0,18.25,17.21,17.7,123500,17.7,-0.3000000000000007
2012-04-11,18.38,18.38,17.52,17.69,28500,17.69,-0.6899999999999977
2012-04-12,17.25,17.81,17.08,17.35,57200,17.35,0.10000000000000142
2012-04-13,17.2,17.24,16.68,16.77,72200,16.77,-0.4299999999999997
2012-04-16,16.85,17.07,16.7,16.72,36200,16.72,-0.13000000000000256
2012-04-17,16.99,18.1,16.88,17.97,57900,17.97,0.9800000000000004
2012-04-18,17.89,18.49,17.0,18.24,23900,18.24,0.34999999999999787
2012-04-19,17.61,18.2,17.61,18.07,15300,18.07,0.46000000000000085
2012-04-20,18.29,18.36,17.92,17.96,68400,17.96,-0.3299999999999983
2012-04-23,18.21,18.22,16.96,17.02,109100,17.02,-1.1900000000000013
2012-04-24,17.26,17.35,16.77,16.77,37000,16.77,-0.490000000000002
2012-04-25,17.0,17.0,16.66,16.99,53600,16.99,-0.010000000000001563
2012-04-26,16.82,17.23,16.76,17.0,44500,17.0,0.17999999999999972
2012-04-27,17.01,17.01,16.51,16.84,24000,16.84,-0.1700000000000017
2012-04-30,16.7,16.99,16.12,16.78,80500,16.78,0.08000000000000185
2012-05-01,16.91,17.69,16.9,17.66,55000,17.66,0.75
2012-05-02,17.7,18.15,17.37,17.78,31000,17.78,0.08000000000000185
2012-05-03,18.1,18.44,17.78,17.94,109200,17.94,-0.16000000000000014
2012-05-04,17.94,18.5,17.77,18.06,80200,18.06,0.11999999999999744
2012-05-07,17.93,18.4,17.93,18.23,26300,18.23,0.3000000000000007
2012-05-08,17.93,18.15,17.34,17.57,32300,17.57,-0.35999999999999943
2012-05-09,17.0,17.5,15.5,15.92,170100,15.92,-1.08
2012-05-10,16.27,16.63,15.71,15.81,72000,15.81,-0.4599999999999991
2012-05-11,15.72,15.83,15.27,15.51,25200,15.51,-0.21000000000000085
2012-05-14,15.47,15.76,15.21,15.25,30000,15.25,-0.22000000000000064
2012-05-15,15.34,15.43,14.85,14.94,43000,14.94,-0.40000000000000036
2012-05-16,14.55,15.3,14.55,15.05,54000,15.05,0.5
2012-05-17,14.96,15.1,14.36,14.44,24100,14.44,-0.5200000000000014
2012-05-18,14.48,14.99,14.14,14.25,67000,14.25,-0.23000000000000043
2012-05-21,14.3,14.62,14.3,14.59,28000,14.59,0.28999999999999915
2012-05-22,14.82,15.0,14.35,14.44,16200,14.44,-0.3800000000000008
2012-05-23,14.31,14.31,12.9,13.28,206600,13.28,-1.0300000000000011
2012-05-24,13.33,13.56,13.2,13.45,42500,13.45,0.11999999999999922
2012-05-25,13.35,14.47,13.35,14.18,55600,14.18,0.8300000000000001
2012-05-29,14.18,15.0,14.18,14.31,47600,14.31,0.13000000000000078
2012-05-30,14.26,14.38,13.9,14.17,165600,14.17,-0.08999999999999986
2012-05-31,13.89,14.09,13.22,13.91,30200,13.91,0.019999999999999574
2012-06-01,13.07,14.0,12.14,13.57,72600,13.57,0.5
2012-06-04,13.49,13.9,13.12,13.29,18000,13.29,-0.20000000000000107
2012-06-05,13.35,13.58,12.12,13.3,9600,13.3,-0.049999999999998934
2012-06-06,13.5,13.79,13.2,13.76,13600,13.76,0.2599999999999998
2012-06-07,13.93,14.55,13.54,14.26,37600,14.26,0.33000000000000007
2012-06-08,14.21,15.81,14.21,15.13,33700,15.13,0.9199999999999999
2012-06-11,15.53,15.8,13.45,13.85,44500,13.85,-1.6799999999999997
2012-06-12,14.35,15.7,13.77,14.17,67600,14.17,-0.17999999999999972
2012-06-13,14.05,14.19,13.5,13.71,118600,13.71,-0.33999999999999986
2012-06-14,13.76,14.08,13.67,14.0,29200,14.0,0.2400000000000002
2012-06-15,13.97,14.74,13.78,14.01,81200,14.01,0.03999999999999915
2012-06-18,14.0,15.38,13.76,14.97,95500,14.97,0.9700000000000006
2012-06-19,15.13,15.41,14.84,14.97,53100,14.97,-0.16000000000000014
2012-06-20,15.01,15.39,14.64,14.86,33100,14.86,-0.15000000000000036
2012-06-21,14.86,15.16,13.65,14.5,90600,14.5,-0.35999999999999943
2012-06-22,14.69,14.99,14.25,14.42,599800,14.42,-0.2699999999999996
2012-06-25,14.22,14.22,13.31,13.81,39900,13.81,-0.41000000000000014
2012-06-26,13.76,14.42,13.73,14.22,24600,14.22,0.46000000000000085
2012-06-27,14.28,14.6,13.32,14.26,27000,14.26,-0.019999999999999574
2012-06-28,14.12,14.34,13.75,13.77,32700,13.77,-0.34999999999999964
2012-06-29,14.0,15.18,13.92,14.88,64800,14.88,0.8800000000000008
2012-07-02,14.97,14.97,14.2,14.8,29300,14.8,-0.16999999999999993
2012-07-03,14.77,15.0,14.59,14.85,7900,14.85,0.08000000000000007
2012-07-05,14.81,15.21,14.15,14.21,18900,14.21,-0.5999999999999996
2012-07-06,14.07,14.47,13.37,13.53,22600,13.53,-0.5400000000000009
2012-07-09,13.19,14.47,12.98,14.04,61700,14.04,0.8499999999999996
2012-07-10,14.13,14.14,13.63,13.68,48300,13.68,-0.45000000000000107
2012-07-11,13.78,14.16,13.5,13.96,49000,13.96,0.1800000000000015
2012-07-12,13.93,13.97,13.21,13.86,47300,13.86,-0.07000000000000028
