Date,open,high,low,close,volume,adj_close,diff
2011-01-03,23.03,23.15,22.95,23.13,6900,17.67,0.09999999999999787
2011-01-04,23.2,23.26,23.1,23.26,1400,17.76,0.060000000000002274
2011-01-05,23.4,23.58,23.23,23.5,6900,17.95,0.10000000000000142
2011-01-06,23.66,23.66,23.24,23.26,3400,17.76,-0.3999999999999986
2011-01-07,23.14,23.16,23.0,23.09,7200,17.63,-0.05000000000000071
2011-01-10,23.11,23.13,23.1,23.11,7800,17.65,0.0
2011-01-11,23.2,23.34,23.1,23.34,1800,17.83,0.14000000000000057
2011-01-12,23.27,23.27,23.04,23.2,6200,17.72,-0.07000000000000028
2011-01-13,23.31,23.49,23.31,23.49,1700,17.94,0.17999999999999972
2011-01-14,23.4,23.4,23.3,23.35,1600,17.83,-0.04999999999999716
2011-01-18,23.3,23.51,23.28,23.28,800,17.78,-0.019999999999999574
2011-01-19,23.21,23.27,23.16,23.16,3300,17.69,-0.05000000000000071
2011-01-20,23.16,23.16,23.16,23.16,0,17.69,0.0
2011-01-21,23.17,23.25,23.02,23.05,3200,17.6,-0.120000000000001
2011-01-24,23.15,23.17,23.0,23.17,5300,17.7,0.020000000000003126
2011-01-25,23.14,23.16,23.1,23.1,3900,17.64,-0.03999999999999915
2011-01-26,23.19,23.19,22.98,23.1,10300,17.64,-0.08999999999999986
2011-01-27,23.21,23.21,22.98,23.06,3300,17.61,-0.15000000000000213
2011-01-28,23.07,23.11,23.06,23.11,3900,17.65,0.03999999999999915
2011-01-31,23.21,23.6,23.2,23.31,5700,17.8,0.09999999999999787
2011-02-01,23.19,23.25,23.07,23.25,6000,17.76,0.05999999999999872
2011-02-02,23.38,23.45,23.13,23.35,3300,17.83,-0.029999999999997584
2011-02-03,23.23,23.4,23.23,23.4,500,17.87,0.16999999999999815
2011-02-04,23.28,23.39,23.22,23.39,1200,17.86,0.10999999999999943
2011-02-07,23.27,23.4,23.27,23.37,4500,17.85,0.10000000000000142
2011-02-08,23.25,23.38,23.25,23.37,5800,17.85,0.120000000000001
2011-02-09,23.38,23.46,23.23,23.23,3400,17.74,-0.14999999999999858
2011-02-10,23.0,23.0,22.6,22.81,14700,17.98,-0.19000000000000128
2011-02-11,22.85,22.9,22.72,22.9,20700,18.05,0.04999999999999716
2011-02-14,22.94,22.94,22.79,22.93,6200,18.07,-0.010000000000001563
2011-02-15,22.98,22.98,22.82,22.82,1300,17.99,-0.16000000000000014
2011-02-16,22.82,22.91,22.75,22.91,3800,18.06,0.08999999999999986
