Date,open,high,low,close,volume,adj_close,diff
2011-01-03,8.79,8.93,8.68,8.76,9500,6.64,-0.02999999999999936
2011-01-04,8.75,8.75,8.67,8.67,4500,6.57,-0.08000000000000007
2011-01-05,8.66,8.78,8.56,8.56,12600,6.49,-0.09999999999999964
2011-01-06,8.56,8.57,8.51,8.51,7800,6.45,-0.05000000000000071
2011-01-07,8.51,8.62,8.48,8.62,15400,6.54,0.10999999999999943
2011-01-10,8.61,8.61,8.53,8.58,9000,6.51,-0.02999999999999936
2011-01-11,8.5,8.56,8.41,8.56,27100,6.53,0.0600000000000005
2011-01-12,8.53,8.64,8.44,8.49,45100,6.48,-0.03999999999999915
2011-01-13,8.47,8.47,8.13,8.34,33800,6.36,-0.13000000000000078
2011-01-14,8.3,8.3,8.11,8.15,25200,6.22,-0.15000000000000036
2011-01-18,8.15,8.3,7.94,8.29,42900,6.32,0.1399999999999988
2011-01-19,8.3,8.3,8.06,8.07,27900,6.16,-0.23000000000000043
2011-01-20,8.02,8.19,8.0,8.08,35000,6.16,0.0600000000000005
2011-01-21,8.09,8.2,8.06,8.11,12700,6.19,0.019999999999999574
2011-01-24,8.11,8.29,8.11,8.2,15500,6.26,0.08999999999999986
2011-01-25,8.2,8.37,8.2,8.37,16100,6.39,0.16999999999999993
2011-01-26,8.38,8.61,8.38,8.48,7000,6.47,0.09999999999999964
2011-01-27,8.5,8.54,8.37,8.49,9100,6.48,-0.009999999999999787
2011-01-28,8.53,8.53,8.41,8.48,2600,6.47,-0.049999999999998934
2011-01-31,8.55,8.55,8.43,8.53,14700,6.51,-0.02000000000000135
2011-02-01,8.59,8.7,8.55,8.63,14400,6.58,0.040000000000000924
2011-02-02,8.61,8.7,8.58,8.65,5300,6.6,0.040000000000000924
2011-02-03,8.68,8.78,8.67,8.76,25300,6.68,0.08000000000000007
2011-02-04,8.73,8.73,8.51,8.61,22800,6.57,-0.120000000000001
2011-02-07,8.53,8.72,8.53,8.69,12800,6.63,0.16000000000000014
2011-02-08,8.69,8.69,8.62,8.69,5500,6.63,0.0
2011-02-09,8.63,8.63,8.54,8.57,12500,6.58,-0.0600000000000005
2011-02-10,8.55,8.56,8.48,8.48,6900,6.51,-0.07000000000000028
2011-02-11,8.45,8.75,8.45,8.72,16800,6.69,0.27000000000000135
2011-02-14,8.77,8.77,8.48,8.48,21900,6.51,-0.28999999999999915
2011-02-15,8.46,8.56,8.46,8.51,10900,6.53,0.049999999999998934
2011-02-16,8.45,8.58,8.44,8.51,8500,6.53,0.0600000000000005
2011-02-17,8.46,8.57,8.46,8.55,6600,6.56,0.08999999999999986
2011-02-18,8.6,8.7,8.54,8.6,17200,6.6,0.0
2011-02-22,8.59,8.65,8.45,8.52,27800,6.54,-0.07000000000000028
2011-02-23,8.52,8.64,8.51,8.58,5600,6.59,0.0600000000000005
2011-02-24,8.62,8.63,8.52,8.63,3800,6.62,0.010000000000001563
