Date,open,high,low,close,volume,adj_close,diff
2011-01-03,4.07,4.29,3.98,3.99,4236400,3.99,-0.08000000000000007
2011-01-04,3.84,3.96,3.47,3.74,5743900,3.74,-0.09999999999999964
2011-01-05,3.68,3.95,3.55,3.93,2635700,3.93,0.25
2011-01-06,3.92,3.93,3.67,3.73,1665300,3.73,-0.18999999999999995
2011-01-07,3.68,3.8,3.63,3.72,1458800,3.72,0.040000000000000036
2011-01-10,3.65,3.73,3.6,3.73,1410800,3.73,0.08000000000000007
2011-01-11,3.79,3.9,3.76,3.86,1827300,3.86,0.06999999999999984
2011-01-12,3.96,4.0,3.88,3.94,1463600,3.94,-0.020000000000000018
2011-01-13,3.95,4.08,3.74,3.74,1799700,3.74,-0.20999999999999996
2011-01-14,3.6,3.66,3.53,3.62,1934000,3.62,0.020000000000000018
2011-01-18,3.68,3.73,3.51,3.59,1793700,3.59,-0.0900000000000003
2011-01-19,3.67,3.67,3.37,3.41,1997700,3.41,-0.2599999999999998
2011-01-20,3.18,3.23,3.09,3.15,3191200,3.15,-0.03000000000000025
2011-01-21,3.11,3.26,3.1,3.13,1658700,3.13,0.020000000000000018
2011-01-24,3.09,3.3,3.08,3.16,1490300,3.16,0.07000000000000028
2011-01-25,3.11,3.17,3.01,3.09,1961500,3.09,-0.020000000000000018
2011-01-26,3.09,3.3,3.05,3.3,1285400,3.3,0.20999999999999996
2011-01-27,3.38,3.45,3.15,3.17,1500900,3.17,-0.20999999999999996
2011-01-28,3.13,3.4,3.13,3.39,1771400,3.39,0.26000000000000023
2011-01-31,3.35,3.45,3.19,3.35,1642200,3.35,0.0
2011-02-01,3.45,3.45,3.31,3.33,1387000,3.33,-0.1200000000000001
2011-02-02,3.3,3.31,3.23,3.26,873900,3.26,-0.040000000000000036
2011-02-03,3.27,3.5,3.23,3.49,1592900,3.49,0.2200000000000002
2011-02-04,3.55,3.74,3.52,3.69,2484200,3.69,0.14000000000000012
2011-02-07,3.68,3.78,3.47,3.52,1820500,3.52,-0.16000000000000014
2011-02-08,3.7,3.75,3.58,3.64,1621500,3.64,-0.06000000000000005
2011-02-09,3.64,3.67,3.55,3.61,890200,3.61,-0.03000000000000025
2011-02-10,3.55,3.6,3.51,3.54,884900,3.54,-0.009999999999999787
