Date,open,high,low,close,volume,adj_close,diff
2011-03-30,27.0,34.4,26.76,34.0,7271800,34.0,7.0
2011-03-31,36.12,36.21,29.0,29.59,16736200,29.59,-6.529999999999998
2011-04-01,29.8,30.82,28.52,29.5,7036600,29.5,-0.3000000000000007
2011-04-04,30.04,31.38,29.6,30.3,3110200,30.3,0.26000000000000156
2011-04-05,29.86,30.77,29.15,29.26,2089800,29.26,-0.5999999999999979
2011-04-06,29.76,30.1,27.0,27.98,3447300,27.98,-1.7800000000000011
2011-04-07,27.84,29.04,27.13,27.88,2788300,27.88,0.03999999999999915
2011-04-08,27.72,28.5,25.48,25.48,2927200,25.48,-2.2399999999999984
2011-04-11,25.33,26.45,24.26,24.8,5961400,24.8,-0.5299999999999976
2011-04-12,24.65,26.4,24.01,24.1,8040000,24.1,-0.5499999999999972
2011-04-13,24.74,25.93,24.16,25.65,3885300,25.65,0.9100000000000001
2011-04-14,25.61,29.4,25.55,29.1,7131700,29.1,3.490000000000002
2011-04-15,29.28,30.96,28.12,29.42,6250200,29.42,0.14000000000000057
2011-04-18,28.68,31.97,28.1,31.92,3792000,31.92,3.240000000000002
2011-04-19,33.07,35.15,32.98,34.04,7379600,34.04,0.9699999999999989
2011-04-20,35.05,35.72,31.92,31.98,4919300,31.98,-3.0699999999999967
2011-04-21,31.6,33.66,31.01,32.12,2754400,32.12,0.519999999999996
2011-04-25,32.37,34.19,31.28,33.47,3669100,33.47,1.1000000000000014
2011-04-26,34.08,35.16,32.0,32.22,3690000,32.22,-1.8599999999999994
2011-04-27,32.69,32.87,28.65,30.24,4718900,30.24,-2.4499999999999993
2011-04-28,30.0,30.86,29.0,29.02,1773300,29.02,-0.9800000000000004
2011-04-29,29.45,29.99,28.28,28.5,1600000,28.5,-0.9499999999999993
2011-05-02,28.81,28.95,27.68,27.73,1431900,27.73,-1.0799999999999983
2011-05-03,27.99,27.99,25.83,25.85,1933200,25.85,-2.139999999999997
2011-05-04,25.9,27.88,25.0,27.87,2798700,27.87,1.9700000000000024
2011-05-05,27.56,28.5,26.09,26.13,1679400,26.13,-1.4299999999999997
2011-05-06,26.77,27.74,26.6,26.93,1098600,26.93,0.16000000000000014
2011-05-09,26.98,27.89,26.95,27.25,673400,27.25,0.2699999999999996
2011-05-10,27.82,27.95,25.61,25.75,1089800,25.75,-2.0700000000000003
2011-05-11,26.4,26.59,25.25,25.33,1330100,25.33,-1.0700000000000003
2011-05-12,25.45,26.68,25.23,26.52,1160400,26.52,1.0700000000000003
2011-05-13,26.5,27.18,25.86,26.2,1287100,26.2,-0.3000000000000007
2011-05-16,25.86,26.66,24.95,24.96,1289300,24.96,-0.8999999999999986
2011-05-17,24.92,26.79,24.05,26.79,1483200,26.79,1.8699999999999974
2011-05-18,27.0,28.63,26.03,27.37,1784000,27.37,0.370000000000001
2011-05-19,27.5,29.12,27.44,28.52,1560000,28.52,1.0199999999999996
2011-05-20,29.58,29.79,28.75,29.43,1285700,29.43,-0.14999999999999858
2011-05-23,28.41,28.96,27.25,27.81,1100000,27.81,-0.6000000000000014
2011-05-24,28.6,28.61,27.72,28.3,847200,28.3,-0.3000000000000007
2011-05-25,29.75,29.9,26.05,26.77,1955100,26.77,-2.9800000000000004
2011-05-26,27.0,27.1,25.3,26.48,1181400,26.48,-0.5199999999999996
2011-05-27,26.31,26.67,25.8,25.84,638400,25.84,-0.46999999999999886
2011-05-31,26.05,26.43,25.72,26.1,735900,26.1,0.05000000000000071
2011-06-01,26.49,26.98,25.95,26.25,966500,26.25,-0.23999999999999844
2011-06-02,26.11,26.64,25.8,25.86,437200,25.86,-0.25
2011-06-03,25.5,25.67,23.7,23.73,1236500,23.73,-1.7699999999999996
2011-06-06,23.75,23.77,20.1,20.25,2876400,20.25,-3.5
2011-06-07,21.05,25.74,20.81,23.8,3846900,23.8,2.75
2011-06-08,23.69,24.71,21.5,21.82,1145600,21.82,-1.870000000000001
2011-06-09,22.36,23.13,21.84,22.62,931000,22.62,0.26000000000000156
2011-06-10,22.89,22.89,21.32,21.5,943300,21.5,-1.3900000000000006
2011-06-13,22.69,22.69,21.01,21.5,867000,21.5,-1.1900000000000013
2011-06-14,22.48,22.48,21.3,21.68,743900,21.68,-0.8000000000000007
2011-06-15,21.14,21.65,20.99,21.03,452800,21.03,-0.10999999999999943
2011-06-16,21.9,22.02,20.36,20.45,672800,20.45,-1.4499999999999993
2011-06-17,21.24,21.24,16.57,17.48,426800,17.48,-3.759999999999998
2011-06-20,17.25,17.89,16.22,16.75,1601400,16.75,-0.5
2011-06-21,16.84,18.77,16.84,18.54,1806200,18.54,1.6999999999999993
2011-06-22,18.12,19.1,17.75,18.43,521500,18.43,0.3099999999999987
2011-06-23,17.8,18.26,17.46,18.0,464700,18.0,0.1999999999999993
2011-06-24,17.98,17.98,16.14,16.24,1687000,16.24,-1.740000000000002
2011-06-27,16.63,16.95,16.01,16.78,803200,16.78,0.15000000000000213
2011-06-28,17.45,19.89,17.09,18.12,2398600,18.12,0.6700000000000017
2011-06-29,18.6,19.85,18.36,19.69,1449200,19.69,1.0899999999999999
2011-06-30,19.98,20.11,19.02,19.41,666400,19.41,-0.5700000000000003
2011-07-01,19.17,21.36,19.17,21.14,925500,21.14,1.9699999999999989
2011-07-05,21.35,23.34,21.35,23.28,1270400,23.28,1.9299999999999997
2011-07-06,23.39,23.5,22.0,22.89,880400,22.89,-0.5
2011-07-07,23.26,23.67,22.28,22.47,831200,22.47,-0.7900000000000027
2011-07-08,20.96,22.34,20.35,22.12,648900,22.12,1.1600000000000001
2011-07-11,21.46,22.8,21.46,22.3,749200,22.3,0.8399999999999999
2011-07-12,22.16,23.0,21.57,22.02,515000,22.02,-0.14000000000000057
2011-07-13,22.0,23.92,21.65,23.92,1676000,23.92,1.9200000000000017
2011-07-14,23.99,24.95,22.89,24.28,1066300,24.28,0.2900000000000027
2011-07-15,24.68,24.75,23.94,24.11,434300,24.11,-0.5700000000000003
2011-07-18,23.87,24.71,23.02,24.56,360800,24.56,0.6899999999999977
2011-07-19,24.9,24.9,23.77,24.69,434100,24.69,-0.2099999999999973
2011-07-20,24.77,25.73,24.08,25.01,670100,25.01,0.240000000000002
2011-07-21,25.19,25.75,23.31,24.74,625700,24.74,-0.45000000000000284
2011-07-22,24.74,25.19,23.33,23.56,452700,23.56,-1.1799999999999997
2011-07-25,22.86,23.53,22.2,23.14,583900,23.14,0.28000000000000114
2011-07-26,23.26,24.75,23.23,24.26,444000,24.26,1.0
2011-07-27,23.65,24.35,23.23,24.02,310600,24.02,0.370000000000001
2011-07-28,24.52,24.6,23.66,23.78,211400,23.78,-0.7399999999999984
2011-07-29,23.48,23.57,22.8,23.05,303500,23.05,-0.4299999999999997
2011-08-01,23.8,23.95,21.92,22.01,394300,22.01,-1.7899999999999991
2011-08-02,22.12,22.19,20.53,20.57,264500,20.57,-1.5500000000000007
2011-08-03,21.49,21.5,20.5,20.95,1053600,20.95,-0.5399999999999991
2011-08-04,20.89,20.99,20.0,20.43,539100,20.43,-0.46000000000000085
2011-08-05,20.63,21.51,18.71,19.65,1041900,19.65,-0.9800000000000004
2011-08-08,18.7,18.7,17.1,18.0,1022800,18.0,-0.6999999999999993
2011-08-09,18.15,20.26,18.01,20.26,732000,20.26,2.110000000000003
2011-08-10,20.03,20.67,19.42,19.77,749900,19.77,-0.26000000000000156
2011-08-11,21.46,22.0,20.01,21.57,649000,21.57,0.10999999999999943
2011-08-12,21.84,22.4,21.09,21.82,688100,21.82,-0.019999999999999574
2011-08-15,22.42,23.44,22.34,23.04,344900,23.04,0.6199999999999974
2011-08-16,22.58,22.58,21.33,21.75,226200,21.75,-0.8299999999999983
2011-08-17,21.51,23.49,21.5,23.25,492800,23.25,1.7399999999999984
2011-08-18,24.4,25.59,22.53,24.72,2157300,24.72,0.3200000000000003
2011-08-19,24.05,26.08,24.05,24.56,1945000,24.56,0.509999999999998
2011-08-22,25.11,25.43,22.55,23.32,965600,23.32,-1.7899999999999991
2011-08-23,23.63,24.0,22.93,23.77,181500,23.77,0.14000000000000057
2011-08-24,23.35,24.0,23.1,23.53,244200,23.53,0.17999999999999972
2011-08-25,24.09,24.4,22.61,22.86,169200,22.86,-1.2300000000000004
2011-08-26,22.58,22.75,22.36,22.45,327600,22.45,-0.129999999999999
2011-08-29,22.75,23.49,22.22,23.21,544100,23.21,0.46000000000000085
2011-08-30,22.93,24.27,22.93,23.87,556700,23.87,0.9400000000000013
2011-08-31,23.9,24.38,23.72,23.8,338900,23.8,-0.09999999999999787
2011-09-01,23.56,23.99,23.54,23.8,159800,23.8,0.240000000000002
2011-09-02,23.11,23.64,22.5,22.77,184800,22.77,-0.33999999999999986
2011-09-06,21.98,22.88,21.68,22.33,275400,22.33,0.34999999999999787
2011-09-07,22.36,23.26,22.25,22.76,252100,22.76,0.40000000000000213
2011-09-08,22.6,22.95,22.3,22.56,135600,22.56,-0.0400000000000027
2011-09-09,22.27,22.7,21.8,21.94,123000,21.94,-0.3299999999999983
2011-09-12,21.23,21.94,21.23,21.58,204300,21.58,0.34999999999999787
2011-09-13,22.31,22.49,21.3,21.94,182100,21.94,-0.36999999999999744
2011-09-14,21.51,21.91,21.22,21.3,191800,21.3,-0.21000000000000085
2011-09-15,21.35,21.49,21.08,21.11,202200,21.11,-0.240000000000002
2011-09-16,21.1,21.31,20.55,20.64,245300,20.64,-0.46000000000000085
2011-09-19,20.54,20.54,19.76,19.91,261800,19.91,-0.629999999999999
2011-09-20,19.9,20.62,18.0,18.38,651300,18.38,-1.5199999999999996
2011-09-21,18.41,19.0,17.95,18.0,384600,18.0,-0.41000000000000014
2011-09-22,17.06,18.39,16.65,16.95,1104300,16.95,-0.10999999999999943
2011-09-23,16.95,17.98,16.95,17.55,427700,17.55,0.6000000000000014
2011-09-26,17.55,17.78,16.92,17.31,324100,17.31,-0.240000000000002
2011-09-27,17.98,18.97,17.4,17.69,737600,17.69,-0.28999999999999915
2011-09-28,18.5,18.87,17.51,17.75,406400,17.75,-0.75
2011-09-29,17.7,18.4,16.3,17.09,659800,17.09,-0.6099999999999994
2011-09-30,16.5,16.95,16.07,16.34,351600,16.34,-0.16000000000000014
2011-10-03,16.55,16.99,15.15,15.25,587000,15.25,-1.3000000000000007
2011-10-04,15.01,15.4,14.3,14.81,648300,14.81,-0.1999999999999993
2011-10-05,14.69,16.0,14.52,15.81,377700,15.81,1.120000000000001
2011-10-06,16.7,17.45,16.07,16.72,337000,16.72,0.019999999999999574
2011-10-07,16.91,16.99,15.37,15.54,340200,15.54,-1.370000000000001
2011-10-10,15.83,17.0,15.31,16.95,347500,16.95,1.1199999999999992
2011-10-11,16.31,17.32,16.17,16.76,609600,16.76,0.45000000000000284
2011-10-12,17.03,18.49,17.03,18.23,1289500,18.23,1.1999999999999993
2011-10-13,18.39,18.75,17.7,18.15,539900,18.15,-0.240000000000002
2011-10-14,18.5,19.24,18.18,18.51,441500,18.51,0.010000000000001563
2011-10-17,18.58,19.19,17.97,19.14,450300,19.14,0.5600000000000023
2011-10-18,18.77,19.0,17.62,18.01,559300,18.01,-0.759999999999998
2011-10-19,18.2,18.44,17.26,17.54,495900,17.54,-0.6600000000000001
2011-10-20,17.45,18.1,17.24,17.95,288800,17.95,0.5
2011-10-21,18.37,18.42,17.88,18.25,265600,18.25,-0.120000000000001
2011-10-24,18.51,20.49,18.5,20.0,954700,20.0,1.4899999999999984
2011-10-25,20.14,20.14,19.02,19.61,772100,19.61,-0.5300000000000011
2011-10-26,19.77,20.0,19.16,19.5,512100,19.5,-0.2699999999999996
2011-10-27,20.43,20.93,19.82,20.49,1586900,20.49,0.05999999999999872
2011-10-28,20.5,21.49,20.48,21.02,1791100,21.02,0.5199999999999996
2011-10-31,20.4,21.03,19.78,20.21,1272800,20.21,-0.18999999999999773
2011-11-01,18.5,18.99,17.32,18.12,5588300,18.12,-0.379999999999999
2011-11-02,18.41,18.89,17.9,18.12,896900,18.12,-0.28999999999999915
2011-11-03,18.19,18.29,16.51,16.69,1263400,16.69,-1.5
2011-11-04,16.43,17.79,16.35,17.28,960500,17.28,0.8500000000000014
2011-11-07,17.13,18.2,17.12,18.07,822100,18.07,0.9400000000000013
2011-11-08,17.8,18.24,17.65,17.95,828200,17.95,0.14999999999999858
2011-11-09,17.89,18.16,17.65,18.04,766200,18.04,0.14999999999999858
2011-11-10,17.9,19.07,17.7,18.07,1367700,18.07,0.1700000000000017
2011-11-11,18.02,18.1,17.56,17.89,474300,17.89,-0.129999999999999
2011-11-14,17.76,19.47,17.76,19.47,1030900,19.47,1.7099999999999973
2011-11-15,19.06,20.5,18.68,20.34,2248500,20.34,1.2800000000000011
2011-11-16,19.0,19.98,18.64,18.92,2221100,18.92,-0.0799999999999983
2011-11-17,20.25,20.25,17.1,17.58,3292500,17.58,-2.6700000000000017
2011-11-18,17.73,18.65,17.7,18.38,1895800,18.38,0.6499999999999986
2011-11-21,18.1,18.12,16.52,16.89,2505200,16.89,-1.2100000000000009
2011-11-22,16.85,17.5,15.53,16.0,1546400,16.0,-0.8500000000000014
2011-11-23,16.0,16.11,15.41,15.97,747000,15.97,-0.02999999999999936
2011-11-25,16.0,16.4,15.5,15.63,464300,15.63,-0.3699999999999992
2011-11-28,16.41,16.7,15.5,15.67,864100,15.67,-0.7400000000000002
2011-11-29,15.9,16.3,15.51,16.1,1097900,16.1,0.20000000000000107
2011-11-30,16.7,17.07,16.12,16.42,711200,16.42,-0.2799999999999976
2011-12-01,16.39,17.41,16.09,17.32,578600,17.32,0.9299999999999997
2011-12-02,17.37,18.73,17.02,18.33,979500,18.33,0.9599999999999973
2011-12-05,18.41,18.75,17.22,17.62,1466500,17.62,-0.7899999999999991
2011-12-06,18.28,18.75,17.65,18.21,1194300,18.21,-0.07000000000000028
2011-12-07,18.07,18.4,17.28,17.95,866500,17.95,-0.120000000000001
2011-12-08,18.73,18.73,17.54,18.4,600000,18.4,-0.33000000000000185
2011-12-09,18.33,19.4,18.33,19.31,1467000,19.31,0.9800000000000004
2011-12-12,19.01,19.49,18.33,19.0,818200,19.0,-0.010000000000001563
2011-12-13,18.92,19.42,18.25,18.7,1158400,18.7,-0.22000000000000242
2011-12-14,18.67,18.69,17.7,18.07,907900,18.07,-0.6000000000000014
2011-12-15,18.31,18.31,16.9,17.11,1076600,17.11,-1.1999999999999993
2011-12-16,16.9,17.66,16.9,17.49,776500,17.49,0.5899999999999999
2011-12-19,17.99,19.1,16.66,16.92,686600,16.92,-1.0699999999999967
