Date,open,high,low,close,volume,adj_close,diff
2014-07-31,22.0,24.79,21.9,24.3,17116700,23.51,2.3000000000000007
2014-08-01,24.25,24.7,23.8,24.6,1609400,23.8,0.3500000000000014
2014-08-04,24.3,25.48,24.01,25.15,526300,24.33,0.8499999999999979
2014-08-05,24.86,25.5,24.31,24.4,506400,23.6,-0.46000000000000085
2014-08-06,24.25,24.75,24.01,24.09,894000,23.31,-0.16000000000000014
2014-08-07,24.11,24.48,23.01,24.23,608100,23.44,0.120000000000001
2014-08-08,24.11,24.75,24.01,24.42,217800,23.62,0.3100000000000023
2014-08-11,24.42,24.7,24.02,24.09,242900,23.31,-0.33000000000000185
2014-08-12,23.9,24.1,23.89,23.97,242800,23.19,0.07000000000000028
2014-08-13,23.88,23.97,23.43,23.57,192900,22.8,-0.3099999999999987
2014-08-14,23.5,24.0,23.3,23.71,120900,22.94,0.21000000000000085
2014-08-15,23.61,24.15,23.44,24.01,126300,23.23,0.40000000000000213
2014-08-18,24.1,24.39,23.8,24.04,113600,23.26,-0.060000000000002274
2014-08-19,23.93,25.0,23.85,24.63,152400,23.83,0.6999999999999993
2014-08-20,24.4,24.7,24.01,24.3,232000,23.51,-0.09999999999999787
2014-08-21,24.23,24.3,23.73,23.79,110800,23.01,-0.4400000000000013
2014-08-22,23.84,24.59,23.76,24.31,101300,23.52,0.46999999999999886
2014-08-25,24.24,25.45,24.01,25.04,205100,24.22,0.8000000000000007
2014-08-26,25.66,26.4,25.35,25.86,1045600,25.02,0.1999999999999993
2014-08-27,26.0,27.5,26.0,27.07,1524500,26.19,1.0700000000000003
2014-08-28,27.45,28.34,27.1,28.04,721800,27.13,0.5899999999999999
2014-08-29,28.64,28.64,27.93,28.51,328900,27.58,-0.129999999999999
2014-09-02,28.79,29.43,28.17,28.75,471800,27.81,-0.03999999999999915
2014-09-03,29.06,29.1,28.38,28.75,283100,27.81,-0.3099999999999987
2014-09-04,28.91,29.1,27.39,28.25,268000,27.33,-0.6600000000000001
2014-09-05,28.39,28.51,27.2,27.82,157500,26.91,-0.5700000000000003
2014-09-08,28.4,28.4,26.52,27.3,200300,26.41,-1.0999999999999979
2014-09-09,27.06,27.45,26.65,27.3,213500,26.41,0.240000000000002
2014-09-10,27.49,27.65,26.82,27.31,185400,26.42,-0.17999999999999972
2014-09-11,27.31,27.75,27.04,27.04,157300,26.16,-0.2699999999999996
2014-09-12,26.7,27.36,26.07,26.09,362600,25.24,-0.6099999999999994
2014-09-15,26.26,26.29,24.8,25.97,525900,25.12,-0.2900000000000027
2014-09-16,26.22,26.46,25.53,25.86,345300,25.02,-0.35999999999999943
2014-09-17,25.86,26.52,25.44,25.94,483000,25.09,0.08000000000000185
2014-09-18,26.18,26.79,25.8,26.46,222900,25.6,0.28000000000000114
2014-09-19,26.76,27.07,26.26,26.3,203200,25.44,-0.46000000000000085
2014-09-22,26.3,26.84,25.52,25.77,276200,24.93,-0.5300000000000011
2014-09-23,25.7,25.87,25.13,25.51,310900,24.68,-0.18999999999999773
2014-09-24,25.5,26.0,25.14,25.5,385300,24.67,0.0
2014-09-25,25.39,25.5,24.8,24.95,423600,24.14,-0.4400000000000013
2014-09-26,24.95,25.94,24.95,25.16,505100,24.34,0.21000000000000085
2014-09-29,25.29,26.11,25.22,25.77,334600,24.93,0.4800000000000004
2014-09-30,25.87,26.46,25.65,26.18,222400,25.33,0.3099999999999987
2014-10-01,26.16,26.39,25.56,25.99,424600,25.14,-0.1700000000000017
2014-10-02,25.8,26.04,24.75,25.37,382500,24.54,-0.4299999999999997
2014-10-03,25.9,26.23,24.8,25.02,176400,24.2,-0.879999999999999
2014-10-06,25.09,25.6,24.52,24.7,104200,23.9,-0.39000000000000057
2014-10-07,24.72,26.7,24.72,25.39,213700,24.56,0.6700000000000017
2014-10-08,25.46,26.49,24.82,25.08,151800,24.26,-0.38000000000000256
2014-10-09,25.07,25.48,23.03,23.32,273500,22.56,-1.75
2014-10-10,23.35,24.0,21.71,22.23,338700,21.51,-1.120000000000001
2014-10-13,22.62,23.1,21.05,21.29,413800,20.6,-1.3300000000000018
2014-10-14,21.1,23.06,20.8,22.21,770400,21.49,1.1099999999999994
2014-10-15,21.7,23.45,21.5,21.86,556500,21.15,0.16000000000000014
2014-10-16,21.25,23.44,21.25,23.12,346100,22.37,1.870000000000001
2014-10-17,23.5,24.85,23.0,24.01,458600,23.23,0.5100000000000016
2014-10-20,23.23,24.77,23.06,24.54,374700,23.74,1.3099999999999987
2014-10-21,24.8,25.22,24.23,24.66,240800,23.86,-0.14000000000000057
2014-10-22,24.65,24.98,24.07,24.34,176700,23.55,-0.3099999999999987
2014-10-23,24.71,26.06,24.61,26.05,214800,25.2,1.3399999999999999
2014-10-24,25.6,27.24,25.3,27.0,195400,26.12,1.3999999999999986
2014-10-27,26.44,26.71,25.93,26.43,112300,25.57,-0.010000000000001563
2014-10-28,26.69,26.69,26.09,26.44,201000,25.58,-0.25
2014-10-29,26.19,26.19,24.53,25.8,406100,24.96,-0.39000000000000057
2014-10-30,25.2,25.95,24.12,25.74,314600,24.9,0.5399999999999991
2014-10-31,25.7,26.02,25.0,25.13,261700,24.31,-0.5700000000000003
2014-11-03,24.98,25.8,24.72,24.97,206100,24.16,-0.010000000000001563
2014-11-04,24.59,24.99,23.62,24.07,271000,23.29,-0.5199999999999996
2014-11-05,24.46,24.46,23.62,23.97,255800,23.19,-0.490000000000002
2014-11-06,23.76,24.89,23.67,24.49,265600,23.69,0.7299999999999969
2014-11-07,24.24,25.41,23.92,23.98,324600,23.2,-0.259999999999998
2014-11-10,24.15,24.15,22.52,22.88,290200,22.13,-1.2699999999999996
2014-11-11,22.89,23.0,21.47,21.56,420600,20.86,-1.3300000000000018
2014-11-12,21.48,22.04,19.88,19.99,588400,19.34,-1.490000000000002
2014-11-13,19.8,19.97,18.01,19.13,1074400,18.72,-0.6700000000000017
2014-11-14,19.03,19.55,18.42,18.75,289300,18.35,-0.28000000000000114
2014-11-17,18.91,19.5,18.82,18.99,190300,18.58,0.0799999999999983
2014-11-18,19.01,19.69,18.36,19.46,478700,19.04,0.4499999999999993
2014-11-19,18.99,19.36,18.3,18.89,309700,18.48,-0.09999999999999787
2014-11-20,18.75,19.49,18.75,19.12,328800,18.71,0.370000000000001
2014-11-21,19.49,19.69,18.82,18.95,316800,18.54,-0.5399999999999991
2014-11-24,19.26,19.35,18.28,19.0,380900,18.59,-0.26000000000000156
2014-11-25,19.1,19.35,17.81,18.0,770700,17.61,-1.1000000000000014
2014-11-26,17.93,18.09,16.56,16.73,527900,16.37,-1.1999999999999993
2014-11-28,16.3,16.3,15.08,15.68,453300,15.34,-0.620000000000001
2014-12-01,15.7,16.68,15.11,15.67,643700,15.33,-0.02999999999999936
2014-12-02,15.36,16.65,15.26,15.59,494300,15.25,0.23000000000000043
2014-12-03,15.7,17.57,15.7,16.88,336900,16.52,1.1799999999999997
2014-12-04,16.32,18.08,16.32,17.84,311700,17.46,1.5199999999999996
2014-12-05,17.71,19.33,17.68,18.88,208600,18.47,1.1699999999999982
2014-12-08,19.0,19.21,17.66,18.3,305300,17.91,-0.6999999999999993
2014-12-09,17.87,18.13,17.31,17.96,136300,17.57,0.08999999999999986
2014-12-10,17.65,17.93,16.14,16.46,195300,16.1,-1.1899999999999977
2014-12-11,16.59,17.26,15.34,15.47,228500,15.14,-1.1199999999999992
2014-12-12,15.42,15.65,15.0,15.27,249200,14.94,-0.15000000000000036
2014-12-15,15.45,15.45,14.1,14.57,271600,14.26,-0.879999999999999
2014-12-16,14.48,15.85,14.41,15.44,185600,15.11,0.9599999999999991
2014-12-17,15.59,18.72,15.52,16.99,359300,16.62,1.3999999999999986
2014-12-18,17.27,18.25,15.91,16.16,254100,15.81,-1.1099999999999994
2014-12-19,16.11,16.44,15.5,16.04,284800,15.69,-0.07000000000000028
2014-12-22,15.67,15.99,15.02,15.23,245600,14.9,-0.4399999999999995
2014-12-23,15.23,15.55,15.0,15.33,163800,15.0,0.09999999999999964
2014-12-24,15.33,15.74,14.75,14.91,111700,14.59,-0.41999999999999993
2014-12-26,15.34,15.5,14.2,14.32,171400,14.01,-1.0199999999999996
2014-12-29,14.32,14.74,13.18,13.78,680100,13.48,-0.5400000000000009
2014-12-30,13.67,14.96,13.5,14.8,727800,14.48,1.1300000000000008
2014-12-31,14.53,14.9,14.14,14.62,642000,14.3,0.08999999999999986
2015-01-02,14.63,15.71,14.62,15.63,203900,15.29,1.0
2015-01-05,15.38,15.63,14.56,14.96,108600,14.64,-0.41999999999999993
2015-01-06,14.83,14.91,14.02,14.57,125300,14.26,-0.2599999999999998
2015-01-07,14.68,15.09,14.42,14.96,197500,14.64,0.28000000000000114
2015-01-08,15.35,15.72,14.44,14.76,260800,14.44,-0.5899999999999999
2015-01-09,14.73,14.73,13.95,14.1,154000,13.8,-0.6300000000000008
2015-01-12,13.96,14.1,12.81,13.24,170200,12.95,-0.7200000000000006
