Date,open,high,low,close,volume,adj_close,diff
2011-01-03,72.31,73.0,71.55,71.6,1725500,61.96,-0.710000000000008
2011-01-04,72.11,72.13,69.91,71.08,1970300,61.51,-1.0300000000000011
2011-01-05,69.1,70.35,68.93,69.99,2410300,60.57,0.8900000000000006
2011-01-06,70.52,70.55,68.45,68.67,1945700,59.43,-1.8499999999999943
2011-01-07,69.42,69.82,68.15,68.98,1943800,59.7,-0.4399999999999977
2011-01-10,68.51,69.2,67.79,68.86,1964400,59.59,0.3499999999999943
2011-01-11,69.54,70.04,69.37,69.99,2112800,60.57,0.44999999999998863
2011-01-12,71.06,72.0,70.67,71.84,2392300,62.17,0.7800000000000011
2011-01-13,72.3,72.48,70.86,71.11,2083200,61.54,-1.1899999999999977
2011-01-14,70.8,71.2,70.49,71.05,2270400,61.49,0.25
2011-01-18,71.37,71.98,71.28,71.72,1782000,62.07,0.3499999999999943
2011-01-19,71.15,71.55,69.9,70.22,2392900,60.77,-0.9300000000000068
2011-01-20,68.02,68.51,67.08,68.25,3873400,59.07,0.23000000000000398
2011-01-21,69.37,69.46,68.0,68.2,2132200,59.02,-1.1700000000000017
2011-01-24,68.46,70.57,68.39,70.53,2801700,61.04,2.0700000000000074
2011-01-25,68.81,68.99,67.77,68.57,3555200,59.34,-0.2400000000000091
2011-01-26,69.99,71.28,69.79,71.1,3750500,61.53,1.1099999999999994
2011-01-27,71.78,71.85,70.42,70.7,3510200,61.19,-1.0799999999999983
2011-01-28,68.92,69.43,67.65,68.03,3425700,58.88,-0.8900000000000006
2011-01-31,68.79,69.61,68.72,69.48,3491100,60.13,0.6899999999999977
2011-02-01,70.49,71.36,70.47,71.23,2899400,61.64,0.7400000000000091
2011-02-02,72.07,73.61,71.87,73.2,4338000,63.35,1.1300000000000097
2011-02-03,73.4,73.6,72.09,73.59,2774300,63.69,0.18999999999999773
2011-02-04,73.38,73.46,72.33,73.14,2357700,63.3,-0.23999999999999488
2011-02-07,74.12,74.94,73.61,74.17,3429300,64.19,0.04999999999999716
2011-02-08,74.71,76.67,74.4,76.63,5797400,66.32,1.9200000000000017
2011-02-09,75.7,76.55,75.03,75.18,5035700,65.06,-0.519999999999996
2011-02-10,73.12,74.17,73.04,74.09,4094300,64.12,0.9699999999999989
2011-02-11,73.42,74.94,73.2,74.27,2612400,64.28,0.8499999999999943
2011-02-14,75.16,76.27,74.81,75.9,3018700,65.69,0.7400000000000091
2011-02-15,74.31,74.74,73.51,73.69,3571500,63.77,-0.6200000000000045
2011-02-16,73.02,73.69,72.5,73.45,2884500,63.57,0.4300000000000068
2011-02-17,72.38,73.72,72.06,73.26,3431100,63.4,0.8800000000000097
2011-02-18,71.84,72.11,71.2,71.54,3802700,61.91,-0.29999999999999716
2011-02-22,70.52,71.83,69.31,69.38,4419600,60.04,-1.1400000000000006
2011-02-23,69.26,69.76,67.53,68.53,5174800,59.31,-0.730000000000004
2011-02-24,67.96,68.37,67.16,68.12,4619700,58.95,0.1600000000000108
2011-02-25,69.31,69.71,68.95,69.57,2457200,60.21,0.2599999999999909
2011-02-28,70.91,71.22,70.4,71.08,3726500,61.51,0.1700000000000017
2011-03-01,71.4,71.61,69.76,69.87,2908800,60.47,-1.5300000000000011
2011-03-02,69.29,70.36,69.26,69.97,2895200,61.11,0.6799999999999926
2011-03-03,71.28,71.7,70.94,71.52,3188300,62.46,0.23999999999999488
2011-03-04,71.3,71.57,69.71,70.53,2459600,61.6,-0.769999999999996
2011-03-07,70.31,70.44,67.89,68.33,3809500,59.68,-1.980000000000004
2011-03-08,66.88,67.72,66.27,67.47,4770000,58.92,0.5900000000000034
2011-03-09,67.12,67.18,66.14,66.74,3181000,58.29,-0.38000000000000966
2011-03-10,63.96,64.25,63.26,63.57,5676600,55.52,-0.39000000000000057
2011-03-11,63.95,64.6,63.55,64.54,5710900,56.37,0.5900000000000034
2011-03-14,64.34,65.21,64.15,65.12,2742300,56.87,0.7800000000000011
2011-03-15,61.87,64.63,61.66,64.44,4137400,56.28,2.5700000000000003
2011-03-16,63.95,64.24,61.07,62.0,4712900,54.15,-1.9500000000000028
2011-03-17,64.57,65.14,63.94,64.61,3953900,56.43,0.04000000000000625
2011-03-18,65.87,65.96,64.84,65.21,2645700,56.95,-0.6600000000000108
2011-03-21,66.96,66.99,66.0,66.75,2681300,58.3,-0.20999999999999375
2011-03-22,66.45,66.57,65.78,66.13,2072500,57.75,-0.3200000000000074
2011-03-23,66.54,67.97,66.1,67.52,3513200,58.97,0.9799999999999898
2011-03-24,68.46,68.89,67.66,68.59,3234600,59.9,0.13000000000000966
2011-03-25,68.5,69.11,68.19,68.27,3647300,59.62,-0.23000000000000398
2011-03-28,68.2,69.23,68.01,68.17,3681400,59.54,-0.030000000000001137
2011-03-29,69.44,70.16,69.09,70.12,2948900,61.24,0.6800000000000068
2011-03-30,71.78,71.99,71.06,71.56,4010500,62.5,-0.21999999999999886
2011-03-31,70.74,71.74,70.73,71.12,2688800,62.11,0.38000000000000966
2011-04-01,70.88,71.91,70.41,71.7,3361300,62.62,0.8200000000000074
2011-04-04,72.92,73.05,72.42,72.64,2060900,63.44,-0.28000000000000114
2011-04-05,71.88,72.75,71.74,72.31,2125900,63.15,0.4300000000000068
2011-04-06,72.79,72.97,72.33,72.97,2896000,63.73,0.1799999999999926
2011-04-07,72.24,72.88,71.79,72.42,2509500,63.25,0.18000000000000682
2011-04-08,74.15,74.55,73.35,73.93,3246300,64.57,-0.21999999999999886
2011-04-11,74.98,74.99,73.4,73.82,2881500,64.47,-1.1600000000000108
2011-04-12,72.35,72.45,71.43,72.13,3592700,62.99,-0.21999999999999886
2011-04-13,72.62,72.75,71.08,71.66,3035800,62.58,-0.960000000000008
2011-04-14,71.08,71.84,70.94,71.7,3817300,62.62,0.6200000000000045
2011-04-15,70.97,71.14,70.46,70.91,2760500,61.93,-0.060000000000002274
2011-04-18,69.48,69.72,68.0,69.09,4631400,60.34,-0.39000000000000057
2011-04-19,69.71,70.25,69.26,70.03,2564600,61.16,0.3200000000000074
2011-04-20,71.51,72.03,71.2,71.84,3075900,62.74,0.3299999999999983
2011-04-21,73.98,74.04,72.95,73.14,2543500,63.88,-0.8400000000000034
2011-04-25,73.3,73.42,72.19,72.71,998600,63.5,-0.5900000000000034
2011-04-26,72.87,73.33,72.25,72.88,2000000,63.65,0.009999999999990905
2011-04-27,72.77,73.36,71.55,73.3,2727600,64.02,0.5300000000000011
2011-04-28,72.47,73.3,72.22,72.76,2250700,63.54,0.29000000000000625
2011-04-29,72.94,73.6,72.43,73.21,1452000,63.94,0.269999999999996
2011-05-02,73.43,73.79,72.13,72.33,1488800,63.17,-1.1000000000000085
2011-05-03,71.55,71.83,69.45,70.07,5348300,61.2,-1.480000000000004
2011-05-04,69.75,69.75,68.21,68.87,4293200,60.15,-0.8799999999999955
2011-05-05,67.81,68.43,66.3,66.74,4422600,58.29,-1.0700000000000074
2011-05-06,67.79,68.79,66.92,67.49,3507300,58.94,-0.30000000000001137
2011-05-09,68.04,69.24,67.4,69.08,3211800,60.33,1.039999999999992
2011-05-10,69.08,69.83,68.77,69.66,3305500,60.84,0.5799999999999983
