Date,open,high,low,close,volume,adj_close,diff
2011-01-03,14.58,14.83,14.58,14.75,200900,10.18,0.16999999999999993
2011-01-04,14.74,14.81,14.46,14.61,219800,10.09,-0.13000000000000078
2011-01-05,14.65,14.97,14.65,14.93,378300,10.31,0.27999999999999936
2011-01-06,14.98,14.99,14.83,14.9,218900,10.29,-0.08000000000000007
2011-01-07,14.87,14.94,14.52,14.7,253800,10.15,-0.16999999999999993
2011-01-10,14.63,14.68,14.48,14.64,229200,10.11,0.009999999999999787
2011-01-11,14.72,14.8,14.62,14.64,216100,10.11,-0.08000000000000007
2011-01-12,14.76,14.76,14.66,14.7,261200,10.15,-0.0600000000000005
2011-01-13,14.74,14.92,14.73,14.86,179000,10.26,0.11999999999999922
2011-01-14,14.96,14.96,14.77,14.9,264600,10.29,-0.0600000000000005
2011-01-18,14.92,14.94,14.78,14.9,283100,10.29,-0.019999999999999574
2011-01-19,14.9,14.91,14.64,14.66,288300,10.12,-0.2400000000000002
2011-01-20,14.63,14.64,14.45,14.53,307700,10.03,-0.10000000000000142
2011-01-21,14.59,14.63,14.47,14.52,207000,10.02,-0.07000000000000028
2011-01-24,14.49,14.62,14.48,14.59,199100,10.07,0.09999999999999964
2011-01-25,14.58,14.58,14.45,14.58,325700,10.07,0.0
2011-01-26,14.58,14.75,14.55,14.66,267800,10.12,0.08000000000000007
2011-01-27,14.68,14.91,14.65,14.8,278800,10.22,0.120000000000001
2011-01-28,14.77,14.77,14.3,14.34,249600,9.9,-0.4299999999999997
2011-01-31,14.4,14.48,14.27,14.4,186500,9.94,0.0
2011-02-01,14.5,14.72,14.5,14.69,165800,10.14,0.1899999999999995
2011-02-02,14.63,14.78,14.63,14.76,202000,10.19,0.129999999999999
2011-02-03,14.71,14.78,14.6,14.78,229600,10.2,0.06999999999999851
2011-02-04,14.74,14.8,14.66,14.8,222100,10.22,0.0600000000000005
2011-02-07,14.74,14.96,14.74,14.87,166000,10.27,0.129999999999999
2011-02-08,14.84,14.94,14.81,14.94,286900,10.31,0.09999999999999964
2011-02-09,14.85,14.88,14.69,14.76,384900,10.19,-0.08999999999999986
2011-02-10,14.68,14.88,14.66,14.87,216600,10.27,0.1899999999999995
2011-02-11,14.85,15.06,14.81,15.06,340000,10.4,0.21000000000000085
2011-02-14,15.07,15.31,15.06,15.19,629900,10.49,0.11999999999999922
2011-02-15,15.17,15.26,15.14,15.2,359700,10.49,0.02999999999999936
2011-02-16,15.28,15.45,15.28,15.45,555400,10.67,0.16999999999999993
2011-02-17,15.41,15.6,15.38,15.57,318800,10.75,0.16000000000000014
2011-02-18,15.6,15.6,15.45,15.51,311500,10.71,-0.08999999999999986
2011-02-22,15.33,15.39,15.1,15.11,322300,10.43,-0.22000000000000064
2011-02-23,15.18,15.18,14.75,14.88,435400,10.27,-0.29999999999999893
2011-02-24,14.89,14.97,14.6,14.92,442100,10.3,0.02999999999999936
2011-02-25,14.94,15.23,14.94,15.23,349900,10.52,0.2900000000000009
2011-02-28,15.3,15.34,15.14,15.27,273800,10.54,-0.030000000000001137
2011-03-01,15.29,15.32,15.0,15.05,264700,10.39,-0.23999999999999844
2011-03-02,15.07,15.2,15.05,15.17,245500,10.47,0.09999999999999964
2011-03-03,15.16,15.28,15.16,15.24,203200,10.65,0.08000000000000007
2011-03-04,15.24,15.24,15.08,15.19,178200,10.61,-0.05000000000000071
2011-03-07,15.17,15.21,14.89,15.06,351700,10.52,-0.10999999999999943
2011-03-08,15.18,15.26,14.95,15.2,303300,10.62,0.019999999999999574
2011-03-09,15.12,15.18,15.06,15.07,192900,10.53,-0.049999999999998934
2011-03-10,14.88,14.88,14.71,14.72,438300,10.29,-0.16000000000000014
2011-03-11,14.68,14.84,14.63,14.75,296100,10.31,0.07000000000000028
2011-03-14,14.68,14.78,14.57,14.77,165700,10.32,0.08999999999999986
2011-03-15,14.47,14.72,14.32,14.67,230800,10.25,0.1999999999999993
2011-03-16,14.61,14.66,14.32,14.5,230600,10.13,-0.10999999999999943
2011-03-17,14.6,14.64,14.49,14.55,241000,10.17,-0.049999999999998934
2011-03-18,14.7,14.76,14.63,14.72,296600,10.29,0.02000000000000135
2011-03-21,14.86,14.98,14.8,14.89,303700,10.4,0.030000000000001137
2011-03-22,14.93,14.95,14.85,14.92,244800,10.42,-0.009999999999999787
2011-03-23,14.89,14.97,14.81,14.96,284900,10.45,0.07000000000000028
2011-03-24,15.03,15.08,14.93,15.03,272800,10.5,0.0
2011-03-25,15.09,15.23,15.03,15.16,355800,10.59,0.07000000000000028
2011-03-28,15.19,15.22,15.13,15.14,170200,10.58,-0.049999999999998934
2011-03-29,15.11,15.22,15.01,15.21,308600,10.63,0.10000000000000142
2011-03-30,15.25,15.37,15.23,15.36,266500,10.73,0.10999999999999943
2011-03-31,15.34,15.39,15.3,15.39,188100,10.75,0.05000000000000071
2011-04-01,15.51,15.51,15.43,15.47,293100,10.81,-0.03999999999999915
2011-04-04,15.49,15.61,15.47,15.58,161900,10.89,0.08999999999999986
2011-04-05,15.59,15.74,15.57,15.68,129900,10.96,0.08999999999999986
2011-04-06,15.72,15.78,15.6,15.71,207300,10.98,-0.009999999999999787
2011-04-07,15.67,15.77,15.6,15.66,202300,10.94,-0.009999999999999787
2011-04-08,15.68,15.76,15.46,15.54,164600,10.86,-0.14000000000000057
2011-04-11,15.5,15.64,15.34,15.38,184400,10.75,-0.11999999999999922
2011-04-12,15.24,15.33,15.18,15.25,123500,10.66,0.009999999999999787
2011-04-13,15.27,15.37,15.13,15.25,117300,10.66,-0.019999999999999574
2011-04-14,15.18,15.26,15.11,15.26,109500,10.66,0.08000000000000007
2011-04-15,15.3,15.32,15.2,15.28,163700,10.68,-0.02000000000000135
2011-04-18,15.16,15.16,14.99,15.1,224800,10.55,-0.0600000000000005
2011-04-19,15.05,15.16,15.05,15.16,158000,10.59,0.10999999999999943
2011-04-20,15.32,15.45,15.3,15.35,158800,10.73,0.02999999999999936
2011-04-21,15.4,15.52,15.37,15.52,151500,10.84,0.11999999999999922
