Date,open,high,low,close,volume,adj_close,diff
2011-01-03,7.46,7.46,7.46,7.46,0,5.6,0.0
2011-01-04,7.49,7.76,7.49,7.76,200,5.83,0.2699999999999996
2011-01-05,7.67,7.73,7.57,7.69,1300,5.78,0.020000000000000462
2011-01-06,7.69,7.69,7.69,7.69,0,5.78,0.0
2011-01-07,7.5,7.5,7.5,7.5,500,5.63,0.0
2011-01-10,7.5,7.5,7.5,7.5,0,5.63,0.0
2011-01-11,7.5,7.51,7.44,7.51,800,5.64,0.009999999999999787
2011-01-12,7.51,7.51,7.51,7.51,0,5.64,0.0
2011-01-13,7.51,7.51,7.51,7.51,0,5.64,0.0
2011-01-14,7.51,7.51,7.51,7.51,0,5.64,0.0
2011-01-18,7.7,7.95,7.7,7.94,11600,5.97,0.2400000000000002
2011-01-19,8.0,8.1,8.0,8.1,3700,6.09,0.09999999999999964
2011-01-20,8.0,8.0,7.95,7.95,6600,5.97,-0.04999999999999982
2011-01-21,8.1,8.19,8.1,8.19,3600,6.15,0.08999999999999986
2011-01-24,8.2,8.3,8.2,8.3,5800,6.24,0.10000000000000142
2011-01-25,8.3,8.3,8.3,8.3,2000,6.24,0.0
2011-01-26,7.14,8.47,7.14,8.4,4800,6.94,1.2600000000000007
2011-01-27,8.4,8.4,8.4,8.4,0,6.94,0.0
2011-01-28,8.05,8.05,8.05,8.05,300,6.65,0.0
2011-01-31,8.05,8.61,8.0,8.0,3400,6.61,-0.05000000000000071
2011-02-01,8.06,8.06,8.0,8.0,800,6.61,-0.0600000000000005
2011-02-02,8.0,8.0,8.0,8.0,0,6.61,0.0
2011-02-03,8.03,8.08,8.0,8.0,6200,6.61,-0.02999999999999936
2011-02-04,8.0,8.0,8.0,8.0,0,6.61,0.0
2011-02-07,8.0,8.25,8.0,8.2,6300,6.78,0.1999999999999993
2011-02-08,8.25,8.31,8.25,8.31,3800,6.87,0.0600000000000005
2011-02-09,8.29,8.3,8.02,8.25,1200,6.82,-0.03999999999999915
2011-02-10,8.25,8.25,8.25,8.25,200,6.82,0.0
2011-02-11,8.18,8.82,8.18,8.82,8600,7.29,0.6400000000000006
2011-02-14,8.1,8.1,8.1,8.1,800,6.69,0.0
2011-02-15,8.63,8.63,7.9,8.11,1800,6.7,-0.5200000000000014
2011-02-16,8.0,8.65,8.0,8.62,3800,7.12,0.6199999999999992
2011-02-17,8.5,8.74,8.2,8.35,6200,6.9,-0.15000000000000036
2011-02-18,8.3,8.3,8.3,8.3,300,6.86,0.0
2011-02-22,8.38,8.48,8.38,8.48,2000,7.01,0.09999999999999964
2011-02-23,8.5,8.5,8.5,8.5,300,7.02,0.0
2011-02-24,8.44,8.5,8.1,8.5,2600,7.02,0.0600000000000005
2011-02-25,8.5,8.5,8.5,8.5,0,7.02,0.0
2011-02-28,8.26,8.59,8.25,8.59,4100,7.1,0.33000000000000007
2011-03-01,8.59,8.59,8.59,8.59,0,7.1,0.0
2011-03-02,8.33,8.33,8.3,8.3,1300,6.86,-0.02999999999999936
2011-03-03,8.56,8.6,8.49,8.5,3800,7.02,-0.0600000000000005
2011-03-04,8.53,8.54,8.53,8.54,300,7.06,0.009999999999999787
2011-03-07,8.54,8.54,8.54,8.54,0,7.06,0.0
2011-03-08,8.45,8.5,8.44,8.44,700,6.98,-0.009999999999999787
2011-03-09,8.44,8.44,8.44,8.44,0,6.98,0.0
2011-03-10,8.31,8.31,8.02,8.13,5200,6.72,-0.17999999999999972
2011-03-11,7.34,8.24,7.34,8.24,1700,6.81,0.9000000000000004
2011-03-14,7.72,8.19,7.72,8.19,1800,6.77,0.46999999999999975
2011-03-15,7.95,8.2,7.95,8.2,800,6.78,0.2499999999999991
2011-03-16,8.04,8.04,7.95,7.95,1400,6.57,-0.08999999999999897
2011-03-17,8.0,8.04,7.95,7.95,900,6.57,-0.04999999999999982
2011-03-18,8.0,8.19,8.0,8.19,700,6.77,0.1899999999999995
2011-03-21,8.2,8.2,7.88,7.88,500,6.51,-0.3199999999999994
2011-03-22,7.9,7.9,7.9,7.9,200,6.53,0.0
2011-03-23,7.87,7.99,7.82,7.82,1700,6.46,-0.04999999999999982
2011-03-24,8.19,8.19,8.19,8.19,200,6.77,0.0
2011-03-25,8.09,8.09,7.85,7.95,4500,6.57,-0.13999999999999968
2011-03-28,7.8,7.8,7.7,7.8,3300,6.45,0.0
2011-03-29,8.16,8.16,7.9,7.9,800,6.53,-0.2599999999999998
2011-03-30,8.07,8.07,7.85,7.97,2900,6.59,-0.10000000000000053
2011-03-31,7.99,7.99,7.99,7.99,100,6.6,0.0
2011-04-01,7.76,7.85,7.76,7.85,400,6.49,0.08999999999999986
2011-04-04,7.67,7.68,7.67,7.67,1400,6.34,0.0
2011-04-05,7.7,7.78,7.7,7.78,1800,6.43,0.08000000000000007
2011-04-06,7.79,7.79,7.79,7.79,200,6.44,0.0
2011-04-07,7.7,7.75,7.67,7.75,5300,6.4,0.04999999999999982
2011-04-08,7.8,7.8,7.79,7.8,1300,6.45,0.0
2011-04-11,7.68,7.68,7.68,7.68,100,6.35,0.0
2011-04-12,7.7,7.7,7.7,7.7,100,6.36,0.0
