Date,open,high,low,close,volume,adj_close,diff
2013-02-22,24.83,24.87,24.7,24.81,196100,22.15,-0.019999999999999574
2013-02-25,24.85,24.85,24.72,24.79,97200,22.13,-0.060000000000002274
2013-02-26,24.79,24.8,24.71,24.71,74100,22.06,-0.0799999999999983
2013-02-27,24.75,24.79,24.65,24.68,66300,22.03,-0.07000000000000028
2013-02-28,24.6,24.75,24.58,24.65,76200,22.01,0.04999999999999716
2013-03-01,24.65,24.73,24.65,24.73,48200,22.08,0.08000000000000185
2013-03-04,24.73,24.78,24.7,24.77,41200,22.11,0.03999999999999915
2013-03-05,24.75,24.75,24.65,24.73,187900,22.08,-0.019999999999999574
2013-03-06,24.65,24.75,24.6,24.75,64600,22.1,0.10000000000000142
2013-03-07,24.75,24.75,24.65,24.73,34000,22.08,-0.019999999999999574
2013-03-08,24.77,24.8,24.73,24.76,40700,22.1,-0.00999999999999801
2013-03-11,24.79,24.79,24.66,24.75,64700,22.1,-0.03999999999999915
2013-03-12,24.79,24.8,24.69,24.72,55000,22.07,-0.07000000000000028
2013-03-13,24.77,24.8,24.73,24.79,42000,22.13,0.019999999999999574
2013-03-14,24.8,24.8,24.69,24.71,40100,22.06,-0.08999999999999986
2013-03-15,24.77,24.9,24.71,24.83,39300,22.17,0.05999999999999872
2013-03-18,24.8,24.87,24.77,24.78,24700,22.12,-0.019999999999999574
2013-03-19,24.8,24.8,24.69,24.71,64400,22.06,-0.08999999999999986
2013-03-20,24.7,24.86,24.7,24.72,81500,22.07,0.019999999999999574
2013-03-21,24.75,24.88,24.72,24.85,39500,22.18,0.10000000000000142
2013-03-22,24.77,24.88,24.77,24.82,31800,22.16,0.05000000000000071
2013-03-25,24.9,24.98,24.86,24.91,37900,22.24,0.010000000000001563
2013-03-26,24.95,24.95,24.89,24.95,37300,22.27,0.0
2013-03-27,24.9,25.0,24.9,24.95,36600,22.27,0.05000000000000071
2013-03-28,24.94,24.95,24.9,24.95,27600,22.27,0.00999999999999801
2013-04-01,25.0,25.0,24.95,24.95,36900,22.27,-0.05000000000000071
2013-04-02,24.95,25.0,24.92,25.0,54800,22.32,0.05000000000000071
2013-04-03,24.93,25.0,24.93,24.95,68000,22.27,0.019999999999999574
2013-04-04,25.0,25.0,24.94,25.0,46000,22.32,0.0
2013-04-05,24.95,24.99,24.94,24.99,21600,22.31,0.03999999999999915
2013-04-08,25.03,25.07,24.99,25.03,99900,22.35,0.0
2013-04-09,25.0,25.02,24.96,24.99,89500,22.31,-0.010000000000001563
2013-04-10,25.0,25.06,25.0,25.04,86700,22.35,0.03999999999999915
2013-04-11,25.02,25.04,24.98,25.0,81700,22.32,-0.019999999999999574
2013-04-12,25.0,25.02,24.98,25.02,32600,22.34,0.019999999999999574
2013-04-15,25.03,25.11,24.98,25.02,127700,22.34,-0.010000000000001563
2013-04-16,25.1,25.21,25.04,25.21,194400,22.51,0.10999999999999943
2013-04-17,25.21,25.34,25.2,25.23,164200,22.52,0.019999999999999574
2013-04-18,25.25,25.26,25.11,25.16,166000,22.46,-0.08999999999999986
2013-04-19,25.23,25.41,25.2,25.41,288700,22.68,0.17999999999999972
2013-04-22,25.33,25.46,25.25,25.37,99400,22.65,0.0400000000000027
2013-04-23,25.47,25.5,25.22,25.36,109300,22.64,-0.10999999999999943
2013-04-24,25.38,25.49,25.3,25.44,70600,22.71,0.060000000000002274
2013-04-25,25.4,25.56,25.36,25.52,163000,22.78,0.120000000000001
2013-04-26,25.52,25.55,25.36,25.43,67200,22.7,-0.08999999999999986
2013-04-29,25.4,25.41,25.32,25.34,61200,22.62,-0.05999999999999872
