Date,open,high,low,close,volume,adj_close,diff
2011-01-03,9.83,10.09,9.8,9.98,101000,9.98,0.15000000000000036
2011-01-04,10.04,10.41,10.0,10.39,108800,10.39,0.3500000000000014
2011-01-05,10.42,10.57,10.4,10.53,100300,10.53,0.10999999999999943
2011-01-06,10.55,10.58,9.68,9.98,135100,9.98,-0.5700000000000003
2011-01-07,10.02,10.02,9.34,9.46,127900,9.46,-0.5599999999999987
2011-01-10,9.49,9.52,8.92,9.32,118400,9.32,-0.16999999999999993
2011-01-11,9.26,9.37,8.92,9.25,55900,9.25,-0.009999999999999787
2011-01-12,9.24,9.4,9.0,9.27,51200,9.27,0.02999999999999936
2011-01-13,9.25,9.27,9.09,9.12,13400,9.12,-0.13000000000000078
2011-01-14,9.12,9.17,8.98,9.1,33600,9.1,-0.019999999999999574
2011-01-18,9.05,9.13,8.97,9.07,36400,9.07,0.019999999999999574
2011-01-19,8.96,9.11,8.6,8.6,55300,8.6,-0.3600000000000012
2011-01-20,8.61,8.72,8.46,8.65,37100,8.65,0.040000000000000924
2011-01-21,8.8,9.05,8.8,8.97,33100,8.97,0.16999999999999993
2011-01-24,9.24,9.24,8.7,8.86,29000,8.86,-0.3800000000000008
2011-01-25,8.79,8.79,8.59,8.59,32900,8.59,-0.1999999999999993
2011-01-26,8.54,8.65,8.25,8.4,51200,8.4,-0.1399999999999988
2011-01-27,8.25,8.44,8.17,8.22,54300,8.22,-0.02999999999999936
2011-01-28,8.17,8.17,7.79,7.88,62000,7.88,-0.29000000000000004
2011-01-31,7.8,7.8,7.5,7.71,66500,7.71,-0.08999999999999986
2011-02-01,7.68,7.99,7.66,7.95,40700,7.95,0.27000000000000046
2011-02-02,7.81,8.2,7.81,8.03,42300,8.03,0.21999999999999975
2011-02-03,7.98,8.1,7.76,7.94,37200,7.94,-0.040000000000000036
2011-02-04,7.8,7.92,7.56,7.58,51500,7.58,-0.21999999999999975
2011-02-07,7.53,7.72,7.45,7.68,49900,7.68,0.14999999999999947
2011-02-08,7.54,7.68,7.5,7.61,28500,7.61,0.07000000000000028
2011-02-09,7.57,7.6,7.51,7.53,13800,7.53,-0.040000000000000036
2011-02-10,7.5,7.57,7.42,7.46,23800,7.46,-0.040000000000000036
2011-02-11,7.51,7.51,7.29,7.4,32400,7.4,-0.10999999999999943
2011-02-14,7.35,7.38,7.26,7.35,22400,7.35,0.0
2011-02-15,7.33,7.95,7.32,7.73,46900,7.73,0.40000000000000036
2011-02-16,7.75,7.85,7.53,7.58,17200,7.58,-0.16999999999999993
2011-02-17,7.72,7.75,7.45,7.49,19800,7.49,-0.22999999999999954
2011-02-18,7.48,7.56,7.42,7.55,23700,7.55,0.0699999999999994
2011-02-22,7.52,7.58,7.43,7.44,22800,7.44,-0.07999999999999918
2011-02-23,7.41,7.51,7.26,7.27,32400,7.27,-0.14000000000000057
2011-02-24,7.23,7.3,7.17,7.27,11200,7.27,0.03999999999999915
2011-02-25,7.32,7.61,7.27,7.5,21800,7.5,0.17999999999999972
2011-02-28,7.63,7.73,7.5,7.56,7900,7.56,-0.07000000000000028
2011-03-01,7.95,7.95,7.7,7.77,47900,7.77,-0.1800000000000006
2011-03-02,7.83,8.07,7.65,7.7,21400,7.7,-0.1299999999999999
2011-03-03,7.75,7.78,7.62,7.62,20500,7.62,-0.1299999999999999
2011-03-04,7.63,7.63,7.5,7.52,7200,7.52,-0.11000000000000032
2011-03-07,7.5,7.64,7.45,7.45,6000,7.45,-0.04999999999999982
2011-03-08,7.45,7.48,7.4,7.43,13600,7.43,-0.020000000000000462
2011-03-09,7.48,7.51,7.41,7.47,8300,7.47,-0.010000000000000675
2011-03-10,7.41,7.41,7.2,7.29,10700,7.29,-0.1200000000000001
2011-03-11,7.3,7.3,6.75,6.95,44500,6.95,-0.34999999999999964
2011-03-14,6.8,6.8,6.01,6.21,83600,6.21,-0.5899999999999999
2011-03-15,6.0,6.06,5.0,5.98,116900,5.98,-0.019999999999999574
2011-03-16,6.0,6.0,5.6,5.64,34500,5.64,-0.3600000000000003
2011-03-17,5.75,5.75,5.52,5.57,39300,5.57,-0.17999999999999972
2011-03-18,5.57,5.62,5.45,5.52,30500,5.52,-0.05000000000000071
2011-03-21,5.59,5.59,5.32,5.36,41000,5.36,-0.22999999999999954
2011-03-22,5.45,5.5,5.03,5.47,45000,5.47,0.019999999999999574
2011-03-23,5.47,5.47,5.11,5.44,45500,5.44,-0.02999999999999936
2011-03-24,5.44,5.58,5.12,5.28,59400,5.28,-0.16000000000000014
2011-03-25,5.33,5.76,5.26,5.3,29400,5.3,-0.03000000000000025
2011-03-28,5.35,5.65,5.31,5.5,36800,5.5,0.15000000000000036
2011-03-29,5.5,6.02,5.45,6.01,57600,6.01,0.5099999999999998
2011-03-30,5.9,6.04,5.54,5.55,62500,5.55,-0.35000000000000053
2011-03-31,5.58,5.86,5.3,5.75,120700,5.75,0.16999999999999993
2011-04-01,5.71,5.71,5.3,5.4,58400,5.4,-0.3099999999999996
2011-04-04,5.44,5.51,5.25,5.26,30900,5.26,-0.1800000000000006
2011-04-05,5.25,5.3,4.72,4.75,109800,4.75,-0.5
2011-04-06,4.73,4.99,4.59,4.77,55200,4.77,0.03999999999999915
2011-04-07,4.8,4.82,4.68,4.77,34500,4.77,-0.03000000000000025
2011-04-08,4.85,5.94,4.85,5.64,162400,5.64,0.79
2011-04-11,5.94,5.94,5.22,5.48,95700,5.48,-0.45999999999999996
2011-04-12,5.8,5.87,4.94,5.16,393500,5.16,-0.6399999999999997
2011-04-13,5.16,5.7,5.06,5.37,183600,5.37,0.20999999999999996
2011-04-14,5.41,5.42,5.16,5.26,56000,5.26,-0.15000000000000036
2011-04-15,5.16,5.24,4.89,5.06,87000,5.06,-0.10000000000000053
