Date,open,high,low,close,volume,adj_close,diff
2011-01-03,9.6,9.6,9.6,9.6,400,7.43,0.0
2011-01-04,9.6,9.6,9.6,9.6,0,7.43,0.0
2011-01-05,9.4,9.65,9.4,9.65,1800,7.47,0.25
2011-01-06,9.55,9.6,9.45,9.6,1300,7.43,0.049999999999998934
2011-01-07,9.41,9.41,9.41,9.41,100,7.28,0.0
2011-01-10,9.5,9.5,9.4,9.4,1100,7.27,-0.09999999999999964
2011-01-11,9.5,9.5,9.5,9.5,700,7.35,0.0
2011-01-12,9.5,9.55,9.4,9.53,3100,7.37,0.02999999999999936
2011-01-13,9.4,9.41,9.4,9.4,700,7.27,0.0
2011-01-14,9.4,9.4,9.4,9.4,0,7.27,0.0
2011-01-18,9.49,9.75,9.4,9.51,2600,7.36,0.019999999999999574
2011-01-19,9.51,9.51,9.51,9.51,0,7.36,0.0
2011-01-20,9.72,9.74,9.72,9.74,200,7.54,0.019999999999999574
2011-01-21,9.74,9.74,9.74,9.74,0,7.54,0.0
2011-01-24,9.7,9.7,9.7,9.7,100,7.5,0.0
2011-01-25,9.74,9.74,9.74,9.74,200,7.54,0.0
2011-01-26,9.66,9.66,9.66,9.66,100,7.47,0.0
2011-01-27,9.67,9.75,9.43,9.75,4400,7.54,0.08000000000000007
2011-01-28,9.22,9.22,9.22,9.22,1000,7.18,0.0
2011-01-31,9.41,9.54,9.4,9.4,4800,7.32,-0.009999999999999787
2011-02-01,9.5,9.5,9.4,9.41,2000,7.33,-0.08999999999999986
2011-02-02,9.41,9.45,9.41,9.45,900,7.36,0.03999999999999915
2011-02-03,9.6,9.7,9.6,9.7,2000,7.56,0.09999999999999964
2011-02-04,9.7,9.7,9.7,9.7,300,7.56,0.0
2011-02-07,9.7,9.7,9.64,9.65,1800,7.52,-0.049999999999998934
2011-02-08,9.65,9.65,9.65,9.65,0,7.52,0.0
2011-02-09,9.65,9.65,9.45,9.45,800,7.36,-0.20000000000000107
2011-02-10,9.45,9.45,9.45,9.45,0,7.36,0.0
2011-02-11,9.45,9.45,9.45,9.45,0,7.36,0.0
2011-02-14,9.75,9.75,9.75,9.75,1000,7.6,0.0
2011-02-15,9.75,9.75,9.75,9.75,0,7.6,0.0
2011-02-16,9.72,9.75,9.72,9.73,4200,7.58,0.009999999999999787
2011-02-17,9.5,9.7,9.5,9.7,1500,7.56,0.1999999999999993
2011-02-18,9.71,9.71,9.71,9.71,200,7.56,0.0
2011-02-22,9.8,9.8,9.7,9.7,1000,7.56,-0.10000000000000142
2011-02-23,9.75,9.75,9.7,9.7,900,7.56,-0.05000000000000071
2011-02-24,9.75,9.75,9.5,9.5,1700,7.4,-0.25
2011-02-25,9.5,9.5,9.5,9.5,0,7.45,0.0
2011-02-28,9.5,9.5,9.5,9.5,0,7.45,0.0
2011-03-01,9.5,10.0,9.5,10.0,2700,7.85,0.5
2011-03-02,10.0,10.03,10.0,10.0,2500,7.85,0.0
2011-03-03,9.33,9.7,9.08,9.6,18200,7.53,0.2699999999999996
2011-03-04,9.72,9.72,9.7,9.7,1300,7.61,-0.02000000000000135
2011-03-07,9.77,9.77,9.77,9.77,200,7.67,0.0
2011-03-08,9.7,9.7,9.49,9.5,2800,7.45,-0.1999999999999993
2011-03-09,9.5,9.5,9.5,9.5,0,7.45,0.0
2011-03-10,9.99,9.99,9.97,9.99,1000,7.84,0.0
2011-03-11,9.51,9.51,9.38,9.45,4800,7.41,-0.0600000000000005
2011-03-14,9.5,9.5,9.45,9.45,5800,7.41,-0.05000000000000071
2011-03-15,9.44,9.44,9.01,9.18,4400,7.2,-0.2599999999999998
2011-03-16,9.48,9.5,9.45,9.49,3900,7.45,0.009999999999999787
2011-03-17,9.49,9.49,9.49,9.49,0,7.45,0.0
