Date,open,high,low,close,volume,adj_close,diff
2011-01-03,6.54,6.71,6.46,6.51,596600,6.51,-0.03000000000000025
2011-01-04,6.5,6.6,6.35,6.39,217400,6.39,-0.11000000000000032
2011-01-05,6.36,6.61,6.36,6.58,140700,6.58,0.21999999999999975
2011-01-06,6.57,6.59,6.37,6.51,88300,6.51,-0.0600000000000005
2011-01-07,6.54,6.7,6.44,6.54,497800,6.54,0.0
2011-01-10,6.53,6.74,6.42,6.6,205200,6.6,0.0699999999999994
2011-01-11,6.64,6.84,6.62,6.83,193100,6.83,0.1900000000000004
2011-01-12,6.89,6.89,6.73,6.8,163700,6.8,-0.08999999999999986
2011-01-13,6.82,6.95,6.3,6.76,150600,6.76,-0.0600000000000005
2011-01-14,6.78,6.79,6.7,6.75,81500,6.75,-0.03000000000000025
2011-01-18,6.7,6.8,6.5,6.57,100300,6.57,-0.1299999999999999
2011-01-19,6.61,6.71,6.05,6.08,223000,6.08,-0.5300000000000002
2011-01-20,6.02,6.07,5.63,5.89,626900,5.89,-0.1299999999999999
2011-01-21,5.91,6.13,5.87,6.09,360400,6.09,0.17999999999999972
2011-01-24,6.08,6.14,5.97,6.06,162600,6.06,-0.020000000000000462
2011-01-25,6.01,6.1,5.83,5.89,145900,5.89,-0.1200000000000001
2011-01-26,5.92,6.09,5.9,6.08,127200,6.08,0.16000000000000014
2011-01-27,6.09,6.23,6.0,6.12,95900,6.12,0.03000000000000025
2011-01-28,6.1,6.2,5.65,5.71,348700,5.71,-0.3899999999999997
2011-01-31,5.71,5.74,5.35,5.54,330000,5.54,-0.16999999999999993
2011-02-01,5.58,6.07,5.56,5.91,407000,5.91,0.33000000000000007
2011-02-02,5.91,6.13,5.8,6.08,121100,6.08,0.16999999999999993
2011-02-03,6.07,6.12,5.97,6.09,110600,6.09,0.019999999999999574
2011-02-04,6.07,6.09,5.99,6.06,72500,6.06,-0.010000000000000675
2011-02-07,6.05,6.15,6.02,6.13,88600,6.13,0.08000000000000007
2011-02-08,6.1,6.16,6.03,6.16,74200,6.16,0.0600000000000005
2011-02-09,6.12,6.16,6.05,6.11,143300,6.11,-0.009999999999999787
2011-02-10,6.07,6.17,6.05,6.11,78500,6.11,0.040000000000000036
2011-02-11,6.07,6.1,5.96,6.0,349800,6.0,-0.07000000000000028
2011-02-14,5.98,6.02,5.75,5.83,329400,5.83,-0.15000000000000036
