Date,open,high,low,close,volume,adj_close,diff
2011-02-25,19.7,19.8,19.6,19.6,1894400,14.72,-0.09999999999999787
2011-02-28,19.69,19.69,19.58,19.58,213200,14.71,-0.11000000000000298
2011-03-01,19.58,19.58,19.35,19.36,227800,14.54,-0.21999999999999886
2011-03-02,19.35,19.53,19.35,19.36,127800,14.54,0.00999999999999801
2011-03-03,19.49,19.49,19.36,19.4,53600,14.57,-0.08999999999999986
2011-03-04,19.4,19.5,19.25,19.25,146600,14.46,-0.14999999999999858
2011-03-07,19.25,19.45,19.25,19.45,70500,14.61,0.1999999999999993
2011-03-08,19.34,19.5,19.28,19.41,97700,14.58,0.07000000000000028
2011-03-09,19.35,19.43,19.35,19.35,119100,14.53,0.0
2011-03-10,19.35,19.37,19.25,19.27,124400,14.47,-0.08000000000000185
2011-03-11,19.25,19.3,19.1,19.15,116800,14.38,-0.10000000000000142
2011-03-14,19.14,19.15,18.94,19.15,129100,14.38,0.00999999999999801
2011-03-15,19.01,19.1,18.9,18.92,337000,14.21,-0.08999999999999986
2011-03-16,18.9,18.91,18.6,18.6,347200,13.97,-0.29999999999999716
2011-03-17,18.76,18.88,18.6,18.6,137000,13.97,-0.16000000000000014
2011-03-18,18.76,18.99,18.6,18.77,103000,14.1,0.00999999999999801
2011-03-21,18.9,18.99,18.71,18.99,58000,14.26,0.08999999999999986
2011-03-22,18.89,19.4,18.72,19.3,649500,14.5,0.41000000000000014
2011-03-23,19.26,19.29,19.0,19.13,52400,14.37,-0.13000000000000256
2011-03-24,19.0,19.35,18.85,19.15,126600,14.38,0.14999999999999858
2011-03-25,19.25,19.25,18.77,19.25,149200,14.46,0.0
2011-03-28,19.18,19.23,18.65,18.68,106900,14.03,-0.5
2011-03-29,18.52,18.98,18.52,18.66,181000,14.02,0.14000000000000057
2011-03-30,18.65,18.82,18.65,18.65,125500,14.01,0.0
2011-03-31,18.6,18.98,18.6,18.63,873300,13.99,0.029999999999997584
2011-04-01,18.64,19.17,18.61,19.17,172700,14.4,0.5300000000000011
2011-04-04,19.17,19.17,18.79,18.98,97700,14.26,-0.19000000000000128
2011-04-05,18.84,19.01,18.72,18.95,107000,14.23,0.10999999999999943
2011-04-06,18.92,19.17,18.92,19.02,98900,14.29,0.09999999999999787
2011-04-07,19.0,19.0,18.82,18.98,69500,14.26,-0.019999999999999574
2011-04-08,18.95,19.0,18.61,18.64,113000,14.0,-0.3099999999999987
2011-04-11,18.63,18.88,18.51,18.55,74700,13.93,-0.0799999999999983
2011-04-12,18.52,18.75,17.76,18.33,200300,13.77,-0.19000000000000128
2011-04-13,18.28,18.64,18.2,18.29,36700,13.74,0.00999999999999801
2011-04-14,18.15,18.75,18.11,18.12,57000,13.61,-0.029999999999997584
2011-04-15,18.11,18.53,18.11,18.2,71900,13.67,0.08999999999999986
2011-04-18,18.1,18.42,17.8,17.97,56400,13.5,-0.13000000000000256
2011-04-19,18.76,18.76,17.87,17.93,49500,13.47,-0.8300000000000018
2011-04-20,18.05,18.2,17.87,17.96,52400,13.49,-0.08999999999999986
2011-04-21,17.99,18.09,17.89,18.03,91100,13.54,0.0400000000000027
2011-04-25,18.0,18.2,18.0,18.09,54500,13.59,0.08999999999999986
2011-04-26,18.2,18.33,17.99,18.02,87100,13.54,-0.17999999999999972
2011-04-27,18.0,18.3,17.95,17.98,77900,13.51,-0.019999999999999574
2011-04-28,18.01,18.68,18.01,18.68,61000,14.03,0.6699999999999982
2011-04-29,18.72,18.87,18.63,18.83,52000,14.14,0.10999999999999943
2011-05-02,18.68,18.94,18.63,18.63,16300,13.99,-0.05000000000000071
2011-05-03,18.73,18.82,18.63,18.63,23700,13.99,-0.10000000000000142
2011-05-04,18.98,18.98,18.16,18.21,89000,13.68,-0.7699999999999996
2011-05-05,18.22,18.56,18.13,18.18,28500,13.66,-0.03999999999999915
2011-05-06,18.11,18.7,18.11,18.43,33000,13.84,0.3200000000000003
2011-05-09,18.36,18.73,18.34,18.56,20700,13.94,0.1999999999999993
2011-05-10,18.64,18.64,18.35,18.5,35900,13.9,-0.14000000000000057
2011-05-11,18.41,18.68,18.12,18.2,43800,13.67,-0.21000000000000085
2011-05-12,18.2,18.74,18.2,18.4,56100,13.82,0.1999999999999993
