Date,open,high,low,close,volume,adj_close,diff
2011-01-03,28.59,28.97,28.54,28.59,516600,28.59,0.0
2011-01-04,28.68,29.06,28.54,28.7,999900,28.7,0.019999999999999574
2011-01-05,28.6,29.25,28.57,29.2,521000,29.2,0.5999999999999979
2011-01-06,29.25,30.22,29.11,29.46,876800,29.46,0.21000000000000085
2011-01-07,29.51,30.08,29.27,29.88,1172300,29.88,0.36999999999999744
2011-01-10,29.84,31.25,29.79,31.2,1278700,31.2,1.3599999999999994
2011-01-11,31.01,31.33,30.89,31.1,1808200,31.1,0.08999999999999986
2011-01-12,29.5,29.65,27.76,29.01,5808700,29.01,-0.48999999999999844
2011-01-13,28.85,29.63,28.39,28.4,2080900,28.4,-0.45000000000000284
2011-01-14,28.25,28.63,27.38,27.5,2057000,27.5,-0.75
2011-01-18,27.43,27.72,26.42,26.88,2837700,26.88,-0.5500000000000007
2011-01-19,26.9,26.98,26.28,26.78,2149900,26.78,-0.11999999999999744
2011-01-20,26.68,26.9,26.35,26.36,1346600,26.36,-0.3200000000000003
2011-01-21,27.01,27.28,26.25,26.3,1182300,26.3,-0.7100000000000009
2011-01-24,26.31,26.67,25.6,25.71,3446900,25.71,-0.5999999999999979
2011-01-25,25.68,26.2,25.62,25.83,1278000,25.83,0.14999999999999858
2011-01-26,25.9,26.15,25.73,25.84,1536500,25.84,-0.05999999999999872
2011-01-27,25.89,26.42,25.67,26.13,2896700,26.13,0.23999999999999844
2011-01-28,22.76,23.78,22.33,23.13,9675400,23.13,0.36999999999999744
2011-01-31,23.15,23.6,22.94,23.59,2384500,23.59,0.4400000000000013
2011-02-01,23.65,23.85,22.96,23.06,1674500,23.06,-0.5899999999999999
2011-02-02,22.98,23.73,22.98,23.69,2472600,23.69,0.7100000000000009
2011-02-03,23.69,24.69,23.66,24.62,2112700,24.62,0.9299999999999997
2011-02-04,24.65,25.74,24.28,25.56,2562100,25.56,0.9100000000000001
2011-02-07,26.02,27.14,25.88,26.2,2920700,26.2,0.17999999999999972
2011-02-08,26.06,26.25,25.67,26.18,1251800,26.18,0.120000000000001
2011-02-09,26.18,26.53,25.97,26.47,701100,26.47,0.28999999999999915
2011-02-10,26.31,26.85,26.18,26.49,728300,26.49,0.17999999999999972
2011-02-11,26.45,27.01,26.23,26.97,826500,26.97,0.5199999999999996
2011-02-14,26.95,27.3,26.58,27.15,889000,27.15,0.1999999999999993
2011-02-15,27.15,28.06,27.15,27.71,1194000,27.71,0.5600000000000023
2011-02-16,27.78,27.96,27.49,27.69,1076600,27.69,-0.08999999999999986
2011-02-17,27.63,28.13,27.58,27.88,673400,27.88,0.25
2011-02-18,27.86,28.68,27.64,28.52,882000,28.52,0.6600000000000001
2011-02-22,28.27,28.27,27.75,27.99,905800,27.99,-0.28000000000000114
2011-02-23,27.96,28.05,27.02,27.03,1198700,27.03,-0.9299999999999997
2011-02-24,27.62,28.25,27.2,27.91,1395900,27.91,0.28999999999999915
2011-02-25,28.09,28.1,27.58,27.87,773800,27.87,-0.21999999999999886
2011-02-28,27.92,28.22,27.81,27.88,451600,27.88,-0.0400000000000027
2011-03-01,27.9,27.96,27.1,27.3,811600,27.3,-0.5999999999999979
2011-03-02,27.26,28.34,27.24,28.05,765100,28.05,0.7899999999999991
2011-03-03,28.27,29.35,28.27,28.93,635100,28.93,0.6600000000000001
2011-03-04,28.82,29.0,28.51,28.88,600400,28.88,0.05999999999999872
2011-03-07,28.94,29.04,27.94,28.13,594700,28.13,-0.8100000000000023
2011-03-08,28.21,29.46,28.14,28.91,715000,28.91,0.6999999999999993
2011-03-09,28.84,29.13,28.63,28.85,464600,28.85,0.010000000000001563
2011-03-10,28.61,28.65,27.71,28.01,684800,28.01,-0.5999999999999979
2011-03-11,27.9,28.32,27.71,27.76,420100,27.76,-0.13999999999999702
2011-03-14,27.59,27.68,26.98,27.14,613100,27.14,-0.4499999999999993
2011-03-15,26.56,27.24,26.31,27.17,746300,27.17,0.610000000000003
2011-03-16,27.1,27.55,26.72,26.84,934600,26.84,-0.26000000000000156
2011-03-17,27.1,27.39,25.69,25.84,1366100,25.84,-1.2600000000000016
2011-03-18,26.09,26.2,25.79,26.0,565600,26.0,-0.08999999999999986
2011-03-21,26.36,26.7,26.15,26.34,554600,26.34,-0.019999999999999574
2011-03-22,26.34,26.48,25.95,26.06,394800,26.06,-0.28000000000000114
2011-03-23,26.0,26.15,25.38,25.76,430200,25.76,-0.23999999999999844
2011-03-24,25.89,25.96,25.16,25.53,858000,25.53,-0.35999999999999943
2011-03-25,25.66,25.69,24.87,25.03,1102700,25.03,-0.629999999999999
2011-03-28,25.09,25.31,24.75,25.06,1011400,25.06,-0.030000000000001137
2011-03-29,25.02,25.86,24.93,25.86,537100,25.86,0.8399999999999999
2011-03-30,26.01,26.48,25.55,25.6,530800,25.6,-0.41000000000000014
2011-03-31,25.71,26.01,25.32,25.93,1469300,25.93,0.21999999999999886
2011-04-01,26.04,26.7,25.7,26.46,1469800,26.46,0.4200000000000017
2011-04-04,26.48,26.59,26.26,26.42,482000,26.42,-0.05999999999999872
2011-04-05,26.22,26.5,26.17,26.45,902400,26.45,0.23000000000000043
2011-04-06,26.5,27.42,26.5,27.18,1246600,27.18,0.6799999999999997
2011-04-07,27.05,27.32,26.9,27.19,714000,27.19,0.14000000000000057
2011-04-08,27.22,27.41,26.95,27.35,613900,27.35,0.13000000000000256
2011-04-11,27.41,27.49,26.96,27.25,357100,27.25,-0.16000000000000014
2011-04-12,27.04,27.83,26.81,27.43,1283300,27.43,0.39000000000000057
2011-04-13,27.57,27.73,27.16,27.55,527100,27.55,-0.019999999999999574
2011-04-14,27.32,27.54,26.96,27.29,351900,27.29,-0.030000000000001137
2011-04-15,27.2,27.62,26.99,27.42,819600,27.42,0.22000000000000242
2011-04-18,31.51,32.0,29.57,30.13,4015300,30.13,-1.3800000000000026
2011-04-19,30.18,30.42,29.79,30.42,1281500,30.42,0.240000000000002
2011-04-20,29.7,31.44,29.62,30.41,822300,30.41,0.7100000000000009
2011-04-21,30.62,30.98,30.37,30.58,322700,30.58,-0.0400000000000027
2011-04-25,30.58,30.58,30.06,30.33,334300,30.33,-0.25
2011-04-26,30.34,30.72,30.2,30.31,486300,30.31,-0.030000000000001137
2011-04-27,30.39,31.0,30.34,31.0,465200,31.0,0.6099999999999994
