Date,open,high,low,close,volume,adj_close,diff
2011-01-03,35.83,35.99,35.76,35.99,108100,30.24,0.1600000000000037
2011-01-04,35.82,36.05,35.45,35.49,324800,29.82,-0.3299999999999983
2011-01-05,35.63,35.93,35.5,35.82,169500,30.1,0.18999999999999773
2011-01-06,34.55,34.66,33.96,34.06,256300,28.62,-0.4899999999999949
2011-01-07,33.02,33.27,32.47,32.54,505900,27.34,-0.480000000000004
2011-01-10,32.0,32.44,31.68,32.41,735600,27.23,0.4099999999999966
2011-01-11,32.13,32.28,31.86,32.17,651600,27.03,0.03999999999999915
2011-01-12,32.8,33.94,32.8,33.64,453100,28.27,0.8400000000000034
2011-01-13,33.13,33.14,32.7,32.99,572500,27.72,-0.14000000000000057
2011-01-14,33.15,33.63,33.0,33.57,455900,28.21,0.4200000000000017
2011-01-18,34.14,34.4,33.77,33.98,283200,28.55,-0.1600000000000037
2011-01-19,34.09,34.37,33.6,33.75,282700,28.36,-0.3400000000000034
2011-01-20,33.65,33.78,33.4,33.65,397900,28.28,0.0
2011-01-21,33.72,33.75,33.17,33.3,420800,27.98,-0.4200000000000017
2011-01-24,33.31,34.11,33.31,34.08,257300,28.64,0.769999999999996
2011-01-25,34.18,34.46,33.91,34.36,530000,28.87,0.17999999999999972
2011-01-26,34.34,34.64,34.33,34.34,446000,28.85,0.0
2011-01-27,34.35,34.42,33.94,34.0,228100,28.57,-0.3500000000000014
2011-01-28,34.13,34.16,33.23,33.3,438200,27.98,-0.8300000000000054
2011-01-31,33.54,33.62,33.33,33.62,138300,28.25,0.0799999999999983
2011-02-01,33.79,33.87,33.53,33.83,126700,28.43,0.03999999999999915
2011-02-02,33.96,34.39,33.81,34.1,238100,28.65,0.14000000000000057
2011-02-03,34.13,34.23,34.01,34.1,61700,28.65,-0.030000000000001137
2011-02-04,34.35,34.47,34.11,34.42,110400,28.92,0.07000000000000028
2011-02-07,34.2,34.59,34.2,34.47,145400,28.96,0.269999999999996
2011-02-08,34.53,34.8,34.31,34.8,219800,29.24,0.269999999999996
2011-02-09,34.92,34.97,34.77,34.97,196600,29.38,0.04999999999999716
2011-02-10,34.16,34.31,34.05,34.17,241800,28.71,0.010000000000005116
2011-02-11,34.0,34.44,34.0,34.44,171700,28.94,0.4399999999999977
2011-02-14,34.04,34.2,33.5,33.81,226700,28.41,-0.22999999999999687
2011-02-15,33.89,34.0,33.6,33.71,307700,28.33,-0.17999999999999972
2011-02-16,33.7,33.77,33.5,33.62,284900,28.25,-0.0800000000000054
2011-02-17,33.43,33.88,33.43,33.86,291400,28.45,0.4299999999999997
2011-02-18,33.82,34.15,33.82,34.03,226100,28.59,0.21000000000000085
2011-02-22,33.73,33.89,33.45,33.5,372500,28.15,-0.22999999999999687
2011-02-23,33.5,33.9,33.18,33.43,321600,28.09,-0.07000000000000028
2011-02-24,33.23,33.54,33.2,33.35,328500,28.02,0.12000000000000455
2011-02-25,33.75,33.94,33.69,33.9,387100,28.49,0.14999999999999858
2011-02-28,33.96,34.3,33.9,34.19,185000,28.73,0.22999999999999687
2011-03-01,34.23,34.36,33.84,33.88,245400,28.47,-0.3499999999999943
2011-03-02,33.76,34.02,33.63,34.02,278500,28.59,0.2600000000000051
2011-03-03,33.73,34.05,33.69,33.93,293900,28.51,0.20000000000000284
2011-03-04,33.62,33.62,32.99,33.06,208500,27.78,-0.5599999999999952
2011-03-07,33.47,33.61,33.21,33.26,103700,27.95,-0.21000000000000085
2011-03-08,33.06,33.82,33.06,33.81,178000,28.41,0.75
2011-03-09,33.79,34.33,33.79,34.3,266900,28.82,0.509999999999998
2011-03-10,34.25,34.25,33.21,33.27,267300,27.96,-0.9799999999999969
2011-03-11,32.9,33.66,32.9,33.62,191200,28.25,0.7199999999999989
2011-03-14,33.4,33.69,33.13,33.33,196200,28.01,-0.07000000000000028
2011-03-15,32.64,32.9,32.16,32.85,145900,27.6,0.21000000000000085
2011-03-16,32.16,32.34,31.42,31.66,274400,26.6,-0.49999999999999645
2011-03-17,31.26,31.46,30.97,31.11,283200,26.14,-0.15000000000000213
2011-03-18,30.9,31.22,30.8,31.06,211700,26.1,0.16000000000000014
2011-03-21,31.02,31.3,31.02,31.09,184700,26.12,0.07000000000000028
2011-03-22,30.68,30.95,30.51,30.77,365000,25.86,0.08999999999999986
2011-03-23,31.1,31.44,30.99,31.29,274600,26.29,0.18999999999999773
2011-03-24,32.61,32.65,32.1,32.6,299100,27.39,-0.00999999999999801
2011-03-25,32.7,32.84,32.56,32.66,157300,27.44,-0.04000000000000625
2011-03-28,32.58,32.79,32.26,32.31,188600,27.15,-0.269999999999996
2011-03-29,32.14,32.45,32.01,32.35,146000,27.18,0.21000000000000085
2011-03-30,32.88,32.94,32.42,32.85,229700,27.6,-0.030000000000001137
2011-03-31,33.36,33.75,33.36,33.58,189100,28.22,0.21999999999999886
2011-04-01,33.75,33.98,33.65,33.84,188500,28.43,0.09000000000000341
2011-04-04,33.97,33.97,33.31,33.48,143600,28.13,-0.490000000000002
2011-04-05,33.29,33.41,33.0,33.06,133200,27.78,-0.22999999999999687
2011-04-06,33.4,33.51,33.21,33.48,118300,28.13,0.0799999999999983
2011-04-07,33.05,33.1,32.75,33.05,119600,27.77,0.0
2011-04-08,32.68,32.81,32.28,32.56,333500,27.36,-0.11999999999999744
2011-04-11,32.75,32.92,32.55,32.62,123100,27.41,-0.13000000000000256
2011-04-12,32.5,32.8,32.5,32.53,78500,27.33,0.030000000000001137
2011-04-13,32.51,32.84,32.35,32.53,94900,27.33,0.020000000000003126
2011-04-14,32.93,33.32,32.91,33.27,144800,27.96,0.3400000000000034
2011-04-15,33.31,33.49,33.14,33.31,110600,27.99,0.0
2011-04-18,33.36,33.54,33.2,33.46,138700,28.12,0.10000000000000142
2011-04-19,34.65,34.9,34.22,34.79,599900,29.23,0.14000000000000057
2011-04-20,35.56,35.86,35.36,35.79,347400,30.07,0.22999999999999687
2011-04-21,35.69,35.83,35.5,35.64,156800,29.95,-0.04999999999999716
2011-04-25,35.4,35.4,34.93,35.04,121200,29.44,-0.35999999999999943
2011-04-26,34.78,35.12,34.51,35.0,131000,29.41,0.21999999999999886
2011-04-27,35.32,35.81,35.2,35.71,240800,30.01,0.39000000000000057
2011-04-28,35.73,35.73,35.19,35.34,112300,29.7,-0.38999999999999346
2011-04-29,35.52,36.15,35.52,36.14,181000,30.37,0.6199999999999974
2011-05-02,36.25,36.25,35.88,36.08,168000,30.32,-0.1700000000000017
2011-05-03,35.91,35.96,35.63,35.96,1079600,30.22,0.05000000000000426
2011-05-04,35.74,35.87,35.61,35.86,348900,30.13,0.11999999999999744
2011-05-05,35.22,35.51,35.01,35.2,664900,29.58,-0.01999999999999602
2011-05-06,35.41,35.8,35.21,35.36,316400,29.71,-0.04999999999999716
2011-05-09,35.22,35.63,35.22,35.53,155000,29.85,0.3100000000000023
2011-05-10,35.48,35.79,35.31,35.67,104600,29.97,0.19000000000000483
