Date,open,high,low,close,volume,adj_close,diff
2011-01-03,26.92,27.05,26.51,27.0,253500,23.85,0.0799999999999983
2011-01-04,27.0,27.19,26.63,27.16,232300,24.0,0.16000000000000014
2011-01-05,27.01,27.37,26.87,27.34,61800,24.16,0.3299999999999983
2011-01-06,27.28,28.16,26.95,27.99,116100,24.73,0.7099999999999973
2011-01-07,27.9,28.13,27.41,27.8,288300,24.56,-0.09999999999999787
2011-01-10,27.5,27.97,27.07,27.4,121100,24.21,-0.10000000000000142
2011-01-11,27.43,27.64,27.12,27.59,188900,24.38,0.16000000000000014
2011-01-12,27.68,28.48,27.43,28.35,172300,25.05,0.6700000000000017
2011-01-13,28.11,28.46,27.89,28.03,130200,24.76,-0.0799999999999983
2011-01-14,28.09,28.47,27.96,28.31,249000,25.01,0.21999999999999886
2011-01-18,28.6,30.25,28.42,29.34,692000,25.92,0.7399999999999984
2011-01-19,29.69,29.85,28.8,28.87,227700,25.51,-0.8200000000000003
2011-01-20,28.89,30.04,27.27,29.41,354600,25.98,0.5199999999999996
2011-01-21,29.5,29.58,28.21,29.41,118100,25.98,-0.08999999999999986
2011-01-24,29.4,30.23,28.51,30.1,129400,26.59,0.7000000000000028
2011-01-25,30.04,30.98,29.86,30.19,204000,26.67,0.15000000000000213
2011-01-26,30.23,30.81,29.6,30.4,125200,26.86,0.16999999999999815
2011-01-27,30.24,30.6,30.0,30.39,37300,26.85,0.15000000000000213
2011-01-28,30.21,30.76,28.98,30.58,256400,27.02,0.36999999999999744
2011-01-31,31.54,31.71,30.25,30.73,202900,27.15,-0.8099999999999987
2011-02-01,31.17,31.17,30.12,30.65,85500,27.13,-0.5200000000000031
2011-02-02,30.44,31.42,30.04,30.16,88600,26.7,-0.28000000000000114
2011-02-03,30.35,30.56,29.25,29.38,287900,26.01,-0.9700000000000024
2011-02-04,29.57,30.07,29.38,30.02,131500,26.58,0.4499999999999993
2011-02-07,30.19,30.74,30.0,30.0,97200,26.56,-0.19000000000000128
2011-02-08,30.04,31.58,29.95,31.2,270600,27.62,1.1600000000000001
2011-02-09,31.39,31.5,31.16,31.36,45100,27.76,-0.030000000000001137
2011-02-10,31.25,31.73,30.53,30.98,74100,27.43,-0.2699999999999996
2011-02-11,31.16,31.16,30.72,31.02,78300,27.46,-0.14000000000000057
2011-02-14,31.34,32.22,31.27,31.44,219900,27.83,0.10000000000000142
2011-02-15,31.6,31.92,31.5,31.88,201500,28.22,0.2799999999999976
2011-02-16,32.26,32.4,32.0,32.22,220700,28.52,-0.03999999999999915
2011-02-17,32.25,32.29,31.61,32.1,91500,28.42,-0.14999999999999858
2011-02-18,32.21,32.95,32.09,32.34,159600,28.63,0.13000000000000256
2011-02-22,32.53,32.63,31.4,31.91,172300,28.25,-0.620000000000001
2011-02-23,32.0,32.1,31.51,31.94,72100,28.28,-0.05999999999999872
2011-02-24,32.23,32.24,31.64,32.04,147100,28.37,-0.18999999999999773
2011-02-25,32.0,32.71,32.0,32.6,101100,28.86,0.6000000000000014
2011-02-28,32.71,32.9,32.35,32.77,36600,29.01,0.060000000000002274
2011-03-01,32.98,33.25,31.94,32.6,103300,28.86,-0.37999999999999545
2011-03-02,32.6,33.44,32.31,32.98,170900,29.2,0.37999999999999545
2011-03-03,33.13,33.41,32.7,32.73,164400,28.98,-0.4000000000000057
2011-03-04,32.72,33.64,32.64,33.22,76000,29.41,0.5
2011-03-07,33.18,33.99,33.18,33.95,204000,30.06,0.7700000000000031
2011-03-08,33.78,33.88,33.31,33.58,250000,29.73,-0.20000000000000284
2011-03-09,33.64,33.89,32.7,33.17,273600,29.37,-0.46999999999999886
