Date,open,high,low,close,volume,adj_close,diff
2011-01-03,12.01,12.19,11.9,11.91,534800,11.91,-0.09999999999999964
2011-01-04,11.98,12.0,11.35,11.35,598700,11.35,-0.6300000000000008
2011-01-05,11.35,11.47,11.05,11.2,888000,11.2,-0.15000000000000036
2011-01-06,11.24,11.25,10.8,10.85,631200,10.85,-0.39000000000000057
2011-01-07,10.89,11.01,10.41,10.65,655900,10.65,-0.2400000000000002
2011-01-10,10.56,10.83,10.49,10.71,559100,10.71,0.15000000000000036
2011-01-11,10.85,11.05,10.7,11.05,622000,11.05,0.20000000000000107
2011-01-12,11.16,11.38,11.06,11.3,483400,11.3,0.14000000000000057
2011-01-13,11.34,11.56,11.26,11.43,418500,11.43,0.08999999999999986
2011-01-14,11.41,11.58,11.18,11.53,361900,11.53,0.11999999999999922
2011-01-18,11.48,11.59,11.32,11.45,389100,11.45,-0.030000000000001137
2011-01-19,11.41,11.47,10.98,11.03,474100,11.03,-0.3800000000000008
2011-01-20,11.58,11.76,11.1,11.3,1433800,11.3,-0.27999999999999936
2011-01-21,11.45,11.49,11.12,11.15,759500,11.15,-0.29999999999999893
2011-01-24,11.25,11.43,11.19,11.28,624800,11.28,0.02999999999999936
2011-01-25,11.27,11.3,11.03,11.17,466900,11.17,-0.09999999999999964
2011-01-26,11.24,11.54,11.09,11.49,702800,11.49,0.25
2011-01-27,11.47,11.57,11.31,11.38,662000,11.38,-0.08999999999999986
2011-01-28,11.38,11.42,10.97,11.0,864100,11.0,-0.3800000000000008
2011-01-31,11.04,11.4,10.85,11.35,931600,11.35,0.3100000000000005
2011-02-01,11.49,11.64,11.26,11.44,533500,11.44,-0.05000000000000071
2011-02-02,11.44,11.78,11.38,11.67,503600,11.67,0.23000000000000043
2011-02-03,11.71,11.83,11.45,11.76,379000,11.76,0.049999999999998934
2011-02-04,11.79,11.8,11.49,11.53,374800,11.53,-0.2599999999999998
2011-02-07,11.54,11.93,11.53,11.75,337000,11.75,0.21000000000000085
