Date,open,high,low,close,volume,adj_close,diff
2011-01-03,43.89,44.55,43.55,43.66,155000,18.76,-0.23000000000000398
2011-01-04,43.79,43.99,43.09,43.43,224200,18.66,-0.35999999999999943
2011-01-05,43.38,44.08,43.14,43.83,176000,18.83,0.44999999999999574
2011-01-06,43.92,43.97,43.59,43.74,118600,18.79,-0.17999999999999972
2011-01-07,43.89,44.23,43.3,44.11,196200,18.95,0.21999999999999886
2011-01-10,44.03,44.03,43.1,43.76,128400,18.8,-0.2700000000000031
2011-01-11,43.74,44.53,43.7,44.4,195000,19.07,0.6599999999999966
2011-01-12,44.54,44.88,44.33,44.54,130800,19.13,0.0
2011-01-13,44.42,44.59,44.19,44.41,97600,19.08,-0.010000000000005116
2011-01-14,44.27,45.04,44.13,44.69,269600,19.2,0.4199999999999946
2011-01-18,45.02,45.35,44.92,45.18,189000,19.41,0.1599999999999966
2011-01-19,45.26,45.34,44.99,45.08,147800,19.37,-0.17999999999999972
2011-01-20,44.89,45.47,44.61,45.41,222400,19.51,0.519999999999996
2011-01-21,45.5,45.99,45.47,45.78,147600,19.67,0.28000000000000114
2011-01-24,45.8,46.77,45.54,46.51,320600,19.98,0.7100000000000009
2011-01-25,46.17,46.59,46.06,46.45,179600,19.95,0.28000000000000114
2011-01-26,46.42,47.35,46.22,47.28,242200,20.31,0.8599999999999994
2011-01-27,47.33,47.4,47.01,47.29,146400,20.32,-0.03999999999999915
2011-01-28,47.22,47.27,46.54,46.96,380000,20.17,-0.259999999999998
2011-01-31,46.9,47.63,46.83,47.51,195800,20.41,0.6099999999999994
2011-02-01,47.81,48.28,47.67,48.15,194400,20.68,0.3399999999999963
2011-02-02,48.1,48.44,47.92,48.16,155000,20.69,0.05999999999999517
2011-02-03,48.06,48.42,47.92,48.33,80400,20.76,0.269999999999996
2011-02-04,48.43,48.64,47.88,48.27,149200,20.74,-0.1599999999999966
2011-02-07,48.26,48.4,48.0,48.1,75000,20.66,-0.1599999999999966
2011-02-08,47.67,47.71,46.63,47.19,294200,20.27,-0.480000000000004
2011-02-09,46.97,47.26,46.85,47.12,157600,20.24,0.14999999999999858
2011-02-10,46.68,46.94,45.95,46.05,320800,19.78,-0.6300000000000026
2011-02-11,46.38,46.43,45.81,46.02,197600,19.77,-0.35999999999999943
2011-02-14,46.03,46.49,45.84,45.98,253400,19.75,-0.05000000000000426
2011-02-15,46.05,46.67,46.05,46.3,192800,19.89,0.25
2011-02-16,46.48,47.61,46.48,47.45,241400,20.38,0.970000000000006
2011-02-17,47.42,47.81,47.14,47.24,243000,20.29,-0.17999999999999972
2011-02-18,47.32,47.68,47.29,47.54,98200,20.42,0.21999999999999886
2011-02-22,46.87,47.44,46.48,46.95,176000,20.17,0.0800000000000054
2011-02-23,46.68,47.12,46.19,46.51,171600,19.98,-0.1700000000000017
2011-02-24,46.59,46.74,45.92,46.33,185400,19.9,-0.2600000000000051
2011-02-25,46.41,46.8,46.29,46.79,120000,20.1,0.38000000000000256
2011-02-28,46.7,47.9,46.7,47.56,192800,20.43,0.8599999999999994
