Date,open,high,low,close,volume,adj_close,diff
2011-01-03,1.32,1.45,1.32,1.45,50800,1.44,0.1299999999999999
2011-01-04,1.42,1.47,1.41,1.45,15000,1.44,0.030000000000000027
2011-01-05,1.43,1.52,1.4,1.52,78500,1.51,0.09000000000000008
2011-01-06,1.54,1.55,1.45,1.5,15900,1.49,-0.040000000000000036
2011-01-07,1.49,1.55,1.49,1.53,31400,1.52,0.040000000000000036
2011-01-10,1.51,1.55,1.48,1.49,23400,1.48,-0.020000000000000018
2011-01-11,1.46,1.53,1.46,1.53,7800,1.52,0.07000000000000006
2011-01-12,1.51,1.59,1.48,1.57,14900,1.56,0.06000000000000005
2011-01-13,1.57,1.6,1.51,1.54,47400,1.53,-0.030000000000000027
2011-01-14,1.5,1.6,1.49,1.59,22600,1.58,0.09000000000000008
2011-01-18,1.55,1.62,1.5,1.58,19900,1.57,0.030000000000000027
2011-01-19,1.55,1.57,1.47,1.57,38500,1.56,0.020000000000000018
2011-01-20,1.54,1.54,1.5,1.54,2900,1.53,0.0
2011-01-21,1.52,1.61,1.5,1.59,14800,1.58,0.07000000000000006
2011-01-24,1.54,1.57,1.51,1.54,7500,1.53,0.0
2011-01-25,1.5,1.53,1.5,1.52,5300,1.51,0.020000000000000018
2011-01-26,1.51,1.51,1.51,1.51,3000,1.5,0.0
2011-01-27,1.53,1.56,1.5,1.5,8800,1.49,-0.030000000000000027
2011-01-28,1.5,1.53,1.5,1.5,18200,1.49,0.0
2011-01-31,1.51,1.54,1.51,1.54,1300,1.53,0.030000000000000027
2011-02-01,1.5,1.5,1.44,1.46,56700,1.45,-0.040000000000000036
2011-02-02,1.54,1.55,1.47,1.47,8900,1.46,-0.07000000000000006
2011-02-03,1.47,1.54,1.47,1.54,5700,1.53,0.07000000000000006
2011-02-04,1.51,1.54,1.48,1.54,10200,1.53,0.030000000000000027
2011-02-07,1.49,1.53,1.49,1.53,10700,1.52,0.040000000000000036
2011-02-08,1.5,1.55,1.5,1.54,10700,1.53,0.040000000000000036
2011-02-09,1.51,1.51,1.48,1.48,21800,1.47,-0.030000000000000027
2011-02-10,1.48,1.5,1.47,1.5,7700,1.49,0.020000000000000018
2011-02-11,1.49,1.52,1.46,1.51,4800,1.5,0.020000000000000018
2011-02-14,1.55,1.57,1.48,1.48,9500,1.47,-0.07000000000000006
2011-02-15,1.5,1.5,1.45,1.45,14200,1.44,-0.050000000000000044
2011-02-16,1.45,1.47,1.44,1.47,10100,1.46,0.020000000000000018
2011-02-17,1.46,1.5,1.45,1.49,19200,1.48,0.030000000000000027
2011-02-18,1.55,1.57,1.5,1.55,19200,1.54,0.0
2011-02-22,1.5,1.5,1.5,1.5,10700,1.49,0.0
2011-02-23,1.5,1.52,1.47,1.47,12100,1.46,-0.030000000000000027
2011-02-24,1.45,1.5,1.45,1.49,11600,1.48,0.040000000000000036
2011-02-25,1.48,1.48,1.46,1.47,4900,1.46,-0.010000000000000009
2011-02-28,1.48,1.51,1.4,1.51,25600,1.5,0.030000000000000027
2011-03-01,1.47,1.47,1.43,1.43,13500,1.42,-0.040000000000000036
2011-03-02,1.43,1.46,1.41,1.41,4700,1.4,-0.020000000000000018
2011-03-03,1.41,1.48,1.4,1.48,4700,1.47,0.07000000000000006
2011-03-04,1.45,1.52,1.45,1.45,9000,1.44,0.0
2011-03-07,1.45,1.52,1.41,1.41,8500,1.4,-0.040000000000000036
2011-03-08,1.43,1.5,1.43,1.5,2000,1.49,0.07000000000000006
2011-03-09,1.48,1.48,1.43,1.43,3400,1.42,-0.050000000000000044
2011-03-10,1.43,1.43,1.39,1.4,2500,1.39,-0.030000000000000027
2011-03-11,1.4,1.41,1.4,1.41,700,1.4,0.010000000000000009
2011-03-14,1.38,1.38,1.32,1.34,2200,1.33,-0.039999999999999813
2011-03-15,1.32,1.4,1.32,1.36,7200,1.35,0.040000000000000036
2011-03-16,1.4,1.4,1.28,1.37,2400,1.36,-0.029999999999999805
2011-03-17,1.33,1.4,1.31,1.33,4000,1.32,0.0
2011-03-18,1.33,1.4,1.33,1.38,3700,1.37,0.04999999999999982
2011-03-21,1.37,1.4,1.34,1.38,4800,1.37,0.009999999999999787
2011-03-22,1.36,1.48,1.35,1.39,7600,1.38,0.029999999999999805
2011-03-23,1.36,1.38,1.3,1.33,32400,1.32,-0.030000000000000027
2011-03-24,1.39,1.39,1.26,1.32,27300,1.31,-0.06999999999999984
2011-03-25,1.35,1.35,1.3,1.33,14000,1.32,-0.020000000000000018
2011-03-28,1.32,1.33,1.23,1.24,46600,1.23,-0.08000000000000007
2011-03-29,1.3,1.3,1.22,1.25,28600,1.24,-0.050000000000000044
2011-03-30,1.34,1.34,1.23,1.26,26400,1.25,-0.08000000000000007
2011-03-31,1.3,1.33,1.26,1.33,8200,1.32,0.030000000000000027
2011-04-01,1.33,1.33,1.23,1.31,27100,1.3,-0.020000000000000018
2011-04-04,1.3,1.3,1.25,1.26,36100,1.25,-0.040000000000000036
2011-04-05,1.3,1.3,1.17,1.24,41000,1.23,-0.06000000000000005
2011-04-06,1.19,1.25,1.17,1.18,23700,1.17,-0.010000000000000009
2011-04-07,1.18,1.21,1.18,1.2,8600,1.19,0.020000000000000018
2011-04-08,1.21,1.21,1.17,1.2,27500,1.19,-0.010000000000000009
2011-04-11,1.2,1.21,1.17,1.18,11200,1.17,-0.020000000000000018
