Date,open,high,low,close,volume,adj_close,diff
2011-01-03,3.16,3.18,3.13,3.16,1263100,2.64,0.0
2011-01-04,3.15,3.16,3.1,3.13,1317600,2.61,-0.020000000000000018
2011-01-05,3.1,3.11,3.04,3.09,1837700,2.58,-0.010000000000000231
2011-01-06,3.09,3.19,3.08,3.17,3356900,2.64,0.08000000000000007
2011-01-07,3.17,3.24,3.13,3.21,2689500,2.68,0.040000000000000036
2011-01-10,3.24,3.24,3.13,3.15,1436700,2.63,-0.0900000000000003
2011-01-11,3.27,3.35,3.2,3.2,6441400,2.67,-0.06999999999999984
2011-01-12,3.24,3.32,3.24,3.24,5443800,2.7,0.0
2011-01-13,3.25,3.28,3.21,3.26,2719600,2.72,0.009999999999999787
2011-01-14,3.23,3.31,3.22,3.3,2567000,2.75,0.06999999999999984
2011-01-18,3.42,3.52,3.42,3.46,8144400,2.89,0.040000000000000036
2011-01-19,3.51,3.51,3.37,3.4,5972600,2.84,-0.10999999999999988
2011-01-20,3.34,3.38,3.23,3.29,5199900,2.74,-0.04999999999999982
2011-01-21,3.32,3.32,3.25,3.26,10305300,2.72,-0.06000000000000005
2011-01-24,3.24,3.3,3.23,3.26,5979600,2.72,0.019999999999999574
2011-01-25,3.25,3.26,3.2,3.26,3767500,2.72,0.009999999999999787
2011-01-26,3.27,3.29,3.21,3.23,12690400,2.69,-0.040000000000000036
2011-01-27,3.28,3.45,3.28,3.36,7953400,2.8,0.08000000000000007
2011-01-28,3.36,3.41,3.16,3.16,10912100,2.64,-0.19999999999999973
2011-01-31,3.2,3.23,3.15,3.18,5735900,2.65,-0.020000000000000018
2011-02-01,3.19,3.3,3.19,3.23,7536500,2.69,0.040000000000000036
2011-02-02,3.23,3.3,3.22,3.27,2730100,2.73,0.040000000000000036
2011-02-03,3.27,3.31,3.24,3.29,5448400,2.74,0.020000000000000018
2011-02-04,3.28,3.4,3.28,3.39,5900800,2.83,0.11000000000000032
2011-02-07,3.39,3.45,3.33,3.43,4281900,2.86,0.040000000000000036
2011-02-08,3.36,3.37,3.27,3.32,4679100,2.77,-0.040000000000000036
2011-02-09,3.27,3.28,3.2,3.22,4916000,2.69,-0.04999999999999982
2011-02-10,3.18,3.18,3.05,3.13,6811000,2.61,-0.050000000000000266
2011-02-11,3.06,3.08,2.98,3.06,8592800,2.55,0.0
2011-02-14,3.06,3.1,2.99,3.0,5447100,2.5,-0.06000000000000005
2011-02-15,3.05,3.05,2.98,3.04,3945800,2.54,-0.009999999999999787
2011-02-16,3.08,3.1,3.04,3.06,3001100,2.55,-0.020000000000000018
2011-02-17,3.07,3.08,3.03,3.07,2124700,2.56,0.0
2011-02-18,3.11,3.13,3.05,3.09,2342100,2.58,-0.020000000000000018
2011-02-22,3.06,3.07,2.85,2.87,4465600,2.39,-0.18999999999999995
2011-02-23,2.89,2.92,2.81,2.87,4674500,2.39,-0.020000000000000018
2011-02-24,2.83,2.89,2.8,2.83,3418200,2.36,0.0
2011-02-25,2.88,2.89,2.84,2.86,3401700,2.39,-0.020000000000000018
2011-02-28,2.93,2.93,2.8,2.8,5084800,2.34,-0.13000000000000034
2011-03-01,2.88,2.89,2.81,2.84,3058500,2.37,-0.040000000000000036
2011-03-02,2.85,2.87,2.82,2.85,4200600,2.38,0.0
2011-03-03,2.87,2.96,2.87,2.92,2980300,2.44,0.04999999999999982
2011-03-04,2.94,2.95,2.88,2.94,2786900,2.45,0.0
2011-03-07,2.92,2.96,2.82,2.86,2272400,2.39,-0.06000000000000005
2011-03-08,2.82,2.93,2.76,2.9,3493900,2.42,0.08000000000000007
2011-03-09,2.83,2.88,2.79,2.83,2856500,2.36,0.0
2011-03-10,2.75,2.77,2.66,2.71,3075100,2.26,-0.040000000000000036
2011-03-11,2.68,2.76,2.65,2.76,2056900,2.3,0.07999999999999963
2011-03-14,2.73,2.74,2.66,2.71,1428400,2.26,-0.020000000000000018
2011-03-15,2.64,2.7,2.59,2.65,2675300,2.21,0.009999999999999787
2011-03-16,2.65,2.65,2.49,2.5,3669800,2.09,-0.1499999999999999
2011-03-17,2.61,2.64,2.58,2.64,2845000,2.2,0.03000000000000025
2011-03-18,2.68,2.78,2.58,2.78,4535800,2.32,0.09999999999999964
2011-03-21,2.78,2.79,2.68,2.73,2729500,2.28,-0.04999999999999982
2011-03-22,2.74,2.74,2.64,2.67,1612300,2.23,-0.07000000000000028
2011-03-23,2.7,2.7,2.63,2.7,1289500,2.25,0.0
2011-03-24,2.73,2.76,2.7,2.73,1455400,2.28,0.0
2011-03-25,2.77,2.78,2.71,2.71,1623100,2.26,-0.06000000000000005
2011-03-28,2.76,2.78,2.68,2.69,2335100,2.24,-0.06999999999999984
2011-03-29,2.7,2.74,2.69,2.73,3587800,2.28,0.029999999999999805
2011-03-30,2.72,2.75,2.71,2.73,2882800,2.28,0.009999999999999787
2011-03-31,2.73,2.78,2.72,2.73,3538400,2.28,0.0
2011-04-01,2.73,2.81,2.73,2.75,2902300,2.29,0.020000000000000018
2011-04-04,2.75,2.81,2.75,2.79,3038500,2.33,0.040000000000000036
