Date,open,high,low,close,volume,adj_close,diff
2011-01-03,24.44,24.88,24.44,24.83,1811300,22.89,0.389999999999997
2011-01-04,24.84,24.95,24.63,24.79,2038500,22.85,-0.05000000000000071
2011-01-05,24.64,25.06,24.64,25.06,2848000,23.1,0.41999999999999815
2011-01-06,25.05,25.11,24.87,25.02,1603600,23.07,-0.030000000000001137
2011-01-07,25.11,25.15,24.69,24.91,1793200,22.96,-0.1999999999999993
2011-01-10,24.7,24.85,24.36,24.83,1639800,22.89,0.129999999999999
2011-01-11,24.92,25.05,24.78,24.93,1679200,22.98,0.00999999999999801
2011-01-12,25.12,25.29,25.04,25.14,1126300,23.18,0.019999999999999574
2011-01-13,25.11,25.22,24.88,24.9,1689000,22.95,-0.21000000000000085
2011-01-14,24.85,25.09,24.83,25.09,1326800,23.13,0.23999999999999844
2011-01-18,25.12,25.23,24.95,25.1,1372100,23.14,-0.019999999999999574
2011-01-19,25.05,25.1,24.68,24.76,1716200,22.83,-0.28999999999999915
2011-01-20,24.79,25.13,24.48,24.83,2375800,22.89,0.03999999999999915
2011-01-21,24.97,25.19,24.87,25.12,1816700,23.16,0.15000000000000213
2011-01-24,25.07,25.26,24.95,25.19,2567900,23.22,0.120000000000001
2011-01-25,25.07,25.41,24.97,25.41,2076600,23.42,0.33999999999999986
2011-01-26,25.42,25.75,25.32,25.63,2281200,23.63,0.2099999999999973
2011-01-27,25.49,25.76,25.43,25.62,1739600,23.7,0.13000000000000256
2011-01-28,25.57,25.57,24.8,24.93,3941000,23.07,-0.6400000000000006
2011-01-31,25.0,25.12,24.87,24.94,1667100,23.08,-0.05999999999999872
2011-02-01,25.15,25.64,25.11,25.64,2062800,23.72,0.490000000000002
2011-02-02,25.5,25.66,25.11,25.14,1784500,23.26,-0.35999999999999943
2011-02-03,25.17,25.43,24.63,25.23,3899800,23.34,0.05999999999999872
2011-02-04,25.31,25.88,25.26,25.78,2256800,23.85,0.4700000000000024
2011-02-07,25.86,26.26,25.78,26.14,1836400,24.19,0.28000000000000114
2011-02-08,26.2,26.33,26.04,26.26,1682700,24.3,0.060000000000002274
2011-02-09,26.16,26.37,26.01,26.29,1779800,24.32,0.129999999999999
2011-02-10,26.1,26.29,25.91,26.23,2129700,24.27,0.129999999999999
2011-02-11,26.12,26.6,26.02,26.56,1525900,24.57,0.4399999999999977
2011-02-14,26.51,26.67,26.19,26.43,1579000,24.45,-0.08000000000000185
2011-02-15,26.31,26.56,26.22,26.43,1601200,24.45,0.120000000000001
2011-02-16,26.49,26.81,26.46,26.75,1479800,24.75,0.26000000000000156
2011-02-17,26.51,26.93,26.47,26.78,1308800,24.78,0.2699999999999996
2011-02-18,26.82,27.04,26.67,26.87,1788500,24.86,0.05000000000000071
2011-02-22,26.49,26.91,26.13,26.29,2265500,24.32,-0.1999999999999993
2011-02-23,26.32,26.48,25.99,26.1,2760600,24.15,-0.21999999999999886
2011-02-24,26.07,26.44,25.83,26.23,2959000,24.27,0.16000000000000014
2011-02-25,26.31,26.6,26.29,26.6,1727300,24.61,0.2900000000000027
2011-02-28,26.65,26.79,26.26,26.53,3569200,24.55,-0.11999999999999744
2011-03-01,26.65,26.65,25.97,26.14,2802300,24.19,-0.509999999999998
2011-03-02,26.11,26.23,25.5,25.56,4681100,23.65,-0.5500000000000007
2011-03-03,25.89,26.28,25.88,26.15,1697700,24.19,0.259999999999998
2011-03-04,26.09,26.2,25.7,26.02,2329800,24.07,-0.07000000000000028
2011-03-07,26.09,26.39,25.72,25.81,2276700,23.88,-0.28000000000000114
2011-03-08,25.84,26.66,25.68,26.44,6101900,24.46,0.6000000000000014
2011-03-09,26.38,26.81,26.38,26.49,3199300,24.51,0.10999999999999943
2011-03-10,26.19,26.44,25.99,26.05,2567600,24.1,-0.14000000000000057
2011-03-11,25.92,26.4,25.84,26.32,1662400,24.35,0.3999999999999986
2011-03-14,26.04,26.14,25.61,25.88,2378300,23.94,-0.16000000000000014
2011-03-15,25.02,25.84,24.75,25.7,3202200,23.78,0.6799999999999997
2011-03-16,25.6,25.72,25.13,25.26,5323500,23.37,-0.33999999999999986
2011-03-17,25.64,25.79,25.2,25.44,1943400,23.54,-0.1999999999999993
2011-03-18,25.81,26.15,25.62,25.67,3652000,23.75,-0.13999999999999702
2011-03-21,26.03,26.34,25.91,26.25,1727000,24.29,0.21999999999999886
2011-03-22,26.25,26.54,25.99,26.01,2145500,24.07,-0.23999999999999844
2011-03-23,25.89,26.0,25.63,25.89,1474100,23.95,0.0
2011-03-24,26.02,26.05,25.72,25.91,1625000,23.97,-0.10999999999999943
2011-03-25,25.93,26.29,25.85,26.15,1728400,24.19,0.21999999999999886
2011-03-28,26.25,26.41,26.14,26.21,1216000,24.25,-0.03999999999999915
2011-03-29,26.16,26.32,25.99,26.29,1575800,24.32,0.129999999999999
