Date,open,high,low,close,volume,adj_close,diff
2011-01-03,35.46,35.79,35.11,35.45,4225800,35.45,-0.00999999999999801
2011-01-04,35.52,36.43,35.52,35.89,6098000,35.89,0.36999999999999744
2011-01-05,35.7,36.23,35.48,35.75,5034100,35.75,0.04999999999999716
2011-01-06,35.56,36.14,35.0,36.07,3588000,36.07,0.509999999999998
2011-01-07,36.15,36.19,35.29,36.01,3211300,36.01,-0.14000000000000057
2011-01-10,35.81,36.22,35.58,36.09,2143800,36.09,0.28000000000000114
2011-01-11,36.22,36.25,35.44,35.89,2296800,35.89,-0.3299999999999983
2011-01-12,36.12,36.6,35.97,36.21,1593700,36.21,0.09000000000000341
2011-01-13,36.23,36.67,36.08,36.31,2084500,36.31,0.0800000000000054
2011-01-14,36.29,36.45,35.89,35.94,1580400,35.94,-0.3500000000000014
2011-01-18,35.95,36.23,35.16,35.63,2748300,35.63,-0.3200000000000003
2011-01-19,35.47,35.54,34.58,35.04,3008400,35.04,-0.4299999999999997
2011-01-20,34.89,35.31,34.75,35.0,2346600,35.0,0.10999999999999943
2011-01-21,35.1,35.17,34.8,35.03,2037900,35.03,-0.07000000000000028
2011-01-24,34.9,35.03,34.17,34.23,2692200,34.23,-0.6700000000000017
2011-01-25,34.14,34.47,33.92,34.14,3011600,34.14,0.0
2011-01-26,34.12,34.46,33.62,34.27,2652400,34.27,0.15000000000000568
2011-01-27,34.27,34.59,34.18,34.41,1710200,34.41,0.13999999999999346
2011-01-28,34.38,34.41,33.62,33.82,2977400,33.82,-0.5600000000000023
2011-01-31,33.81,34.16,33.67,33.82,1847700,33.82,0.00999999999999801
2011-02-01,33.98,34.36,33.66,34.01,1588800,34.01,0.030000000000001137
2011-02-02,33.92,34.24,33.45,33.6,2814400,33.6,-0.3200000000000003
2011-02-03,33.66,35.11,33.66,33.86,2940700,33.86,0.20000000000000284
2011-02-04,33.95,35.13,33.69,34.76,2052700,34.76,0.8099999999999952
2011-02-07,34.62,35.4,34.58,35.11,2916000,35.11,0.490000000000002
2011-02-08,35.78,37.11,35.54,37.06,3922600,37.06,1.2800000000000011
2011-02-09,37.0,37.97,36.87,37.31,4432300,37.31,0.3100000000000023
2011-02-10,37.2,37.56,37.03,37.32,2168000,37.32,0.11999999999999744
2011-02-11,37.36,37.62,36.95,37.61,1065800,37.61,0.25
2011-02-14,37.63,37.99,37.49,37.78,1003400,37.78,0.14999999999999858
2011-02-15,37.63,37.96,37.05,37.72,2503700,37.72,0.0899999999999963
2011-02-16,38.0,38.04,37.35,37.68,1825700,37.68,-0.3200000000000003
2011-02-17,37.68,38.09,37.42,37.86,1345900,37.86,0.17999999999999972
2011-02-18,37.51,37.99,37.25,37.78,1667000,37.78,0.2700000000000031
2011-02-22,37.35,38.2,37.28,37.55,2502600,37.55,0.19999999999999574
2011-02-23,37.54,37.55,36.33,36.79,2923000,36.79,-0.75
2011-02-24,36.74,37.47,36.43,37.07,1406600,37.07,0.3299999999999983
2011-02-25,37.13,37.7,37.0,37.49,1195700,37.49,0.35999999999999943
2011-02-28,37.55,38.41,37.4,38.38,2645200,38.38,0.8300000000000054
2011-03-01,38.46,39.2,37.65,38.0,3259800,38.0,-0.46000000000000085
2011-03-02,37.9,38.34,37.57,37.93,1939400,37.93,0.030000000000001137
2011-03-03,38.21,38.56,37.67,38.32,1993800,38.32,0.10999999999999943
2011-03-04,38.39,38.54,37.91,38.5,2686200,38.5,0.10999999999999943
2011-03-07,38.83,39.26,37.65,37.99,6256000,37.99,-0.8399999999999963
2011-03-08,32.44,32.84,31.46,31.66,17491400,31.66,-0.7799999999999976
2011-03-09,31.54,31.9,30.91,31.17,7150000,31.17,-0.36999999999999744
2011-03-10,30.94,31.77,30.8,31.67,5128600,31.67,0.7300000000000004
2011-03-11,31.44,32.2,31.22,32.12,3348900,32.12,0.6799999999999962
2011-03-14,31.8,32.25,31.72,31.73,3884700,31.73,-0.07000000000000028
