Date,open,high,low,close,volume,adj_close,diff
2011-01-03,42.14,44.0,42.13,43.9,17200,43.47,1.759999999999998
2011-01-04,44.0,44.0,43.21,43.34,6800,42.91,-0.6599999999999966
2011-01-05,43.34,43.56,43.02,43.35,7400,42.92,0.00999999999999801
2011-01-06,43.25,43.34,43.15,43.26,1800,42.83,0.00999999999999801
2011-01-07,43.24,43.24,42.65,42.71,1700,42.29,-0.5300000000000011
2011-01-10,42.7,42.7,42.05,42.2,3300,41.78,-0.5
2011-01-11,41.76,41.88,40.13,40.63,11900,40.23,-1.1299999999999955
2011-01-12,40.86,40.86,40.47,40.62,2000,40.22,-0.240000000000002
2011-01-13,40.55,41.44,40.55,41.14,9800,40.73,0.5900000000000034
2011-01-14,41.04,43.89,41.01,43.89,10200,43.46,2.8500000000000014
2011-01-18,43.9,43.9,42.62,43.54,13900,43.11,-0.35999999999999943
2011-01-19,43.57,43.57,42.43,42.53,7300,42.11,-1.0399999999999991
2011-01-20,42.59,42.91,42.49,42.49,2200,42.07,-0.10000000000000142
2011-01-21,42.9,42.9,42.01,42.01,2300,41.6,-0.8900000000000006
2011-01-24,42.45,43.25,41.42,41.8,6700,41.39,-0.6500000000000057
2011-01-25,42.42,42.42,41.58,41.58,800,41.17,-0.8400000000000034
2011-01-26,41.58,41.6,40.93,41.4,3800,40.99,-0.17999999999999972
2011-01-27,41.26,42.68,40.57,40.59,2000,40.19,-0.6699999999999946
2011-01-28,40.37,40.97,37.35,39.0,12800,38.62,-1.3699999999999974
2011-01-31,38.98,40.0,37.3,39.78,6800,39.39,0.8000000000000043
2011-02-01,39.9,40.48,39.54,40.34,1900,39.94,0.44000000000000483
2011-02-02,39.99,39.99,39.99,39.99,200,39.6,0.0
2011-02-03,40.15,40.15,39.76,39.76,300,39.37,-0.39000000000000057
2011-02-04,39.15,39.23,38.5,38.96,3400,38.58,-0.18999999999999773
2011-02-07,39.74,39.89,38.76,39.24,1800,38.85,-0.5
2011-02-08,39.35,39.48,38.93,39.42,1600,39.03,0.07000000000000028
2011-02-09,39.89,39.89,38.63,38.63,600,38.25,-1.259999999999998
2011-02-10,38.93,39.47,38.93,39.44,3100,39.05,0.509999999999998
2011-02-11,39.11,39.44,38.88,39.44,2500,39.05,0.3299999999999983
2011-02-14,39.24,39.66,39.24,39.4,1100,39.01,0.1599999999999966
2011-02-15,39.84,39.84,39.11,39.23,2300,38.84,-0.6100000000000065
2011-02-16,39.73,39.94,39.02,39.73,6700,39.34,0.0
2011-02-17,39.72,40.79,39.72,40.49,5600,40.09,0.7700000000000031
2011-02-18,40.57,40.57,40.16,40.34,4200,39.94,-0.22999999999999687
2011-02-22,40.21,40.25,39.83,39.95,6600,39.56,-0.259999999999998
2011-02-23,40.0,40.48,39.83,39.83,2900,39.44,-0.1700000000000017
2011-02-24,39.64,40.3,39.6,40.3,4600,39.9,0.6599999999999966
2011-02-25,40.13,40.53,39.67,40.53,3300,40.13,0.3999999999999986
2011-02-28,40.43,40.53,39.85,40.34,3700,39.94,-0.0899999999999963
2011-03-01,40.22,40.22,39.4,39.48,1800,39.09,-0.740000000000002
2011-03-02,38.4,39.45,38.4,39.45,1100,39.06,1.0500000000000043
2011-03-03,39.79,39.8,39.36,39.75,3000,39.36,-0.03999999999999915
2011-03-04,39.75,39.76,39.36,39.36,1800,38.97,-0.39000000000000057
2011-03-07,39.43,39.76,38.84,38.84,2200,38.46,-0.5899999999999963
2011-03-08,38.82,39.14,38.66,38.9,1200,38.52,0.0799999999999983
2011-03-09,38.8,39.08,38.78,39.08,2200,38.69,0.28000000000000114
2011-03-10,38.86,39.17,38.85,38.85,6500,38.47,-0.00999999999999801
2011-03-11,38.77,39.06,38.77,39.06,2600,38.67,0.28999999999999915
2011-03-14,38.98,39.68,38.85,39.36,3800,38.97,0.38000000000000256
2011-03-15,38.48,38.9,38.48,38.81,800,38.43,0.3300000000000054
2011-03-16,38.85,39.88,38.63,38.97,18400,38.59,0.11999999999999744
2011-03-17,38.85,38.99,38.0,38.19,4000,37.81,-0.6600000000000037
2011-03-18,38.33,38.54,38.01,38.17,12400,37.79,-0.1599999999999966
2011-03-21,38.58,39.18,38.18,39.18,7500,38.79,0.6000000000000014
2011-03-22,39.25,39.25,38.86,39.25,1100,38.86,0.0
2011-03-23,39.21,39.91,39.21,39.91,3400,39.52,0.6999999999999957
2011-03-24,39.99,40.45,39.66,40.42,2400,40.02,0.4299999999999997
2011-03-25,40.28,40.76,40.06,40.28,5600,39.88,0.0
2011-03-28,40.23,40.42,40.0,40.42,3300,40.02,0.19000000000000483
2011-03-29,40.13,40.21,40.05,40.21,500,39.81,0.0799999999999983
2011-03-30,40.24,40.24,39.95,40.19,2500,39.79,-0.05000000000000426
2011-03-31,40.5,40.51,40.5,40.51,800,40.11,0.00999999999999801
2011-04-01,40.78,41.43,40.78,41.43,3900,41.02,0.6499999999999986
2011-04-04,41.5,41.81,41.4,41.81,4000,41.4,0.3100000000000023
2011-04-05,41.81,42.23,41.17,41.91,9900,41.5,0.09999999999999432
2011-04-06,42.05,42.05,41.71,42.04,700,41.63,-0.00999999999999801
2011-04-07,42.02,42.02,41.58,41.83,7400,41.42,-0.19000000000000483
2011-04-08,41.9,42.22,40.73,41.17,15300,40.76,-0.7299999999999969
2011-04-11,40.97,41.13,40.75,40.75,2800,40.35,-0.21999999999999886
2011-04-12,40.47,40.47,38.98,39.51,5100,39.12,-0.9600000000000009
2011-04-13,39.66,40.71,39.66,39.98,12700,39.59,0.3200000000000003
2011-04-14,40.49,40.49,40.0,40.39,5100,39.99,-0.10000000000000142
2011-04-15,40.29,41.21,40.01,41.21,5600,40.8,0.9200000000000017
2011-04-18,40.9,41.36,40.88,41.0,2000,40.6,0.10000000000000142
2011-04-19,40.8,41.0,39.76,40.16,5700,39.76,-0.6400000000000006
2011-04-20,40.2,40.84,39.88,40.12,4000,39.72,-0.0800000000000054
2011-04-21,40.12,40.56,39.82,39.82,2100,39.43,-0.29999999999999716
2011-04-25,39.98,40.12,39.8,39.8,2000,39.41,-0.17999999999999972
2011-04-26,39.61,40.04,39.61,40.04,3300,39.65,0.4299999999999997
2011-04-27,39.9,40.92,39.9,40.92,2500,40.52,1.0200000000000031
2011-04-28,40.7,41.0,40.14,40.98,4800,40.58,0.27999999999999403
2011-04-29,40.93,41.36,40.79,41.36,3300,40.95,0.4299999999999997
2011-05-02,41.5,42.07,40.4,41.14,17000,40.73,-0.35999999999999943
2011-05-03,41.36,41.36,40.72,40.72,1400,40.32,-0.6400000000000006
2011-05-04,40.69,41.15,40.53,40.72,1400,40.32,0.030000000000001137
2011-05-05,40.75,40.75,39.79,39.92,8800,39.53,-0.8299999999999983
2011-05-06,40.21,40.21,39.86,40.0,2600,39.61,-0.21000000000000085
2011-05-09,40.02,40.24,40.02,40.18,1200,39.78,0.1599999999999966
2011-05-10,40.1,40.58,39.74,40.58,3300,40.18,0.4799999999999969
2011-05-11,39.96,39.96,39.96,39.96,500,39.57,0.0
2011-05-12,40.49,40.49,40.49,40.49,600,40.09,0.0
2011-05-13,40.62,40.62,39.99,39.99,1300,39.6,-0.6299999999999955
2011-05-16,39.78,39.81,39.4,39.4,3500,39.01,-0.38000000000000256
2011-05-17,39.4,39.4,39.09,39.09,700,38.7,-0.30999999999999517
2011-05-18,39.06,40.04,39.06,39.64,2100,39.25,0.5799999999999983
2011-05-19,40.14,40.14,39.33,39.33,1900,38.94,-0.8100000000000023
2011-05-20,39.15,39.78,38.79,38.89,8400,38.51,-0.259999999999998
2011-05-23,38.6,38.98,37.92,37.92,2400,37.55,-0.6799999999999997
2011-05-24,38.03,38.1,37.25,37.43,4000,37.06,-0.6000000000000014
2011-05-25,37.48,37.89,37.48,37.69,1900,37.32,0.21000000000000085
2011-05-26,37.72,38.59,37.71,38.59,2900,38.21,0.8700000000000045
2011-05-27,38.6,40.05,38.6,38.8,18700,38.42,0.19999999999999574
2011-05-31,38.72,39.46,38.72,39.46,7900,39.07,0.740000000000002
2011-06-01,39.47,39.66,38.51,38.52,4300,38.14,-0.9499999999999957
2011-06-02,38.57,39.73,38.57,38.82,13200,38.44,0.25
2011-06-03,38.41,38.41,38.16,38.16,2300,37.78,-0.25
2011-06-06,38.0,38.17,37.02,37.02,5600,36.65,-0.9799999999999969
2011-06-07,37.52,38.3,37.52,38.2,3300,37.82,0.6799999999999997
2011-06-08,38.03,38.03,38.03,38.03,1400,37.66,0.0
2011-06-09,38.12,38.7,37.74,38.7,1100,38.32,0.5800000000000054
2011-06-10,38.31,38.49,37.19,37.8,3000,37.43,-0.5100000000000051
2011-06-13,38.16,38.5,37.7,37.7,3800,37.33,-0.45999999999999375
2011-06-14,37.93,39.33,37.73,38.68,16700,38.3,0.75
2011-06-15,38.34,38.34,37.87,37.87,1000,37.5,-0.47000000000000597
2011-06-16,37.83,38.12,37.77,38.12,1700,37.74,0.28999999999999915
2011-06-17,38.29,39.3,37.73,37.73,12500,37.36,-0.5600000000000023
2011-06-20,37.76,38.23,37.7,38.02,1900,37.65,0.2600000000000051
2011-06-21,38.69,38.69,38.6,38.6,1100,38.22,-0.0899999999999963
2011-06-22,38.33,38.92,38.31,38.54,4500,38.16,0.21000000000000085
2011-06-23,38.01,38.76,37.65,38.76,1400,38.38,0.75
2011-06-24,38.93,40.74,38.5,40.69,96300,40.29,1.759999999999998
2011-06-27,40.49,41.84,40.49,41.74,9300,41.33,1.25
2011-06-28,41.72,42.25,41.49,41.55,15300,41.14,-0.1700000000000017
2011-06-29,41.69,41.99,40.72,40.75,6700,40.35,-0.9399999999999977
2011-06-30,40.75,41.11,40.66,41.01,5300,40.61,0.259999999999998
2011-07-01,41.02,41.96,40.94,41.42,16600,41.01,0.3999999999999986
2011-07-05,41.35,41.43,40.26,41.41,1400,41.0,0.05999999999999517
2011-07-06,41.31,41.5,41.12,41.49,4000,41.08,0.17999999999999972
2011-07-07,41.64,41.95,41.49,41.95,6400,41.54,0.3100000000000023
2011-07-08,41.53,41.86,41.46,41.46,2700,41.05,-0.07000000000000028
2011-07-11,41.21,41.25,40.68,40.68,1900,40.28,-0.5300000000000011
2011-07-12,40.79,41.37,40.35,40.35,2100,39.95,-0.4399999999999977
2011-07-13,40.59,41.68,40.59,41.68,5600,41.27,1.0899999999999963
2011-07-14,41.38,41.38,40.65,40.74,5100,40.34,-0.6400000000000006
2011-07-15,41.13,41.8,41.13,41.58,4600,41.17,0.44999999999999574
2011-07-18,41.61,42.0,40.95,41.01,2000,40.61,-0.6000000000000014
2011-07-19,41.33,41.96,41.2,41.96,3600,41.55,0.6300000000000026
2011-07-20,41.72,41.88,41.48,41.51,1400,41.1,-0.21000000000000085
2011-07-21,41.59,42.91,41.59,42.91,2900,42.49,1.3199999999999932
2011-07-22,42.93,42.96,42.52,42.56,4600,42.14,-0.36999999999999744
2011-07-25,42.27,43.0,42.27,42.37,1800,41.95,0.09999999999999432
2011-07-26,42.3,42.74,42.0,42.74,3000,42.32,0.44000000000000483
2011-07-27,42.3,42.41,40.85,40.85,3500,40.45,-1.4499999999999957
2011-07-28,41.15,42.22,41.0,41.66,26200,41.25,0.509999999999998
2011-07-29,41.17,41.95,41.17,41.24,1700,40.83,0.07000000000000028
2011-08-01,41.79,41.93,41.04,41.29,5700,40.88,-0.5
2011-08-02,41.19,41.88,40.94,40.97,5800,40.57,-0.21999999999999886
2011-08-03,40.65,41.3,40.39,40.87,6900,40.47,0.21999999999999886
2011-08-04,40.64,40.66,40.0,40.0,7500,39.61,-0.6400000000000006
2011-08-05,40.41,40.7,40.0,40.5,6100,40.1,0.09000000000000341
2011-08-08,39.72,40.74,39.5,39.5,17100,39.11,-0.21999999999999886
2011-08-09,39.95,40.5,39.37,40.5,6300,40.1,0.5499999999999972
2011-08-10,39.69,39.83,38.25,38.5,25600,38.12,-1.1899999999999977
2011-08-11,38.56,40.49,38.5,40.17,12300,39.77,1.6099999999999994
2011-08-12,39.53,41.49,39.43,40.65,6200,40.25,1.1199999999999974
2011-08-15,41.4,41.5,40.9,41.5,3900,41.09,0.10000000000000142
2011-08-16,41.05,41.34,40.01,40.79,3200,40.39,-0.259999999999998
2011-08-17,41.48,41.48,40.52,40.6,4100,40.2,-0.8799999999999955
2011-08-18,39.7,40.03,39.14,39.46,6300,39.07,-0.240000000000002
2011-08-19,39.02,39.51,39.02,39.5,3600,39.11,0.4799999999999969
2011-08-22,40.36,40.36,38.77,39.27,3400,38.88,-1.0899999999999963
2011-08-23,39.44,40.81,38.75,40.81,14300,40.41,1.3700000000000045
2011-08-24,40.2,40.2,39.78,40.2,4500,39.8,0.0
2011-08-25,40.2,40.2,39.3,39.32,2900,38.93,-0.8800000000000026
2011-08-26,39.72,40.0,39.72,40.0,1100,39.61,0.28000000000000114
2011-08-29,40.01,41.57,39.21,41.57,4300,41.16,1.5600000000000023
2011-08-30,41.24,42.49,40.2,42.48,6900,42.06,1.2399999999999949
2011-08-31,42.37,42.98,41.78,42.33,6400,41.91,-0.03999999999999915
2011-09-01,40.53,41.25,40.53,40.63,2500,40.23,0.10000000000000142
2011-09-02,40.08,42.07,40.08,42.0,10400,41.59,1.9200000000000017
2011-09-06,40.93,42.77,39.93,41.78,5300,41.37,0.8500000000000014
2011-09-07,42.42,42.99,42.21,42.53,2600,42.11,0.10999999999999943
2011-09-08,42.32,42.7,41.53,41.53,2600,41.12,-0.7899999999999991
2011-09-09,41.58,41.58,39.68,39.68,2900,39.29,-1.8999999999999986
2011-09-12,40.47,40.47,39.16,39.16,800,38.77,-1.3100000000000023
2011-09-13,38.62,40.37,38.62,40.36,3600,39.96,1.740000000000002
2011-09-14,40.42,41.04,39.72,41.04,2400,40.64,0.6199999999999974
2011-09-15,41.14,41.5,40.48,41.5,2100,41.09,0.35999999999999943
2011-09-16,41.69,41.69,40.63,41.23,7600,40.82,-0.46000000000000085
2011-09-19,40.57,41.53,40.57,41.5,1900,41.09,0.9299999999999997
2011-09-20,41.5,41.5,41.5,41.5,2300,41.09,0.0
2011-09-21,41.41,42.17,40.14,40.3,7900,39.9,-1.1099999999999994
2011-09-22,39.49,40.25,39.0,39.0,6000,38.62,-0.490000000000002
2011-09-23,39.1,39.58,39.1,39.5,3700,39.11,0.3999999999999986
2011-09-26,40.29,41.25,39.26,40.34,1400,39.94,0.05000000000000426
2011-09-27,40.89,40.89,40.03,40.4,3600,40.0,-0.490000000000002
2011-09-28,40.4,40.64,39.15,39.15,3100,38.76,-1.25
2011-09-29,39.12,40.24,39.12,39.98,3800,39.59,0.8599999999999994
2011-09-30,39.62,40.4,39.37,39.9,8000,39.51,0.28000000000000114
2011-10-03,40.4,40.4,37.8,37.8,5800,37.43,-2.6000000000000014
2011-10-04,37.63,42.84,37.31,41.36,8900,40.95,3.729999999999997
2011-10-05,40.89,42.78,40.89,42.78,2400,42.36,1.8900000000000006
2011-10-06,41.81,42.84,41.81,42.84,3300,42.42,1.0300000000000011
2011-10-07,42.0,42.35,39.31,40.92,4800,40.52,-1.0799999999999983
2011-10-10,40.06,42.92,40.06,42.92,6200,42.5,2.8599999999999994
2011-10-11,42.83,44.4,42.5,44.4,5900,43.96,1.5700000000000003
2011-10-12,43.37,45.65,43.37,45.64,4900,45.19,2.270000000000003
2011-10-13,45.6,46.99,45.6,46.33,3400,45.87,0.7299999999999969
2011-10-14,46.5,48.6,45.99,48.5,11500,48.02,2.0
2011-10-17,48.06,48.16,46.14,46.14,12400,45.69,-1.9200000000000017
2011-10-18,45.8,50.0,45.8,50.0,6500,49.51,4.200000000000003
2011-10-19,49.35,49.35,48.1,48.44,5100,47.96,-0.9100000000000037
2011-10-20,47.05,48.25,47.05,48.19,2500,47.71,1.1400000000000006
2011-10-21,49.88,50.4,49.0,50.06,6000,49.57,0.17999999999999972
2011-10-24,50.7,50.92,49.76,50.9,4200,50.4,0.19999999999999574
2011-10-25,50.69,50.69,49.31,49.31,5500,48.82,-1.3799999999999955
2011-10-26,49.66,49.96,49.0,49.96,7200,49.47,0.30000000000000426
2011-10-27,50.59,54.98,50.55,54.98,19200,54.44,4.3899999999999935
2011-10-28,54.56,55.5,53.39,55.14,15700,54.6,0.5799999999999983
2011-10-31,54.95,55.01,53.9,55.0,9400,54.46,0.04999999999999716
2011-11-01,53.8,54.77,51.62,51.62,10500,51.11,-2.1799999999999997
2011-11-02,52.25,53.18,52.25,52.36,3200,51.84,0.10999999999999943
2011-11-03,52.76,54.15,52.53,54.15,6600,53.62,1.3900000000000006
2011-11-04,53.27,53.5,53.27,53.45,1500,52.92,0.17999999999999972
2011-11-07,53.44,53.49,52.57,53.44,1100,52.91,0.0
2011-11-08,53.44,53.99,52.85,52.85,8300,52.33,-0.5899999999999963
2011-11-09,51.41,52.84,48.9,49.35,6800,48.86,-2.059999999999995
2011-11-10,53.22,53.5,49.78,50.48,3700,49.98,-2.740000000000002
2011-11-11,50.3,52.36,50.2,52.36,6400,51.84,2.0600000000000023
2011-11-14,51.65,52.86,51.65,52.52,2900,52.0,0.8700000000000045
2011-11-15,51.95,52.85,51.95,52.63,9300,52.11,0.6799999999999997
2011-11-16,52.04,53.06,52.04,52.3,3900,51.78,0.259999999999998
2011-11-17,52.3,53.31,51.62,53.25,6500,52.72,0.9500000000000028
2011-11-18,53.36,53.81,53.02,53.35,5200,52.82,-0.00999999999999801
2011-11-21,53.15,54.0,53.15,53.35,5900,52.82,0.20000000000000284
2011-11-22,53.25,53.25,52.03,52.42,1900,51.9,-0.8299999999999983
2011-11-23,52.42,52.97,52.42,52.45,5300,51.93,0.030000000000001137
2011-11-25,51.95,51.95,50.97,51.75,5600,51.24,-0.20000000000000284
2011-11-28,53.14,53.14,52.25,52.58,5500,52.06,-0.5600000000000023
2011-11-29,52.5,52.55,52.31,52.31,2300,51.79,-0.18999999999999773
2011-11-30,53.29,55.22,53.29,55.22,14200,54.68,1.9299999999999997
2011-12-01,54.58,54.61,53.85,53.85,5600,53.32,-0.7299999999999969
2011-12-02,54.57,54.82,53.43,54.78,4500,54.24,0.21000000000000085
2011-12-05,55.25,58.24,54.76,57.9,8400,57.33,2.6499999999999986
