Date,open,high,low,close,volume,adj_close,diff
2012-09-07,100.0,110.0,11.09,11.09,1000,11.09,-88.91
2012-09-10,11.09,11.09,11.09,11.09,0,11.09,0.0
2012-09-11,11.09,11.09,11.09,11.09,0,11.09,0.0
2012-09-12,11.09,11.09,11.09,11.09,0,11.09,0.0
2012-09-13,11.09,11.09,11.09,11.09,0,11.09,0.0
2012-09-14,11.09,11.09,11.09,11.09,0,11.09,0.0
2012-09-17,24.0,57.6,24.0,57.6,1100,57.6,33.6
2012-09-18,55.0,57.6,55.0,57.6,200,57.6,2.6000000000000014
2012-09-19,60.12,60.12,42.35,42.4,1200,42.4,-17.72
2012-09-20,45.0,45.0,45.0,45.0,100,45.0,0.0
2012-09-21,43.0,43.0,33.33,33.33,300,33.33,-9.670000000000002
2012-09-24,33.33,33.33,33.33,33.33,0,33.33,0.0
2012-09-25,33.0,33.0,32.85,32.85,200,32.85,-0.14999999999999858
2012-09-26,25.01,25.01,20.0,20.0,700,20.0,-5.010000000000002
2012-09-27,25.0,25.0,22.23,22.23,1800,22.23,-2.7699999999999996
2012-09-28,22.23,22.23,22.23,22.23,0,22.23,0.0
2012-10-01,22.5,22.5,22.5,22.5,100,22.5,0.0
2012-10-02,22.22,22.22,20.51,21.0,300,21.0,-1.2199999999999989
2012-10-03,21.0,21.0,21.0,21.0,0,21.0,0.0
2012-10-04,21.0,21.0,21.0,21.0,0,21.0,0.0
2012-10-05,21.0,21.0,21.0,21.0,0,21.0,0.0
2012-10-08,21.0,21.0,21.0,21.0,0,21.0,0.0
2012-10-09,21.0,21.0,21.0,21.0,0,21.0,0.0
2012-10-10,20.02,20.02,19.77,19.77,300,19.77,-0.25
2012-10-11,19.0,19.0,18.0,18.0,1400,18.0,-1.0
2012-10-12,17.0,17.0,16.26,16.26,200,16.26,-0.7399999999999984
2012-10-15,15.5,15.5,14.0,14.5,2200,14.5,-1.0
2012-10-16,14.0,14.0,13.8,14.0,1300,14.0,0.0
2012-10-17,13.0,13.0,12.05,12.05,700,12.05,-0.9499999999999993
2012-10-18,12.58,14.0,12.58,13.0,1400,13.0,0.41999999999999993
2012-10-19,14.0,14.0,12.0,12.97,2000,12.97,-1.0299999999999994
2012-10-22,12.95,12.97,12.5,12.5,1800,12.5,-0.4499999999999993
2012-10-23,14.25,14.25,11.51,12.6,1800,12.6,-1.6500000000000004
2012-10-24,12.0,12.0,12.0,12.0,100,12.0,0.0
2012-10-25,12.0,12.0,12.0,12.0,0,12.0,0.0
2012-10-26,12.0,12.0,12.0,12.0,0,12.0,0.0
2012-10-31,12.0,12.0,11.87,11.87,1200,11.87,-0.13000000000000078
2012-11-01,12.11,12.5,12.0,12.5,1500,12.5,0.39000000000000057
2012-11-02,12.0,12.0,11.9,11.98,1500,11.98,-0.019999999999999574
2012-11-05,11.98,11.98,11.98,11.98,0,11.98,0.0
2012-11-06,12.0,12.0,11.5,11.5,600,11.5,-0.5
2012-11-07,12.0,12.0,11.97,12.0,500,12.0,0.0
2012-11-08,12.0,12.0,12.0,12.0,0,12.0,0.0
2012-11-09,12.0,12.0,12.0,12.0,0,12.0,0.0
2012-11-12,12.0,12.0,12.0,12.0,800,12.0,0.0
2012-11-13,11.75,11.75,11.5,11.5,200,11.5,-0.25
2012-11-14,12.0,12.0,11.99,12.0,1400,12.0,0.0
2012-11-15,11.57,11.57,11.57,11.57,800,11.57,0.0
2012-11-16,11.73,11.74,11.5,11.72,3500,11.72,-0.009999999999999787
2012-11-19,11.72,11.72,11.72,11.72,0,11.72,0.0
2012-11-20,11.72,11.72,11.72,11.72,0,11.72,0.0
2012-11-21,11.72,11.72,11.72,11.72,0,11.72,0.0
2012-11-23,11.72,11.72,11.72,11.72,0,11.72,0.0
2012-11-26,11.73,11.73,11.51,11.55,800,11.55,-0.17999999999999972
2012-11-27,11.55,11.55,11.33,11.4,2700,11.4,-0.15000000000000036
2012-11-28,11.5,11.5,11.5,11.5,100,11.5,0.0
2012-11-29,11.5,11.5,11.5,11.5,2100,11.5,0.0
2012-11-30,11.21,11.21,8.6,8.86,5400,8.86,-2.3500000000000014
2012-12-03,10.0,10.0,10.0,10.0,200,10.0,0.0
2012-12-04,10.5,11.25,10.5,10.55,6000,10.55,0.05000000000000071
2012-12-05,10.75,11.45,10.75,10.76,1000,10.76,0.009999999999999787
2012-12-06,10.76,10.76,10.76,10.76,0,10.76,0.0
2012-12-07,11.5,11.5,10.84,10.99,1000,10.99,-0.5099999999999998
2012-12-10,10.73,10.73,9.0,9.0,5900,9.0,-1.7300000000000004
2012-12-11,9.97,10.77,9.95,10.77,1300,10.77,0.7999999999999989
2012-12-12,10.5,10.5,9.4,9.4,3500,9.4,-1.0999999999999996
2012-12-13,9.5,9.5,9.4,9.4,500,9.4,-0.09999999999999964
2012-12-14,9.4,9.4,9.4,9.4,0,9.4,0.0
2012-12-17,10.0,11.0,9.73,9.73,2000,9.73,-0.2699999999999996
2012-12-18,9.73,9.73,9.73,9.73,0,9.73,0.0
2012-12-19,10.0,10.0,9.5,9.5,700,9.5,-0.5
2012-12-20,11.0,11.0,8.8,9.0,6700,9.0,-2.0
2012-12-21,10.8,10.8,8.0,8.5,18200,8.5,-2.3000000000000007
2012-12-24,8.0,9.0,8.0,8.47,3600,8.47,0.47000000000000064
2012-12-26,8.3,8.5,8.18,8.2,2200,8.2,-0.10000000000000142
2012-12-27,8.18,8.2,7.65,8.1,3600,8.1,-0.08000000000000007
2012-12-28,8.09,9.0,8.0,8.0,9700,8.0,-0.08999999999999986
2012-12-31,8.0,8.1,8.0,8.0,2100,8.0,0.0
2013-01-02,8.0,8.1,7.3,7.8,4100,7.8,-0.20000000000000018
2013-01-03,7.8,7.8,7.8,7.8,0,7.8,0.0
2013-01-04,8.06,8.1,8.06,8.1,4900,8.1,0.03999999999999915
2013-01-07,8.1,8.1,8.1,8.1,0,8.1,0.0
2013-01-08,8.1,8.1,8.1,8.1,0,8.1,0.0
2013-01-09,8.3,8.3,8.1,8.1,700,8.1,-0.20000000000000107
2013-01-10,8.1,9.05,8.0,8.0,3300,8.0,-0.09999999999999964
2013-01-11,8.07,8.1,7.91,7.91,1400,7.91,-0.16000000000000014
