Date,open,high,low,close,volume,adj_close,diff
2014-11-14,27.0,31.19,26.5,30.0,21556100,30.0,3.0
2014-11-17,30.29,32.88,30.0,32.68,5637700,32.68,2.3900000000000006
2014-11-18,33.73,39.64,33.5,37.05,12834600,37.05,3.3200000000000003
2014-11-19,38.53,39.47,32.88,33.21,9079800,33.21,-5.32
2014-11-20,32.75,34.95,32.38,33.95,3113800,33.95,1.2000000000000028
2014-11-21,35.8,36.1,33.85,34.54,1870000,34.54,-1.259999999999998
2014-11-24,35.45,36.8,34.63,36.71,2224200,36.71,1.259999999999998
2014-11-25,36.8,36.8,34.8,35.41,2054900,35.41,-1.3900000000000006
2014-11-26,35.8,35.84,34.82,35.02,918800,35.02,-0.779999999999994
2014-11-28,36.77,37.96,35.91,37.68,2369500,37.68,0.9099999999999966
2014-12-01,37.94,39.14,37.1,38.12,2725200,38.12,0.17999999999999972
2014-12-02,38.08,38.4,35.5,36.37,1648200,36.37,-1.7100000000000009
2014-12-03,36.22,36.86,35.25,35.77,996100,35.77,-0.44999999999999574
2014-12-04,36.33,36.85,35.5,35.64,1007100,35.64,-0.6899999999999977
2014-12-05,36.0,36.29,35.27,35.72,696900,35.72,-0.28000000000000114
2014-12-08,35.8,37.5,35.51,36.08,1492000,36.08,0.28000000000000114
2014-12-09,35.44,36.9,34.55,36.34,1298900,36.34,0.9000000000000057
2014-12-10,37.0,37.3,33.76,34.25,1240300,34.25,-2.75
2014-12-11,35.15,35.64,33.15,33.56,1314300,33.56,-1.5899999999999963
2014-12-12,33.36,34.38,33.36,33.76,1048300,33.76,0.3999999999999986
2014-12-15,34.2,34.2,31.36,31.94,1265100,31.94,-2.2600000000000016
2014-12-16,31.86,33.45,30.32,33.02,1560800,33.02,1.1600000000000037
2014-12-17,33.16,34.51,32.31,33.98,971700,33.98,0.8200000000000003
2014-12-18,34.55,34.96,32.15,33.79,969800,33.79,-0.759999999999998
2014-12-19,33.8,34.94,33.5,34.93,2833800,34.93,1.1300000000000026
2014-12-22,35.0,36.36,34.86,35.94,897600,35.94,0.9399999999999977
2014-12-23,36.04,36.29,35.0,35.81,546200,35.81,-0.22999999999999687
2014-12-24,36.84,41.2,36.52,41.0,2712500,41.0,4.159999999999997
2014-12-26,41.44,44.39,40.95,43.42,3789700,43.42,1.980000000000004
2014-12-29,43.33,45.43,42.2,42.53,2701100,42.53,-0.7999999999999972
2014-12-30,42.65,44.37,42.65,43.8,1820400,43.8,1.1499999999999986
2014-12-31,45.0,45.25,43.22,43.25,1529700,43.25,-1.75
2015-01-02,44.2,44.83,43.51,43.81,1022800,43.81,-0.39000000000000057
2015-01-05,43.51,43.9,39.88,41.68,2503800,41.68,-1.8299999999999983
2015-01-06,41.4,42.0,38.8,41.01,2263400,41.01,-0.39000000000000057
2015-01-07,41.74,41.95,39.5,39.75,1416900,39.75,-1.990000000000002
2015-01-08,39.86,41.35,39.17,41.06,1309700,41.06,1.2000000000000028
2015-01-09,41.05,43.0,41.01,42.29,1452700,42.29,1.240000000000002
2015-01-12,42.01,42.44,40.29,40.56,632600,40.56,-1.4499999999999957
2015-01-13,40.94,41.6,38.3,39.69,1166300,39.69,-1.25
2015-01-14,39.0,39.44,38.25,39.27,558100,39.27,0.2700000000000031
2015-01-15,40.6,41.0,37.5,37.69,1329400,37.69,-2.9100000000000037
2015-01-16,37.69,38.55,37.3,37.9,849700,37.9,0.21000000000000085
2015-01-20,38.53,40.07,37.8,39.64,1710100,39.64,1.1099999999999994
2015-01-21,39.9,40.72,39.12,39.77,978200,39.77,-0.12999999999999545
2015-01-22,40.94,43.18,40.03,42.92,2068200,42.92,1.980000000000004
2015-01-23,42.31,42.5,38.26,38.35,3807600,38.35,-3.960000000000001
2015-01-26,38.51,39.0,36.53,36.95,2121300,36.95,-1.5599999999999952
2015-01-27,36.94,38.5,36.76,37.03,1525600,37.03,0.09000000000000341
2015-01-28,37.89,38.29,34.64,34.99,1639500,34.99,-2.8999999999999986
2015-01-29,35.89,36.39,35.11,36.31,1135200,36.31,0.4200000000000017
2015-01-30,36.09,36.16,33.11,33.54,2046300,33.54,-2.5500000000000043
2015-02-02,33.64,35.39,32.14,35.26,2036400,35.26,1.6199999999999974
2015-02-03,35.07,35.81,34.03,35.23,1410900,35.23,0.1599999999999966
2015-02-04,35.75,36.25,35.1,35.36,826000,35.36,-0.39000000000000057
2015-02-05,35.43,35.72,34.3,34.87,651600,34.87,-0.5600000000000023
2015-02-06,34.74,34.91,34.03,34.43,776400,34.43,-0.3100000000000023
2015-02-09,33.85,34.2,33.2,33.22,547300,33.22,-0.6300000000000026
2015-02-10,33.57,34.28,33.45,33.88,706900,33.88,0.3100000000000023
2015-02-11,34.1,34.22,32.81,33.21,806800,33.21,-0.8900000000000006
2015-02-12,33.0,34.28,32.3,33.86,906700,33.86,0.8599999999999994
2015-02-13,33.75,34.9,33.25,34.79,1069500,34.79,1.0399999999999991
2015-02-17,34.8,35.1,33.96,34.22,1716600,34.22,-0.5799999999999983
2015-02-18,36.78,37.82,35.0,35.71,4523800,35.71,-1.0700000000000003
2015-02-19,36.74,36.9,35.68,35.87,1908900,35.87,-0.8700000000000045
2015-02-20,35.78,36.38,35.35,36.1,1102100,36.1,0.3200000000000003
2015-02-23,35.94,37.45,35.88,37.43,1744200,37.43,1.490000000000002
2015-02-24,36.75,36.99,35.86,36.47,1219900,36.47,-0.28000000000000114
2015-02-25,36.54,37.29,35.8,35.85,1141200,35.85,-0.6899999999999977
2015-02-26,36.0,36.17,35.0,35.55,1334000,35.55,-0.45000000000000284
2015-02-27,35.49,36.1,35.01,35.04,849200,35.04,-0.45000000000000284
2015-03-02,35.1,36.2,35.0,36.11,1025500,36.11,1.009999999999998
2015-03-03,36.0,36.71,35.67,36.56,664600,36.56,0.5600000000000023
2015-03-04,36.36,36.68,35.88,36.03,491200,36.03,-0.3299999999999983
2015-03-05,36.1,36.71,35.88,36.28,538300,36.28,0.17999999999999972
