Date,open,high,low,close,volume,adj_close,diff
2011-01-03,14.45,14.66,14.44,14.51,704000,10.52,0.0600000000000005
2011-01-04,14.57,14.66,14.16,14.22,930300,10.31,-0.34999999999999964
2011-01-05,14.29,14.54,14.29,14.48,773700,10.5,0.19000000000000128
2011-01-06,14.53,14.53,14.25,14.26,549200,10.34,-0.2699999999999996
2011-01-07,14.31,14.38,13.99,14.0,887500,10.15,-0.3100000000000005
2011-01-10,13.95,14.2,13.78,14.12,793000,10.24,0.16999999999999993
2011-01-11,14.15,14.24,14.02,14.12,459100,10.24,-0.030000000000001137
2011-01-12,14.25,14.27,14.11,14.2,576200,10.3,-0.05000000000000071
2011-01-13,14.15,14.29,14.11,14.2,765600,10.3,0.049999999999998934
2011-01-14,14.13,14.57,14.13,14.57,974700,10.56,0.4399999999999995
2011-01-18,14.53,14.93,14.47,14.91,1469800,10.81,0.3800000000000008
2011-01-19,14.86,14.91,14.53,14.54,1047500,10.54,-0.3200000000000003
2011-01-20,14.46,14.65,14.2,14.25,1150300,10.33,-0.21000000000000085
2011-01-21,14.36,14.38,14.2,14.24,535000,10.32,-0.11999999999999922
2011-01-24,14.25,14.31,14.12,14.15,451800,10.26,-0.09999999999999964
2011-01-25,14.09,14.19,14.0,14.19,616400,10.29,0.09999999999999964
2011-01-26,14.23,14.26,14.01,14.04,942900,10.18,-0.19000000000000128
2011-01-27,14.0,14.09,13.78,13.93,1008100,10.1,-0.07000000000000028
2011-01-28,13.89,13.98,13.65,13.69,1271400,9.93,-0.20000000000000107
2011-01-31,13.72,13.77,13.53,13.53,1271200,9.81,-0.19000000000000128
2011-02-01,13.6,13.76,13.45,13.75,1033500,9.97,0.15000000000000036
2011-02-02,13.72,13.76,13.55,13.59,679300,9.85,-0.13000000000000078
2011-02-03,13.53,13.64,13.46,13.58,707600,9.85,0.05000000000000071
2011-02-04,13.59,13.66,13.5,13.53,647600,9.81,-0.0600000000000005
2011-02-07,13.62,13.71,13.54,13.68,762200,9.92,0.0600000000000005
2011-02-08,13.7,13.75,13.64,13.69,612300,9.93,-0.009999999999999787
2011-02-09,13.67,13.69,13.44,13.51,776900,9.8,-0.16000000000000014
2011-02-10,13.5,13.6,13.45,13.52,551300,9.8,0.019999999999999574
2011-02-11,13.5,13.8,13.48,13.72,747900,9.95,0.22000000000000064
2011-02-14,13.7,13.73,13.48,13.63,623200,9.88,-0.06999999999999851
2011-02-15,13.61,13.75,13.5,13.52,741100,9.8,-0.08999999999999986
2011-02-16,13.61,13.63,13.5,13.56,674600,9.83,-0.049999999999998934
2011-02-17,13.52,13.68,13.49,13.64,506100,9.89,0.120000000000001
2011-02-18,13.69,13.78,13.63,13.77,425400,9.98,0.08000000000000007
2011-02-22,13.66,13.77,13.57,13.58,761400,9.85,-0.08000000000000007
2011-02-23,13.61,13.68,13.44,13.44,795100,9.74,-0.16999999999999993
2011-02-24,13.55,13.59,13.29,13.33,1153500,9.66,-0.22000000000000064
2011-02-25,13.42,13.67,13.36,13.67,691000,9.91,0.25
2011-02-28,13.7,13.79,13.56,13.63,627700,9.88,-0.06999999999999851
2011-03-01,13.62,13.64,13.42,13.44,771300,9.74,-0.17999999999999972
2011-03-02,13.42,13.52,13.36,13.41,657100,9.72,-0.009999999999999787
2011-03-03,13.49,13.7,13.49,13.7,605900,9.93,0.20999999999999908
2011-03-04,13.67,13.7,13.46,13.57,664400,9.84,-0.09999999999999964
2011-03-07,13.67,13.79,13.52,13.58,699400,9.85,-0.08999999999999986
2011-03-08,13.61,14.0,13.6,13.97,901600,10.13,0.3600000000000012
2011-03-09,13.98,14.05,13.88,13.94,520500,10.11,-0.040000000000000924
2011-03-10,13.82,13.89,13.69,13.76,893600,9.98,-0.0600000000000005
2011-03-11,13.47,13.64,13.46,13.59,633900,9.98,0.11999999999999922
2011-03-14,13.48,13.62,13.41,13.47,600200,9.9,-0.009999999999999787
2011-03-15,13.12,13.58,13.12,13.49,801300,9.91,0.370000000000001
2011-03-16,13.48,13.52,13.28,13.34,1223300,9.8,-0.14000000000000057
2011-03-17,13.51,13.51,13.26,13.36,554300,9.81,-0.15000000000000036
2011-03-18,13.46,13.63,13.42,13.52,1045500,9.93,0.05999999999999872
2011-03-21,13.63,13.74,13.58,13.67,478200,10.04,0.03999999999999915
2011-03-22,13.67,13.75,13.57,13.57,375600,9.97,-0.09999999999999964
2011-03-23,13.53,13.53,13.3,13.35,573400,9.81,-0.17999999999999972
2011-03-24,13.38,13.68,13.36,13.62,881600,10.01,0.23999999999999844
2011-03-25,13.68,13.79,13.54,13.55,564800,9.95,-0.129999999999999
2011-03-28,13.59,13.64,13.49,13.56,384600,9.96,-0.02999999999999936
2011-03-29,13.57,13.73,13.54,13.66,408100,10.04,0.08999999999999986
2011-03-30,13.72,13.99,13.64,13.88,563400,10.2,0.16000000000000014
2011-03-31,13.84,14.0,13.78,13.96,458300,10.26,0.120000000000001
2011-04-01,14.0,14.06,13.84,13.93,985100,10.23,-0.07000000000000028
2011-04-04,13.99,14.1,13.9,14.01,410300,10.29,0.019999999999999574
2011-04-05,13.97,13.99,13.83,13.83,680200,10.16,-0.14000000000000057
2011-04-06,13.9,14.12,13.84,14.12,996600,10.37,0.21999999999999886
2011-04-07,14.15,14.15,13.94,13.94,515600,10.24,-0.21000000000000085
2011-04-08,14.0,14.04,13.78,13.84,366200,10.17,-0.16000000000000014
2011-04-11,13.9,13.91,13.82,13.86,309000,10.18,-0.040000000000000924
2011-04-12,13.81,13.92,13.75,13.8,541000,10.14,-0.009999999999999787
2011-04-13,13.91,13.95,13.64,13.64,415100,10.02,-0.2699999999999996
2011-04-14,13.59,13.73,13.55,13.7,376200,10.06,0.10999999999999943
2011-04-15,13.7,13.82,13.62,13.76,422200,10.11,0.0600000000000005
2011-04-18,13.63,13.72,13.5,13.51,885400,9.92,-0.120000000000001
2011-04-19,13.59,13.67,13.43,13.46,519100,9.89,-0.129999999999999
2011-04-20,13.59,13.6,13.45,13.48,532500,9.9,-0.10999999999999943
2011-04-21,13.55,13.55,13.45,13.47,524500,9.9,-0.08000000000000007
2011-04-25,13.5,13.62,13.46,13.48,492600,9.9,-0.019999999999999574
2011-04-26,13.56,14.04,13.51,13.95,1222100,10.25,0.3899999999999988
2011-04-27,14.02,14.25,13.96,14.19,1080000,10.42,0.16999999999999993
2011-04-28,14.31,14.66,14.27,14.41,1699100,10.59,0.09999999999999964
2011-04-29,14.34,14.36,13.93,14.32,2892800,10.52,-0.019999999999999574
2011-05-02,14.41,14.43,14.29,14.34,1632800,10.53,-0.07000000000000028
2011-05-03,14.34,14.41,14.2,14.32,981800,10.52,-0.019999999999999574
2011-05-04,13.71,13.71,13.42,13.5,1706700,10.41,-0.21000000000000085
2011-05-05,13.46,13.62,13.32,13.57,1842200,10.47,0.10999999999999943
2011-05-06,13.67,13.69,13.47,13.56,1110000,10.46,-0.10999999999999943
2011-05-09,13.57,13.57,13.44,13.53,532000,10.44,-0.040000000000000924
2011-05-10,13.6,13.66,13.51,13.61,694800,10.5,0.009999999999999787
2011-05-11,13.55,13.66,13.48,13.62,961800,10.51,0.06999999999999851
2011-05-12,13.58,13.68,13.47,13.65,717100,10.53,0.07000000000000028
2011-05-13,13.68,13.7,13.45,13.51,572900,10.42,-0.16999999999999993
2011-05-16,13.43,13.55,13.35,13.51,728900,10.42,0.08000000000000007
2011-05-17,13.47,13.61,13.46,13.55,608600,10.45,0.08000000000000007
2011-05-18,13.53,13.68,13.5,13.66,641700,10.54,0.13000000000000078
2011-05-19,13.7,13.7,13.57,13.61,563300,10.5,-0.08999999999999986
2011-05-20,13.61,13.69,13.47,13.48,645400,10.4,-0.129999999999999
2011-05-23,13.36,13.48,13.3,13.3,939800,10.26,-0.05999999999999872
2011-05-24,13.36,13.38,13.25,13.33,571700,10.28,-0.02999999999999936
2011-05-25,13.31,13.37,13.23,13.31,370800,10.27,0.0
2011-05-26,13.27,13.38,13.2,13.38,646300,10.32,0.11000000000000121
2011-05-27,13.43,13.49,13.35,13.37,435100,10.31,-0.0600000000000005
2011-05-31,13.49,13.59,13.36,13.59,1691400,10.48,0.09999999999999964
2011-06-01,13.55,13.55,13.16,13.16,1118000,10.15,-0.39000000000000057
2011-06-02,13.21,13.32,13.13,13.19,742600,10.17,-0.02000000000000135
2011-06-03,13.07,13.23,13.0,13.1,799800,10.1,0.02999999999999936
2011-06-06,13.08,13.2,12.94,13.03,1208000,10.05,-0.05000000000000071
2011-06-07,13.08,13.23,13.05,13.15,1238400,10.14,0.07000000000000028
2011-06-08,13.12,13.22,13.1,13.1,1063200,10.1,-0.019999999999999574
2011-06-09,13.11,13.14,13.0,13.12,940100,10.12,0.009999999999999787
2011-06-10,13.03,13.18,12.87,13.04,1594500,10.06,0.009999999999999787
2011-06-13,12.97,13.28,12.9,13.27,1627200,10.37,0.29999999999999893
2011-06-14,13.33,13.38,13.18,13.21,1102400,10.33,-0.11999999999999922
2011-06-15,13.1,13.17,12.97,13.05,715000,10.2,-0.049999999999998934
2011-06-16,13.03,13.3,13.03,13.27,800000,10.37,0.2400000000000002
2011-06-17,13.37,13.41,13.24,13.32,1025000,10.41,-0.049999999999998934
2011-06-20,13.3,13.51,13.3,13.42,726200,10.49,0.11999999999999922
2011-06-21,13.5,13.5,13.36,13.46,707000,10.52,-0.03999999999999915
2011-06-22,13.41,13.46,13.26,13.26,758400,10.37,-0.15000000000000036
2011-06-23,13.16,13.31,12.94,13.23,1054300,10.34,0.07000000000000028
2011-06-24,13.24,13.29,13.12,13.24,1466500,10.35,0.0
2011-06-27,13.21,13.44,13.15,13.32,1051300,10.41,0.10999999999999943
2011-06-28,13.37,13.45,13.23,13.44,574900,10.51,0.07000000000000028
2011-06-29,13.5,13.58,13.37,13.55,654800,10.59,0.05000000000000071
2011-06-30,13.59,13.76,13.53,13.61,1456500,10.64,0.019999999999999574
2011-07-01,13.68,13.86,13.65,13.84,1018800,10.82,0.16000000000000014
2011-07-05,13.84,13.9,13.73,13.82,834700,10.8,-0.019999999999999574
2011-07-06,13.75,13.94,13.75,13.91,809500,10.87,0.16000000000000014
2011-07-07,14.0,14.13,13.93,14.09,1029500,11.01,0.08999999999999986
2011-07-08,13.95,13.99,13.86,13.92,784700,10.88,-0.02999999999999936
2011-07-11,13.82,13.87,13.67,13.7,658000,10.71,-0.120000000000001
2011-07-12,13.68,13.87,13.65,13.73,553100,10.73,0.05000000000000071
2011-07-13,13.77,13.98,13.72,13.83,655100,10.81,0.0600000000000005
2011-07-14,13.89,13.89,13.47,13.5,918000,10.55,-0.39000000000000057
2011-07-15,13.6,13.6,13.43,13.48,439800,10.54,-0.11999999999999922
2011-07-18,13.45,13.5,13.21,13.33,620100,10.42,-0.11999999999999922
2011-07-19,13.39,13.55,13.31,13.55,488000,10.59,0.16000000000000014
2011-07-20,13.58,13.68,13.52,13.64,419600,10.66,0.0600000000000005
2011-07-21,13.71,13.85,13.66,13.84,564500,10.82,0.129999999999999
2011-07-22,13.83,13.83,13.58,13.72,384100,10.73,-0.10999999999999943
2011-07-25,13.56,13.77,13.5,13.7,654200,10.71,0.1399999999999988
2011-07-26,13.72,13.72,13.55,13.64,707200,10.66,-0.08000000000000007
2011-07-27,13.59,13.62,13.32,13.32,1090400,10.41,-0.2699999999999996
2011-07-28,13.63,13.67,13.06,13.09,854500,10.23,-0.5400000000000009
2011-07-29,13.0,13.21,12.9,13.15,911900,10.28,0.15000000000000036
