Date,open,high,low,close,volume,adj_close,diff
2011-01-03,28.43,28.93,28.06,28.85,1759000,28.85,0.4200000000000017
2011-01-04,29.16,29.76,29.0,29.4,3315000,29.4,0.23999999999999844
2011-01-05,29.57,30.38,29.27,29.95,3847300,29.95,0.379999999999999
2011-01-06,30.0,35.72,29.98,35.55,15853200,35.55,5.549999999999997
2011-01-07,35.57,37.05,35.22,35.64,5481200,35.64,0.07000000000000028
2011-01-10,35.5,35.69,34.39,35.0,2803200,35.0,-0.5
2011-01-11,35.17,35.76,35.07,35.52,2410100,35.52,0.3500000000000014
2011-01-12,35.9,36.29,35.39,35.63,3877600,35.63,-0.269999999999996
2011-01-13,35.56,35.79,35.12,35.57,2987100,35.57,0.00999999999999801
2011-01-14,35.46,35.73,34.98,35.03,2925300,35.03,-0.4299999999999997
2011-01-18,35.15,35.64,35.05,35.44,2550500,35.44,0.28999999999999915
2011-01-19,35.45,35.69,34.87,35.0,1698100,35.0,-0.45000000000000284
2011-01-20,34.8,35.42,34.05,35.35,3297600,35.35,0.5500000000000043
2011-01-21,35.46,35.92,34.78,34.99,2722400,34.99,-0.46999999999999886
2011-01-24,35.07,35.75,35.04,35.32,1648800,35.32,0.25
2011-01-25,35.19,35.33,34.97,35.2,1131300,35.2,0.010000000000005116
2011-01-26,35.46,36.28,35.3,36.21,1525400,36.21,0.75
2011-01-27,36.02,37.58,36.02,36.98,2485400,36.98,0.9599999999999937
2011-01-28,36.91,37.63,36.77,37.09,2418500,37.09,0.18000000000000682
2011-01-31,37.22,37.31,35.97,36.53,2499200,36.53,-0.6899999999999977
2011-02-01,38.22,40.92,37.5,38.99,7217900,38.99,0.7700000000000031
2011-02-02,39.07,39.37,38.5,38.83,2328900,38.83,-0.240000000000002
2011-02-03,39.06,39.39,38.59,39.2,1606800,39.2,0.14000000000000057
2011-02-04,39.19,40.17,39.19,40.07,1273600,40.07,0.8800000000000026
2011-02-07,40.05,40.27,39.53,39.8,1162700,39.8,-0.25
2011-02-08,40.11,40.26,39.5,39.67,756000,39.67,-0.4399999999999977
2011-02-09,39.73,40.88,39.52,40.2,1914500,40.2,0.47000000000000597
2011-02-10,40.06,41.0,39.99,41.0,1894800,41.0,0.9399999999999977
2011-02-11,40.73,40.98,40.43,40.54,1371100,40.54,-0.18999999999999773
2011-02-14,40.83,42.03,40.68,41.14,1383500,41.14,0.3100000000000023
2011-02-15,41.34,41.38,40.81,40.9,1573900,40.9,-0.44000000000000483
2011-02-16,40.84,41.7,40.74,41.4,1337000,41.4,0.5599999999999952
2011-02-17,41.49,41.67,39.81,40.81,2522700,40.81,-0.6799999999999997
2011-02-18,40.98,40.98,40.31,40.47,1092000,40.47,-0.509999999999998
2011-02-22,40.26,40.4,39.79,40.02,1434300,40.02,-0.23999999999999488
2011-02-23,39.89,39.99,38.41,38.71,2407500,38.71,-1.1799999999999997
2011-02-24,40.49,41.07,39.71,40.0,3690600,40.0,-0.490000000000002
2011-02-25,40.65,41.0,40.07,40.11,2082000,40.11,-0.5399999999999991
2011-02-28,40.03,40.26,39.62,40.08,2004900,40.08,0.04999999999999716
2011-03-01,40.0,40.12,39.65,39.79,1607800,39.79,-0.21000000000000085
2011-03-02,39.38,40.04,39.18,39.31,1519400,39.31,-0.07000000000000028
2011-03-03,39.3,40.1,39.03,40.08,1764500,40.08,0.7800000000000011
2011-03-04,39.68,40.29,39.5,39.86,1185000,39.86,0.17999999999999972
2011-03-07,39.9,40.17,39.13,39.39,1207600,39.39,-0.509999999999998
2011-03-08,39.18,39.48,38.22,38.65,2494800,38.65,-0.5300000000000011
2011-03-09,38.51,40.2,38.29,39.99,2244200,39.99,1.480000000000004
2011-03-10,39.57,39.89,39.04,39.24,1473800,39.24,-0.3299999999999983
2011-03-11,39.11,40.33,38.75,40.07,2423000,40.07,0.9600000000000009
2011-03-14,39.76,40.68,39.43,40.55,1921800,40.55,0.7899999999999991
2011-03-15,39.0,40.37,38.36,40.2,1869300,40.2,1.2000000000000028
2011-03-16,39.84,40.08,39.16,39.25,2787700,39.25,-0.5900000000000034
2011-03-17,39.92,39.98,39.35,39.55,2885700,39.55,-0.37000000000000455
2011-03-18,39.75,40.0,39.66,39.89,1811200,39.89,0.14000000000000057
2011-03-21,40.51,41.63,40.05,41.55,1567800,41.55,1.0399999999999991
2011-03-22,41.42,42.49,41.33,42.34,3938300,42.34,0.9200000000000017
2011-03-23,41.94,44.5,41.93,44.5,3696700,44.5,2.5600000000000023
2011-03-24,44.71,45.17,44.23,45.01,3035700,45.01,0.29999999999999716
2011-03-25,45.18,45.99,44.85,44.92,1630400,44.92,-0.259999999999998
2011-03-28,45.03,45.29,44.21,44.26,1717200,44.26,-0.7700000000000031
2011-03-29,44.33,44.79,44.21,44.39,3917700,44.39,0.060000000000002274
2011-03-30,48.94,50.2,47.23,50.08,19673300,50.08,1.1400000000000006
2011-03-31,50.12,51.13,49.63,49.81,6105900,49.81,-0.30999999999999517
2011-04-01,50.1,53.98,50.1,53.25,7015100,53.25,3.1499999999999986
2011-04-04,53.21,53.27,52.59,52.98,3750000,52.98,-0.23000000000000398
2011-04-05,52.77,54.99,52.74,53.96,8693600,53.96,1.1899999999999977
2011-04-06,54.44,54.94,52.26,52.37,6435400,52.37,-2.0700000000000003
2011-04-07,52.26,52.39,51.35,51.95,3408200,51.95,-0.30999999999999517
2011-04-08,52.17,54.21,52.17,54.05,2467600,54.05,1.8799999999999955
2011-04-11,53.64,55.0,52.94,53.24,2264700,53.24,-0.3999999999999986
2011-04-12,53.14,53.4,52.2,52.61,2166700,52.61,-0.5300000000000011
2011-04-13,53.01,53.59,52.06,52.56,1730000,52.56,-0.44999999999999574
2011-04-14,51.95,52.9,51.61,52.78,1727100,52.78,0.8299999999999983
2011-04-15,52.58,53.52,52.47,53.12,2327000,53.12,0.5399999999999991
2011-04-18,52.65,52.82,51.84,52.64,2226800,52.64,-0.00999999999999801
2011-04-19,52.6,53.28,52.55,53.24,915600,53.24,0.6400000000000006
2011-04-20,53.84,53.9,52.2,52.31,1798700,52.31,-1.5300000000000011
2011-04-21,52.83,52.9,51.14,52.42,3123800,52.42,-0.4099999999999966
2011-04-25,52.73,52.92,51.75,52.19,929800,52.19,-0.5399999999999991
2011-04-26,52.52,52.74,51.71,51.96,1700000,51.96,-0.5600000000000023
2011-04-27,52.56,52.65,51.15,52.13,1478400,52.13,-0.4299999999999997
2011-04-28,51.89,52.77,51.82,52.56,1002100,52.56,0.6700000000000017
2011-04-29,52.03,52.78,51.79,52.63,1949600,52.63,0.6000000000000014
2011-05-02,48.89,49.93,47.45,49.58,13081700,49.58,0.6899999999999977
2011-05-03,49.16,49.47,47.28,48.3,5001600,48.3,-0.8599999999999994
2011-05-04,48.2,49.4,48.12,48.99,3190600,48.99,0.7899999999999991
2011-05-05,48.45,49.43,48.09,49.1,3426500,49.1,0.6499999999999986
2011-05-06,49.41,50.19,49.11,50.0,2551700,50.0,0.5900000000000034
2011-05-09,51.58,52.94,50.5,51.88,6162700,51.88,0.30000000000000426
2011-05-10,51.88,53.76,51.39,53.22,3437600,53.22,1.3399999999999963
2011-05-11,53.22,53.32,51.76,51.89,3830000,51.89,-1.3299999999999983
2011-05-12,51.61,52.12,50.72,51.91,1837600,51.91,0.29999999999999716
2011-05-13,51.82,51.94,49.98,50.07,2272500,50.07,-1.75
2011-05-16,50.36,51.27,49.8,50.56,1581900,50.56,0.20000000000000284
2011-05-17,50.25,50.5,49.46,49.66,2061000,49.66,-0.5900000000000034
2011-05-18,49.75,50.31,49.1,50.03,2313000,50.03,0.28000000000000114
2011-05-19,50.14,50.41,49.6,49.9,1750900,49.9,-0.240000000000002
2011-05-20,49.64,50.07,49.25,49.52,2378500,49.52,-0.11999999999999744
2011-05-23,49.38,49.38,48.15,48.24,1613300,48.24,-1.1400000000000006
2011-05-24,49.2,50.89,48.83,49.53,4132800,49.53,0.3299999999999983
2011-05-25,49.3,50.15,48.99,49.85,1844700,49.85,0.5500000000000043
2011-05-26,49.91,50.65,49.72,50.57,2014600,50.57,0.6600000000000037
2011-05-27,50.74,52.99,50.56,52.38,3042000,52.38,1.6400000000000006
2011-05-31,53.3,53.63,51.9,52.36,2278700,52.36,-0.9399999999999977
2011-06-01,51.94,52.36,50.47,50.54,2228400,50.54,-1.3999999999999986
2011-06-02,50.6,52.71,50.5,52.49,2818900,52.49,1.8900000000000006
2011-06-03,51.82,53.53,51.13,53.45,3074500,53.45,1.6300000000000026
2011-06-06,53.15,53.66,52.42,52.7,2911800,52.7,-0.44999999999999574
2011-06-07,52.89,54.14,52.78,53.51,2197500,53.51,0.6199999999999974
2011-06-08,53.42,53.56,52.15,52.36,2006200,52.36,-1.0600000000000023
2011-06-09,52.48,53.98,52.41,53.8,1544300,53.8,1.3200000000000003
2011-06-10,53.96,53.96,52.22,52.83,1999600,52.83,-1.1300000000000026
2011-06-13,52.52,54.67,52.48,52.93,2934400,52.93,0.4099999999999966
2011-06-14,53.3,54.16,52.9,53.8,2279400,53.8,0.5
2011-06-15,53.39,53.39,51.31,51.4,3086500,51.4,-1.990000000000002
2011-06-16,51.38,51.47,49.49,50.19,2826900,50.19,-1.1900000000000048
2011-06-17,50.3,50.93,50.0,50.53,2896800,50.53,0.23000000000000398
2011-06-20,50.53,51.08,50.25,50.97,1315200,50.97,0.4399999999999977
2011-06-21,51.19,51.5,50.96,51.4,976500,51.4,0.21000000000000085
2011-06-22,51.14,52.05,50.89,51.55,1489900,51.55,0.4099999999999966
2011-06-23,50.79,51.77,50.51,51.73,3093900,51.73,0.9399999999999977
2011-06-24,51.71,51.76,49.6,49.75,1723600,49.75,-1.9600000000000009
2011-06-27,49.6,51.1,49.6,51.01,1393500,51.01,1.4099999999999966
2011-06-28,51.04,51.87,50.86,51.82,1678400,51.82,0.7800000000000011
2011-06-29,52.12,52.8,52.0,52.66,1631700,52.66,0.5399999999999991
2011-06-30,52.88,53.11,51.71,51.96,1964300,51.96,-0.9200000000000017
2011-07-01,51.67,52.44,51.35,52.31,1025000,52.31,0.6400000000000006
2011-07-05,52.79,53.99,52.59,53.75,1583600,53.75,0.9600000000000009
2011-07-06,53.65,53.96,53.18,53.49,1328500,53.49,-0.1599999999999966
2011-07-07,53.81,54.5,53.41,53.52,1330400,53.52,-0.28999999999999915
2011-07-08,53.07,53.62,52.8,53.34,696600,53.34,0.2700000000000031
2011-07-11,53.1,53.75,51.94,52.28,2144100,52.28,-0.8200000000000003
2011-07-12,52.38,52.99,51.82,52.31,1443000,52.31,-0.07000000000000028
2011-07-13,52.27,54.04,52.27,52.99,1155700,52.99,0.7199999999999989
2011-07-14,53.25,53.29,51.99,52.61,775200,52.61,-0.6400000000000006
2011-07-15,53.73,55.55,53.63,55.0,4541100,55.0,1.2700000000000031
2011-07-18,55.04,56.31,54.43,55.01,2432100,55.01,-0.030000000000001137
2011-07-19,55.67,56.48,54.95,55.58,1924100,55.58,-0.09000000000000341
2011-07-20,55.68,56.0,54.83,55.39,907000,55.39,-0.28999999999999915
2011-07-21,55.72,57.21,55.15,56.73,2346900,56.73,1.009999999999998
2011-07-22,56.86,57.19,56.12,56.51,1352400,56.51,-0.3500000000000014
2011-07-25,56.0,56.24,55.55,55.85,837600,55.85,-0.14999999999999858
2011-07-26,55.6,56.0,55.0,55.72,1360500,55.72,0.11999999999999744
2011-07-27,55.66,57.24,55.21,55.68,3739900,55.68,0.020000000000003126
2011-07-28,55.5,56.05,55.13,55.41,3896700,55.41,-0.09000000000000341
2011-07-29,54.59,55.28,53.88,55.03,2359600,55.03,0.4399999999999977
2011-08-01,55.43,55.88,54.13,54.31,1536700,54.31,-1.1199999999999974
2011-08-02,54.15,54.48,52.58,52.62,2020000,52.62,-1.5300000000000011
2011-08-03,52.13,52.83,51.1,52.26,2795800,52.26,0.12999999999999545
2011-08-04,50.48,50.5,40.43,40.85,13980500,40.85,-9.629999999999995
2011-08-05,41.48,43.14,36.43,38.91,16194800,38.91,-2.5700000000000003
2011-08-08,37.03,39.81,35.8,38.24,8152800,38.24,1.2100000000000009
2011-08-09,38.45,41.46,38.42,40.41,6401000,40.41,1.9599999999999937
2011-08-10,40.2,40.2,38.42,38.49,3950000,38.49,-1.7100000000000009
2011-08-11,38.59,39.22,37.85,38.68,6395300,38.68,0.0899999999999963
2011-08-12,39.3,41.07,38.95,40.29,3807900,40.29,0.990000000000002
2011-08-15,40.7,41.2,39.86,40.07,2828900,40.07,-0.6300000000000026
2011-08-16,40.35,41.18,39.58,40.05,3676100,40.05,-0.30000000000000426
2011-08-17,40.49,42.71,40.2,42.14,3408400,42.14,1.6499999999999986
2011-08-18,41.29,41.36,39.11,39.41,3368200,39.41,-1.8800000000000026
2011-08-19,38.65,40.06,38.22,39.66,5138000,39.66,1.009999999999998
2011-08-22,40.66,40.85,39.15,39.35,2688600,39.35,-1.3099999999999952
2011-08-23,39.77,41.8,39.44,41.62,2731100,41.62,1.8499999999999943
2011-08-24,41.53,42.48,41.34,42.42,2190000,42.42,0.8900000000000006
2011-08-25,42.72,43.31,41.9,42.1,2098100,42.1,-0.6199999999999974
2011-08-26,41.41,43.03,40.31,42.76,2302700,42.76,1.3500000000000014
2011-08-29,43.59,44.69,43.49,44.66,2365700,44.66,1.0699999999999932
2011-08-30,44.24,44.8,43.71,44.39,2089700,44.39,0.14999999999999858
2011-08-31,44.89,45.92,44.55,44.98,3252800,44.98,0.0899999999999963
2011-09-01,44.42,45.55,43.77,43.98,3305300,43.98,-0.44000000000000483
2011-09-02,42.7,44.16,42.53,43.47,2277200,43.47,0.769999999999996
2011-09-06,41.89,43.47,41.39,43.15,2821600,43.15,1.259999999999998
2011-09-07,43.83,44.56,43.39,44.25,2713700,44.25,0.4200000000000017
2011-09-08,43.72,44.24,42.65,42.71,2897400,42.71,-1.009999999999998
2011-09-09,42.19,42.45,40.53,40.91,3184200,40.91,-1.2800000000000011
2011-09-12,40.1,40.12,38.76,39.52,4817600,39.52,-0.5799999999999983
2011-09-13,39.84,40.08,39.27,39.73,3116500,39.73,-0.11000000000000654
2011-09-14,40.22,41.25,39.27,40.55,3013300,40.55,0.3299999999999983
2011-09-15,41.03,42.15,40.77,41.75,3370000,41.75,0.7199999999999989
2011-09-16,41.95,42.9,41.68,42.0,3102800,42.0,0.04999999999999716
2011-09-19,41.13,41.58,39.95,40.32,1916200,40.32,-0.8100000000000023
2011-09-20,40.07,40.82,39.6,39.78,2744500,39.78,-0.28999999999999915
2011-09-21,39.68,39.68,37.39,37.63,5182700,37.63,-2.049999999999997
2011-09-22,35.85,37.2,34.12,36.45,4064200,36.45,0.6000000000000014
2011-09-23,35.97,38.34,35.76,38.19,3527600,38.19,2.219999999999999
2011-09-26,38.33,39.06,36.64,38.99,2810800,38.99,0.6600000000000037
2011-09-27,39.71,40.53,39.48,40.06,2856700,40.06,0.3500000000000014
2011-09-28,40.22,40.54,38.66,38.81,2398000,38.81,-1.4099999999999966
2011-09-29,39.51,39.61,36.64,37.48,2374100,37.48,-2.030000000000001
2011-09-30,36.8,37.86,36.39,37.12,2997300,37.12,0.3200000000000003
2011-10-03,37.97,37.97,33.84,33.91,4376600,33.91,-4.060000000000002
2011-10-04,33.2,33.96,32.05,33.85,5200000,33.85,0.6499999999999986
2011-10-05,33.83,35.21,33.11,35.08,1840400,35.08,1.25
2011-10-06,35.07,36.3,34.59,36.11,2130500,36.11,1.0399999999999991
2011-10-07,36.28,36.38,34.99,34.99,1855100,34.99,-1.2899999999999991
2011-10-10,35.65,36.5,35.1,35.53,1639100,35.53,-0.11999999999999744
2011-10-11,35.33,35.82,35.05,35.3,2434800,35.3,-0.030000000000001137
2011-10-12,36.08,36.08,34.98,35.75,2618700,35.75,-0.3299999999999983
2011-10-13,35.39,35.7,34.68,35.46,2447100,35.46,0.07000000000000028
2011-10-14,35.95,36.47,35.56,36.37,1708600,36.37,0.4199999999999946
2011-10-17,36.29,36.77,36.09,36.22,1613200,36.22,-0.07000000000000028
2011-10-18,36.7,36.74,35.6,36.13,1401600,36.13,-0.5700000000000003
2011-10-19,36.43,37.78,35.89,37.18,2772800,37.18,0.75
2011-10-20,37.0,37.06,35.71,35.98,1705800,35.98,-1.0200000000000031
2011-10-21,36.82,37.8,36.45,37.36,1851100,37.36,0.5399999999999991
2011-10-24,37.73,39.0,37.42,38.76,1532200,38.76,1.0300000000000011
2011-10-25,38.42,38.71,37.83,38.4,1731200,38.4,-0.020000000000003126
2011-10-26,38.52,39.18,37.73,38.98,1556600,38.98,0.45999999999999375
2011-10-27,39.78,41.1,39.3,40.79,2197800,40.79,1.009999999999998
2011-10-28,40.74,41.28,40.57,41.03,1085300,41.03,0.28999999999999915
2011-10-31,40.23,40.61,39.55,39.56,1980100,39.56,-0.6699999999999946
2011-11-01,38.44,38.79,37.36,38.13,2772400,38.13,-0.30999999999999517
2011-11-02,38.85,39.25,37.94,38.5,2766000,38.5,-0.3500000000000014
2011-11-03,41.58,44.82,40.33,43.6,7666800,43.6,2.020000000000003
2011-11-04,43.51,44.4,42.85,44.37,2706400,44.37,0.8599999999999994
2011-11-07,43.93,44.22,41.27,42.35,5067000,42.35,-1.5799999999999983
2011-11-08,42.55,43.11,42.06,42.84,1806200,42.84,0.29000000000000625
2011-11-09,41.85,42.29,41.38,41.48,1548900,41.48,-0.37000000000000455
2011-11-10,41.66,42.51,40.85,41.42,2227800,41.42,-0.23999999999999488
2011-11-11,42.08,43.47,42.06,43.17,1812900,43.17,1.0900000000000034
2011-11-14,42.81,43.29,42.65,43.04,1251000,43.04,0.22999999999999687
2011-11-15,42.66,43.86,42.66,43.21,1814500,43.21,0.5500000000000043
2011-11-16,42.68,43.57,42.68,42.82,1238800,42.82,0.14000000000000057
2011-11-17,42.92,42.97,41.65,41.99,1458100,41.99,-0.9299999999999997
2011-11-18,42.18,42.95,41.69,42.48,1645200,42.48,0.29999999999999716
2011-11-21,41.76,43.1,41.75,42.41,2720600,42.41,0.6499999999999986
2011-11-22,42.64,42.9,42.06,42.82,1301200,42.82,0.17999999999999972
2011-11-23,42.38,42.44,41.79,41.81,1711300,41.81,-0.5700000000000003
2011-11-25,41.42,42.24,41.21,41.84,861000,41.84,0.4200000000000017
2011-11-28,42.79,43.85,42.65,43.74,1341100,43.74,0.9500000000000028
2011-11-29,43.86,44.48,43.61,43.8,1821700,43.8,-0.060000000000002274
2011-11-30,45.06,46.21,44.4,46.21,1726800,46.21,1.1499999999999986
2011-12-01,45.79,47.33,45.74,45.75,1817400,45.75,-0.03999999999999915
2011-12-02,46.44,47.58,45.96,46.19,1981500,46.19,-0.25
2011-12-05,46.97,47.35,46.05,46.38,1593500,46.38,-0.5899999999999963
2011-12-06,46.87,47.18,46.51,46.56,1282800,46.56,-0.30999999999999517
2011-12-07,46.7,46.96,45.72,46.77,1254400,46.77,0.07000000000000028
2011-12-08,46.73,47.1,44.97,45.14,2184600,45.14,-1.5899999999999963
2011-12-09,45.58,47.21,45.16,47.11,1717100,47.11,1.5300000000000011
2011-12-12,46.46,46.96,45.49,46.21,1159800,46.21,-0.25
2011-12-13,46.52,46.88,45.22,45.73,1255100,45.73,-0.7900000000000063
2011-12-14,45.69,45.91,43.33,43.53,2831100,43.53,-2.1599999999999966
2011-12-15,43.96,44.96,43.95,44.86,1420700,44.86,0.8999999999999986
