Date,open,high,low,close,volume,adj_close,diff
2012-10-12,48.05,51.37,45.05,48.69,18132800,48.69,0.6400000000000006
2012-10-15,48.74,53.0,48.6,51.94,3091900,51.94,3.1999999999999957
2012-10-16,53.49,53.5,51.91,52.16,805200,52.16,-1.3300000000000054
2012-10-17,52.02,57.21,52.0,55.41,1386400,55.41,3.3899999999999935
2012-10-18,55.08,55.1,50.87,53.42,1523300,53.42,-1.6599999999999966
2012-10-19,52.33,55.58,51.53,55.25,1442200,55.25,2.9200000000000017
2012-10-22,55.58,56.22,54.11,55.4,478200,55.4,-0.17999999999999972
2012-10-23,55.37,55.51,54.14,54.38,386300,54.38,-0.9899999999999949
2012-10-24,54.01,54.25,51.86,52.12,469600,52.12,-1.8900000000000006
2012-10-25,53.33,53.33,48.6,49.24,800600,49.24,-4.089999999999996
2012-10-26,49.65,50.5,48.2,50.0,484600,50.0,0.3500000000000014
2012-10-31,51.0,51.03,48.09,48.5,400900,48.5,-2.5
2012-11-01,49.1,49.66,48.18,48.92,305900,48.92,-0.17999999999999972
2012-11-02,50.74,50.74,48.3,48.52,178900,48.52,-2.219999999999999
2012-11-05,49.98,50.0,48.74,49.88,310200,49.88,-0.09999999999999432
2012-11-06,48.53,50.33,48.25,48.54,509900,48.54,0.00999999999999801
2012-11-07,48.43,48.71,46.82,48.07,284100,48.07,-0.35999999999999943
2012-11-08,49.25,49.68,47.69,49.05,278600,49.05,-0.20000000000000284
2012-11-09,49.6,49.6,47.6,48.0,120400,48.0,-1.6000000000000014
2012-11-12,47.47,47.68,46.38,46.99,274800,46.99,-0.4799999999999969
2012-11-13,46.21,47.27,46.0,46.99,279200,46.99,0.7800000000000011
2012-11-14,46.77,48.5,46.75,47.38,267200,47.38,0.6099999999999994
2012-11-15,48.11,48.62,47.07,47.94,371800,47.94,-0.1700000000000017
2012-11-16,47.5,48.95,47.4,48.85,194200,48.85,1.3500000000000014
2012-11-19,49.95,49.95,48.92,49.61,216200,49.61,-0.3400000000000034
2012-11-20,49.86,51.0,49.62,50.71,314900,50.71,0.8500000000000014
2012-11-21,51.05,52.1,51.05,51.95,441300,51.95,0.9000000000000057
2012-11-23,52.46,52.46,50.43,50.79,148800,50.79,-1.6700000000000017
2012-11-26,50.8,51.75,50.0,50.82,341700,50.82,0.020000000000003126
2012-11-27,51.0,53.19,50.73,51.85,852500,51.85,0.8500000000000014
2012-11-28,51.05,53.22,49.02,53.19,1223800,53.19,2.1400000000000006
2012-11-29,53.14,53.68,49.62,51.7,1467500,51.7,-1.4399999999999977
2012-11-30,51.97,51.99,49.6,50.1,584200,50.1,-1.8699999999999974
2012-12-03,50.1,51.33,49.26,50.1,621800,50.1,0.0
2012-12-04,49.59,49.89,48.7,49.7,346100,49.7,0.10999999999999943
2012-12-05,49.75,49.9,48.24,48.3,370400,48.3,-1.4500000000000028
