Date,open,high,low,close,volume,adj_close,diff
2011-01-03,12.85,13.45,12.85,13.0,28800,13.0,0.15000000000000036
2011-01-04,13.4,13.54,13.2,13.5,27000,13.5,0.09999999999999964
2011-01-05,13.5,13.61,13.25,13.45,16300,13.45,-0.05000000000000071
2011-01-06,13.43,13.6,13.41,13.52,9500,13.52,0.08999999999999986
2011-01-07,13.6,13.71,13.41,13.71,4100,13.71,0.11000000000000121
2011-01-10,13.75,13.8,13.6,13.74,15300,13.74,-0.009999999999999787
2011-01-11,13.8,14.2,13.8,14.07,15800,14.07,0.2699999999999996
2011-01-12,14.0,14.0,13.95,13.95,6800,13.95,-0.05000000000000071
2011-01-13,13.94,13.99,13.9,13.9,4500,13.9,-0.03999999999999915
2011-01-14,14.06,14.06,13.71,13.73,8100,13.73,-0.33000000000000007
2011-01-18,14.0,14.0,13.71,13.71,14500,13.71,-0.28999999999999915
2011-01-19,13.71,13.71,13.11,13.18,9500,13.18,-0.5300000000000011
2011-01-20,13.15,13.25,13.12,13.22,10800,13.22,0.07000000000000028
2011-01-21,13.47,13.5,13.25,13.47,8300,13.47,0.0
2011-01-24,13.5,13.71,13.32,13.36,16300,13.36,-0.14000000000000057
2011-01-25,13.36,13.41,12.91,12.99,28100,12.99,-0.3699999999999992
2011-01-26,12.98,13.14,12.98,13.14,9300,13.14,0.16000000000000014
2011-01-27,13.2,13.37,13.15,13.36,8500,13.36,0.16000000000000014
2011-01-28,13.34,13.5,13.34,13.46,6200,13.46,0.120000000000001
2011-01-31,13.56,13.56,13.21,13.22,7800,13.22,-0.33999999999999986
2011-02-01,13.3,13.47,13.18,13.47,1700,13.47,0.16999999999999993
2011-02-02,13.45,13.54,13.45,13.47,8400,13.47,0.02000000000000135
2011-02-03,13.41,13.49,13.38,13.44,8800,13.44,0.02999999999999936
2011-02-04,13.4,13.49,13.38,13.4,6600,13.4,0.0
2011-02-07,13.4,13.84,13.4,13.45,16700,13.45,0.049999999999998934
2011-02-08,13.6,13.6,13.41,13.46,7300,13.46,-0.1399999999999988
2011-02-09,13.5,13.5,13.4,13.46,5900,13.46,-0.03999999999999915
2011-02-10,13.56,13.64,13.54,13.62,3700,13.62,0.05999999999999872
2011-02-11,13.55,13.56,13.32,13.4,6700,13.4,-0.15000000000000036
2011-02-14,13.39,13.48,13.39,13.4,5500,13.4,0.009999999999999787
2011-02-15,13.39,13.4,13.3,13.37,1000,13.37,-0.02000000000000135
2011-02-16,13.29,13.41,13.29,13.41,1600,13.41,0.120000000000001
2011-02-17,13.4,13.42,13.3,13.42,2100,13.42,0.019999999999999574
2011-02-18,13.45,13.48,13.4,13.46,6200,13.46,0.010000000000001563
2011-02-22,13.4,13.41,13.14,13.32,10200,13.32,-0.08000000000000007
2011-02-23,13.29,13.29,13.03,13.03,8600,13.03,-0.2599999999999998
2011-02-24,13.2,13.2,13.0,13.07,18200,13.07,-0.129999999999999
2011-02-25,13.1,13.1,13.03,13.04,4600,13.04,-0.0600000000000005
2011-02-28,13.3,13.4,13.15,13.18,8300,13.18,-0.120000000000001
2011-03-01,13.25,13.47,13.25,13.38,4800,13.38,0.13000000000000078
2011-03-02,13.4,13.43,13.38,13.38,3500,13.38,-0.019999999999999574
2011-03-03,13.31,13.41,13.18,13.18,6800,13.18,-0.13000000000000078
2011-03-04,13.29,13.47,13.29,13.38,4000,13.38,0.09000000000000163
2011-03-07,13.53,13.53,13.25,13.25,4000,13.25,-0.27999999999999936
2011-03-08,13.27,13.27,13.27,13.27,200,13.27,0.0
2011-03-09,13.37,13.37,13.23,13.3,2300,13.3,-0.06999999999999851
2011-03-10,13.26,13.26,13.26,13.26,400,13.26,0.0
2011-03-11,13.02,13.12,12.7,13.0,8100,13.0,-0.019999999999999574
2011-03-14,13.1,13.1,12.94,13.0,23300,13.0,-0.09999999999999964
2011-03-15,13.15,13.15,12.92,13.01,3600,13.01,-0.14000000000000057
2011-03-16,13.05,13.18,13.02,13.06,8400,13.06,0.009999999999999787
2011-03-17,13.08,13.19,13.05,13.07,4900,13.07,-0.009999999999999787
2011-03-18,13.09,13.12,12.94,13.02,19500,13.02,-0.07000000000000028
2011-03-21,13.0,13.21,13.0,13.05,18800,13.05,0.05000000000000071
2011-03-22,13.08,13.09,13.0,13.02,51800,13.02,-0.0600000000000005
2011-03-23,13.04,13.04,12.98,13.0,22100,13.0,-0.03999999999999915
2011-03-24,13.0,13.06,12.97,13.06,30600,13.06,0.0600000000000005
2011-03-25,13.1,13.11,13.01,13.11,3000,13.11,0.009999999999999787
