Date,open,high,low,close,volume,adj_close,diff
2011-01-03,23.95,24.23,23.95,24.17,1463700,20.01,0.22000000000000242
2011-01-04,24.27,24.28,23.6,23.79,1191800,19.7,-0.4800000000000004
2011-01-05,23.73,24.06,23.73,23.92,1164200,19.8,0.19000000000000128
2011-01-06,23.97,24.05,23.57,23.69,744700,19.61,-0.2799999999999976
2011-01-07,23.7,23.89,23.46,23.73,752000,19.65,0.030000000000001137
2011-01-10,23.62,24.06,23.45,23.98,828100,19.85,0.35999999999999943
2011-01-11,24.04,24.2,23.63,23.89,1280800,19.78,-0.14999999999999858
2011-01-12,24.01,24.03,23.63,23.77,1315600,19.68,-0.240000000000002
2011-01-13,23.69,23.95,23.66,23.79,1062700,19.7,0.09999999999999787
2011-01-14,23.93,24.13,23.81,24.0,1027500,19.87,0.07000000000000028
2011-01-18,23.89,24.2,23.86,24.16,2467900,20.0,0.2699999999999996
2011-01-19,24.12,24.26,23.91,24.09,2346100,19.94,-0.030000000000001137
2011-01-20,24.01,24.27,23.88,24.05,1118700,19.91,0.03999999999999915
2011-01-21,24.13,24.17,23.9,24.15,737400,19.99,0.019999999999999574
2011-01-24,24.1,24.35,23.96,24.1,570700,19.95,0.0
2011-01-25,24.02,24.53,23.93,24.5,959800,20.28,0.4800000000000004
2011-01-26,24.56,24.58,24.25,24.46,674700,20.25,-0.09999999999999787
2011-01-27,24.48,24.9,24.4,24.81,568600,20.54,0.3299999999999983
2011-01-28,24.77,24.84,24.28,24.29,694300,20.11,-0.4800000000000004
2011-01-31,24.45,24.73,24.34,24.52,843000,20.3,0.07000000000000028
2011-02-01,24.7,24.74,24.35,24.66,665800,20.42,-0.03999999999999915
2011-02-02,24.58,24.86,24.46,24.81,638600,20.54,0.23000000000000043
2011-02-03,24.75,24.93,24.51,24.87,533700,20.59,0.120000000000001
2011-02-04,24.92,24.92,24.53,24.66,673900,20.42,-0.26000000000000156
2011-02-07,24.71,25.06,24.71,25.03,426600,20.72,0.3200000000000003
