Date,open,high,low,close,volume,adj_close,diff
2011-01-03,14.83,14.9,13.8,14.7,16000,10.51,-0.13000000000000078
2011-01-04,14.64,14.9,14.4,14.45,27500,10.34,-0.19000000000000128
2011-01-05,14.5,14.72,14.4,14.63,12900,10.46,0.13000000000000078
2011-01-06,14.8,14.84,14.5,14.65,17200,10.48,-0.15000000000000036
2011-01-07,14.6,14.93,14.6,14.81,18500,10.59,0.21000000000000085
2011-01-10,14.94,14.94,14.51,14.52,16900,10.39,-0.41999999999999993
2011-01-11,14.5,14.6,14.3,14.3,23100,10.23,-0.1999999999999993
2011-01-12,14.23,14.39,14.19,14.31,16800,10.24,0.08000000000000007
2011-01-13,14.3,14.4,14.23,14.4,32400,10.3,0.09999999999999964
2011-01-14,14.4,14.77,14.07,14.61,27900,10.45,0.20999999999999908
2011-01-18,14.8,14.85,14.5,14.54,10200,10.4,-0.26000000000000156
2011-01-19,14.59,14.73,14.58,14.71,9900,10.52,0.120000000000001
2011-01-20,14.68,14.68,14.44,14.5,7900,10.37,-0.17999999999999972
2011-01-21,14.36,14.56,14.3,14.3,15300,10.23,-0.05999999999999872
2011-01-24,14.46,14.73,14.46,14.63,20300,10.46,0.16999999999999993
2011-01-25,14.75,14.82,14.55,14.82,13900,10.6,0.07000000000000028
2011-01-26,14.77,14.84,14.45,14.82,13400,10.6,0.05000000000000071
2011-01-27,14.82,14.85,14.7,14.76,15800,10.56,-0.0600000000000005
2011-01-28,14.67,14.82,14.4,14.72,11400,10.6,0.05000000000000071
2011-01-31,14.6,14.6,14.38,14.41,10900,10.37,-0.1899999999999995
2011-02-01,14.35,14.61,14.35,14.55,5400,10.47,0.20000000000000107
2011-02-02,14.6,14.69,14.48,14.66,7500,10.55,0.0600000000000005
2011-02-03,14.61,14.72,14.61,14.7,2200,10.58,0.08999999999999986
2011-02-04,14.71,14.85,14.62,14.82,4900,10.67,0.10999999999999943
2011-02-07,14.75,14.82,14.55,14.59,12700,10.5,-0.16000000000000014
2011-02-08,14.68,14.68,14.54,14.65,7300,10.55,-0.02999999999999936
2011-02-09,14.54,14.85,14.54,14.85,11800,10.69,0.3100000000000005
