Date,open,high,low,close,volume,adj_close,diff
2011-01-03,37.9,38.25,37.75,37.92,246300,36.56,0.020000000000003126
2011-01-04,38.0,38.14,36.63,37.08,348000,35.75,-0.9200000000000017
2011-01-05,37.07,37.64,37.07,37.5,227900,36.15,0.4299999999999997
2011-01-06,37.48,37.77,37.23,37.68,213800,36.33,0.20000000000000284
2011-01-07,37.69,38.09,37.13,37.52,187200,36.17,-0.1699999999999946
2011-01-10,37.34,37.62,37.2,37.42,131800,36.08,0.0799999999999983
2011-01-11,37.56,37.74,37.4,37.59,201200,36.24,0.030000000000001137
2011-01-12,37.74,38.13,37.7,37.84,117400,36.48,0.10000000000000142
2011-01-13,37.78,38.11,37.67,37.85,229800,36.49,0.07000000000000028
2011-01-14,37.88,37.89,37.53,37.67,157000,36.32,-0.21000000000000085
2011-01-18,37.48,37.7,37.14,37.31,261100,35.97,-0.1699999999999946
2011-01-19,37.3,37.55,36.92,37.25,305600,35.91,-0.04999999999999716
2011-01-20,37.13,37.35,36.75,37.16,293400,35.82,0.02999999999999403
2011-01-21,37.34,37.57,37.12,37.35,243500,36.01,0.00999999999999801
2011-01-24,37.4,37.55,37.28,37.43,293700,36.08,0.030000000000001137
2011-01-25,37.42,37.72,37.35,37.64,389300,36.29,0.21999999999999886
2011-01-26,37.66,38.38,37.45,37.94,765900,36.58,0.28000000000000114
2011-01-27,37.88,39.63,37.71,39.47,660300,38.05,1.5899999999999963
2011-01-28,39.35,39.63,38.33,38.65,303900,37.26,-0.7000000000000028
2011-01-31,38.88,39.07,38.69,38.8,225100,37.41,-0.0800000000000054
2011-02-01,38.97,39.81,38.85,39.71,256200,38.28,0.740000000000002
2011-02-02,39.61,39.92,39.2,39.84,365600,38.41,0.23000000000000398
2011-02-03,39.56,41.09,39.45,40.57,579200,39.11,1.009999999999998
2011-02-04,40.6,41.3,40.27,41.15,292600,39.67,0.5499999999999972
2011-02-07,41.19,41.68,41.15,41.35,301700,39.86,0.1600000000000037
2011-02-08,41.25,42.11,41.25,42.06,441100,40.55,0.8100000000000023
2011-02-09,41.99,42.63,41.87,42.47,457700,40.94,0.4799999999999969
2011-02-10,42.3,42.88,42.3,42.85,411400,41.31,0.5500000000000043
2011-02-11,42.89,44.45,42.66,43.96,821600,42.38,1.0700000000000003
2011-02-14,44.04,44.35,43.41,44.08,1348500,42.5,0.03999999999999915
2011-02-15,44.0,44.32,43.84,44.26,378300,42.67,0.259999999999998
2011-02-16,44.64,44.93,44.39,44.92,588300,43.31,0.28000000000000114
2011-02-17,59.0,66.22,58.27,65.39,10509700,63.04,6.390000000000001
2011-02-18,64.63,66.56,62.83,64.72,3305800,62.39,0.09000000000000341
2011-02-22,63.82,64.7,63.25,63.81,1400400,61.52,-0.00999999999999801
2011-02-23,63.3,63.49,60.92,62.9,1743500,60.64,-0.3999999999999986
2011-02-24,62.97,62.97,61.92,62.28,918000,60.04,-0.6899999999999977
2011-02-25,60.71,61.88,60.34,61.49,1497300,59.28,0.7800000000000011
2011-02-28,61.93,61.93,60.45,61.13,1238700,58.93,-0.7999999999999972
2011-03-01,61.28,61.42,59.62,60.15,774100,57.99,-1.1300000000000026
2011-03-02,60.25,60.79,59.56,60.12,646400,57.96,-0.13000000000000256
2011-03-03,60.32,61.29,59.9,60.04,909500,57.88,-0.28000000000000114
2011-03-04,60.67,60.67,59.44,60.26,595500,58.09,-0.4100000000000037
2011-03-07,60.12,60.5,58.45,58.7,631500,56.59,-1.4199999999999946
2011-03-08,59.1,59.78,57.56,59.06,764300,56.94,-0.03999999999999915
2011-03-09,59.0,60.08,58.4,59.96,777600,57.8,0.9600000000000009
2011-03-10,59.11,63.46,58.72,62.76,1623500,60.5,3.6499999999999986
2011-03-11,61.98,63.5,61.41,61.97,1191300,59.74,-0.00999999999999801
2011-03-14,61.72,62.37,60.9,61.87,404600,59.65,0.14999999999999858
2011-03-15,60.48,62.09,60.2,61.78,632500,59.56,1.3000000000000043
2011-03-16,61.38,62.11,60.12,61.18,568100,58.98,-0.20000000000000284
2011-03-17,61.57,61.94,61.15,61.28,757100,59.08,-0.28999999999999915
2011-03-18,61.86,62.54,61.46,61.64,1153100,59.42,-0.21999999999999886
2011-03-21,62.0,62.28,61.74,62.02,847000,59.79,0.020000000000003126
2011-03-22,61.97,62.39,61.65,62.0,598000,59.77,0.030000000000001137
2011-03-23,61.83,65.55,61.71,64.98,1318500,62.64,3.1500000000000057
2011-03-24,65.57,65.57,63.93,64.2,784000,61.89,-1.3699999999999903
2011-03-25,63.93,65.46,63.88,64.77,506700,62.44,0.8399999999999963
2011-03-28,64.7,64.74,64.0,64.1,562400,61.8,-0.6000000000000085
2011-03-29,64.09,64.26,63.4,63.88,452600,61.58,-0.21000000000000085
2011-03-30,64.04,68.47,64.04,67.0,2883900,64.77,2.9599999999999937
