Date,open,high,low,close,volume,adj_close,diff
2011-01-03,30.25,30.8,30.14,30.67,2772900,28.46,0.4200000000000017
2011-01-04,30.75,30.75,30.26,30.48,2333300,28.28,-0.2699999999999996
2011-01-05,30.3,30.42,30.03,30.38,2423700,28.19,0.0799999999999983
2011-01-06,30.44,30.48,29.74,29.94,1754100,27.78,-0.5
2011-01-07,30.03,30.14,29.41,29.83,1373700,27.68,-0.20000000000000284
2011-01-10,29.66,29.67,29.26,29.57,1633700,27.44,-0.08999999999999986
2011-01-11,29.73,29.85,29.5,29.66,1862800,27.52,-0.07000000000000028
2011-01-12,29.94,29.98,29.4,29.46,2628300,27.33,-0.4800000000000004
2011-01-13,29.47,29.79,29.4,29.5,2234800,27.37,0.030000000000001137
2011-01-14,29.43,30.36,29.39,30.34,1782500,28.15,0.9100000000000001
2011-01-18,30.38,30.51,29.7,29.77,2812800,27.62,-0.6099999999999994
2011-01-19,29.72,29.75,28.71,28.78,3121500,26.7,-0.9399999999999977
2011-01-20,28.75,28.76,28.11,28.56,2839800,26.5,-0.19000000000000128
2011-01-21,28.76,28.92,28.46,28.72,1668200,26.65,-0.0400000000000027
2011-01-24,28.76,29.19,28.32,29.14,2011000,27.04,0.379999999999999
2011-01-25,29.06,29.28,28.93,29.15,2656700,27.05,0.08999999999999986
2011-01-26,29.27,29.58,29.14,29.43,1213100,27.31,0.16000000000000014
2011-01-27,29.33,29.46,28.89,29.24,2170600,27.13,-0.08999999999999986
2011-01-28,29.3,29.37,28.11,28.18,3416200,26.15,-1.120000000000001
2011-01-31,28.28,28.57,28.05,28.13,2514400,26.1,-0.15000000000000213
2011-02-01,28.38,29.74,28.33,29.63,3000500,27.49,1.25
2011-02-02,29.43,29.54,29.19,29.47,1801500,27.34,0.03999999999999915
2011-02-03,29.52,29.85,29.45,29.76,1443600,27.61,0.240000000000002
2011-02-04,29.81,30.01,29.42,29.96,1467600,27.8,0.15000000000000213
2011-02-07,29.89,30.37,29.89,30.28,2342900,28.1,0.39000000000000057
2011-02-08,30.3,30.91,30.3,30.85,2705800,28.62,0.5500000000000007
2011-02-09,30.5,30.5,29.43,29.68,13607400,27.54,-0.8200000000000003
2011-02-10,29.5,29.85,29.17,29.64,4252000,27.5,0.14000000000000057
2011-02-11,29.43,30.21,29.21,30.15,2281800,27.98,0.7199999999999989
2011-02-14,30.08,30.15,29.49,29.7,1670000,27.56,-0.379999999999999
2011-02-15,29.96,31.9,29.96,31.74,6240900,29.45,1.7799999999999976
2011-02-16,31.88,32.22,31.86,31.98,2319200,29.67,0.10000000000000142
2011-02-17,31.79,32.06,31.63,32.05,2286600,29.74,0.259999999999998
2011-02-18,31.98,32.36,31.82,32.07,1998600,29.76,0.08999999999999986
2011-02-22,31.54,31.54,30.63,30.77,3156800,28.55,-0.7699999999999996
2011-02-23,30.71,31.3,30.21,30.65,4058400,28.44,-0.060000000000002274
2011-02-24,30.57,30.99,30.13,30.61,2275700,28.4,0.03999999999999915
2011-02-25,30.77,31.43,30.74,31.36,2266600,29.1,0.5899999999999999
2011-02-28,31.45,31.7,31.03,31.28,2544000,29.02,-0.16999999999999815
2011-03-01,31.39,31.48,30.58,30.73,2788700,28.51,-0.6600000000000001
2011-03-02,30.64,31.26,30.56,30.71,2673800,28.49,0.07000000000000028
2011-03-03,31.06,31.3,30.97,31.19,2842100,28.94,0.13000000000000256
2011-03-04,31.25,31.86,31.1,31.7,3461000,29.41,0.4499999999999993
2011-03-07,31.81,31.86,31.21,31.42,2528600,29.15,-0.389999999999997
2011-03-08,31.23,31.67,31.23,31.52,2645700,29.39,0.28999999999999915
2011-03-09,31.46,31.66,31.34,31.58,3345700,29.44,0.11999999999999744
2011-03-10,30.99,31.19,30.68,31.09,2970700,28.99,0.10000000000000142
2011-03-11,30.98,31.69,30.78,31.29,2083700,29.17,0.3099999999999987
2011-03-14,31.01,31.34,30.72,30.79,2467200,28.71,-0.22000000000000242
2011-03-15,29.73,30.51,29.56,30.4,4246300,28.34,0.6699999999999982
2011-03-16,30.26,30.36,29.44,29.54,3701900,27.54,-0.7200000000000024
2011-03-17,30.0,30.42,29.76,30.06,2110100,28.03,0.05999999999999872
2011-03-18,30.47,30.64,30.21,30.45,2253300,28.39,-0.019999999999999574
2011-03-21,30.98,31.33,30.88,31.04,1998200,28.94,0.05999999999999872
2011-03-22,31.1,31.2,30.35,30.46,1101000,28.4,-0.6400000000000006
2011-03-23,30.39,30.65,29.98,30.54,2427300,28.47,0.14999999999999858
2011-03-24,30.77,31.33,30.76,31.23,2255700,29.12,0.46000000000000085
2011-03-25,31.4,31.95,31.4,31.82,2027000,29.67,0.4200000000000017
2011-03-28,31.92,31.99,30.2,30.31,5866400,28.26,-1.610000000000003
2011-03-29,30.33,31.4,30.31,31.29,3220800,29.17,0.9600000000000009
2011-03-30,31.53,32.19,31.39,32.13,2664900,29.96,0.6000000000000014
2011-03-31,32.0,32.14,31.72,31.81,1918400,29.66,-0.19000000000000128
2011-04-01,32.12,32.86,32.04,32.32,3320800,30.13,0.20000000000000284
2011-04-04,32.42,32.48,31.85,32.07,1897700,29.9,-0.3500000000000014
2011-04-05,31.93,32.39,31.77,32.14,1504800,29.96,0.21000000000000085
2011-04-06,32.39,32.58,32.2,32.54,1550900,30.34,0.14999999999999858
2011-04-07,32.48,32.55,31.99,32.01,1771600,29.84,-0.46999999999999886
2011-04-08,32.23,32.24,31.49,31.76,1784500,29.61,-0.4699999999999953
2011-04-11,31.8,31.99,31.33,31.35,1844400,29.23,-0.4499999999999993
2011-04-12,31.15,31.52,31.0,31.05,2423500,28.95,-0.09999999999999787
2011-04-13,31.32,31.68,31.21,31.43,1537700,29.3,0.10999999999999943
2011-04-14,31.19,31.24,30.86,31.11,2963200,29.0,-0.08000000000000185
2011-04-15,31.25,31.3,30.94,31.18,1336700,29.07,-0.07000000000000028
2011-04-18,30.76,31.11,30.5,31.06,1536300,28.96,0.29999999999999716
2011-04-19,31.11,31.34,30.99,31.26,1141000,29.14,0.15000000000000213
2011-04-20,31.7,31.98,31.63,31.87,1449600,29.71,0.1700000000000017
2011-04-21,31.97,32.74,31.79,32.71,2122200,30.5,0.740000000000002
2011-04-25,32.66,33.1,32.52,33.04,2076700,30.8,0.38000000000000256
2011-04-26,33.1,33.3,32.91,33.14,1800000,30.9,0.03999999999999915
2011-04-27,33.71,34.76,33.61,34.0,3220800,31.7,0.28999999999999915
2011-04-28,34.01,34.35,34.01,34.27,1785900,31.95,0.2600000000000051
2011-04-29,34.36,34.82,34.25,34.61,1241400,32.27,0.25
2011-05-02,34.91,35.5,34.82,34.97,2821300,32.6,0.060000000000002274
2011-05-03,34.89,34.99,34.22,34.27,2296900,31.95,-0.6199999999999974
2011-05-04,34.18,34.29,33.35,33.62,3048800,31.34,-0.5600000000000023
2011-05-05,33.39,34.0,33.29,33.56,2254400,31.29,0.1700000000000017
2011-05-06,34.11,34.3,33.58,33.62,1686400,31.34,-0.490000000000002
2011-05-09,33.75,33.86,33.44,33.63,1556300,31.35,-0.11999999999999744
2011-05-10,33.7,34.39,33.7,34.16,2015500,31.85,0.45999999999999375
2011-05-11,34.01,34.46,33.74,34.0,2013300,31.7,-0.00999999999999801
2011-05-12,33.81,34.49,33.73,34.42,2038900,32.09,0.6099999999999994
2011-05-13,34.5,34.68,33.9,34.05,1554200,31.75,-0.45000000000000284
2011-05-16,33.84,34.14,33.46,33.61,1410300,31.34,-0.23000000000000398
2011-05-17,33.47,33.66,33.16,33.57,1215200,31.3,0.10000000000000142
2011-05-18,33.61,34.15,33.51,34.0,1051100,31.7,0.39000000000000057
2011-05-19,34.19,34.46,34.0,34.3,1131200,31.98,0.10999999999999943
2011-05-20,34.13,34.56,34.04,34.36,1493100,32.03,0.22999999999999687
2011-05-23,33.66,34.0,33.5,33.8,1543200,31.51,0.14000000000000057
2011-05-24,33.71,33.76,33.32,33.53,1420300,31.4,-0.17999999999999972
2011-05-25,33.26,33.7,33.17,33.44,1339200,31.32,0.17999999999999972
2011-05-26,33.33,34.75,33.33,34.56,1829200,32.36,1.230000000000004
2011-05-27,34.73,35.0,34.52,34.74,1190200,32.53,0.010000000000005116
2011-05-31,35.16,35.24,34.48,34.81,2031200,32.6,-0.3499999999999943
2011-06-01,34.65,34.74,33.88,33.92,1602500,31.77,-0.7299999999999969
2011-06-02,33.89,34.25,33.65,34.09,1586500,31.92,0.20000000000000284
2011-06-03,33.51,33.94,33.35,33.5,1075400,31.37,-0.00999999999999801
2011-06-06,33.47,33.8,33.1,33.14,1091400,31.03,-0.3299999999999983
2011-06-07,33.35,33.83,33.07,33.09,1497700,30.99,-0.259999999999998
2011-06-08,33.0,33.13,31.94,32.1,3182600,30.06,-0.8999999999999986
2011-06-09,32.18,32.29,31.62,32.24,3454700,30.19,0.060000000000002274
