Date,open,high,low,close,volume,adj_close,diff
2011-01-03,10.05,10.05,8.95,9.4,66000,37.6,-0.6500000000000004
2011-01-04,9.36,9.38,8.6,8.77,93100,35.08,-0.5899999999999999
2011-01-05,8.86,8.86,7.78,8.23,83800,32.92,-0.629999999999999
2011-01-06,8.28,8.28,7.55,7.87,51500,31.48,-0.40999999999999925
2011-01-07,7.89,8.0,7.7,7.9,77400,31.6,0.010000000000000675
2011-01-10,7.96,8.29,7.83,8.0,69700,32.0,0.040000000000000036
2011-01-11,8.0,8.46,8.0,8.3,100300,33.2,0.3000000000000007
2011-01-12,8.65,8.65,8.2,8.36,32100,33.44,-0.2900000000000009
2011-01-13,8.3,8.66,8.11,8.59,27600,34.36,0.28999999999999915
2011-01-14,8.5,8.7,8.32,8.38,42800,33.52,-0.11999999999999922
2011-01-18,8.46,8.5,7.8,7.97,45600,31.88,-0.4900000000000011
2011-01-19,8.07,8.42,8.02,8.07,20500,32.28,0.0
2011-01-20,8.0,8.0,7.38,7.6,67800,30.4,-0.40000000000000036
2011-01-21,7.67,7.76,7.54,7.7,66900,30.8,0.03000000000000025
2011-01-24,7.81,9.01,7.07,7.73,60100,30.92,-0.07999999999999918
2011-01-25,7.7,7.7,7.31,7.36,31800,29.44,-0.33999999999999986
2011-01-26,7.36,7.36,6.2,6.48,162000,25.92,-0.8799999999999999
2011-01-27,6.6,6.6,5.56,5.9,179000,23.6,-0.6999999999999993
2011-01-28,6.06,6.08,5.61,5.8,53900,23.2,-0.2599999999999998
2011-01-31,5.8,6.25,5.8,5.87,93800,23.48,0.07000000000000028
2011-02-01,6.03,6.1,5.84,6.09,52000,24.36,0.05999999999999961
2011-02-02,6.19,6.23,6.0,6.09,30400,24.36,-0.10000000000000053
2011-02-03,6.22,6.28,6.01,6.07,35900,24.28,-0.14999999999999947
2011-02-04,6.04,6.2,6.01,6.03,26300,24.12,-0.009999999999999787
2011-02-07,6.03,6.03,5.61,5.61,69300,22.44,-0.41999999999999993
2011-02-08,5.71,5.71,5.35,5.51,72700,22.04,-0.20000000000000018
2011-02-09,5.5,5.56,5.27,5.34,17900,21.36,-0.16000000000000014
2011-02-10,5.22,5.23,4.95,5.09,58800,20.36,-0.1299999999999999
2011-02-11,5.26,5.3,5.08,5.15,31400,20.6,-0.10999999999999943
2011-02-14,5.02,5.24,5.0,5.19,27800,20.76,0.17000000000000082
2011-02-15,5.26,5.57,5.15,5.48,50600,21.92,0.22000000000000064
2011-02-16,5.58,5.65,5.45,5.63,24600,22.52,0.04999999999999982
2011-02-17,5.65,5.75,5.62,5.71,38400,22.84,0.05999999999999961
2011-02-18,5.82,5.82,5.35,5.41,23300,21.64,-0.41000000000000014
2011-02-22,5.15,5.31,4.9,5.14,71800,20.56,-0.010000000000000675
2011-02-23,5.09,5.09,4.9,4.96,28100,19.84,-0.1299999999999999
2011-02-24,5.01,5.05,4.81,4.88,38500,19.52,-0.1299999999999999
2011-02-25,4.94,4.95,4.64,4.76,32600,19.04,-0.1800000000000006
2011-02-28,4.9,4.94,4.55,4.62,56400,18.48,-0.28000000000000025
2011-03-01,4.7,4.7,4.45,4.5,58900,18.0,-0.20000000000000018
2011-03-02,4.57,4.67,4.44,4.51,88200,18.04,-0.0600000000000005
2011-03-03,4.7,4.75,4.44,4.58,71400,18.32,-0.1200000000000001
2011-03-04,4.58,4.6,4.47,4.5,18300,18.0,-0.08000000000000007
2011-03-07,4.45,4.49,4.03,4.1,72600,16.4,-0.35000000000000053
2011-03-08,4.06,4.19,4.01,4.15,31200,16.6,0.09000000000000075
2011-03-09,4.25,4.39,4.2,4.28,21900,17.12,0.03000000000000025
2011-03-10,4.25,4.27,4.14,4.2,35500,16.8,-0.04999999999999982
2011-03-11,4.2,4.31,4.1,4.27,54700,17.08,0.0699999999999994
2011-03-14,4.31,4.48,4.16,4.43,16800,17.72,0.1200000000000001
2011-03-15,4.37,4.37,4.17,4.28,16600,17.12,-0.08999999999999986
2011-03-16,4.35,4.39,4.21,4.33,32000,17.32,-0.019999999999999574
2011-03-17,4.48,4.49,4.31,4.45,47400,17.8,-0.03000000000000025
2011-03-18,4.45,4.56,4.37,4.4,48100,17.6,-0.04999999999999982
2011-03-21,4.52,4.52,4.29,4.45,68400,17.8,-0.0699999999999994
2011-03-22,4.52,4.52,4.36,4.47,56000,17.88,-0.04999999999999982
2011-03-23,4.54,4.57,4.45,4.52,28500,18.08,-0.020000000000000462
2011-03-24,4.5,4.56,4.48,4.55,25100,18.2,0.04999999999999982
2011-03-25,4.6,4.99,4.55,4.73,197200,18.92,0.13000000000000078
2011-03-28,4.69,4.8,4.35,4.45,203400,17.8,-0.2400000000000002
2011-03-29,4.8,4.94,4.54,4.6,218200,18.4,-0.20000000000000018
2011-03-30,4.7,5.04,4.42,4.93,258700,19.72,0.22999999999999954
