Date,open,high,low,close,volume,adj_close,diff
2014-05-15,24.01,24.85,24.01,24.75,43500,23.83,0.7399999999999984
2014-05-16,24.72,24.75,24.69,24.69,31800,23.77,-0.029999999999997584
2014-05-19,24.65,24.75,24.65,24.7,19500,23.78,0.05000000000000071
2014-05-20,24.68,24.89,24.65,24.82,35900,23.89,0.14000000000000057
2014-05-21,24.85,24.9,24.82,24.88,18100,23.95,0.029999999999997584
2014-05-22,24.9,24.92,24.8,24.9,67500,23.97,0.0
2014-05-23,25.0,25.0,24.87,24.89,6200,23.96,-0.10999999999999943
2014-05-27,24.94,25.02,24.89,24.98,69700,24.05,0.03999999999999915
2014-05-28,25.1,25.2,24.93,25.0,36000,24.07,-0.10000000000000142
2014-05-29,25.1,25.1,25.0,25.0,29800,24.07,-0.10000000000000142
2014-05-30,25.0,25.0,24.95,24.95,17400,24.02,-0.05000000000000071
2014-06-02,25.09,25.09,24.95,24.97,33200,24.04,-0.120000000000001
2014-06-03,24.97,25.06,24.92,24.94,19500,24.01,-0.029999999999997584
2014-06-04,24.98,24.98,24.75,24.93,36500,24.0,-0.05000000000000071
2014-06-05,24.98,25.03,24.96,25.0,14900,24.07,0.019999999999999574
2014-06-06,25.05,25.05,24.9,24.99,17700,24.06,-0.060000000000002274
2014-06-09,25.05,25.05,24.9,24.98,11300,24.05,-0.07000000000000028
2014-06-10,25.0,25.0,24.93,25.0,16000,24.07,0.0
2014-06-11,24.99,25.01,24.9,24.99,10400,24.06,0.0
2014-06-12,25.04,25.04,24.92,25.03,34700,24.1,-0.00999999999999801
2014-06-13,25.19,25.19,24.98,24.99,5000,24.06,-0.20000000000000284
2014-06-16,24.99,25.05,24.96,24.98,11600,24.05,-0.00999999999999801
2014-06-17,25.0,25.0,24.9,24.99,13000,24.06,-0.010000000000001563
2014-06-18,24.95,24.97,24.91,24.96,20700,24.03,0.010000000000001563
2014-06-19,24.92,24.92,24.81,24.85,15000,23.92,-0.07000000000000028
2014-06-20,24.89,24.97,24.85,24.95,5200,24.02,0.05999999999999872
2014-06-23,24.98,25.09,24.9,24.9,6600,23.97,-0.08000000000000185
2014-06-24,24.95,24.99,24.94,24.99,2800,24.06,0.03999999999999915
2014-06-25,24.99,24.99,24.9,24.9,15100,23.97,-0.08999999999999986
2014-06-26,24.95,24.97,24.92,24.92,11800,23.99,-0.029999999999997584
2014-06-27,24.96,24.99,24.9,24.94,26300,24.01,-0.019999999999999574
2014-06-30,24.95,25.05,24.94,24.97,4000,24.04,0.019999999999999574
2014-07-01,25.05,25.05,24.86,24.93,14800,24.0,-0.120000000000001
2014-07-02,24.97,24.97,24.91,24.93,3300,24.0,-0.03999999999999915
2014-07-03,24.94,24.94,24.8,24.82,7600,23.89,-0.120000000000001
2014-07-07,24.97,24.97,24.94,24.96,4400,24.03,-0.00999999999999801
2014-07-08,24.98,25.07,24.98,24.99,12900,24.06,0.00999999999999801
2014-07-09,25.09,25.1,24.92,25.02,4700,24.09,-0.07000000000000028
2014-07-10,25.09,25.19,24.98,25.0,4800,24.07,-0.08999999999999986
2014-07-11,25.08,25.08,24.91,25.02,13500,24.09,-0.05999999999999872
2014-07-14,25.02,25.02,24.95,25.01,3000,24.08,-0.00999999999999801
2014-07-15,25.09,25.09,25.02,25.02,4200,24.09,-0.07000000000000028
2014-07-16,25.09,25.09,25.02,25.07,6200,24.14,-0.019999999999999574
2014-07-17,25.08,25.08,25.01,25.02,32900,24.09,-0.05999999999999872
2014-07-18,25.06,25.07,25.02,25.06,5000,24.13,0.0
2014-07-21,25.03,25.15,25.03,25.04,10000,24.11,0.00999999999999801
2014-07-22,25.2,25.2,25.05,25.06,1900,24.13,-0.14000000000000057
2014-07-23,25.1,25.21,25.09,25.21,9300,24.27,0.10999999999999943
2014-07-24,25.2,25.25,25.18,25.21,5100,24.27,0.010000000000001563
2014-07-25,25.3,25.3,25.19,25.29,7000,24.35,-0.010000000000001563
2014-07-28,25.3,25.3,25.09,25.11,21400,24.17,-0.19000000000000128
2014-07-29,25.18,25.19,25.1,25.1,42900,24.16,-0.0799999999999983
2014-07-30,24.8,24.81,24.74,24.78,20100,24.32,-0.019999999999999574
2014-07-31,24.69,24.75,24.6,24.69,13700,24.23,0.0
2014-08-01,24.78,24.8,24.62,24.78,13300,24.32,0.0
2014-08-04,24.61,24.63,23.93,24.04,367900,23.59,-0.5700000000000003
2014-08-05,24.01,24.1,24.0,24.05,445600,23.6,0.03999999999999915
2014-08-06,24.08,24.18,24.0,24.18,227300,23.73,0.10000000000000142
2014-08-07,24.18,24.29,24.0,24.08,123500,23.63,-0.10000000000000142
2014-08-08,24.16,25.05,24.05,24.18,40800,23.73,0.019999999999999574
2014-08-11,24.1,24.27,24.1,24.16,63200,23.71,0.05999999999999872
2014-08-12,24.19,24.19,24.07,24.1,24300,23.65,-0.08999999999999986
2014-08-13,24.15,24.17,24.13,24.13,10200,23.68,-0.019999999999999574
2014-08-14,24.19,24.2,24.14,24.2,20000,23.75,0.00999999999999801
2014-08-15,24.2,24.2,24.09,24.17,15300,23.72,-0.029999999999997584
2014-08-18,23.94,24.29,23.94,24.23,30800,23.78,0.28999999999999915
2014-08-19,24.25,24.44,24.24,24.4,72400,23.94,0.14999999999999858
2014-08-20,24.45,24.47,24.36,24.41,26600,23.95,-0.03999999999999915
2014-08-21,24.48,24.65,24.45,24.56,43700,24.1,0.0799999999999983
2014-08-22,24.6,24.6,24.42,24.54,27900,24.08,-0.060000000000002274
2014-08-25,24.55,24.55,24.45,24.45,16900,23.99,-0.10000000000000142
2014-08-26,24.52,24.57,24.45,24.49,36900,24.03,-0.030000000000001137
2014-08-27,24.57,24.59,24.5,24.55,10700,24.09,-0.019999999999999574
2014-08-28,24.58,24.7,24.54,24.65,20800,24.19,0.07000000000000028
2014-08-29,24.66,24.7,24.62,24.67,19700,24.21,0.010000000000001563
2014-09-02,24.7,24.7,24.55,24.6,16700,24.14,-0.09999999999999787
2014-09-03,24.59,24.65,24.56,24.61,11100,24.15,0.019999999999999574
2014-09-04,24.53,24.6,24.39,24.51,16500,24.05,-0.019999999999999574
2014-09-05,24.56,24.56,24.42,24.52,16100,24.06,-0.03999999999999915
2014-09-08,24.55,24.55,24.4,24.51,15900,24.05,-0.03999999999999915
2014-09-09,24.55,24.57,24.55,24.55,8100,24.09,0.0
2014-09-10,24.57,24.57,24.36,24.42,15700,23.96,-0.14999999999999858
2014-09-11,24.52,24.52,24.45,24.46,4600,24.0,-0.05999999999999872
2014-09-12,24.55,24.55,24.32,24.35,17300,23.9,-0.1999999999999993
2014-09-15,24.3,24.3,24.17,24.25,9400,23.8,-0.05000000000000071
2014-09-16,24.27,24.3,24.16,24.21,15200,23.76,-0.05999999999999872
2014-09-17,24.17,24.3,24.17,24.24,10000,23.79,0.06999999999999673
2014-09-18,24.28,24.4,24.25,24.34,15300,23.89,0.05999999999999872
2014-09-19,24.51,24.51,24.35,24.39,5000,23.93,-0.120000000000001
2014-09-22,24.5,24.6,24.31,24.51,56400,24.05,0.010000000000001563
2014-09-23,24.58,24.58,24.41,24.5,33500,24.04,-0.0799999999999983
2014-09-24,24.53,24.53,24.34,24.45,15300,23.99,-0.08000000000000185
2014-09-25,24.44,24.56,24.41,24.49,43200,24.03,0.04999999999999716
2014-09-26,24.49,24.51,24.37,24.5,7100,24.04,0.010000000000001563
2014-09-29,24.5,24.55,24.45,24.54,22600,24.08,0.03999999999999915
2014-09-30,24.34,24.54,24.34,24.5,14600,24.04,0.16000000000000014
2014-10-01,24.55,24.55,24.49,24.5,10900,24.04,-0.05000000000000071
2014-10-02,24.52,24.58,24.47,24.55,13100,24.09,0.030000000000001137
2014-10-03,24.59,24.69,24.37,24.58,12800,24.12,-0.010000000000001563
2014-10-06,24.64,24.75,24.64,24.74,11800,24.28,0.09999999999999787
2014-10-07,24.74,24.74,24.66,24.66,300,24.2,-0.0799999999999983
2014-10-08,24.74,24.74,24.46,24.46,2600,24.0,-0.2799999999999976
2014-10-09,24.71,24.71,24.5,24.51,14600,24.05,-0.1999999999999993
2014-10-10,24.66,24.66,24.43,24.43,2100,23.97,-0.23000000000000043
2014-10-13,24.57,24.57,24.44,24.5,6300,24.04,-0.07000000000000028
2014-10-14,24.5,24.5,24.3,24.36,17700,23.91,-0.14000000000000057
2014-10-15,24.32,24.44,24.1,24.33,13600,23.88,0.00999999999999801
2014-10-16,24.33,24.39,24.3,24.38,4000,23.92,0.05000000000000071
2014-10-17,24.41,24.7,24.39,24.7,11300,24.24,0.28999999999999915
2014-10-20,24.68,24.71,24.28,24.53,12400,24.07,-0.14999999999999858
2014-10-21,24.67,24.67,24.41,24.61,15200,24.15,-0.060000000000002274
2014-10-22,24.6,24.71,24.55,24.71,10000,24.25,0.10999999999999943
2014-10-23,24.73,24.74,24.56,24.74,2900,24.28,0.00999999999999801
2014-10-24,24.75,24.75,24.56,24.65,5000,24.19,-0.10000000000000142
2014-10-27,24.75,24.75,24.66,24.66,4200,24.2,-0.08999999999999986
2014-10-28,24.65,24.7,24.65,24.7,8600,24.24,0.05000000000000071
2014-10-29,24.4,24.53,24.21,24.31,6000,24.31,-0.08999999999999986
2014-10-30,24.54,24.54,22.84,24.4,7700,24.4,-0.14000000000000057
2014-10-31,24.4,24.52,24.3,24.31,18200,24.31,-0.08999999999999986
2014-11-03,24.52,24.52,24.25,24.25,3200,24.25,-0.2699999999999996
2014-11-04,24.45,24.46,24.31,24.32,1500,24.32,-0.129999999999999
2014-11-05,24.45,24.45,24.4,24.4,1600,24.4,-0.05000000000000071
2014-11-06,24.47,24.48,24.4,24.44,9600,24.44,-0.029999999999997584
2014-11-07,24.47,24.48,24.38,24.46,5600,24.46,-0.00999999999999801
2014-11-10,24.49,24.49,24.41,24.41,2200,24.41,-0.0799999999999983
2014-11-11,24.48,24.48,24.38,24.38,8600,24.38,-0.10000000000000142
2014-11-12,24.37,24.45,24.35,24.45,3100,24.45,0.0799999999999983
2014-11-13,24.44,24.45,24.36,24.42,3600,24.42,-0.019999999999999574
2014-11-14,24.44,24.45,24.22,24.28,11000,24.28,-0.16000000000000014
2014-11-17,24.38,24.38,24.26,24.29,3400,24.29,-0.08999999999999986
2014-11-18,24.3,24.3,24.28,24.3,3100,24.3,0.0
2014-11-19,24.3,24.3,24.17,24.24,6700,24.24,-0.060000000000002274
2014-11-20,24.32,24.58,24.22,24.52,19100,24.52,0.1999999999999993
2014-11-21,24.52,24.8,24.41,24.8,27000,24.8,0.28000000000000114
2014-11-24,24.79,24.82,24.6,24.64,11300,24.64,-0.14999999999999858
2014-11-25,24.71,24.72,24.52,24.7,7500,24.7,-0.010000000000001563
2014-11-26,24.7,24.72,24.56,24.65,5200,24.65,-0.05000000000000071
2014-11-28,24.74,24.79,24.52,24.77,6100,24.77,0.030000000000001137
2014-12-01,24.78,24.79,24.55,24.74,6600,24.74,-0.0400000000000027
2014-12-02,24.74,24.75,24.65,24.75,1600,24.75,0.010000000000001563
2014-12-03,24.75,24.75,24.53,24.7,10200,24.7,-0.05000000000000071
2014-12-04,24.69,24.69,24.52,24.52,3300,24.52,-0.1700000000000017
2014-12-05,24.68,24.75,24.51,24.75,8600,24.75,0.07000000000000028
2014-12-08,24.77,24.79,24.7,24.75,4700,24.75,-0.019999999999999574
2014-12-09,24.78,24.85,24.77,24.82,7600,24.82,0.03999999999999915
2014-12-10,24.84,24.85,24.84,24.84,1800,24.84,0.0
2014-12-11,24.84,24.84,24.75,24.79,3200,24.79,-0.05000000000000071
2014-12-12,24.82,24.84,24.82,24.84,600,24.84,0.019999999999999574
2014-12-15,24.83,24.96,24.7,24.75,14100,24.75,-0.0799999999999983
2014-12-16,24.85,24.85,24.32,24.38,7000,24.38,-0.4700000000000024
2014-12-17,24.65,24.65,24.42,24.42,8200,24.42,-0.22999999999999687
2014-12-18,24.71,24.71,24.51,24.62,2700,24.62,-0.08999999999999986
2014-12-19,24.7,24.7,24.41,24.65,2400,24.65,-0.05000000000000071
2014-12-22,24.71,24.71,24.41,24.42,11600,24.42,-0.28999999999999915
2014-12-23,24.64,24.64,24.43,24.43,2100,24.43,-0.21000000000000085
